%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
238.0, -84065.00030338769, 71995.39357368869, -4995.860754950137, 13345.757227630285, 60376.39801220871, 47174.407204914954, -187500.02235174447, 55364.57811171748, 71159.25951710457, 89739.50472348985, 30004.55707365955, 9085.626493171036, 63978.40398292589, 44268.88159142513, -3529.899243104368, 28862.7629116491, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422600771045E9, 0.0, 2023-09-22 17:43:20.771
240.0, -84038.0888030635, 72003.12727727024, -5024.672153553028, 13416.232277897869, 60375.63805289722, 47175.256571204256, -187500.02235174447, 55436.61778409693, 71095.17706575121, 89628.61771924708, 30008.669794639325, 9093.427251985939, 63979.499218404206, 44265.12649835664, -3657.1700760328863, 28748.232573060108, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422600771056E9, 0.0, 2023-09-22 17:43:20.771
242.0, -84008.69625910476, 72038.37597827625, -5016.357304615653, 13365.002079606305, 60350.51469212946, 47162.873704776015, -187500.02235174447, 55393.83654520947, 71186.52864534005, 89748.0877933607, 30020.94090234529, 9083.972464081344, 63962.33307866253, 44254.33060578473, -3523.50664419015, 28877.984449623164, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422600771061E9, 0.0, 2023-09-22 17:43:20.771
244.0, -84023.06843078953, 72009.20695176208, -5032.159987945555, 13406.17399289298, 60358.91894804466, 47164.080698976606, -187500.02235174447, 55417.77526352111, 71075.775751564, 89641.29115835324, 29989.156721729843, 9079.36800472355, 63964.07651473004, 44252.341300528205, -3625.5870611175374, 28791.527902070036, 0.114, 1.008, 0.096, 192.0, 1.5, 72.0, 15.5, 64.0, 1.5, 0.0, 0.0, 0.0, 0.0, 1.695422600771066E9, 0.0, 2023-09-22 17:43:20.771
246.0, -83989.85373852894, 72046.6014202358, -5008.0201039338235, 13364.756210417298, 60349.173587462144, 47166.1817629554, -187500.02235174447, 55382.52656251509, 71194.06118322149, 89751.95464515146, 30015.330614487008, 9073.444792442893, 63959.67322107235, 44247.66978593705, -3499.8361468119797, 28913.031984929086, 0.114, 1.008, 0.096, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69542260077107E9, 0.0, 2023-09-22 17:43:20.771
248.0, -84056.14901258338, 71983.43539040511, -5026.594403576184, 13400.854277712617, 60362.4952271575, 47172.730824080805, -187500.02235174447, 55399.245667367664, 71069.47255962761, 89640.77706823076, 29988.441465907275, 9082.430193713928, 63973.08426774553, 44258.86800990916, -3644.273119482174, 28786.07407642294, 0.114, 1.008, 0.096, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422600771073E9, 0.0, 2023-09-22 17:43:20.771
250.0, -83978.96843897921, 72054.04455113942, -5010.858775479648, 13376.26735881178, 60345.105569971274, 47165.041823988184, -187500.02235174447, 55386.84044919496, 71205.30411068251, 89742.61161596914, 30014.391841219884, 9070.807286597168, 63962.1989681958, 44241.031317833826, -3514.7447603636697, 28906.05824065903, 0.114, 1.008, 0.096, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422600771076E9, 0.0, 2023-09-22 17:43:20.771
252.0, -84083.77576873013, 71963.36352388424, -5030.573014089228, 13392.159449119503, 60354.87328229824, 47169.57922811261, -187500.02235174447, 55377.89975141284, 71054.0722076979, 89640.19592287492, 29975.70097156775, 9084.017167570253, 63979.499218404206, 44255.492896496406, -3662.9144743579004, 28780.21791937565, 0.114, 1.008, 0.096, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422600771087E9, 0.0, 2023-09-22 17:43:20.771
254.0, -83957.39900557983, 72066.02508616747, -5018.570127316729, 13383.330510059657, 60336.231927422516, 47166.20411469986, -187500.02235174447, 55388.472126540204, 71203.98535775964, 89735.79433391028, 30008.513332428138, 9056.680984101413, 63946.03865695461, 44231.71064039596, -3522.8137401120357, 28910.595644783458, 0.112, 1.01, 0.094, 192.0, 1.5, 64.0, 15.5, 72.0, 1.0, 120.0, 0.0, 0.0, 0.0, 1.69542260077109E9, 0.0, 2023-09-22 17:43:20.771
0.0, -41412.32865003689, 36096.7708941425, -2526.104751360983, 6757.558197684074, 30082.18468215283, 23686.68004115582, -93750.01117587223, 27572.776683899963, 35527.807239032656, 44843.32142392653, 14982.01668048104, 4537.202958727236, 31989.123760357354, 22128.495231687455, -1814.9392980264781, 14414.036502127232, 0.11599999999999999, 1.012, 0.095, 192.0, 1.5, 96.0, 15.5, 88.0, 1.5, 0.0, 0.0, 0.0, 0.0, 1.695422600938922E9, 0.0, 2023-09-22 17:43:20.938
