%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -187500.02235174447, 2376.4821739771573, -16171.777686092579, -37240.710823620655, -16591.61050219661, -38718.00466990527, -187500.02235174447, -47137.5268265637, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675341472778E9, 0.0, 2023-09-25 15:55:41.472
178.0, -187500.02235174447, 2375.521048965579, -16178.684375129269, -37249.15978302476, -16598.114859833106, -38726.74420198729, -187500.02235174447, -47157.59869308456, 12246.967821951846, -11243.5533098642, -54365.45513456525, -51329.39533345644, -42315.294422542385, -38587.09050263053, -31071.00350511116, -40804.495311319275, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675341472787E9, 0.0, 2023-09-25 15:55:41.472
180.0, -187500.02235174447, 2383.791194414043, -16167.620261623892, -37231.68071886071, -16583.675632914976, -38720.977451917825, -187500.02235174447, -47124.09342814606, 12226.963010664345, -11236.244289427315, -54361.722393241216, -51325.17085375439, -42321.57526273433, -38579.423854282366, -31064.812071897042, -40822.13083769451, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69567534147279E9, 0.0, 2023-09-25 15:55:41.472
182.0, -187500.02235174447, 2384.081767091962, -16171.57652039248, -37235.43581192921, -16590.336452762658, -38721.31272808465, -187500.02235174447, -47125.74745723575, 12238.56356603665, -11237.630097583546, -54359.28605309559, -51319.78408334066, -42308.49949222797, -38581.077883372054, -31055.133766547893, -40806.574023553614, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675341472794E9, 0.0, 2023-09-25 15:55:41.472
184.0, -187500.02235174447, 2393.0671683629953, -16161.71940108769, -37224.79638156848, -16581.440458469446, -38723.90553044147, -187500.02235174447, -47138.59971029755, 12231.746283977782, -11231.349257391603, -54355.66507049383, -51319.18058624036, -42321.06117261186, -38576.51812750317, -31062.5321939626, -40816.431142858404, 0.034, 1.004, 0.17200000000000001, 192.0, 0.5, 8.0, 15.5, 48.0, 2.5, 48.0, 0.0, 0.0, 0.0, 1.695675341472798E9, 0.0, 2023-09-25 15:55:41.472
186.0, -187500.02235174447, 2388.7756334275764, -16168.715497102201, -37232.57478863893, -16589.55414170672, -38716.440047793396, -187500.02235174447, -47143.450038844356, 12209.819222667125, -11229.628173068544, -54347.9760704012, -51312.698580348326, -42304.587936948294, -38580.474386271766, -31052.540964191077, -40821.8849685055, 0.034, 1.004, 0.17200000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675341472801E9, 0.0, 2023-09-25 15:55:41.472
188.0, -187500.02235174447, 2385.4452235037356, -16165.67565985628, -37231.36779443834, -16585.150848049027, -38726.52068454274, -187500.02235174447, -47129.748419493255, 12232.103911889066, -11240.066437729172, -54357.721430983715, -51325.23790898775, -42320.256509811465, -38585.4588252853, -31061.347551506467, -40816.3864393695, 0.034, 1.004, 0.17200000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675341472804E9, 0.0, 2023-09-25 15:55:41.472
190.0, -187500.02235174447, 2388.1050810939173, -16166.68148835677, -37234.83231482891, -16587.408374239014, -38715.098943126075, -187500.02235174447, -47141.77365801021, 12212.881411657503, -11240.960507507385, -54353.69811698176, -51324.41089444291, -42311.60638470726, -38583.3577613065, -31056.34076074848, -40816.65466030296, 0.034, 1.004, 0.17200000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675341472808E9, 0.0, 2023-09-25 15:55:41.472
192.0, -187500.02235174447, 2395.883488164364, -16167.709668601712, -37233.580617139414, -16588.414202739503, -38723.65966125246, -187500.02235174447, -47149.26149240274, 12243.23508062781, -11232.17627193645, -54358.03435540609, -51327.47308343328, -42319.630660966715, -38581.81549093908, -31067.24841204267, -40812.251366645265, 0.034, 1.004, 0.17200000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675341472811E9, 0.0, 2023-09-25 15:55:41.472
0.0, -93750.01117587223, 1207.8882703647937, -8109.659923274508, -18599.06537521665, -8305.036521558348, -19343.78079697857, -93750.01117587223, -23550.021475556074, 6117.203070783981, -5623.2965735550615, -27180.794141387243, -25667.625745251866, -21157.222528126542, -19297.847962122913, -15534.328285971676, -20401.80062077053, 0.046, 1.012, 0.166, 192.0, 0.5, 56.0, 15.5, 80.0, 2.5, 24.0, 0.0, 0.0, 0.0, 1.695675341613398E9, 0.0, 2023-09-25 15:55:41.613
106.0, -187500.02235174447, 2409.6521627488332, -16217.598762225958, -37231.81482932745, -16617.069139131207, -38702.93959414239, -187500.02235174447, -47130.35191659354, 12156.957347030324, -11226.27541140025, -54348.46780877922, -51305.74718782272, -42392.81027231339, -38576.11579610298, -31022.299053943047, -40783.48467153128, 0.046, 1.012, 0.166, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675342056123E9, 0.0, 2023-09-25 15:55:42.056
108.0, -187500.02235174447, 2403.1925086012493, -16229.400483298361, -37239.97321605364, -16630.167261382016, -38702.00082087527, -187500.02235174447, -47129.100218904045, 12148.307221926121, -11230.634001569033, -54350.680631480296, -51302.99792325472, -42387.40115015521, -38578.641543226426, -31027.99874877915, -40781.8753459305, 0.04, 1.002, 0.158, 192.0, 0.5, 32.0, 15.5, 40.0, 2.0, 120.0, 0.0, 0.0, 0.0, 1.695675342056133E9, 0.0, 2023-09-25 15:55:42.056
110.0, -187500.02235174447, 2399.8397469329534, -16232.663837988835, -37241.493134676595, -16628.312066592225, -38700.54795748567, -187500.02235174447, -47125.412181068925, 12157.896120297448, -11227.214184667371, -54351.66410823633, -51304.29432443313, -42395.04544675892, -38574.797043180115, -31028.781059835084, -40781.49536627476, 0.04, 1.002, 0.158, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675342056136E9, 0.0, 2023-09-25 15:55:42.056
112.0, -187500.02235174447, 2388.4403572607466, -16241.269259604129, -37253.31720749345, -16632.849470716654, -38712.796713447184, -187500.02235174447, -47149.39560286947, 12167.485018668775, -11250.482350645347, -54372.406527090854, -51325.707295621316, -42400.34281019483, -38598.53459579165, -31038.5264204176, -40753.041595583156, 0.04, 1.002, 0.158, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69567534205614E9, 0.0, 2023-09-25 15:55:42.056
114.0, -187500.02235174447, 2418.6822675087774, -16220.9291721498, -37219.63312859931, -16618.074967631695, -38685.59464044507, -187500.02235174447, -47103.68628545837, 12189.993225335267, -11237.585394094634, -54362.057669408045, -51318.66649611789, -42402.73444685155, -38586.129377618956, -31036.04537678306, -40753.868610128004, 0.04, 1.002, 0.158, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675343255149E9, 0.0, 2023-09-25 15:55:43.255
148.0, -187500.02235174447, 2412.8708139503974, -16229.556945509548, -37228.4397159147, -16625.495746790857, -38685.43817823388, -187500.02235174447, -47122.99819266775, 12116.25482037721, -11243.285088930737, -54358.54844552856, -51306.28362968965, -42370.99496972501, -38573.478290257255, -31018.02987075208, -40732.477990684274, 0.04, 1.002, 0.158, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675343255161E9, 0.0, 2023-09-25 15:55:43.255
150.0, -187500.02235174447, 2407.171119114294, -16237.491814791181, -37236.46399217415, -16638.593869041666, -38700.79382667468, -187500.02235174447, -47149.70852729184, 12140.998201489236, -11240.46876912937, -54361.87885545241, -51309.09994949102, -42378.61691458427, -38572.24894431221, -31027.46230691222, -40735.54017967465, 0.04, 1.002, 0.158, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675343255164E9, 0.0, 2023-09-25 15:55:43.255
152.0, -187500.02235174447, 2402.589011500956, -16235.83778570149, -37236.12871600732, -16633.654133517044, -38692.07664633711, -187500.02235174447, -47128.13909389247, 12115.78543374365, -11253.745705335821, -54372.3841753464, -51319.24764147373, -42383.28842917543, -38584.11772061798, -31035.777155849595, -40738.80353436512, 0.04, 1.004, 0.192, 192.0, 0.5, 32.0, 15.5, 48.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.695675343255167E9, 0.0, 2023-09-25 15:55:43.255
154.0, -187500.02235174447, 2406.8358429474647, -16236.575393268515, -37234.9887770401, -16634.168223639517, -38695.51881498323, -187500.02235174447, -47119.108989132525, 12175.442239694863, -11249.834150056142, -54367.55619854405, -51315.000810027224, -42384.83069954285, -38577.34514204802, -31031.351510447446, -40715.64712710943, 0.04, 1.004, 0.192, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675343255171E9, 0.0, 2023-09-25 15:55:43.255
156.0, -187500.02235174447, 2404.243040590649, -16238.542346780581, -37237.60393114137, -16637.85626147464, -38685.43817823388, -187500.02235174447, -47104.60270698103, 12120.859279735003, -11245.944946520918, -54360.71656474073, -51311.15630998091, -42380.650923329704, -38572.45011001231, -31027.52936214559, -40739.56349367661, 0.04, 1.004, 0.192, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675343255174E9, 0.0, 2023-09-25 15:55:43.255
158.0, -187500.02235174447, 2418.52580529759, -16228.372303053417, -37225.86926530233, -16628.110900892127, -38687.27102127922, -187500.02235174447, -47099.528860989674, 12184.472344454807, -11244.000344753307, -54363.91286419784, -51308.89878379092, -42389.122234478265, -38571.84661291201, -31026.545885389554, -40706.52761537166, 0.04, 1.004, 0.192, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675343255177E9, 0.0, 2023-09-25 15:55:43.255
160.0, -187500.02235174447, 2418.570508786501, -16225.421872785315, -37223.16470422324, -16626.970961924908, -38678.71030315284, -187500.02235174447, -47108.96129714981, 12122.35684661351, -11234.880833015543, -54352.1781983588, -51299.37694065296, -42381.58969659683, -38559.75431916169, -31021.293225442558, -40734.33318547406, 0.04, 1.004, 0.192, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69567534325518E9, 0.0, 2023-09-25 15:55:43.255
162.0, -187500.02235174447, 2415.1953953737493, -16232.574431011015, -37231.59131188289, -16635.39756958456, -38687.74040791278, -187500.02235174447, -47116.806759453626, 12183.153591531944, -11234.769074293265, -54351.5299977696, -51299.28753367514, -42382.86374603078, -38563.64352269692, -31016.487600384666, -40704.53831011514, 0.042, 1.008, 0.186, 192.0, 0.5, 40.0, 15.5, 64.0, 2.5, 104.0, 0.0, 0.0, 0.0, 1.695675343315437E9, 0.0, 2023-09-25 15:55:43.315
164.0, -187500.02235174447, 2412.7367034836657, -16234.78725371209, -37233.446506672684, -16641.76781675432, -38693.574213215616, -187500.02235174447, -47122.5735095231, 12130.314067639598, -11240.64758308501, -54364.024622920115, -51311.87156580348, -42397.504138649005, -38570.37139777796, -31027.23878946767, -40723.40318243542, 0.042, 1.008, 0.186, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675343315447E9, 0.0, 2023-09-25 15:55:43.315
166.0, -187500.02235174447, 2406.6570289918222, -16233.759073467145, -37234.005300284065, -16637.92331670801, -38694.78120741621, -187500.02235174447, -47128.273204359204, 12193.055414325645, -11242.905109274998, -54360.604806018455, -51308.87643204647, -42390.15041472321, -38580.49673801622, -31028.401080179345, -40695.46350186628, 0.042, 1.008, 0.186, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675343315451E9, 0.0, 2023-09-25 15:55:43.315
168.0, -187500.02235174447, 2400.8008719445315, -16234.697846734269, -37240.82258234294, -16641.72311326541, -38697.977506873314, -187500.02235174447, -47143.941777222375, 12123.519137325186, -11250.37059192307, -54364.98574793169, -51316.610135628005, -42399.3593334388, -38581.41315953889, -31031.217399980713, -40733.55087441813, 0.042, 1.008, 0.186, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675343315454E9, 0.0, 2023-09-25 15:55:43.315
170.0, -187500.02235174447, 2407.819319703498, -16231.523899021615, -37236.64280612979, -16631.06133116023, -38703.431332520406, -187500.02235174447, -47117.20909085382, 12186.50635320024, -11251.04114425673, -54367.06446016604, -51317.39244668394, -42391.67033334617, -38583.64833398442, -31029.58572263548, -40706.16998746037, 0.042, 1.008, 0.186, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675343315457E9, 0.0, 2023-09-25 15:55:43.315
172.0, -187500.02235174447, 2413.1166831394057, -16223.477271017704, -37230.04904151548, -16624.601677012644, -38689.01445734673, -187500.02235174447, -47107.95546864933, 12117.01477968869, -11235.08199871564, -54354.54748327106, -51308.00471401271, -42389.97160076757, -38567.86800239897, -31021.293225442558, -40742.73744138926, 0.038, 1.004, 0.184, 192.0, 0.5, 24.0, 15.5, 48.0, 2.5, 96.0, 0.0, 0.0, 0.0, 1.69567534331546E9, 0.0, 2023-09-25 15:55:43.315
174.0, -187500.02235174447, 2414.658953506822, -16232.708541477747, -37236.28517821851, -16628.759101481333, -38696.77051267272, -187500.02235174447, -47127.89322470346, 12160.220701720798, -11246.146112221017, -54360.85067520746, -51314.28555420465, -42384.87540303176, -38576.16049959189, -31029.4739639132, -40720.318641700585, 0.038, 1.004, 0.184, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675343315463E9, 0.0, 2023-09-25 15:55:43.315
176.0, -187500.02235174447, 2415.0612849070176, -16233.669666489324, -37237.715689863646, -16632.29067710527, -38690.780245158705, -187500.02235174447, -47127.580300281086, 12109.370483084975, -11237.69715281691, -54357.36380307243, -51311.648048358926, -42390.19511821212, -38571.39957802291, -31026.47883015619, -40752.77337464969, 0.038, 1.004, 0.184, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69567534333807E9, 0.0, 2023-09-25 15:55:43.338
108.0, -187500.02235174447, 2390.228496817171, -16235.569564768026, -37234.58644563991, -16637.520985307812, -38679.738483397785, -187500.02235174447, -47100.020599367694, 12146.250861436232, -11253.94687103592, -54363.734050242194, -51311.357475681005, -42393.68199034715, -38562.280066285144, -31019.90741728633, -40730.9133685724, 0.038, 1.004, 0.184, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675344136313E9, 0.0, 2023-09-25 15:55:44.136
110.0, -187500.02235174447, 2383.9253048807745, -16250.45582657526, -37248.91391383576, -16645.880537734098, -38684.94643985587, -187500.02235174447, -47121.65708800043, 12199.716234173327, -11258.484275160346, -54368.204399133254, -51313.77146408218, -42387.088225732834, -38571.84661291201, -31021.159114975824, -40702.37019090298, 0.038, 1.004, 0.184, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675344136325E9, 0.0, 2023-09-25 15:55:44.136
112.0, -187500.02235174447, 2393.2683340630933, -16241.917460193332, -37242.47661143263, -16636.85043297415, -38685.63934393398, -187500.02235174447, -47115.01861989721, 12143.50159686823, -11254.304498947204, -54375.91575097034, -51323.62858338697, -42403.650868374214, -38568.8067756661, -31030.099812757948, -40733.12619127348, 0.038, 1.004, 0.184, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675344136329E9, 0.0, 2023-09-25 15:55:44.136
114.0, -187500.02235174447, 2385.109947336906, -16242.364495082438, -37241.068451531944, -16634.61525852862, -38679.09028280858, -187500.02235174447, -47120.785369966674, 12188.249789267755, -11255.17621698096, -54372.339471857485, -51319.44880717383, -42386.127100721256, -38572.94184839033, -31025.4730016557, -40708.718086328285, 0.038, 1.004, 0.184, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675344136332E9, 0.0, 2023-09-25 15:55:44.136
116.0, -187500.02235174447, 2377.7785751555652, -16243.191509627284, -37245.069413789446, -16637.49863356336, -38676.452776962855, -187500.02235174447, -47126.77563748069, 12132.035151962657, -11252.024621012763, -54364.315195598036, -51315.559603638605, -42386.01534199898, -38562.25771454069, -31015.61588235091, -40741.53044718867, 0.036000000000000004, 1.0, 0.18, 192.0, 0.5, 16.0, 15.5, 32.0, 2.5, 80.0, 0.0, 0.0, 0.0, 1.695675344136335E9, 0.0, 2023-09-25 15:55:44.136
118.0, -187500.02235174447, 2381.8689443908866, -16249.7852742416, -37249.69622489169, -16642.684238276986, -38688.27684977971, -187500.02235174447, -47125.61334676902, 12181.946597331358, -11264.854522330108, -54380.453155094765, -51328.52361542268, -42386.261211187986, -38578.68624671534, -31035.50893491613, -40707.15346421641, 0.036000000000000004, 1.0, 0.18, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675344136339E9, 0.0, 2023-09-25 15:55:44.136
120.0, -187500.02235174447, 2389.490889250146, -16239.034085158597, -37239.57088465344, -16634.01176142833, -38678.10680605254, -187500.02235174447, -47123.48993104576, 12133.331553141064, -11238.613574339579, -54361.70004149676, -51308.51880413519, -42370.592638324815, -38552.33354000253, -31020.220341708704, -40748.86181937001, 0.036000000000000004, 1.0, 0.18, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675344136342E9, 0.0, 2023-09-25 15:55:44.136
122.0, -187500.02235174447, 2393.8941829078417, -16241.202204370762, -37239.70499512017, -16637.90096496355, -38677.05627406314, -187500.02235174447, -47132.16240789442, 12156.97969877478, -11246.660202343488, -54364.20343687576, -51305.18839421134, -42356.22046664006, -38558.14499356091, -31025.920036544805, -40730.98042380577, 0.036000000000000004, 1.0, 0.18, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675344136345E9, 0.0, 2023-09-25 15:55:44.136
126.0, -187500.02235174447, 2386.1828310707606, -16246.812492229044, -37246.030538801024, -16621.20421185544, -38673.6811606504, -187500.02235174447, -47064.4589739393, 12168.110867513522, -11260.205359483405, -54372.85356197996, -51302.0591499876, -42354.43232708363, -38564.33642677503, -31014.81121955052, -40708.785141561646, 0.038, 1.0, 0.202, 192.0, 0.5, 24.0, 15.5, 32.0, 3.0, 40.0, 0.0, 0.0, 0.0, 1.695675344194564E9, 0.0, 2023-09-25 15:55:44.194
128.0, -187500.02235174447, 2398.5433457545455, -16238.542346780581, -37236.70986136316, -16612.062348373216, -38666.21567800232, -187500.02235174447, -47062.559075660596, 12161.718268599305, -11243.396847653014, -54359.10723913995, -51284.58008582355, -42343.65878625617, -38542.02938580864, -30998.7179635427, -40718.93283354436, 0.038, 1.0, 0.202, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675344194574E9, 0.0, 2023-09-25 15:55:44.194
130.0, -187500.02235174447, 2405.6064970024227, -16238.564698525037, -37238.94503580869, -16617.024435642295, -38672.51886993872, -187500.02235174447, -47075.32192174458, 12156.912643541413, -11247.531920377245, -54360.06836415153, -51281.49554508872, -42336.90855943067, -38541.67175789735, -31008.6197863364, -40709.81332180659, 0.038, 1.0, 0.202, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675344194577E9, 0.0, 2023-09-25 15:55:44.194
132.0, -187500.02235174447, 2398.051607376529, -16250.522881808625, -37247.505753935075, -16630.14490963756, -38680.52079445372, -187500.02235174447, -47087.07893932807, 12177.431544951385, -11254.32685069166, -54364.09167815348, -51285.89883874641, -42342.38473682222, -38554.12167955896, -31019.683899841777, -40707.019353749674, 0.038, 1.0, 0.202, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69567534419458E9, 0.0, 2023-09-25 15:55:44.194
134.0, -187500.02235174447, 2389.982627628163, -16261.11760868044, -37258.56986744045, -16640.694933020466, -38681.0795880651, -187500.02235174447, -47111.50939601772, 12159.594852876051, -11262.37347869557, -54368.785544489096, -51293.0066934832, -42341.26714959945, -38561.56481046257, -31032.08911801447, -40707.734609572246, 0.038, 1.0, 0.202, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675344194583E9, 0.0, 2023-09-25 15:55:44.194
136.0, -187500.02235174447, 2407.9310784257746, -16251.93104170931, -37248.15395452428, -16631.95540093844, -38684.36529450003, -187500.02235174447, -47100.35587553452, 12186.17107703341, -11260.831208328153, -54370.95366370126, -51293.63254232795, -42347.70445200258, -38557.16151680488, -31039.66635938482, -40709.969784017776, 0.044, 0.992, 0.20800000000000002, 192.0, 0.5, 48.0, 15.5, 0.0, 3.0, 64.0, 0.0, 0.0, 0.0, 1.695675344194587E9, 0.0, 2023-09-25 15:55:44.194
