%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
208.0, -187500.02235174447, 17723.860469324645, -56013.29279104386, -46526.92187153362, -27350.399178314114, -7373.236998705506, -187500.02235174447, -12562.8650263387, 4817.04679930768, 9691.425823143223, -21063.993402003456, -29988.575576374005, 35763.394625591594, -9687.894247519285, -27814.153172272825, -31293.939804308393, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679992754763E9, 0.0, 2023-09-25 17:13:12.754
210.0, -187500.02235174447, 17713.444556408474, -56023.105206859735, -46531.50397914696, -27355.36126558319, -7376.813277818356, -187500.02235174447, -12560.451037937528, 4812.464691694342, 9676.539561335989, -21154.607374025272, -30053.61915273895, 35653.40169112703, -9706.915582050751, -27872.200652623258, -31303.10401953507, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69567999275477E9, 0.0, 2023-09-25 17:13:12.754
212.0, -187500.02235174447, 17733.672885140524, -55997.15483154712, -46518.316449918326, -27345.392387556123, -7366.062088735353, -187500.02235174447, -12551.845616322234, 4819.974877831326, 9693.035148744006, -21069.089599739265, -29983.56878561602, 35755.48210805441, -9684.720299806631, -27829.08413756897, -31282.249841958266, 0.012, 0.499, -0.079, 192.0, 0.0, 96.0, 15.5, 24.0, 125.5, 8.0, 0.0, 0.0, 0.0, 1.695679992754774E9, 0.0, 2023-09-25 17:13:12.754
214.0, -187500.02235174447, 17710.78469881829, -56020.15477659163, -46551.75465962347, -27365.75482675491, -7381.373033687239, -187500.02235174447, -12561.278052482374, 4808.754302114761, 9681.456945116157, -21147.09718788829, -30044.097309600988, 35658.85551677412, -9698.623084857833, -27881.744847505674, -31301.785266612205, 0.012, 0.499, -0.079, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679992754777E9, 0.0, 2023-09-25 17:13:12.754
216.0, -187500.02235174447, 17708.527172628306, -55965.19183697604, -46551.866418345744, -27385.826693275776, -7402.003693819487, -187500.02235174447, -12583.518038215405, 4803.769863101228, 9681.434593371701, -21058.53957635636, -29979.746637314158, 35764.445157580994, -9692.968093510639, -27813.817896105993, -31273.175033709413, 0.012, 0.499, -0.079, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69567999275478E9, 0.0, 2023-09-25 17:13:12.754
218.0, -187500.02235174447, 17724.821594336223, -56041.65715475764, -46517.824711540314, -27355.383617327647, -7373.281702194417, -187500.02235174447, -12560.875721082179, 4795.4103106749435, 9656.311232603935, -21099.532675687395, -30018.571617433026, 35714.64547093457, -9737.358657998879, -27827.318349757, -31292.799865341174, 0.012, 0.499, -0.079, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679992754784E9, 0.0, 2023-09-25 17:13:12.754
220.0, -187500.02235174447, 17721.64764662357, -55976.345357459235, -46540.57878739581, -27368.54879481182, -7392.504202425981, -187500.02235174447, -12574.286767755362, 4823.595860433085, 9701.238238959104, -21077.382096932186, -29994.007050276647, 35741.82519219222, -9690.174125453726, -27820.389308975853, -31286.697839104872, 0.012, 0.499, -0.079, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679992754787E9, 0.0, 2023-09-25 17:13:12.754
222.0, -187500.02235174447, 17723.92752455801, -56048.92147170562, -46519.38933365218, -27352.16496612608, -7380.210742975562, -187500.02235174447, -12562.261529238407, 4806.027389291214, 9676.383099124801, -21101.65609141065, -30021.477344212217, 35713.50553196735, -9718.024399045038, -27836.482564983675, -31297.896063076983, 0.017, 0.7505, -0.1175, 192.0, 0.0, 88.0, 15.5, 40.0, 125.5, 16.0, 0.0, 0.0, 0.0, 1.69567999275479E9, 0.0, 2023-09-25 17:13:12.754
224.0, -187500.02235174447, 17723.815765835734, -55974.19958999153, -46536.01903152693, -27365.732475010453, -7388.972626802043, -187500.02235174447, -12567.938872330054, 4823.215880777345, 9702.177012226226, -21098.45979195354, -30011.910797585348, 35716.701831424456, -9691.87285803233, -27836.59432370595, -31289.42475192842, 0.017, 0.7505, -0.1175, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679992754793E9, 0.0, 2023-09-25 17:13:12.754
0.0, -93750.01117587223, 8842.46186524175, -27959.417159487864, -23218.45569830605, -13671.869179233216, -3728.203919911852, -93750.01117587223, -6295.145308392681, 2403.259563834615, 4839.644412951996, -10521.055522090855, -14988.610445095355, 17895.052480107843, -4854.083639870124, -13903.99204540158, -15644.745903580893, 0.0225, 0.87925, -0.13874999999999998, 192.0, 0.0, 112.0, 15.5, 64.0, 125.5, 0.0, 0.0, 0.0, 0.0, 1.695679992913681E9, 0.0, 2023-09-25 17:13:12.913
