%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -187500.02235174447, 26804.815447904522, -33512.81982813118, -34439.38904278148, 16217.688169203779, 6586.857925278893, -187500.02235174447, -145991.44709008303, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681656518522E9, 0.0, 2023-09-25 17:40:56.518
194.0, -187500.02235174447, 26804.12254382641, -33489.57401389766, -34418.95954834933, 16232.105044377453, 6578.788945530528, -187500.02235174447, -146000.43249135406, -1271.814259506972, -14347.69652458388, -19117.15645994621, -41806.09933210604, 21451.95263051422, -15209.736252991708, -15322.992542146749, -19504.691005312325, 0.092, 1.006, -0.13, 192.0, 1.0, 112.0, 15.5, 56.0, 125.5, 120.0, 0.0, 0.0, 0.0, 1.695681656518531E9, 0.0, 2023-09-25 17:40:56.518
196.0, -187500.02235174447, 26808.05645085054, -33495.22900524485, -34427.073231586604, 16246.097236406475, 6569.378861114844, -187500.02235174447, -145981.52291554486, -1283.1018904569019, -14351.451617652372, -19147.77834984998, -41803.350067538035, 21446.63291533386, -15221.4932705752, -15347.422998836399, -19505.339205901528, 0.092, 1.006, -0.13, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681656518535E9, 0.0, 2023-09-25 17:40:56.518
198.0, -187500.02235174447, 26814.471401509214, -33483.56139463918, -34409.41535346691, 16241.515128793137, 6593.54109687103, -187500.02235174447, -145994.41987209558, -1259.8337244789273, -14331.31269589814, -19104.147744673224, -41793.157672066416, 21470.48222666767, -15202.918970932838, -15321.472623523787, -19492.91163598438, 0.092, 1.006, -0.13, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681656518538E9, 0.0, 2023-09-25 17:40:56.518
200.0, -187500.02235174447, 26804.12254382641, -33498.09002853513, -34424.3239670186, 16242.45390206026, 6582.566390343474, -187500.02235174447, -145966.32372931525, -1288.9580475041923, -14352.03276300821, -19145.99021029356, -41806.70282920633, 21452.064389236497, -15216.508831561665, -15349.94874595985, -19498.588979076027, 0.092, 1.006, -0.13, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681656518541E9, 0.0, 2023-09-25 17:40:56.518
202.0, -187500.02235174447, 26828.26242783814, -33474.46423464587, -34393.79148409265, 16246.544271295581, 6590.2553904361, -187500.02235174447, -145988.49665981493, -1253.910512198271, -14318.751015514257, -19103.007805706, -41781.333599249556, 21475.39961044784, -15167.446752482267, -15327.664056737907, -19494.632720307436, 0.092, 1.006, -0.13, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681656518545E9, 0.0, 2023-09-25 17:40:56.518
204.0, -187500.02235174447, 26819.567599245027, -33478.91223179248, -34401.48048418528, 16263.621004059436, 6592.512916626087, -187500.02235174447, -145989.63659878215, -1274.1835444192345, -14322.528460327205, -19144.0679602704, -41780.50658470471, 21492.141067044864, -15185.4846102577, -15363.248033910757, -19498.566627331573, 0.09, 1.006, -0.132, 192.0, 1.0, 104.0, 15.5, 56.0, 125.5, 112.0, 0.0, 0.0, 0.0, 1.695681656518548E9, 0.0, 2023-09-25 17:40:56.518
206.0, -187500.02235174447, 26823.8814859249, -33486.78004584075, -34405.70496388733, 16218.693997704268, 6593.965780015681, -187500.02235174447, -145984.94273244654, -1252.3011865974888, -14323.422530105416, -19098.11277367029, -41785.84865162953, 21477.478322682182, -15185.52931374661, -15331.642667250951, -19486.34022311452, 0.09, 1.006, -0.132, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681656518551E9, 0.0, 2023-09-25 17:40:56.518
208.0, -187500.02235174447, 26810.001052618154, -33503.90148209351, -34424.30161527415, 16206.53464872058, 6586.165021200779, -187500.02235174447, -145959.9087786566, -1284.3088846574885, -14330.21746041983, -19148.381846950277, -41786.18392779636, 21460.647459107335, -15198.381566808412, -15358.911795486427, -19497.158467430887, 0.09, 1.006, -0.132, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681656518555E9, 0.0, 2023-09-25 17:40:56.518
0.0, -93750.01117587223, 13505.661607463553, -16785.02014696838, -17158.942479961217, 8124.5014815928325, 3337.428371599719, -93750.01117587223, -70426.39051990396, -636.1753506869496, -7168.472667750439, -9551.012164474985, -20899.37280409012, 10721.103634965853, -7602.163565416761, -7653.259653241594, -9749.048620349005, 0.08600000000000001, 1.012, -0.14400000000000002, 192.0, 1.0, 88.0, 15.5, 80.0, 125.5, 64.0, 0.0, 0.0, 0.0, 1.695681656672126E9, 0.0, 2023-09-25 17:40:56.672
