%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
208.0, 20359.913451661283, 32586.295316969794, -26565.607078743826, -26987.943290226853, -13096.177649042327, 4401.840794305896, -187500.02235174447, -15125.313714184012, 3591.344188612007, -39562.140651004396, -9829.716066088207, -14378.988966821309, 727.1916541089599, -5767.442973547337, -30723.724451509053, -36844.9955397839, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683900602505E9, 0.0, 2023-09-25 18:18:20.602
210.0, 20360.65105922831, 32580.327401200226, -26569.02689564549, -26993.91120599642, -13103.352559012481, 4391.693102323187, -187500.02235174447, -15125.09019673946, 3592.3053136235853, -39572.198936009285, -9839.237909226169, -14390.410708237972, 726.1858256084712, -5775.802525973621, -30740.5553150839, -36862.027569058846, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683900602513E9, 0.0, 2023-09-25 18:18:20.602
212.0, 20364.897890674816, 32585.15537800257, -26564.06480837641, -26986.825703004088, -13092.891942607397, 4398.3762739153235, -187500.02235174447, -15130.275801453092, 3606.5210230971607, -39571.10370053097, -9837.762694092118, -14394.7469466623, 734.9030059460409, -5764.716060723789, -30731.659320790688, -36855.90319107809, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683900602517E9, 0.0, 2023-09-25 18:18:20.602
214.0, 20348.871689900363, 32579.29922095528, -26561.717875208604, -26986.088095437062, -13093.316625752048, 4401.885497794807, -187500.02235174447, -15115.903629768329, 3581.5988280294932, -39572.24363949819, -9849.609118653432, -14400.536048476226, 704.3705230200915, -5781.703386509823, -30736.12966968175, -36861.602885914195, 0.04, 0.918, 0.402, 192.0, 0.5, 32.0, 14.0, 88.0, 6.0, 72.0, 0.0, 0.0, 0.0, 1.695683900602521E9, 0.0, 2023-09-25 18:18:20.602
216.0, 20359.06408537198, 32582.40611343457, -26558.1192443513, -26983.62940354698, -13092.601369929478, 4393.905925024263, -187500.02235174447, -15111.477984366178, 3584.8174792310574, -39583.15129079238, -9840.690772615764, -14391.9976820943, 711.2325085678707, -5773.880275950465, -30734.341530125326, -36861.49112719192, 0.04, 0.918, 0.402, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683900602524E9, 0.0, 2023-09-25 18:18:20.602
218.0, 20364.45085578571, 32593.40317170658, -26555.034703616468, -26983.450589591335, -13091.752003640177, 4400.164413471748, -187500.02235174447, -15108.32638839798, 3604.509366096183, -39570.96959006424, -9833.113531245415, -14385.895655858, 729.3374215766695, -5775.646063762434, -30729.111221922783, -36861.24525800291, 0.04, 0.918, 0.402, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683900602527E9, 0.0, 2023-09-25 18:18:20.602
220.0, 20356.4042277818, 32593.134950773117, -26565.048285132445, -26986.24455764825, -13107.73350092572, 4394.196497702182, -187500.02235174447, -15088.388632343846, 3589.019607188655, -39573.942372076795, -9844.244699984158, -14398.36792926406, 712.417151024002, -5775.847229462533, -30740.220038917072, -36867.414339472576, 0.04, 0.918, 0.402, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683900602531E9, 0.0, 2023-09-25 18:18:20.602
222.0, 20358.952326649705, 32594.78897986281, -26562.611944986817, -26985.886929736964, -13101.78793690061, 4401.840794305896, -187500.02235174447, -15070.440181546233, 3582.47054606325, -39573.89766858789, -9857.05224955705, -14400.021958353755, 716.9769068928847, -5778.507087052713, -30749.78658554394, -36873.762234897884, 0.04, 0.918, 0.402, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683900602534E9, 0.0, 2023-09-25 18:18:20.602
224.0, 20371.26813784458, 32601.06982005475, -26558.58863098486, -26979.069647678098, -13093.294274007592, 4403.472471651134, -187500.02235174447, -15093.998920202128, 3598.273229393152, -39571.282514486615, -9850.19026400927, -14398.390281008516, 728.7115727319209, -5764.894874679431, -30743.952780241107, -36870.81180462978, 0.046, 0.922, 0.402, 192.0, 0.5, 56.0, 14.0, 104.0, 6.0, 72.0, 0.0, 0.0, 0.0, 1.695683900602538E9, 0.0, 2023-09-25 18:18:20.602
0.0, 10163.561721272674, 16442.569070168625, -13296.24811366178, -13452.889138804572, -6595.195125960723, 2257.950873130664, -93750.01117587223, -5580.1577067563185, 1804.8586612771346, -19780.712697590912, -4929.252556473321, -7200.681531510536, 370.6813300468123, -2890.1029098156587, -15370.221778180812, -18434.8024052146, 0.046, 0.922, 0.41000000000000003, 192.0, 0.5, 56.0, 14.0, 104.0, 6.0, 104.0, 0.0, 0.0, 0.0, 1.695683900771823E9, 0.0, 2023-09-25 18:18:20.771
