%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
102.0, 6856.196445965344, 21771.98490762531, 25551.508432806546, -7087.3581871221295, 30675.44468348559, 30211.48952382678, -187500.02235174447, 46393.48195713544, 11121.95982002733, -20972.01597356987, -9669.498761832567, 7194.8924296966115, 11532.986048815972, -187500.02235174447, 15288.637910918942, -24022.582056830175, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959354634587133E9, 0.0, 2023-09-28 16:11:03.458
104.0, 6866.925283303891, 21786.64765198799, 25358.948154324076, -7041.023020866278, 30707.02769840094, 30198.79373297617, -187500.02235174447, 46173.83136437314, 11210.897411214997, -20949.328952947733, -9635.971145149606, 7192.61255176217, 11577.197799348569, -187500.02235174447, 15047.440236501723, -24249.206393862536, 0.069, 0.498, 0.07, 192.0, 2.0, 40.0, 15.5, 16.0, 2.0, 48.0, 0.0, 0.0, 0.0, 1.6959354634587371E9, 0.0, 2023-09-28 16:11:03.458
106.0, 6869.451030427341, 21759.155006307963, 25590.713392581154, -7093.370806380607, 30668.82856712682, 30228.454497868363, -187500.02235174447, 46424.32736448376, 11127.927735796899, -20973.379429981644, -9672.493895589578, 7199.563944287771, 11547.268813522913, -187500.02235174447, 15254.775018069151, -24062.39051370508, 0.069, 0.498, 0.07, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959354634587543E9, 0.0, 2023-09-28 16:11:03.458
108.0, 6888.964103336823, 21799.11992539405, 25314.222313669005, -7059.127933875076, 30698.623442485747, 30162.516851725206, -187500.02235174447, 46137.97916626682, 11198.179268619928, -20962.605889154183, -9643.280165586491, 7188.7904034603125, 11555.606014204743, -187500.02235174447, 15078.755030483608, -24210.470820721486, 0.069, 0.498, 0.07, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959354634587708E9, 0.0, 2023-09-28 16:11:03.458
110.0, 6848.552149361629, 21769.705029690867, 25629.27015176656, -7102.624428585104, 30657.74210187699, 30240.300922429673, -187500.02235174447, 46460.648949223636, 11144.266860993726, -20976.307508505288, -9660.96039545064, 7201.508546055383, 11547.626441434199, -187500.02235174447, 15225.896564232895, -24093.034755353303, 0.069, 0.498, 0.07, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959354634587867E9, 0.0, 2023-09-28 16:11:03.458
112.0, 6888.181792280888, 21800.036346916717, 25283.466313298504, -7061.87719844308, 30702.780866954432, 30135.87357233448, -187500.02235174447, 46116.968526478835, 11201.97906517733, -20954.62631638364, -9642.43079929719, 7190.869115694656, 11560.344584029268, -187500.02235174447, 15111.27681866608, -24167.086084733735, 0.069, 0.498, 0.07, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959354634588037E9, 0.0, 2023-09-28 16:11:03.458
114.0, 6852.754277319226, 21764.02768659922, 25652.51596600008, -7101.037454728777, 30651.52831691841, 30259.36696045005, -187500.02235174447, 46477.74803373194, 11152.425247719913, -20962.53883392082, -9663.329680362902, 7214.76313051738, 11565.597243976265, -187500.02235174447, 15180.947206133273, -24139.749901264895, 0.10450000000000001, 0.744, 0.10400000000000001, 192.0, 2.0, 48.0, 15.0, 120.0, 2.0, 40.0, 0.0, 0.0, 0.0, 1.695935463458819E9, 0.0, 2023-09-28 16:11:03.458
116.0, 6892.495678960762, 21816.263713391272, 25267.797740435333, -7077.948102706445, 30685.726485935033, 30119.556798882106, -187500.02235174447, 46121.12595094752, 11190.110288871561, -20964.52813917734, -9655.327755847902, 7179.782650444824, 11561.149246829658, -187500.02235174447, 15147.441941194767, -24122.58376152322, 0.10450000000000001, 0.744, 0.10400000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959354634588342E9, 0.0, 2023-09-28 16:11:03.458
118.0, 6853.40247790843, 21772.96838438134, 25646.637457208333, -7092.812012769225, 30658.524412932926, 30282.27749851674, -187500.02235174447, 46480.989036677965, 11153.744000642777, -20957.263822229364, -9664.804895496953, 7210.270429881863, 11559.137589828682, -187500.02235174447, 15140.37878994689, -24170.17062546857, 0.10450000000000001, 0.744, 0.10400000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959354634588497E9, 0.0, 2023-09-28 16:11:03.458
120.0, 6869.518085660707, 21813.55915231218, 25252.28562978335, -7085.279474887786, 30691.336773793315, 30115.421726157874, -187500.02235174447, 46124.88104401601, 11182.041309123197, -20970.049020057802, -9666.749497264564, 7176.072260865243, 11550.018078090916, -187500.02235174447, 15184.47878175721, -24077.835569123694, 0.10450000000000001, 0.744, 0.10400000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959354634588647E9, 0.0, 2023-09-28 16:11:03.458
