%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
238.0, 12657.435257129104, -3036.5515394868303, -13236.725418177299, -44488.57688767635, -33214.58050186402, 187500.0, -138687.4334439556, -42031.29315749325, 11910.998751044126, -37391.13806380487, -48674.5892375218, -51057.24049296862, -10652.461427743607, 21888.839827637654, -43588.427434972225, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328545782131E9, 0.0, 2023-09-21 15:35:45.782
240.0, 12647.376972124217, -3045.2910715688554, -13239.340572278568, -44499.261021525985, -33226.896313058896, 187500.0, -138639.8242282658, -42039.451544219446, 11911.579896399964, -37394.84845338445, -48674.83510671081, -51014.57101280344, -10644.861834628802, 21968.30027917627, -43585.119376792834, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328545782139E9, 0.0, 2023-09-21 15:35:45.782
242.0, 12660.564501352848, -3027.9908213604476, -13239.497034489756, -44477.1998497486, -33203.7846092921, 187500.0, -138709.65107794417, -42017.43507593097, 11919.738283126151, -37387.27121201411, -48671.19177236459, -51040.72255381615, -10646.828788140869, 21896.95351087493, -43580.20199301267, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328545782143E9, 0.0, 2023-09-21 15:35:45.782
244.0, 12645.722943034523, -3038.2949755543445, -13239.318220534113, -44487.57105917586, -33214.44639139729, 187500.0, -138662.3771384212, -42012.808264828716, 11919.045379048035, -37387.315915503015, -48668.75543221896, -51016.42620759323, -10631.070808299877, 21953.078741202207, -43569.22728648511, -187500.02235174447, 0.07, 1.01, 0.016, 192.0, 1.0, 24.0, 15.5, 72.0, 0.0, 64.0, 0.0, 0.0, 0.0, 1.695328545782146E9, 0.0, 2023-09-21 15:35:45.782
246.0, 12653.054315215864, -3026.560309715308, -13238.088874589072, -44479.815003849864, -33209.886635528404, 187500.0, -138719.15056933768, -42012.093009006145, 11926.868489607394, -37383.6725811568, -48667.816658951844, -51041.25899568308, -10637.262241513998, 21910.677481970488, -43566.90270506176, -187500.02235174447, 0.07, 1.01, 0.016, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328545782149E9, 0.0, 2023-09-21 15:35:45.782
248.0, 12644.158320922652, -3034.6739929525847, -13234.602002454043, -44492.689608656125, -33226.67279561434, 187500.0, -138634.83978925226, -42011.22129097239, 11916.11730052439, -37381.81738636701, -48675.41625206664, -51009.16189064526, -10634.557680434906, 21957.81731102673, -43573.92115282073, -187500.02235174447, 0.07, 1.01, 0.016, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328545782153E9, 0.0, 2023-09-21 15:35:45.782
250.0, 12656.831760028812, -3027.07439983778, -13244.23560431428, -44471.589561890316, -33202.77878079162, 187500.0, -138704.37606625273, -41999.732494322365, 11922.822823860983, -37389.484034715184, -48670.118888630735, -51013.63223953632, -10643.230157283564, 21945.702665531953, -43563.63935037129, -187500.02235174447, 0.07, 1.01, 0.016, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328545782156E9, 0.0, 2023-09-21 15:35:45.782
252.0, 12631.842509727778, -3048.599129748241, -13239.519386234211, -44493.8518993678, -33225.555208391575, 187500.0, -138627.64252753765, -41998.190223954945, 11932.389370487854, -37391.853319627444, -48653.71270820054, -51013.542832558494, -10623.761787862992, 21940.96409570743, -43552.262312443534, -187500.02235174447, 0.07, 1.01, 0.016, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328545782159E9, 0.0, 2023-09-21 15:35:45.782
254.0, 12642.101960432765, -3029.778960916872, -13263.189883612382, -44488.979219076544, -33217.307414687566, 187500.0, -138683.00779855344, -42012.9647270399, 11914.753844112616, -37408.23714831319, -48678.791365479396, -50993.71683522664, -10656.127113834276, 21958.62197382712, -43578.30209473397, -187500.02235174447, 0.068, 1.004, 0.018000000000000002, 192.0, 1.0, 16.0, 15.5, 48.0, 0.0, 72.0, 0.0, 0.0, 0.0, 1.695328545782163E9, 0.0, 2023-09-21 15:35:45.782
0.0, 6322.772064539441, -1532.122675433478, -6646.246510296644, -22208.067441948348, -16568.029411796262, 93749.98882412778, -69418.37154845853, -21020.25103810442, 5967.759307355798, -18692.629777506565, -24327.593961667295, -25512.437583498668, -5317.681171617648, 10934.741608469678, -21777.326974550127, -93750.01117587223, 0.074, 1.01, 0.008, 192.0, 1.0, 40.0, 15.5, 72.0, 0.0, 32.0, 0.0, 0.0, 0.0, 1.695328545928738E9, 0.0, 2023-09-21 15:35:45.928
