%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -6850.1614749624105, -7782.58684666, -84430.80895314323, -89057.86592458081, -40991.89233683256, -33029.3962990518, -187500.02235174447, -71552.09142590659, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695406651797287E9, 0.0, 2023-09-22 13:17:31.797
200.0, -6827.54150957364, -7753.127247467905, -84428.57377869771, -89052.68031986718, -40991.19943275445, -33019.82975242493, -187500.02235174447, -71549.18569912741, -24883.72771545979, -56349.7536003296, -85376.01952266926, -85330.91370235845, -55360.21952154869, -77632.95056020624, -91418.56776697253, -76653.47476643024, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695406651797295E9, 0.0, 2023-09-22 13:17:31.797
202.0, -6857.090515743556, -7778.272959980126, -84429.5796071982, -89050.4674971661, -40994.9768775674, -33017.639281468306, -187500.02235174447, -71548.33633283811, -24889.427410295895, -56346.24437645011, -85374.32079009066, -85329.75141164678, -55364.53340822857, -77628.86019097093, -91415.68439193779, -76649.11617626145, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695406651797298E9, 0.0, 2023-09-22 13:17:31.797
204.0, -6848.574501106084, -7755.96591901373, -84425.3327757517, -89040.58802611686, -40993.63577290008, -33013.168932577246, -187500.02235174447, -71540.60262925657, -24882.051334625645, -56341.72932407014, -85370.67745574444, -85325.28106275572, -55360.95712911572, -77621.64057751186, -91415.28206053759, -76644.35525469248, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695406651797302E9, 0.0, 2023-09-22 13:17:31.797
206.0, -6846.585195849561, -7782.58684666, -84441.26956954833, -89058.35766295882, -41009.86313937463, -33033.1960956092, -187500.02235174447, -71566.0389144467, -24887.125180616997, -56346.98198401713, -85376.71242674738, -85331.56190294767, -55369.62960596438, -77628.99430143766, -91429.60952873345, -76657.20750775427, 0.164, 0.9440000000000001, 0.364, 192.0, 2.5, 16.0, 14.5, 64.0, 5.5, 48.0, 0.0, 0.0, 0.0, 1.695406651797305E9, 0.0, 2023-09-22 13:17:31.797
208.0, -6832.704762542816, -7767.700584852766, -84443.37063352713, -89065.53257292898, -41009.952546352455, -33039.4992875456, -187500.02235174447, -71568.0952749366, -24889.002727151244, -56355.27448121006, -85380.13224364904, -85339.76499316275, -55372.043594365554, -77637.86794398642, -91438.08083988201, -76669.92565034934, 0.164, 0.9440000000000001, 0.364, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695406651797308E9, 0.0, 2023-09-22 13:17:31.797
210.0, -6829.888442741447, -7775.367233200936, -84431.83713338818, -89059.05056703695, -41003.00115382685, -33035.900656688296, -187500.02235174447, -71563.02142894524, -24887.88513992848, -56356.34736494391, -85378.72408374836, -85339.31795827365, -55370.88130365388, -77639.23140039819, -91438.4831712822, -76672.63021142843, 0.164, 0.9440000000000001, 0.364, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695406651797311E9, 0.0, 2023-09-22 13:17:31.797
212.0, -6858.252806455232, -7767.141791241383, -84435.25695028984, -89057.35183445834, -41000.788331125776, -33030.49153453011, -187500.02235174447, -71567.78235051422, -24877.15630258993, -56347.60783286188, -85369.78338596624, -85329.21496977984, -55355.16802730179, -77630.42481308279, -91424.22275831971, -76659.53208917762, 0.164, 0.9440000000000001, 0.364, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695406651797314E9, 0.0, 2023-09-22 13:17:31.797
214.0, -6833.375314876475, -7779.010567547151, -84443.57179922723, -89059.8775815818, -41004.990459083376, -33028.79280195151, -187500.02235174447, -71559.64631553249, -24881.11256135852, -56354.402763176295, -85375.97481918035, -85332.83595238162, -55368.08733559696, -77633.86698172892, -91434.41515379133, -76664.27065900216, 0.164, 0.9440000000000001, 0.364, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695406651797317E9, 0.0, 2023-09-22 13:17:31.797
0.0, -3300.682103715194, -3980.331597367716, -42199.13240660816, -44483.97242831856, -20490.58174974701, -16660.811503030243, -93750.01117587223, -35700.005078316346, -12445.89834760408, -28183.269880207765, -42694.290601526576, -42672.2741332381, -27687.843464355883, -38821.44854324443, -45720.00154495258, -38333.755830974085, 0.17400000000000002, 0.9520000000000001, 0.34800000000000003, 192.0, 2.5, 56.0, 14.5, 96.0, 5.0, 112.0, 0.0, 0.0, 0.0, 1.695406651960081E9, 0.0, 2023-09-22 13:17:31.960
