%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -1822.2036149744529, -9875.24656954367, 20138.11709143127, 31606.148970860122, -33646.34914950719, 135.7868475659904, 51037.50390261458, -16799.593484353245, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695414054075287E9, 0.0, 2023-09-22 15:20:54.075
254.0, -1822.5165393968273, -9870.418592741322, 20073.520549955436, 31541.485374150918, -33642.974036094434, 135.85390279935632, 50962.67026217822, -16797.22419944098, 9471.149381536172, -18026.011350871486, -28935.853116017952, 30559.8638129072, -13957.591528605406, -12181.45485895334, -7881.158039707904, -93129.482046304, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695414054075297E9, 0.0, 2023-09-22 15:20:54.075
0.0, -1828.7079726109473, -9881.661520202342, 20147.236603169036, 31625.84085772525, -33648.83019314172, 132.9258242757111, 51057.88869355783, -16800.04051924235, 9466.96960532303, -18032.42630153016, -28939.78702304209, 30561.026103618875, -13961.793656563004, -12189.255617768244, -7870.563312836089, -93106.59385998176, -0.002, 0.988, 0.23, 192.0, 127.5, 120.0, 15.0, 112.0, 3.5, 24.0, 0.0, 0.0, 0.0, 1.695414054075301E9, 0.0, 2023-09-22 15:20:54.075
2.0, -1823.947051041967, -9875.537142221589, 20067.97731733052, 31557.310409225276, -33645.87976287362, 135.56333012143733, 50981.42337577622, -16797.090088974248, 9465.896721589175, -18030.884031162743, -28940.949313753765, 30567.172833344084, -13962.687726341215, -12186.975739833802, -7883.661435086899, -93065.64546413964, -0.002, 0.988, 0.23, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695414054075305E9, 0.0, 2023-09-22 15:20:54.075
4.0, -1826.5622051432379, -9880.946264379772, 20137.245373397516, 31617.928340188068, -33650.21600129795, 131.47296088611614, 51050.6467283543, -16802.65567334362, 9471.104678047262, -18033.610943986292, -28937.596552085466, 30527.6549491471, -13959.312612928465, -12186.439297966874, -7871.390327380936, -93084.51033645992, -0.002, 0.988, 0.23, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695414054075308E9, 0.0, 2023-09-22 15:20:54.075
6.0, -1824.237623719886, -9876.878246888906, 20074.995765089487, 31574.00716233339, -33649.5901524532, 126.93555676168882, 50989.20178284666, -16805.85197280073, 9465.829666355809, -18035.5555457539, -28944.033854488596, 30564.110644353706, -13966.353412431887, -12191.51314395823, -7883.639083342444, -93025.27821365336, -0.002, 0.988, 0.23, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695414054075311E9, 0.0, 2023-09-22 15:20:54.075
8.0, -1826.4504464209613, -9879.04636610107, 20137.603001308802, 31628.12073565969, -33650.01483559785, 131.58471960839267, 51051.27257719905, -16802.74508032144, 9470.143553035683, -18029.833499173343, -28940.859906775942, 30522.26817873337, -13962.643022852306, -12184.181771776888, -7874.586626838044, -93038.82337079327, -0.002, 0.988, 0.23, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695414054075323E9, 0.0, 2023-09-22 15:20:54.075
10.0, -1824.394085931073, -9873.4807817317, 20076.44862847908, 31597.275328311367, -33649.210172797466, 128.03079223999885, 51007.686675511206, -16806.880153045673, 9465.628500655712, -18033.94622015312, -28944.525592866612, 30564.04358912034, -13963.62649960834, -12186.931036344891, -7879.861638529496, -92970.71760543795, -0.002, 0.988, 0.23, 192.0, 0.0, 0.0, 15.5, 0.0, 3.5, 16.0, 0.0, 0.0, 0.0, 1.695414054075327E9, 0.0, 2023-09-22 15:20:54.075
12.0, -1824.8634725646345, -9876.587674210987, 20129.46696632707, 31648.237305669467, -33653.23348679942, 127.13672246178658, 51068.48342042964, -16807.79657456834, 9467.30488148986, -18025.921943893667, -28939.898781764365, 30513.61805362917, -13960.117275728855, -12184.606454921539, -7876.866504772485, -92988.08491087973, -0.002, 0.988, 0.23, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69541405407533E9, 0.0, 2023-09-22 15:20:54.075
0.0, -790.0224077728282, -4966.155286569034, 10141.657011706473, 15286.000405073215, -16886.80999121785, 48.25741627900795, 25297.570264049802, -8463.286872301922, 4731.618431999496, -9017.319562115617, -14473.20156970043, 15286.894474851428, -6982.23793294882, -6094.918381562041, -3946.06637311773, -46443.505161226414, -0.008, 0.99, 0.222, 192.0, 127.5, 96.0, 15.0, 120.0, 3.0, 120.0, 0.0, 0.0, 0.0, 1.695414054241466E9, 0.0, 2023-09-22 15:20:54.241
2.0, -1579.083690534078, -9931.885889993417, 20256.268412622027, 30527.632597402648, -33772.524746957395, 93.25147786754107, 50548.13480951009, -16928.96538126056, 10248.923033347492, -18002.296150004408, -29088.13555099196, 30411.425877979505, -14004.507840217095, -12332.127968326566, -8302.667236646084, -98827.79107425107, -0.008, 0.99, 0.222, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695414054241479E9, 0.0, 2023-09-22 15:20:54.241
4.0, -1577.7425858667596, -9931.125930681936, 20317.378081962834, 30602.19801690555, -33775.676342925595, 92.33505634487348, 50623.5495953023, -16928.406587649177, 10255.2709287728, -17999.479830203036, -29083.553443378623, 30431.16246833354, -14003.904343116803, -12330.25042179232, -8293.838297586239, -98795.55985874652, -0.008, 0.99, 0.222, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695414054241483E9, 0.0, 2023-09-22 15:20:54.241
6.0, -1567.4607834173185, -9923.72750326723, 20252.356857342347, 30532.259408504895, -33768.50143295544, 95.30783835742932, 50545.98904204238, -16924.338570158314, 10253.616899683107, -18001.08915580382, -29082.346449178036, 30423.249950796362, -14004.574895450462, -12329.848090392125, -8305.416501214087, -98773.99042534715, -0.008, 0.99, 0.222, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695414054241486E9, 0.0, 2023-09-22 15:20:54.241
8.0, -1567.796059584148, -9926.096788179491, 20321.73667213162, 30588.42934232108, -33775.385770247674, 91.59744877784834, 50610.36206607367, -16928.07131148235, 10262.781114909783, -17994.115411533763, -29077.47376888678, 30407.894302355566, -13999.903380859303, -12325.690665923437, -8293.21244874149, -98784.16046907431, -0.014, 0.996, 0.20800000000000002, 192.0, 127.5, 72.0, 15.5, 16.0, 3.0, 64.0, 0.0, 0.0, 0.0, 1.695414054241489E9, 0.0, 2023-09-22 15:20:54.241
10.0, -1566.4326031723742, -9922.945192211293, 20245.718389239122, 30514.355661196194, -33770.04370332285, 91.75391098903549, 50522.85498653114, -16926.193764948104, 10261.328251520188, -17996.9987865685, -29080.111274732506, 30417.103221071153, -14001.24448552662, -12328.43993049144, -8305.572963425275, -98765.94379734324, -0.014, 0.996, 0.20800000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695414054241492E9, 0.0, 2023-09-22 15:20:54.241
12.0, -1566.3878996834637, -9924.95684921227, 20323.97184657715, 30587.937603943064, -33772.86002312422, 90.8598412108232, 50604.662371237566, -16926.64079983721, 10263.429315498986, -17992.23786499952, -29079.19485320984, 30405.659127910036, -14000.216305281676, -12326.852956635114, -8293.413614441588, -98777.27613178208, -0.014, 0.996, 0.20800000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695414054241495E9, 0.0, 2023-09-22 15:20:54.241
14.0, -1565.2256089717878, -9921.715846266252, 20254.904956210252, 30522.67051013357, -33772.30122951284, 88.15528013173106, 50529.068771489714, -16929.68063708313, 10264.368088766108, -17992.774306866446, -29081.094751488537, 30438.35973004815, -13997.444688969219, -12327.29999152422, -8302.890754090638, -98740.14988424181, -0.014, 0.996, 0.20800000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695414054241498E9, 0.0, 2023-09-22 15:20:54.241
