%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -35108.354402584366, -17629.089072834144, -83341.45198362494, -78880.55788046813, -29671.471377786565, -54271.331938663956, -187500.02235174447, -71099.44624894217, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416032476141E9, 0.0, 2023-09-22 15:53:52.476
36.0, -35112.37771658632, -17630.49723273483, -83345.63175983808, -78888.64921196095, -29669.86205218578, -54278.037462000546, -187500.02235174447, -71104.05070829997, -6386.45218449261, -187500.02235174447, -82148.0923471561, -76568.49343401116, -58676.01140451567, -66275.33629838661, -80018.52989417671, -80922.94853007181, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69541603247615E9, 0.0, 2023-09-22 15:53:52.476
38.0, -35124.26884463654, -17637.895660149534, -83363.55785889123, -78903.71428772382, -29701.579177567863, -54306.357122225425, -187500.02235174447, -71134.67259820373, -6402.567792244887, -187500.02235174447, -82183.85513828459, -76602.75865826114, -58704.15225078491, -66314.13892676102, -80059.0983103631, -80967.3614463045, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416032476154E9, 0.0, 2023-09-22 15:53:52.476
40.0, -35147.2464379366, -17666.148265141044, -83387.54128069179, -78926.62482579051, -29724.847343545836, -54335.34733478395, -187500.02235174447, -71158.83483395992, -6422.9525831881265, -187500.02235174447, -82180.01063823828, -76602.02105069412, -58707.25914326419, -66323.03492105423, -80064.50743252128, -80977.33032433156, 0.094, 0.9500000000000001, 0.326, 192.0, 1.0, 120.0, 14.5, 88.0, 5.0, 24.0, 0.0, 0.0, 0.0, 1.695416032476158E9, 0.0, 2023-09-22 15:53:52.476
42.0, -35115.35049859888, -17631.145433324033, -83362.64143736857, -78903.06608713462, -29706.541264836942, -54309.88869784936, -187500.02235174447, -71133.15267958077, -6413.3636848168, -187500.02235174447, -82185.62092609656, -76608.32424263052, -58718.56912595858, -66335.1048630601, -80078.38786582803, -80988.64030702595, 0.094, 0.9500000000000001, 0.326, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416032476161E9, 0.0, 2023-09-22 15:53:52.476
44.0, -35131.80138251798, -17647.10457886512, -83365.59186763667, -78906.68706973638, -29710.54222709444, -54316.8177386305, -187500.02235174447, -71139.74644419509, -6409.496833026032, -187500.02235174447, -82180.52472836075, -76602.42338209432, -58709.650779920914, -66328.39933972352, -80074.54336578172, -80985.28754535766, 0.094, 0.9500000000000001, 0.326, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416032476164E9, 0.0, 2023-09-22 15:53:52.476
46.0, -35094.921004166725, -17609.1066132911, -83325.35872761712, -78871.17014779689, -29671.449026042108, -54276.38343291086, -187500.02235174447, -71105.28005424501, -6385.871039136772, -187500.02235174447, -82163.38094036352, -76580.2728033391, -58688.841305833026, -66307.65692086899, -80046.53662997921, -80960.23123982326, 0.094, 0.9500000000000001, 0.326, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416032476168E9, 0.0, 2023-09-22 15:53:52.476
48.0, -35097.22323384562, -17616.48268896135, -83318.25087288034, -78873.3159152646, -29655.24401131201, -54274.10355497641, -187500.02235174447, -71096.1828942517, -6374.8739808647615, -187500.02235174447, -82148.24880936729, -76570.01335263412, -58666.1989886998, -66294.58115036263, -80016.07120228664, -80942.28278902564, 0.094, 0.9500000000000001, 0.326, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416032476171E9, 0.0, 2023-09-22 15:53:52.476
50.0, -35103.63818450429, -17623.34467450913, -83326.9680532179, -78880.24495604575, -29662.195403837613, -54275.13173522136, -187500.02235174447, -71099.58035940891, -6364.0110330594825, -187500.02235174447, -82148.7852512342, -76576.7188759707, -58664.99199449921, -66299.00679576478, -80009.05275452767, -80931.57630343155, 0.098, 0.9460000000000001, 0.326, 192.0, 1.5, 8.0, 14.5, 72.0, 5.0, 24.0, 0.0, 0.0, 0.0, 1.695416032476174E9, 0.0, 2023-09-22 15:53:52.476
52.0, -35089.243661075074, -17604.904485333504, -83316.17216064599, -78862.05063605912, -29654.282886300432, -54259.26199665809, -187500.02235174447, -71085.8787400578, -6370.425983718155, -187500.02235174447, -82147.7347192448, -76575.57893700349, -58672.45747714728, -66300.07967949864, -80019.15574302146, -80936.71720465628, 0.098, 0.9460000000000001, 0.326, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416032476177E9, 0.0, 2023-09-22 15:53:52.476
0.0, -15013.68910237421, -6619.670286139284, -38678.64324791947, -36630.15057207949, -14555.277175340318, -24214.538838212353, -93750.01117587223, -32856.52790743446, -3185.72708198155, -93750.01117587223, -41075.55491632878, -38287.4877199516, -29344.04067326077, -33149.71573945472, -40014.40584831308, -40466.603990388394, 0.026000000000000002, 0.962, 0.316, 192.0, 0.0, 104.0, 15.0, 8.0, 4.5, 112.0, 0.0, 0.0, 0.0, 1.695416032578779E9, 0.0, 2023-09-22 15:53:52.578
2.0, -30023.98073959121, -13240.86049090153, -77357.62177200578, -73262.53631860451, -29113.03539431517, -48429.2341386359, -187500.02235174447, -65711.15591659021, -15174.509903730144, -187500.02235174447, -75856.2550969428, -69959.2614125325, -52997.573077389374, -59943.31061164268, -74468.03295231258, -74797.67647953946, 0.026000000000000002, 0.962, 0.316, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416032639411E9, 0.0, 2023-09-22 15:53:52.639
4.0, -30027.26644602614, -13247.320145049114, -77356.50418478301, -73270.27002218604, -29108.743859379752, -48425.523749056316, -187500.02235174447, -65712.65348346872, -15181.371889277923, -187500.02235174447, -75861.12777723405, -69965.3634387688, -52995.94140004413, -59941.52247208625, -74466.98242032318, -74797.654127795, 0.026000000000000002, 0.962, 0.316, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416032639432E9, 0.0, 2023-09-22 15:53:52.639
6.0, -30022.885504112903, -13241.218118812814, -77369.26703086699, -73280.70828684668, -29120.389118240968, -48432.96687995993, -187500.02235174447, -65715.62626548127, -15178.846142154473, -187500.02235174447, -75861.7089225899, -69957.94265960965, -52992.07454825337, -59936.828605750634, -74462.60147840995, -74795.17308416046, 0.026000000000000002, 0.962, 0.316, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416032639438E9, 0.0, 2023-09-22 15:53:52.639
8.0, -30036.877696141924, -13255.255014330747, -77378.20772864911, -73283.56931013695, -29124.01010084273, -48448.14371444508, -187500.02235174447, -65730.89250694425, -15180.366060777435, -187500.02235174447, -75866.58160288115, -69959.03789508795, -52984.27378943846, -59952.16190244698, -74464.97076332221, -74797.87764523955, -0.006, 0.9560000000000001, 0.308, 192.0, 127.5, 104.0, 14.5, 112.0, 4.5, 80.0, 0.0, 0.0, 0.0, 1.695416032639444E9, 0.0, 2023-09-22 15:53:52.639
10.0, -30044.276123556632, -13262.944014423372, -77387.12607468678, -73298.23205449963, -29146.875935420507, -48445.79678127728, -187500.02235174447, -65740.05672217092, -15211.01030242566, -187500.02235174447, -75892.97901308286, -69985.92704366769, -53028.887871371255, -59976.68176611445, -74496.59848172647, -74825.8620292976, -0.006, 0.9560000000000001, 0.308, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416032639451E9, 0.0, 2023-09-22 15:53:52.639
12.0, -30050.311094559565, -13274.119886651026, -77389.78593227697, -73296.35450796538, -29143.25495281875, -48447.00377547786, -187500.02235174447, -65728.8137947099, -15196.258151085158, -187500.02235174447, -75880.50673967681, -69973.54417723944, -52999.42827217916, -59956.76636180477, -74481.84633038596, -74812.92036925798, -0.006, 0.9560000000000001, 0.308, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69541603263946E9, 0.0, 2023-09-22 15:53:52.639
14.0, -30056.882507429425, -13279.14902915347, -77398.2125399366, -73304.98228132514, -29151.34628431157, -48460.794801806784, -187500.02235174447, -65740.41435008221, -15221.448567086289, -187500.02235174447, -75908.22290280138, -69996.34295658386, -53032.531205717474, -59985.845981341125, -74501.69467946228, -74826.04084325324, -0.006, 0.9560000000000001, 0.308, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416032639465E9, 0.0, 2023-09-22 15:53:52.639
