%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
240.0, -187500.02235174447, 16740.540175502323, -58361.567063518414, -47283.059034712205, -25734.032778028584, -6912.768711181726, -187500.02235174447, -10778.905246127279, 5417.526414099505, 10408.313323058286, -28300.661242087037, -29105.815780856108, 27002.62838633399, -22506.798506593528, -11165.478666481813, -30331.04900491822, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679733193982E9, 0.0, 2023-09-25 17:08:53.193
242.0, -187500.02235174447, 16743.244736581415, -58363.668127497214, -47307.22127046839, -25761.525423708612, -6944.9552231973685, -187500.02235174447, -10803.961551661678, 5409.859765751335, 10430.866233213692, -28285.327945390698, -29083.70990558981, 27028.668168624423, -22520.61188466691, -11147.932547084398, -30318.33086232315, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69567973319399E9, 0.0, 2023-09-25 17:08:53.193
244.0, -187500.02235174447, 16748.74326571742, -58373.03350842399, -47291.016255738294, -25737.229077485692, -6923.27403107572, -187500.02235174447, -10781.27453103954, 5406.082320938387, 10416.471709784473, -28266.954811448435, -29086.839149813553, 27056.093759071086, -22536.347512763445, -11142.411666203936, -30335.362891598095, 0.03, 0.976, -0.05, 192.0, 0.0, 120.0, 15.0, 64.0, 127.0, 56.0, 0.0, 0.0, 0.0, 1.695679733193994E9, 0.0, 2023-09-25 17:08:53.193
246.0, -187500.02235174447, 16744.831710437742, -58363.824589708405, -47303.15325297752, -25754.126996293904, -6947.32450810963, -187500.02235174447, -10794.149135845797, 5418.0852077108875, 10428.765169234894, -28278.73418077638, -29087.487350402756, 27054.17150904793, -22514.21928575269, -11141.450541192358, -30332.032481674254, 0.03, 0.976, -0.05, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679733193998E9, 0.0, 2023-09-25 17:08:53.193
248.0, -187500.02235174447, 16758.287460599837, -58359.197778606154, -47276.24175265333, -25733.09400476146, -6923.7657694537365, -187500.02235174447, -10771.372708245839, 5423.203757191152, 10437.348239105731, -28234.96946513289, -29060.978181478764, 27114.208294654884, -22511.40296595132, -11126.184299729384, -30331.607798529603, 0.03, 0.976, -0.05, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679733194001E9, 0.0, 2023-09-25 17:08:53.194
250.0, -187500.02235174447, 16753.437132053034, -58362.50583678554, -47308.67413385798, -25761.14544405287, -6955.773467513736, -187500.02235174447, -10808.275438341552, 5413.324286141907, 10442.176215908077, -28238.07635761218, -29059.23474541125, 27120.623245313556, -22507.133782760357, -11119.523479881702, -30317.369737311572, 0.03, 0.976, -0.05, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679733194005E9, 0.0, 2023-09-25 17:08:53.194
252.0, -187500.02235174447, 16742.104797614193, -58383.85175274036, -47293.609058095106, -25750.662475903333, -6936.103932393066, -187500.02235174447, -10789.656435210281, 5418.353428644351, 10439.471654828985, -28170.305868423686, -29035.921875944365, 27207.750345200344, -22500.74118384614, -11087.761651010711, -30327.226856616362, 0.03, 0.976, -0.05, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679733194008E9, 0.0, 2023-09-25 17:08:53.194
254.0, -187500.02235174447, 16736.293344055815, -58374.307557857945, -47304.382598922566, -25765.34757201047, -6945.692830764393, -187500.02235174447, -10800.318217315462, 5405.210602904631, 10414.594163250227, -28211.29896775472, -29081.541786377646, 27165.371437713082, -22534.13469006237, -11096.38942437046, -30332.703034007915, 0.026000000000000002, 0.996, -0.052000000000000005, 192.0, 0.0, 104.0, 15.5, 16.0, 127.0, 48.0, 0.0, 0.0, 0.0, 1.695679733194012E9, 0.0, 2023-09-25 17:08:53.194
0.0, -187500.02235174447, 16730.303076541793, -58389.327930131905, -47299.57697386468, -25772.76835116963, -6921.016504885734, -187500.02235174447, -10786.683653197724, 5398.818003990413, 10431.514433802895, -28151.128071681032, -29052.305704630104, 27238.595752548666, -22520.231905011166, -11070.126124635473, -30328.635016517048, 0.026000000000000002, 0.996, -0.052000000000000005, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679733194015E9, 0.0, 2023-09-25 17:08:53.194
0.0, -93750.01117587223, 8735.44171278974, -28044.89023028496, -23952.710503662885, -13155.298013126614, -3401.332008997442, -93750.01117587223, -5392.805384731935, 2697.162651677448, 5203.061426050834, -14115.953638071256, -14560.73100098741, 13571.420439651065, -11270.598920655122, -5550.474590119671, -15167.29029027108, 0.036000000000000004, 1.0, -0.064, 192.0, 0.5, 56.0, 15.5, 48.0, 126.5, 80.0, 0.0, 0.0, 0.0, 1.695679733372219E9, 0.0, 2023-09-25 17:08:53.372
