%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
12.0, -187500.02235174447, 24966.80914960017, -31618.285968099353, -36364.544792717075, 8533.337239424854, 1308.6275826248625, -187500.02235174447, -187500.02235174447, -1039.11024798277, -17257.98305964268, -23662.92013679983, -44011.501254022274, 17163.72575327465, -22203.4406308461, -25907.303501046124, -13335.475425180844, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681466212647E9, 0.0, 2023-09-25 17:37:46.212
14.0, -187500.02235174447, 24934.488527117795, -31664.151747721644, -36422.61462481196, 8474.999186396502, 1250.7589162300726, -187500.02235174447, -187500.02235174447, -1065.30649248439, -17278.457257563743, -23699.82286689554, -44036.06582117866, 17157.15434040479, -22210.30261639388, -25935.55610603763, -13342.40446596199, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681466212655E9, 0.0, 2023-09-25 17:37:46.212
16.0, -187500.02235174447, 24942.959838266353, -31674.18768098208, -36422.88284574543, 8447.774761649938, 1250.8930266968046, -187500.02235174447, -187500.02235174447, -1074.4707077110659, -17301.479554352707, -23702.862704141466, -44058.57402784515, 17148.504215300585, -22244.277267965947, -25924.40258555443, -13361.872835382563, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681466212659E9, 0.0, 2023-09-25 17:37:46.212
18.0, -187500.02235174447, 24947.07255924613, -31669.538518135374, -36409.47179907224, 8448.2441482835, 1257.8891227113156, -187500.02235174447, -187500.02235174447, -1094.8778503987612, -17302.2842171531, -23735.22803011275, -44051.93555974193, 17131.494537770097, -22247.518270911965, -25951.783472512183, -13368.757172674797, 0.062, 1.02, -0.098, 192.0, 0.5, 120.0, 15.5, 112.0, 126.0, 120.0, 0.0, 0.0, 0.0, 1.695681466212663E9, 0.0, 2023-09-25 17:37:46.212
20.0, -187500.02235174447, 24934.063843973145, -31693.387829469186, -36432.918779005864, 8429.982773063513, 1229.9941456310924, -187500.02235174447, -187500.02235174447, -1075.2306670225462, -17285.006318689146, -23711.60223622349, -44051.37676613054, 17132.38860754831, -22228.832212547328, -25924.313178576613, -13360.3529167596, 0.062, 1.02, -0.098, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681466212666E9, 0.0, 2023-09-25 17:37:46.212
22.0, -187500.02235174447, 24897.36227957753, -31713.0350128454, -36459.65146537441, 8423.031380537914, 1184.5754008979084, -187500.02235174447, -187500.02235174447, -1140.4530573431323, -17342.070322283547, -23781.272623690682, -44109.71481915889, 17100.425612977222, -22297.18384709166, -25965.641554074475, -13411.784280751262, 0.062, 1.02, -0.098, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69568146621267E9, 0.0, 2023-09-25 17:37:46.212
24.0, -187500.02235174447, 24888.801561451146, -31752.932876698123, -36492.687343679354, 8349.60590000223, 1178.8310025728945, -187500.02235174447, -187500.02235174447, -1132.719353761596, -17345.75836011867, -23767.325135150568, -44114.31927851668, 17086.09814478137, -22301.22951283807, -25941.45696657383, -13404.631722525564, 0.062, 1.02, -0.098, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681466212673E9, 0.0, 2023-09-25 17:37:46.212
26.0, -187500.02235174447, 24907.934654704888, -31710.37515525522, -36459.02561652966, 8419.388046191698, 1194.6336859027965, -187500.02235174447, -187500.02235174447, -1160.0555372304366, -17357.53772944662, -23804.09375477955, -44113.89459537203, 17074.877569064807, -22299.64253898174, -25944.98854219777, -13423.675408801486, 0.062, 1.02, -0.098, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681466212677E9, 0.0, 2023-09-25 17:37:46.212
28.0, -187500.02235174447, 24921.524515333716, -31715.694870435582, -36474.29185799263, 8438.521139445442, 1178.428671172699, -187500.02235174447, -187500.02235174447, -1120.5376530334536, -17330.849746566983, -23762.295992648127, -44089.173566004465, 17091.797839617473, -22265.846701365317, -25931.24221935776, -13400.071966656682, 0.044, 1.018, -0.068, 192.0, 0.5, 48.0, 15.5, 104.0, 126.5, 112.0, 0.0, 0.0, 0.0, 1.69568146621268E9, 0.0, 2023-09-25 17:37:46.212
0.0, -93750.01117587223, 12335.972468372878, -16065.539844696505, -18105.695319854658, 7944.3017177941465, 2736.2111492408694, -93750.01117587223, -93750.01117587223, -558.9947770827744, -8662.664432843261, -11879.952177995703, -22039.132957355137, 8549.341088454854, -11128.374770686003, -12967.14102830184, -6702.952885979758, 0.078, 1.014, -0.048, 192.0, 1.0, 56.0, 15.5, 88.0, 127.0, 64.0, 0.0, 0.0, 0.0, 1.695681466316874E9, 0.0, 2023-09-25 17:37:46.316
2.0, -187500.02235174447, 24665.194709920255, -32135.862962706444, -36217.60442466789, 15848.593813013294, 5484.425185254238, -187500.02235174447, -187500.02235174447, -1134.2839758734674, -16913.386215375212, -23209.850276690755, -43734.741954176665, 18406.147468822895, -21723.816898324123, -32624.092116843716, -10262.468190487409, 0.078, 1.014, -0.048, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681466376802E9, 0.0, 2023-09-25 17:37:46.376
4.0, -187500.02235174447, 24645.88280271087, -32168.56356484456, -36253.881305918854, 15832.433501772108, 5455.502027929071, -187500.02235174447, -187500.02235174447, -1178.8757060618052, -16937.704913342586, -23242.483823595503, -43759.57474226651, 18364.372058435925, -21738.569049664624, -32634.01629138187, -10283.635292486584, 0.078, 1.014, -0.048, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681466376812E9, 0.0, 2023-09-25 17:37:46.376
6.0, -187500.02235174447, 24663.473625597195, -32136.712328995745, -36213.02231705455, 15863.502426564984, 5472.13172580382, -187500.02235174447, -187500.02235174447, -1159.1838191966797, -16938.509576142977, -23216.868724449723, -43755.17144860881, 18380.197093510284, -21752.62829692701, -32588.754008859876, -10293.626522258106, 0.078, 1.014, -0.048, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681466376816E9, 0.0, 2023-09-25 17:37:46.376
8.0, -187500.02235174447, 24643.0664829095, -32159.578163573526, -36239.41972725627, 15873.47130459205, 5475.529190961027, -187500.02235174447, -187500.02235174447, -1185.8941538207714, -16934.329799929834, -23253.436178378604, -43747.34833804946, 18364.23794796919, -21739.35136072056, -32620.538189475323, -10282.428298285997, 0.08600000000000001, 1.012, -0.046, 192.0, 1.0, 88.0, 15.5, 80.0, 127.0, 72.0, 0.0, 0.0, 0.0, 1.695681466376819E9, 0.0, 2023-09-25 17:37:46.376
10.0, -187500.02235174447, 24667.966326232712, -32140.959160442253, -36218.38673572383, 15846.224528101031, 5479.239580540608, -187500.02235174447, -187500.02235174447, -1161.4636971311209, -16924.919715514152, -23220.579114029304, -43755.640835242375, 18387.93079709182, -21732.39996819496, -32566.603430104667, -10297.962760682436, 0.08600000000000001, 1.012, -0.046, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681466376822E9, 0.0, 2023-09-25 17:37:46.376
12.0, -187500.02235174447, 24677.59992809295, -32132.577256271514, -36208.5966716524, 15858.13800789571, 5486.190973066208, -187500.02235174447, -187500.02235174447, -1172.974845525604, -16918.169488688647, -23243.377893373716, -43733.71377393172, 18400.470125731244, -21723.05693901264, -32597.582947919724, -10291.056071645746, 0.08600000000000001, 1.012, -0.046, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681466376825E9, 0.0, 2023-09-25 17:37:46.376
14.0, -187500.02235174447, 24682.45025663975, -32145.608323288958, -36220.84542761391, 15870.833798746324, 5473.741051404602, -187500.02235174447, -187500.02235174447, -1134.5521968069313, -16910.3910816182, -23197.02037537341, -43726.94119536176, 18388.44488721429, -21706.20372369334, -32569.53150862831, -10295.36995832562, 0.08600000000000001, 1.012, -0.046, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681466376829E9, 0.0, 2023-09-25 17:37:46.376
16.0, -187500.02235174447, 24658.2209656502, -32153.632599548415, -36234.9046748763, 15872.286662135919, 5471.304711258974, -187500.02235174447, -187500.02235174447, -1179.970941540115, -16935.29092494141, -23238.058178193354, -43746.342509548966, 18349.508148373145, -21739.12784327601, -32577.466377909946, -10312.312580622744, 0.08600000000000001, 1.012, -0.046, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69568146643575E9, 0.0, 2023-09-25 17:37:46.435
18.0, -187500.02235174447, 24666.781683776582, -32144.40132908837, -36228.445020728715, 15880.646214562204, 5455.367917462339, -187500.02235174447, -187500.02235174447, -1154.2440836720566, -16931.334666172825, -23211.191381358076, -43748.1753525943, 18376.35259346397, -21742.190032266382, -32538.39552860207, -10329.858700020159, 0.092, 1.014, -0.042, 192.0, 1.0, 112.0, 15.5, 88.0, 127.0, 88.0, 0.0, 0.0, 0.0, 1.69568146643579E9, 0.0, 2023-09-25 17:37:46.435
20.0, -187500.02235174447, 24665.418227364808, -32138.6345790189, -36212.9999653101, 15875.19238891511, 5469.60597868037, -187500.02235174447, -187500.02235174447, -1172.9524937811486, -16932.899288284694, -23239.064006693843, -43737.26770130011, 18386.20971276876, -21736.356226963548, -32558.02036023383, -10329.255202919865, 0.092, 1.014, -0.042, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681466435797E9, 0.0, 2023-09-25 17:37:46.435
22.0, -187500.02235174447, 24672.92841350179, -32154.37020711544, -36228.04268932852, 15877.695784294105, 5463.950987333177, -187500.02235174447, -187500.02235174447, -1147.7620777800178, -16921.477546868035, -23214.16416337063, -43737.535922233576, 18400.492477475702, -21719.16773547742, -32543.044691448773, -10336.586575101206, 0.092, 1.014, -0.042, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681466435801E9, 0.0, 2023-09-25 17:37:46.435
24.0, -187500.02235174447, 24648.63206727887, -32171.469291623747, -36251.89200066233, 15861.535473052916, 5458.497161686082, -187500.02235174447, -187500.02235174447, -1187.9058108217491, -16940.901212799694, -23239.77926251641, -43752.824515441, 18364.796741580576, -21743.173509022417, -32535.422746589513, -10347.784799073315, 0.092, 1.014, -0.042, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681466435805E9, 0.0, 2023-09-25 17:37:46.435
26.0, -187500.02235174447, 24675.588271091972, -32154.37020711544, -36237.29631153301, 15861.513121308462, 5456.731373874113, -187500.02235174447, -187500.02235174447, -1176.9981595275592, -16955.049867039903, -23231.620875790224, -43766.95081793676, 18374.653860885366, -21754.282326016706, -32504.33147005218, -10368.258996994377, 0.092, 1.014, -0.042, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681466435809E9, 0.0, 2023-09-25 17:37:46.435
28.0, -187500.02235174447, 24664.434750608772, -32157.18652691681, -36238.078622588946, 15860.753161996981, 5462.833400110412, -187500.02235174447, -187500.02235174447, -1168.0798134898919, -16934.530965629932, -23231.754986256958, -43738.4746955007, 18385.561512179556, -21729.941276304875, -32502.90095840704, -10354.177397987532, 0.10200000000000001, 1.016, -0.034, 192.0, 1.5, 24.0, 15.5, 96.0, 127.0, 120.0, 0.0, 0.0, 0.0, 1.695681466435816E9, 0.0, 2023-09-25 17:37:46.435
30.0, -187500.02235174447, 24669.150968688842, -32172.631582335423, -36253.36721579638, 15855.65696426117, 5435.564271874938, -187500.02235174447, -187500.02235174447, -1173.4442321591655, -16953.462893183576, -23225.36238734274, -43764.00038766866, 18365.713163103243, -21754.59525043908, -32475.453016215924, -10389.046119337812, 0.10200000000000001, 1.016, -0.034, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681466435819E9, 0.0, 2023-09-25 17:37:46.435
32.0, -187500.02235174447, 24663.920660486303, -32158.37116937294, -36231.440154485725, 15858.070952662345, 5458.184237263708, -187500.02235174447, -187500.02235174447, -1178.0933950058693, -16939.470701154554, -23233.431367091103, -43747.90713166084, 18374.7879713521, -21745.989828823786, -32462.310190476204, -10386.050985580801, 0.10200000000000001, 1.016, -0.034, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681466494652E9, 0.0, 2023-09-25 17:37:46.494
34.0, -187500.02235174447, 24693.134390489387, -32147.865849478945, -36214.20695951068, 15891.218589689564, 5465.113278044853, -187500.02235174447, -187500.02235174447, -1171.142002480269, -16951.11596001577, -23238.34875087127, -43754.97028290872, 18362.87449155742, -21739.7313403763, -32465.10415853312, -10383.636997179628, 0.10200000000000001, 1.016, -0.034, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681466494661E9, 0.0, 2023-09-25 17:37:46.494
36.0, -187500.02235174447, 24681.51148337263, -32158.862907750954, -36225.852218371896, 15876.600548815793, 5467.594321679392, -187500.02235174447, -187500.02235174447, -1163.497705876554, -16932.38519816222, -23224.15539314215, -43738.653509456344, 18385.315642990547, -21728.220191981818, -32455.358797950605, -10375.545665686806, 0.10200000000000001, 1.016, -0.034, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681466494665E9, 0.0, 2023-09-25 17:37:46.494
38.0, -187500.02235174447, 24686.69708808626, -32164.540250842605, -36235.284654532035, 15885.340080897819, 5453.98210930611, -187500.02235174447, -187500.02235174447, -1181.8484880743608, -16959.83314035334, -23242.305009639862, -43758.85948644394, 18373.715087618242, -21760.384352253004, -32456.56579215119, -10403.06066311129, 0.10400000000000001, 1.012, -0.034, 192.0, 1.5, 32.0, 15.5, 80.0, 127.0, 120.0, 0.0, 0.0, 0.0, 1.695681466494668E9, 0.0, 2023-09-25 17:37:46.494
