%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
238.0, -159529.74224445134, -135787.6522287908, -25848.78663406213, -27163.18096675646, -24338.76983389495, -19881.921396484544, -187500.02235174447, -29266.949506634417, -14495.553314155737, -9772.31678632698, -1161.620159342308, -41657.929618111804, -30325.796344971222, -33760.3206944848, -1797.750806540347, 9557.538873855934, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758212904964E9, 0.0, 2023-09-26 14:56:52.904
240.0, -159589.62256784708, -135845.27502599658, -25836.336712400524, -27146.283047948247, -24331.66197915816, -19870.633765534614, -187500.02235174447, -29254.186660550436, -14490.68063386448, -9802.13401343036, -1233.4810177661202, -41742.329805175046, -30306.90912090649, -33748.9660083015, -1852.6243391781259, 9522.290172849915, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758212904985E9, 0.0, 2023-09-26 14:56:52.904
242.0, -159529.8987066625, -135788.52394682454, -25840.98587524723, -27153.212088729393, -24332.131365791724, -19874.813541747757, -187500.02235174447, -29260.333390275646, -14492.401718187539, -9753.161341328781, -1171.6113891138302, -41668.47964149471, -30321.728327480356, -33746.082633266764, -1803.0034664873442, 9562.947996014118, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758212904998E9, 0.0, 2023-09-26 14:56:52.904
244.0, -159587.25328293483, -135846.59377891943, -25840.516488613666, -27151.80392882871, -24346.23531654302, -19880.93791972851, -187500.02235174447, -29262.590916465633, -14492.021738531797, -9799.116527928893, -1225.5685002289415, -41739.535837118136, -30315.84981868861, -33739.86884830819, -1845.136504785598, 9526.6487630187, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758212905038E9, 0.0, 2023-09-26 14:56:52.905
246.0, -159499.63444467002, -135758.50555402107, -25849.367779417968, -27163.762112112297, -24353.521985235453, -19891.622053578147, -187500.02235174447, -29274.951431149417, -14502.34824447015, -9752.73665818413, -1167.5657233674197, -41666.02094960463, -30327.6068362721, -33759.381921217675, -1793.6604373050259, 9563.32797566986, 0.026000000000000002, 0.487, -0.135, 192.0, 0.5, 80.0, 15.0, 56.0, 123.5, 72.0, 0.0, 0.0, 0.0, 1.695758212905047E9, 0.0, 2023-09-26 14:56:52.905
248.0, -159598.56326562923, -135860.83184013749, -25830.994645475705, -27140.42689090096, -24340.96030485157, -19870.231434134417, -187500.02235174447, -29255.348951262113, -14495.10627926663, -9787.180696389758, -1205.5413371969864, -41718.86047349697, -30317.973234411867, -33742.30518845382, -1826.718667354425, 9529.93446945363, 0.026000000000000002, 0.487, -0.135, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758212905058E9, 0.0, 2023-09-26 14:56:52.905
250.0, -159492.61599691107, -135751.040071373, -25847.53493637263, -27164.589126657145, -24347.263496787968, -19891.28677741132, -187500.02235174447, -29275.01848638278, -14497.34145371216, -9748.288661037524, -1182.876668319305, -41682.5388887571, -30322.04125190273, -33751.24588623594, -1805.2609926773303, 9560.019917490474, 0.026000000000000002, 0.487, -0.135, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758212905068E9, 0.0, 2023-09-26 14:56:52.905
252.0, -159593.06473649322, -135855.9591598462, -25837.521354856653, -27153.346199196127, -24341.96613335206, -19879.038021449807, -187500.02235174447, -29263.32852403266, -14498.324930468194, -9804.279780898069, -1197.2711917485228, -41705.56118554607, -30317.682661733947, -33741.63463612016, -1816.459216649439, 9530.493263065013, 0.026000000000000002, 0.487, -0.135, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758212905077E9, 0.0, 2023-09-26 14:56:52.905
254.0, -159532.98324739735, -135787.13813866832, -25826.59135181801, -27144.51726013628, -24327.415147711654, -19874.41121034756, -187500.02235174447, -29257.450015240913, -14494.189857743962, -9793.4615365817, -1207.3071250089556, -41704.75652274567, -30315.313376821683, -33751.04472053584, -1824.2152719754306, 9544.686620794133, 0.026000000000000002, 0.487, -0.135, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758212905087E9, 0.0, 2023-09-26 14:56:52.905
0.0, -79220.86318980018, -67716.46502214254, -12887.635873274312, -13524.302962339278, -12123.385026858454, -9925.359180612468, -93750.01117587223, -14546.537643258293, -7243.5521773758155, -4901.022303226269, -590.4436815313913, -20842.778187129283, -15150.682944140786, -16869.621499731722, -906.98908650745, 4773.930284253393, 0.054, 0.97, -0.266, 192.0, 0.5, 88.0, 15.0, 40.0, 123.5, 88.0, 0.0, 0.0, 0.0, 1.6957582129868E9, 0.0, 2023-09-26 14:56:52.986
