%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 7471.204694653117, 38253.20014395716, -53893.02866375788, -58280.16201021219, -36294.159149427316, -33176.76135024564, -187500.02235174447, -86109.67083092581, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760275338361E9, 0.0, 2023-09-26 15:31:15.338
194.0, 7488.773165794989, 38279.2846297365, -53893.63216085818, -58279.31264392289, -36297.17663492878, -33181.008181692145, -187500.02235174447, -86021.31438509398, -12524.107101453197, -43582.72774013612, -53922.46591120552, -46120.47775035832, -25365.094884049286, -30096.467446859773, -58447.73303839363, -38465.00527441565, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760275338398E9, 0.0, 2023-09-26 15:31:15.338
196.0, 7466.153200406218, 38262.00673127255, -53895.53205913688, -58269.72374555156, -36289.13000692487, -33169.631143764396, -187500.02235174447, -86082.51346141261, -12549.34222094324, -43585.09702504838, -53927.40564673015, -46120.99184048079, -25361.11627353624, -30113.499476134715, -58451.73400065112, -38459.95378016875, -0.015, 0.506, 0.013000000000000001, 192.0, 127.5, 8.0, 15.5, 80.0, 0.0, 104.0, 0.0, 0.0, 0.0, 1.695760275338409E9, 0.0, 2023-09-26 15:31:15.338
198.0, 7483.878133759276, 38280.402216959264, -53892.08989049076, -58286.15227772621, -36295.00851571662, -33173.56505078853, -187500.02235174447, -86007.92569016526, -12521.581354329748, -43592.540155951996, -53924.94695484006, -46121.572985836625, -25334.897677290166, -30120.026185515668, -58457.2995850205, -38460.289056335576, -0.015, 0.506, 0.013000000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69576027533842E9, 0.0, 2023-09-26 15:31:15.338
200.0, 7467.360194606805, 38269.516917409535, -53889.18416371157, -58279.40205090071, -36297.33309713997, -33175.59905953396, -187500.02235174447, -86050.21519067469, -12509.220839645963, -43575.66458888824, -53913.21228900103, -46123.36112539305, -25378.014192344453, -30109.274996432665, -58454.349154752395, -38463.66416974833, -0.015, 0.506, 0.013000000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760275338429E9, 0.0, 2023-09-26 15:31:15.338
202.0, 7479.720709290589, 38282.27976349351, -53896.35907368173, -58278.88796077824, -36308.64307983436, -33181.45521658126, -187500.02235174447, -85984.94809686519, -12536.065284736787, -43583.2865337475, -53920.83423386029, -46112.498177587775, -25391.536997739913, -30110.81726680008, -58458.3501170099, -38463.82063195952, -0.015, 0.506, 0.013000000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760275338439E9, 0.0, 2023-09-26 15:31:15.338
204.0, 7461.638148026246, 38262.029083017005, -53900.96353303952, -58287.761603326995, -36295.969640728195, -33178.147158401865, -187500.02235174447, -86027.97520494166, -12543.039029006843, -43587.91334484975, -53929.10437930875, -46123.69640155988, -25379.243538289495, -30123.825982073067, -58470.353003782395, -38476.11409140994, -0.015, 0.506, 0.013000000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760275338468E9, 0.0, 2023-09-26 15:31:15.338
206.0, 7479.363081379304, 38277.34002796889, -53896.694349848556, -58289.68385335015, -36296.08139945047, -33186.886690483894, -187500.02235174447, -85982.62351544184, -12531.14790095662, -43596.742283909596, -53927.47270196351, -46127.83147428411, -25368.06766606184, -30116.472258147274, -58465.50267523559, -38474.86239372044, -0.0245, 0.757, 0.019500000000000003, 192.0, 127.0, 120.0, 15.5, 64.0, 0.0, 104.0, 0.0, 0.0, 0.0, 1.695760275338478E9, 0.0, 2023-09-26 15:31:15.338
208.0, 7472.456392342615, 38274.14372851178, -53885.80905029882, -58268.09206820632, -36282.80446324402, -33170.41345482033, -187500.02235174447, -86017.17931236974, -12517.982723472443, -43589.20974602816, -53917.01208555843, -46119.896605002476, -25361.16097702515, -30112.717165078782, -58454.86324487487, -38466.4804895497, -0.0245, 0.757, 0.019500000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760275338489E9, 0.0, 2023-09-26 15:31:15.338
0.0, 3688.2613525702186, 19115.79300353444, -26886.22050121075, -29075.886795030452, -18148.700076186666, -16531.7525305453, -93750.01117587223, -39412.115742220376, -6271.631273225698, -21797.532951537723, -26966.418560316393, -23059.95947837347, -12687.073670276843, -15054.726905194153, -29234.40536670749, -19236.17949917072, -0.02825, 0.8835, 0.021750000000000002, 192.0, 127.5, 0.0, 15.5, 72.0, 0.0, 96.0, 0.0, 0.0, 0.0, 1.695760275494275E9, 0.0, 2023-09-26 15:31:15.494
2.0, 7381.596551131792, 38246.60637934284, -53775.14556350059, -58148.1749592036, -36291.85691974842, -33063.79563376852, -187500.02235174447, -78787.70873400077, -12661.346812408783, -43494.03601813746, -53847.56521553579, -46001.36530415599, -25271.932813159565, -30084.263394387173, -58330.63224919227, -38405.2143579977, -0.02825, 0.8835, 0.021750000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760275494297E9, 0.0, 2023-09-26 15:31:15.494
