%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 68846.1445386582, 57296.70760592313, -27842.22696330869, -35406.12434221797, -500.5673170766017, -5094.208430553488, -187500.02235174447, 25585.952471012173, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762134070983E9, 0.0, 2023-09-26 16:02:14.070
194.0, 68852.02304744995, 57298.22752454609, -27838.98596036267, -35409.99119400873, -500.299096143138, -5088.106404317189, -187500.02235174447, 25581.39271514329, 37043.23316135802, -16928.36188416027, 11547.33586875628, -3904.5591836642247, 10648.572224208383, -3621.6084506044926, -21006.16943909758, -49601.67254229457, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762134071002E9, 0.0, 2023-09-26 16:02:14.071
196.0, 68853.87824223975, 57304.24014380457, -27837.957780117726, -35405.63260383995, -487.0445116811409, -5075.880000100136, -187500.02235174447, 25596.21192171716, 36993.94756483407, -16917.722453799543, 11555.315441526824, -3891.461061413415, 10600.33715967383, -3613.919450511867, -20994.63593895864, -49590.22844913345, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762134071013E9, 0.0, 2023-09-26 16:02:14.071
198.0, 68855.5993265628, 57307.63760896178, -27842.13755633087, -35407.264281185184, -492.94537221734197, -5084.53012520434, -187500.02235174447, 25598.894131051795, 37044.44015555861, -16916.291942154403, 11547.224110034003, -3899.261820228317, 10627.852157098312, -3620.759084315191, -21005.655348975106, -49601.449024850015, 0.094, 0.99, 0.194, 192.0, 1.0, 120.0, 15.0, 120.0, 3.0, 8.0, 0.0, 0.0, 0.0, 1.695762134071023E9, 0.0, 2023-09-26 16:02:14.071
200.0, 68858.61681206427, 57308.755196184546, -27834.51561147161, -35401.92221426037, -478.08146215456276, -5078.405747223585, -187500.02235174447, 25580.900976765275, 36991.89120434418, -16906.412471105155, 11556.254214793948, -3884.0626339987084, 10617.52565115996, -3611.661924321881, -20991.082011590246, -49592.68714102354, 0.094, 0.99, 0.194, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762134071033E9, 0.0, 2023-09-26 16:02:14.071
202.0, 68856.001657963, 57309.582210729386, -27840.32706502999, -35406.81724629608, -479.91430519989797, -5087.189982794522, -187500.02235174447, 25594.334375182912, 37039.38866131171, -16919.175317189136, 11542.932575098584, -3899.0159510393087, 10636.457578713605, -3626.4587791512945, -20999.642729716626, -49604.98060047396, 0.094, 0.99, 0.194, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762134071043E9, 0.0, 2023-09-26 16:02:14.071
204.0, 68852.58184106134, 57310.11865259632, -27835.65555043883, -35402.39160089393, -475.0192731641857, -5083.77016589286, -187500.02235174447, 25579.78338954251, 37002.91061436065, -16911.06163395186, 11555.158979315636, -3882.565067120203, 10604.673398098159, -3617.272212180163, -20978.922662606557, -49582.58415252974, 0.094, 0.99, 0.194, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762134071053E9, 0.0, 2023-09-26 16:02:14.071
206.0, 68844.93754445763, 57296.014701845015, -27848.32898954499, -35415.98146152276, -501.72960778827763, -5100.846898656714, -187500.02235174447, 25573.480197606114, 37036.97467291053, -16926.573744603844, 11541.613822175721, -3904.760349364323, 10638.133959547755, -3635.511235655694, -21001.654386717604, -49605.56174582979, 0.094, 0.99, 0.194, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762134071064E9, 0.0, 2023-09-26 16:02:14.071
208.0, 68856.42634110765, 57311.90679215274, -27832.593361448453, -35398.14476944742, -481.0765959115739, -5094.789575909326, -187500.02235174447, 25522.898199903753, 37001.211881782045, -16922.841003279806, 11547.738200156475, -3899.0830062726745, 10601.119470729765, -3636.5841193895485, -20992.289005790833, -49600.465548093984, 0.094, 0.988, 0.196, 192.0, 1.0, 120.0, 15.0, 112.0, 3.0, 16.0, 0.0, 0.0, 0.0, 1.695762134071073E9, 0.0, 2023-09-26 16:02:14.071
0.0, 34413.50572270223, 28731.82639262991, -13923.974504944625, -17732.354132217664, -256.5086193691038, -2511.4420069983016, -93750.01117587223, 11968.532141272086, 18525.505784214234, -8461.632843212228, 5774.126145139474, -1953.4307066715608, 5326.130131021754, -1814.9840015153889, -10498.055577046345, -24805.518961610673, 0.089, 0.991, 0.196, 192.0, 1.0, 80.0, 15.5, 8.0, 3.0, 16.0, 0.0, 0.0, 0.0, 1.695762134165653E9, 0.0, 2023-09-26 16:02:14.165
