%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -187500.02235174447, 29591.295670425377, 30803.18490304767, -37447.55386681007, 2004.7950154298564, 4785.799060559161, 95403.50382369803, 7251.263529212896, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.022, 0.498, 0.089, 192.0, 0.5, 48.0, 15.5, 16.0, 2.5, 72.0, 0.0, 0.0, 0.0, 1.695763769400829E9, 0.0, 2023-09-26 16:29:29.400
194.0, -187500.02235174447, 29593.173216959625, 30781.503710926023, -37435.32746259302, 1988.545297210848, 4771.85157201905, 95386.9188293122, 7231.8175115367785, 34430.8283246551, 33825.90071271667, -138591.0527218643, 17380.805895424593, 28494.58497698128, 31993.482350526137, -16890.185104630604, -25346.274715217914, 0.022, 0.498, 0.089, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695763769400849E9, 0.0, 2023-09-26 16:29:29.400
196.0, -187500.02235174447, 29575.425931862108, 30799.89919661274, -37443.664663274845, 1998.0224368598983, 4762.4861910922755, 95389.26576248, 7230.588165591737, 34410.46588545631, 33831.04161394139, -138698.43050222762, 17293.790554260082, 28423.0593947243, 31993.437647037226, -16878.472790536023, -25432.954780215598, 0.022, 0.498, 0.089, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695763769400859E9, 0.0, 2023-09-26 16:29:29.400
198.0, -187500.02235174447, 29599.543464129387, 30787.493978440045, -37441.988282440696, 1997.0166083594095, 4779.428813389399, 95402.54269868645, 7232.644526081625, 34435.186914823884, 33821.05038416987, -138604.93315517108, 17375.262662799676, 28498.049497371852, 31982.46294050967, -16888.329909840813, -25348.465186174537, 0.022, 0.498, 0.089, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69576376940089E9, 0.0, 2023-09-26 16:29:29.400
200.0, -187500.02235174447, 29597.53180712841, 30794.80299887693, -37441.60830278496, 2003.2527450624402, 4748.56105429662, 95377.79931757442, 7216.171290418064, 34412.70105990184, 33813.562549777336, -138701.17976679563, 17297.635054306396, 28427.619150593182, 31975.936231128722, -16877.5340172689, -25425.824573734353, 0.022, 0.498, 0.089, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695763769400899E9, 0.0, 2023-09-26 16:29:29.400
202.0, -187500.02235174447, 29587.071190723324, 30791.13731278626, -37450.48194533372, 1981.5268494518816, 4815.795101618183, 95441.9264724167, 7268.049689298831, 34432.90703688944, 33810.12038113122, -138606.45307379402, 17386.1032588605, 28508.1301341212, 31985.592184733414, -16890.833305219807, -25337.602238369258, 0.031, 0.748, 0.1335, 192.0, 0.5, 32.0, 15.5, 24.0, 2.5, 72.0, 0.0, 0.0, 0.0, 1.695763769400908E9, 0.0, 2023-09-26 16:29:29.400
204.0, -187500.02235174447, 29589.775751802415, 30785.415266205702, -37436.17682888232, 2000.9505153835435, 4744.8730164614935, 95374.80418381741, 7217.065360196276, 34387.19771947834, 33803.21369209453, -138676.12346126122, 17318.80215630557, 28421.96415924599, 31967.174347302243, -16881.177351615115, -25409.843076448808, 0.031, 0.748, 0.1335, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695763769400918E9, 0.0, 2023-09-26 16:29:29.400
206.0, -187500.02235174447, 29604.930234543113, 30797.395801233746, -37445.69867202028, 1991.8533553902337, 4812.174119016423, 95440.20538809364, 7270.016642810899, 34431.16360082193, 33824.179628393606, -138620.24410012295, 17375.977918622248, 28490.360497279227, 31975.310382283973, -16884.15013362767, -25351.929706565108, 0.031, 0.748, 0.1335, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695763769400928E9, 0.0, 2023-09-26 16:29:29.400
208.0, -187500.02235174447, 29584.836016277794, 30781.123731270283, -37440.64717777338, 1995.9660763700101, 4734.054772145125, 95364.79060230144, 7216.707732284991, 34406.889606343466, 33828.40410809566, -138681.86785958623, 17321.640827851395, 28425.71925231448, 31961.206431532675, -16875.34354631228, -25416.70506199659, 0.031, 0.748, 0.1335, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695763769400937E9, 0.0, 2023-09-26 16:29:29.400
0.0, -93750.01117587223, 14840.016047956473, 15398.004996538759, -18641.55604142619, 1024.5145588534544, 2259.2025708201613, 47538.87475000319, 3473.9751784771897, 17212.273742231577, 16905.384290860213, -69284.23872998223, 8711.614753200383, 14258.133084551464, 15988.225160625598, -8454.279119286433, -12660.340983908294, 0.04, 1.002, 0.17400000000000002, 192.0, 0.5, 32.0, 15.5, 40.0, 2.5, 56.0, 0.0, 0.0, 0.0, 1.695763769572844E9, 0.0, 2023-09-26 16:29:29.572
