%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 2137.0502873719083, 20935.739092318905, 29617.313100971354, -11042.789941166633, 28985.719857897744, 27992.765962215184, -187500.02235174447, 45324.040391926814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959351922257628E9, 0.0, 2023-09-28 16:06:32.225
224.0, 2173.2377616450503, 20972.06067705878, 29211.11484898506, -11013.08447278553, 29028.054061896095, 27864.690466486274, -187500.02235174447, 44985.36675994, 12502.202391886996, -24721.632864669904, -11718.192603372647, 5588.897238838344, 10459.297652160842, -187500.02235174447, 13331.452111178889, -30679.669163187646, 0.074, 0.497, 0.076, 192.0, 2.0, 80.0, 15.5, 8.0, 2.0, 96.0, 0.0, 0.0, 0.0, 1.695935192225782E9, 0.0, 2023-09-28 16:06:32.225
226.0, 2154.2387788580395, 20918.57295257723, 29615.122630014735, -11026.473167714259, 29000.047326093594, 28012.54725605813, -187500.02235174447, 45320.35235409169, 12469.166513582053, -24710.90402733136, -11717.23147836107, 5623.16246308833, 10452.837998013258, -187500.02235174447, 13305.859363777563, -30740.041224961427, 0.074, 0.497, 0.076, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959351922257943E9, 0.0, 2023-09-28 16:06:32.225
228.0, 2209.179366729184, 20988.779781911348, 29210.891331540508, -11009.575248906047, 29032.12207938696, 27858.253164083144, -187500.02235174447, 44978.705940092324, 12500.749528497403, -24726.907876361358, -11719.399597573232, 5587.1985062597405, 10435.470692571485, -187500.02235174447, 13354.16148354548, -30654.814023353345, 0.074, 0.497, 0.076, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959351922258065E9, 0.0, 2023-09-28 16:06:32.225
230.0, 2156.3621945812934, 20932.609848095162, 29631.640569167208, -11022.226336267751, 28994.660555679868, 28025.243046908745, -187500.02235174447, 45325.78382799433, 12482.286987577318, -24707.283044729596, -11699.327731052368, 5633.757189960145, 10475.100335490744, -187500.02235174447, 13256.23849108678, -30800.502693713035, 0.074, 0.497, 0.076, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695935192225818E9, 0.0, 2023-09-28 16:06:32.225
232.0, 2199.411654402215, 20977.849778872704, 29237.042872553215, -11023.500385701704, 29026.020053150663, 27837.89072488436, -187500.02235174447, 44994.10629202203, 12483.248112588897, -24740.341274778995, -11726.105120909826, 5582.437584690761, 10437.661163528104, -187500.02235174447, 13396.272170099279, -30610.803438520845, 0.074, 0.497, 0.076, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959351922258327E9, 0.0, 2023-09-28 16:06:32.225
234.0, 2126.8802436447436, 20929.05592072677, 29606.159580488158, -11029.490653215726, 28998.84033189301, 28013.77660200317, -187500.02235174447, 45296.77126369134, 12479.940054409512, -24711.999262809666, -11707.352007311823, 5622.44720726576, 10467.92542552059, -187500.02235174447, 13219.581630180077, -30831.973949906107, 0.10800000000000001, 0.7475, 0.11299999999999999, 192.0, 2.0, 56.0, 15.5, 24.0, 2.0, 88.0, 0.0, 0.0, 0.0, 1.695935192225844E9, 0.0, 2023-09-28 16:06:32.225
236.0, 2174.66827329019, 20991.618453457173, 29270.36932353608, -11051.618880226479, 29012.273730310648, 27824.390271233355, -187500.02235174447, 45020.14607431246, 12463.13154257912, -24762.0448186451, -11746.17698743069, 5563.10332573692, 10426.462939555997, -187500.02235174447, 13426.916411747505, -30579.041609649852, 0.10800000000000001, 0.7475, 0.11299999999999999, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695935192225855E9, 0.0, 2023-09-28 16:06:32.225
238.0, 2136.4691420160702, 20899.015176178837, 29583.13728369919, -11032.7540079062, 28986.345706742493, 28007.45105832232, -187500.02235174447, 45274.73244365841, 12479.716536964957, -24721.454050714263, -11718.572583028386, 5607.739759414168, 10463.097448718245, -187500.02235174447, 13197.833382825063, -30843.7309674896, 0.10800000000000001, 0.7475, 0.11299999999999999, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959351922258663E9, 0.0, 2023-09-28 16:06:32.225
240.0, 2143.6887554751343, 20936.968438263946, 29305.88624547556, -11050.702458703812, 29007.78102967513, 27832.615713192907, -187500.02235174447, 45049.516266526734, 12458.951766365977, -24759.98845815521, -11766.13709522928, 5569.875904306878, 10434.509567559906, -187500.02235174447, 13456.532473150788, -30539.411966730593, 0.10800000000000001, 0.7475, 0.11299999999999999, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959351922258775E9, 0.0, 2023-09-28 16:06:32.225
