%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -24708.668852885825, -11111.029816988686, -65545.90946983213, -66340.71515091839, -35920.885017023684, -40865.13559402652, -187500.02235174447, -62510.4531658236, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695417187041184E9, 0.0, 2023-09-22 16:13:07.041
194.0, -24697.94001554728, -11105.844212275055, -65535.29239121585, -66333.6519996705, -35928.90929328314, -40861.536963169216, -187500.02235174447, -62512.174250146665, -6409.9215161706825, -187500.02235174447, -66199.9215125944, -60165.64341373961, -43482.927201143175, -47989.910601366835, -68449.33401934315, -64015.507878721706, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695417187041195E9, 0.0, 2023-09-22 16:13:07.041
196.0, -24704.064393528035, -11113.6226193455, -65542.42259769709, -66340.44692998493, -35923.61192984723, -40868.89068709501, -187500.02235174447, -62514.92351471466, -6408.111024869803, -187500.02235174447, -66187.18101825488, -60149.304288542786, -43479.2615150525, -47974.06321454802, -68438.69458898241, -64006.56718093958, -0.146, 0.984, 0.178, 192.0, 125.5, 56.0, 15.0, 96.0, 2.5, 72.0, 0.0, 0.0, 0.0, 1.695417187041198E9, 0.0, 2023-09-22 16:13:07.041
198.0, -24699.34817544796, -11107.364130898015, -65545.4177314541, -66338.21175553939, -35933.625511363214, -40863.01217830327, -187500.02235174447, -62516.354026359804, -6411.262620838002, -187500.02235174447, -66201.8214108731, -60158.177931091544, -43488.53748900146, -47985.23908677568, -68451.88211821106, -64017.944218867335, -0.146, 0.984, 0.178, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695417187041202E9, 0.0, 2023-09-22 16:13:07.041
200.0, -24718.52597219062, -11124.798491573154, -65557.01828682641, -66351.5110434903, -35933.15612472965, -40871.84111736311, -187500.02235174447, -62516.778709504455, -6419.197490119635, -187500.02235174447, -66193.81948635812, -60146.28680304132, -43476.80282316242, -47976.834830860476, -68441.3097430837, -64005.918980350376, -0.146, 0.984, 0.178, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695417187041219E9, 0.0, 2023-09-22 16:13:07.041
202.0, -24710.36758546443, -11115.187241457372, -65545.57419366529, -66338.52467996176, -35930.473915395014, -40859.81587884616, -187500.02235174447, -62507.94977044461, -6430.887452469761, -187500.02235174447, -66216.77472791371, -60169.46556204147, -43498.79693970644, -48000.77354917211, -68455.97248744637, -64019.44178574584, -0.146, 0.984, 0.178, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695417187041222E9, 0.0, 2023-09-22 16:13:07.041
204.0, -24700.823390582013, -11100.189220927861, -65531.69376035855, -66318.2516477408, -35915.54295009887, -40842.113297237556, -187500.02235174447, -62489.867209180265, -6414.436568550655, -187500.02235174447, -66184.85643683153, -60138.396637248596, -43474.50059348352, -47976.56660992702, -68429.41861503347, -63982.58375913904, -0.146, 0.984, 0.178, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695417187041225E9, 0.0, 2023-09-22 16:13:07.041
206.0, -24712.379242465406, -11110.62748558849, -65553.75493213594, -66333.8531653706, -35942.11917425623, -40859.70412012388, -187500.02235174447, -62513.51535481398, -6414.190699361647, -187500.02235174447, -66197.01578581522, -60147.404390264084, -43499.84747169584, -47978.824136117, -68451.09980715511, -63995.145439522916, -0.158, 0.982, 0.18, 192.0, 125.5, 8.0, 15.0, 88.0, 2.5, 80.0, 0.0, 0.0, 0.0, 1.695417187041229E9, 0.0, 2023-09-22 16:13:07.041
208.0, -24712.9827395657, -11116.260125191227, -65557.7782461379, -66337.96588635039, -35941.91800855613, -40855.434936932914, -187500.02235174447, -62511.59310479082, -6425.70184775613, -187500.02235174447, -66193.32774798009, -60144.58807046272, -43495.22066059359, -47983.16037454133, -68457.76062700279, -63995.16779126738, -0.158, 0.982, 0.18, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695417187041233E9, 0.0, 2023-09-22 16:13:07.041
0.0, -14678.234121588961, -7036.127988830565, -32447.714501346887, -33072.088130961434, -17688.701175296446, -20353.140873091328, -93750.01117587223, -31187.925480356873, -3212.370361372276, -93750.01117587223, -33105.03460228856, -30083.950469964802, -21754.841119628087, -23996.676385006474, -34234.31178740404, -32003.272414597563, -0.136, 0.985, 0.193, 192.0, 126.0, 56.0, 15.0, 112.0, 3.0, 56.0, 0.0, 0.0, 0.0, 1.695417187186271E9, 0.0, 2023-09-22 16:13:07.186
