%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 17009.27519908848, 16639.130310908593, -31624.142125146645, -60500.78547010249, -187500.02235174447, 851.9143881695734, -187500.02235174447, -187500.02235174447, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419236929645E9, 0.0, 2023-09-22 16:47:16.929
254.0, 16994.657158214708, 16623.14881362305, -31611.580444762763, -60525.21592679214, -187500.02235174447, 921.2718512143912, -187500.02235174447, -187500.02235174447, -45284.63426645211, 14599.623036339646, -3800.4447579914045, -64396.783935640335, -8130.0223624732935, -48808.967925187106, -2191.2979711649386, 18847.326200881744, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419236929655E9, 0.0, 2023-09-22 16:47:16.929
0.0, 17002.770841451984, 16634.279982361793, -31635.54151481885, -60507.73686262809, -187500.02235174447, 883.5421065738328, -187500.02235174447, -187500.02235174447, -45296.12306310214, 14594.996225237397, -3646.307128227607, -64407.1551450676, -8143.031077746282, -48819.0709136809, -2201.5350701254692, 18963.734086004984, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419236929659E9, 0.0, 2023-09-22 16:47:16.929
2.0, 16994.94773089263, 16624.780490968285, -31610.328747073265, -60511.849583607865, -187500.02235174447, 902.116406216193, -187500.02235174447, -187500.02235174447, -45284.23193505191, 14599.131297961629, -3799.7295021688346, -64394.258188516884, -8131.654039818531, -48814.84643397885, -2199.5234131244915, 18849.78489277183, -0.028, 0.962, 0.3, 192.0, 127.5, 16.0, 15.0, 8.0, 4.5, 48.0, 0.0, 0.0, 0.0, 1.695419236929663E9, 0.0, 2023-09-22 16:47:16.929
4.0, 17001.988530396047, 16634.481148061892, -31638.938979976057, -60499.69023462418, -187500.02235174447, 893.667446812087, -187500.02235174447, -187500.02235174447, -45296.57009799124, 14606.328559676238, -3660.7687068901905, -64401.9024851206, -8136.973754998894, -48805.79397747445, -2191.700302565134, 18958.28026035789, -0.028, 0.962, 0.3, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419236929666E9, 0.0, 2023-09-22 16:47:16.929
6.0, 16988.823352911873, 16620.95834266643, -31625.773802491884, -60519.471528467126, -187500.02235174447, 892.1698799335815, -187500.02235174447, -187500.02235174447, -45294.625496223634, 14603.26637068586, -3798.522507968248, -64395.46518271747, -8133.4868828638655, -48819.9202799702, -2205.446625405148, 18846.700352036994, -0.028, 0.962, 0.3, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69541923692967E9, 0.0, 2023-09-22 16:47:16.929
8.0, 17007.397652554235, 16641.14196790957, -31647.097366702244, -60504.89819108227, -187500.02235174447, 904.217470194992, -187500.02235174447, -187500.02235174447, -45307.276583585335, 14607.043815498808, -3645.301299727118, -64412.11723233667, -8138.89600502205, -48820.43437009268, -2203.189099215162, 18975.356993121743, -0.028, 0.962, 0.3, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419236929673E9, 0.0, 2023-09-22 16:47:16.929
10.0, 16990.387975023743, 16629.8766887041, -31634.02159619589, -60516.99048483259, -187500.02235174447, 856.831771949741, -187500.02235174447, -187500.02235174447, -45291.51860374434, 14613.324655690749, -3797.360217256572, -64394.21348502797, -8133.4198276305, -48808.386779831264, -2223.6409453917677, 18843.77227351335, -0.028, 0.962, 0.3, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419236929677E9, 0.0, 2023-09-22 16:47:16.929
12.0, 16991.39380352423, 16629.943743937463, -31662.944753521057, -60516.00700807655, -187500.02235174447, 928.2902989733576, -187500.02235174447, -187500.02235174447, -45323.25808087088, 14608.809603310778, -3652.0068230637103, -64422.644903975124, -8151.971775528405, -48805.45870130762, -2218.120064511307, 18973.255929142946, -0.026000000000000002, 0.97, 0.298, 192.0, 127.5, 24.0, 15.0, 40.0, 4.5, 40.0, 0.0, 0.0, 0.0, 1.69541923692968E9, 0.0, 2023-09-22 16:47:16.929
0.0, 8483.336387078332, 8244.217424895456, -15812.27222827342, -30262.18328025142, -93750.01117587223, 422.9397085833202, -93750.01117587223, -93750.01117587223, -22649.67085715185, 7303.812480427323, -1909.1742526500527, -32200.303041971096, -4069.448002511025, -24406.92030273918, -1115.5979175088307, 9416.700532043043, -0.03, 0.966, 0.298, 192.0, 127.5, 8.0, 15.0, 24.0, 4.5, 40.0, 0.0, 0.0, 0.0, 1.695419237090946E9, 0.0, 2023-09-22 16:47:17.090
