%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
238.0, 22140.118138804217, 37881.580040643224, -43497.27702108348, -41011.45011323096, -26579.86749170631, -17578.775296065247, -187500.02235174447, -8328.349391025233, -3516.4881964311835, 18282.989356874154, -39582.52544194763, -36102.805865145434, -10894.195544027752, -35092.819940187925, -40438.1949231857, -39040.29447320634, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420913607919E9, 0.0, 2023-09-22 17:15:13.607
240.0, 22148.90237437515, 37890.49838668089, -43491.53262275847, -41018.28974703429, -26563.126035109286, -17586.66546185797, -187500.02235174447, -8313.485480962454, -3512.6213446404154, 18282.587025473957, -39575.21642151075, -36096.14504529775, -10888.406442213827, -35088.282536063496, -40429.701260292684, -39032.33725218025, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420913607928E9, 0.0, 2023-09-22 17:15:13.607
242.0, 22142.5768306943, 37884.30695346677, -43492.06906462539, -41009.97489809691, -26581.521520796006, -17577.747115820304, -187500.02235174447, -8327.857652647215, -3523.3948854678733, 18278.94369112774, -39584.425340226335, -36106.20333030264, -10895.849573117444, -35099.14548386878, -40441.70414706518, -39043.35666219672, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 15.5, 16.0, 2.5, 96.0, 0.0, 0.0, 0.0, 1.695420913607932E9, 0.0, 2023-09-22 17:15:13.607
244.0, 22146.644848185166, 37886.40801744557, -43478.99329411904, -41006.64448817307, -26555.481738505572, -17576.093086730612, -187500.02235174447, -8306.869364603683, -3509.7826730945917, 18281.268272551093, -39568.77911910762, -36091.60764117332, -10881.432697943772, -35080.101797592855, -40423.46512358965, -39025.8105427993, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420913607935E9, 0.0, 2023-09-22 17:15:13.607
246.0, 22151.76339766543, 37889.6937238805, -43483.821270921384, -41000.43070321449, -26569.898613679245, -17572.248586684298, -187500.02235174447, -8323.879042134171, -3510.74379810617, 18286.699746453734, -39571.81895635354, -36094.066333063405, -10884.360776467416, -35084.95212613966, -40428.60602481437, -39032.91839753609, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420913607938E9, 0.0, 2023-09-22 17:15:13.607
248.0, 22149.349409264258, 37885.983334300916, -43481.07200635338, -41003.96227883843, -26556.8675466618, -17579.825828054647, -187500.02235174447, -8311.138547794646, -3499.925553789801, 18283.65990920781, -39557.871467813435, -36080.45412069013, -10875.464782174204, -35071.89870737776, -40419.55356830997, -39022.234263686456, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420913607942E9, 0.0, 2023-09-22 17:15:13.607
250.0, 22153.23861279948, 37891.75008437039, -43498.6181257508, -41011.24894753086, -26585.008392931035, -17589.504133403796, -187500.02235174447, -8338.944117897048, -3520.0197720551223, 18281.737659184655, -39582.23486926971, -36101.17418780019, -10897.749471396146, -35096.44092278968, -40443.827562788436, -39046.217685487, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420913607945E9, 0.0, 2023-09-22 17:15:13.607
252.0, 22141.928630105096, 37878.3390376972, -43484.536526743956, -41003.247023015865, -26563.21544208711, -17582.105705989088, -187500.02235174447, -8317.30762926431, -3504.887641058879, 18276.686164937757, -39566.29807547308, -36086.75731262652, -10883.891389833856, -35077.71016093614, -40429.567149825954, -39029.63269110116, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 15.5, 32.0, 2.5, 96.0, 0.0, 0.0, 0.0, 1.695420913607948E9, 0.0, 2023-09-22 17:15:13.607
254.0, 22154.75853142244, 37895.08049429423, -43495.84650943834, -41009.97489809691, -26581.700334751647, -17586.799572324704, -187500.02235174447, -8338.765303941405, -3518.6786673878037, 18281.46943825119, -39585.185299537814, -36102.62705118979, -10896.49777370665, -35093.91517566624, -40443.64874883279, -39043.66958661909, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420913607952E9, 0.0, 2023-09-22 17:15:13.607
0.0, 11101.373863383993, 19072.520026268965, -21644.602315974513, -20511.614741279453, -13247.990697382773, -8852.028411868621, -93750.01117587223, -4278.973255035074, -1756.7353554648587, 9132.319287338172, -19787.999366283344, -18049.346572082828, -5444.750838846068, -17542.006676436267, -20218.940999381663, -19518.236162452242, -0.026000000000000002, 1.002, 0.178, 192.0, 127.5, 24.0, 15.5, 40.0, 2.5, 72.0, 0.0, 0.0, 0.0, 1.695420913760468E9, 0.0, 2023-09-22 17:15:13.760
2.0, 22208.492125093, 38153.84663985332, -43296.536004130365, -41023.162427325544, -26514.82391534137, -17702.715719069925, -187500.02235174447, -8577.213713790621, -3524.020734312622, 17985.17471375164, -39635.36496583998, -36148.89516221228, -10949.672573765823, -35196.7555519051, -40432.47287660514, -39034.05833650331, -0.026000000000000002, 1.002, 0.178, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420913760482E9, 0.0, 2023-09-22 17:15:13.760
4.0, 22188.666127761142, 38132.88070355424, -43287.19297494805, -41021.128418580105, -26501.99401402402, -17697.977149245402, -187500.02235174447, -8562.796838616949, -3512.6883998737812, 17967.51683563195, -39618.399991798404, -36134.03125214949, -10937.73674222669, -35185.64673491081, -40423.15219916728, -39028.26923468939, -0.026000000000000002, 1.002, 0.178, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420913760486E9, 0.0, 2023-09-22 17:15:13.760
6.0, 22219.645645576198, 38160.105128300806, -43285.27072492489, -41017.12745632261, -26500.80937156789, -17693.059765465234, -187500.02235174447, -8566.283710751977, -3510.9449638062674, 17984.995899796, -39615.807189441584, -36129.38208930279, -10936.462692792737, -35195.43679898224, -40421.028783444024, -39033.52189463638, -0.026000000000000002, 1.002, 0.178, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69542091376049E9, 0.0, 2023-09-22 17:15:13.760
8.0, 22189.984880684005, 38128.61152036328, -43284.51076561341, -41014.422895243515, -26492.09219123032, -17687.20360841794, -187500.02235174447, -8553.006774545524, -3503.8818125583903, 17967.047448998386, -39597.12113107695, -36116.95451938564, -10928.080788621997, -35186.56315643348, -40406.701315248174, -39023.77653405387, -0.036000000000000004, 0.998, 0.17400000000000002, 192.0, 127.0, 112.0, 15.5, 24.0, 2.5, 56.0, 0.0, 0.0, 0.0, 1.695420913760493E9, 0.0, 2023-09-22 17:15:13.760
10.0, 22218.237485675512, 38158.18287827765, -43293.76438781791, -41021.418991258026, -26495.24378719852, -17691.852771264646, -187500.02235174447, -8559.086449037368, -3508.9780102942004, 17984.5935683958, -39601.88205264593, -36120.24022582057, -10931.008867145643, -35197.29199377203, -40404.957879180656, -39028.73862132295, -0.036000000000000004, 0.998, 0.17400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420913760497E9, 0.0, 2023-09-22 17:15:13.760
12.0, 22190.789543484396, 38128.700927341095, -43290.23281219397, -41010.89131961958, -26493.14272321972, -17678.911111225025, -187500.02235174447, -8553.654975134728, -3504.574716636505, 17965.974565264532, -39586.99579083869, -36112.01478386102, -10926.180890343296, -35190.273546013064, -40399.6828674892, -39023.128333464665, -0.036000000000000004, 0.998, 0.17400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420913760501E9, 0.0, 2023-09-22 17:15:13.760
14.0, 22222.037282232915, 38164.75429114751, -43306.259012968425, -41024.414125015035, -26499.647080856215, -17692.433916620485, -187500.02235174447, -8565.367289229309, -3504.530013147594, 17987.052260285887, -39589.320372262046, -36110.785437915976, -10930.762997956634, -35199.63892693984, -40403.8849954468, -39028.515103878395, -0.036000000000000004, 0.998, 0.17400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420913760506E9, 0.0, 2023-09-22 17:15:13.760
