%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
254.0, -56587.57616133406, 72365.89608977987, -6708.1831941823, 21431.299618637517, 55554.07620120957, 48579.95195149803, -187500.02235174447, 51729.491559206435, 74139.86464021976, 70097.64106245531, 34973.34986607431, 10598.772537561958, 60895.00318706074, 36732.409802962524, 22409.34490076839, 38473.74480649767, 0.13, 1.006, -0.05, 192.0, 2.0, 8.0, 15.5, 56.0, 127.0, 56.0, 0.0, 0.0, 0.0, 1.695423134849283E9, 0.0, 2023-09-22 17:52:14.849
0.0, -56804.656303484, 72212.60782630538, -6683.909199703837, 21359.952850336176, 55563.463933880805, 48574.90045725113, -187500.02235174447, 51584.40638594704, 74054.54803163387, 70048.40016942027, 34950.573438474355, 10604.33812193133, 60896.768974872706, 36744.45739322393, 22330.08561492987, 38408.45536094372, 0.13, 1.006, -0.05, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695423134849291E9, 0.0, 2023-09-22 17:52:14.849
2.0, -56615.69465585884, 72354.4296448743, -6697.119080676924, 21436.127595439862, 55564.290948425645, 48589.518498124904, -187500.02235174447, 51700.32253269226, 74081.90656684716, 70085.16878904925, 34982.89406095673, 10613.077654013356, 60909.554172701144, 36740.70230015544, 22379.259452731545, 38445.76042243963, 0.13, 1.006, -0.05, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695423134849294E9, 0.0, 2023-09-22 17:52:14.849
4.0, -56844.420056869996, 72198.77209648753, -6675.08026064399, 21348.84403334189, 55572.60579736302, 48571.88297174966, -187500.02235174447, 51540.8651877481, 74052.75989207743, 70058.2349369806, 34958.30714205589, 10607.869697555268, 60908.727158156296, 36744.502096712844, 22321.100213658836, 38398.59824163893, 0.13, 1.006, -0.05, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695423134849298E9, 0.0, 2023-09-22 17:52:14.849
6.0, -56675.1279443655, 72325.73000499369, -6696.359121365443, 21438.58628732995, 55573.67868109688, 48591.396044659145, -187500.02235174447, 51644.778447720826, 74012.7726212469, 70084.49823671559, 34977.99902892101, 10609.34491268932, 60913.689245425376, 36738.154201287536, 22347.810548282927, 38412.07634354548, 0.13, 1.006, -0.05, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695423134849301E9, 0.0, 2023-09-22 17:52:14.849
8.0, -56830.78549275226, 72216.60878856288, -6691.307627118544, 21359.572870680437, 55555.864340766, 48558.62838728767, -187500.02235174447, 51546.408420373016, 74079.24670925697, 70083.7382774041, 34948.56178147338, 10593.274008425953, 60902.982759831284, 36735.44964020844, 22346.111815704324, 38414.37857322438, 0.134, 1.01, -0.05, 192.0, 2.0, 24.0, 15.5, 72.0, 127.0, 56.0, 0.0, 0.0, 0.0, 1.695423134849305E9, 0.0, 2023-09-22 17:52:14.849
10.0, -56651.233929542774, 72341.46563309022, -6710.619534327929, 21450.633877591357, 55569.834181050566, 48580.2648759204, -187500.02235174447, 51673.142811434605, 74016.28184512637, 70076.29514650049, 34958.26243856698, 10596.224438694053, 60904.50267845424, 36729.124096527594, 22365.267260702523, 38422.78282913957, 0.134, 1.01, -0.05, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695423134849326E9, 0.0, 2023-09-22 17:52:14.849
12.0, -56829.73496076286, 72214.28420713953, -6681.070528158013, 21344.954829806666, 55554.05384946512, 48568.91018973711, -187500.02235174447, 51539.07704819168, 74140.1999163866, 70089.7956001515, 34936.76006040097, 10587.775479289947, 60898.26654175122, 36731.94041632896, 22373.47035091762, 38428.7730966536, 0.134, 1.01, -0.05, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695423134849329E9, 0.0, 2023-09-22 17:52:14.849
14.0, -56707.090938936584, 72307.33451930697, -6711.9829907397025, 21443.77189204358, 55571.644672351445, 48594.122957482694, -187500.02235174447, 51620.05741835325, 73957.63086767565, 70071.19894876468, 34965.68321772614, 10603.756976575492, 60915.365626259525, 36744.859724624126, 22320.98845493656, 38377.74406406213, 0.134, 1.01, -0.05, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695423134849334E9, 0.0, 2023-09-22 17:52:14.849
0.0, -27933.533839408617, 36218.923177590754, -3383.6294273888384, 10734.447626405672, 27826.334873000967, 24340.53562170692, -93750.01117587223, 25874.580547163554, 37114.311708725894, 35061.54984969495, 17474.683222136882, 5292.915438761168, 30447.948628419475, 18366.003735781163, 11212.84201298261, 19234.95015322568, 0.137, 1.0070000000000001, -0.046, 192.0, 2.0, 48.0, 15.5, 48.0, 127.0, 88.0, 0.0, 0.0, 0.0, 1.695423134961074E9, 0.0, 2023-09-22 17:52:14.961
