%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
178.0, -187500.02235174447, 25039.58642954665, -43530.80463776644, -41805.07115186109, -10168.702622497394, 6072.320767917725, -187500.02235174447, 1757.7635357098027, 15728.184965632556, 18965.388115094676, -114803.18633355932, -79211.05077398429, -40090.26766899439, 12602.002930879944, -45305.801368451284, -43830.45212393429, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680641793527E9, 0.0, 2023-09-25 17:24:01.793
180.0, -187500.02235174447, 24941.55167836567, -43516.27600387049, -41785.96041035181, -10147.781389687229, 6090.626846626622, -187500.02235174447, 1720.2349567693423, 15715.288009081843, 18980.386135624187, -114825.18045010335, -79245.83008835674, -40125.09168685576, 12582.132230059175, -45337.51849383336, -43839.459876949775, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680641793552E9, 0.0, 2023-09-25 17:24:01.793
182.0, -187500.02235174447, 25022.576752016157, -43515.627803281284, -41805.89816640594, -10165.662785251474, 6066.218741681426, -187500.02235174447, 1754.0084426413111, 15743.853538495725, 18980.207321668546, -114791.40696423137, -79238.02932954185, -40086.49022418144, 12588.100145828743, -45306.56132776276, -43801.57367009803, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680641793555E9, 0.0, 2023-09-25 17:24:01.793
184.0, -187500.02235174447, 24936.343721907586, -43517.28183237098, -41781.57946843856, -10141.075866350635, 6081.887314544597, -187500.02235174447, 1715.33992473363, 15715.891506182135, 18969.009097696435, -114765.81421683005, -79222.51721888986, -40066.396005916125, 12573.124477043686, -45296.54774624679, -43772.359940094946, 0.048, 1.016, -0.004, 192.0, 0.5, 64.0, 15.5, 96.0, 127.5, 112.0, 0.0, 0.0, 0.0, 1.695680641793559E9, 0.0, 2023-09-25 17:24:01.793
186.0, -187500.02235174447, 25023.00143516081, -43513.817311980405, -41810.27910831918, -10167.987366674824, 6051.533645574289, -187500.02235174447, 1761.786849711758, 15753.241271166955, 18997.66403408814, -114768.07174302003, -79246.34417847922, -40070.285209451344, 12615.928067675599, -45294.51373750136, -43756.534905020584, 0.048, 1.016, -0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680641793562E9, 0.0, 2023-09-25 17:24:01.793
188.0, -187500.02235174447, 24952.23581221531, -43533.15157093425, -41800.757265181215, -10157.482046780831, 6061.144895690071, -187500.02235174447, 1702.5547269051942, 15714.550401514818, 18963.734086004984, -114700.88239918738, -79198.6455558116, -40003.58760399671, 12563.781447861367, -45251.59838814716, -43700.43202643777, 0.048, 1.016, -0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680641793565E9, 0.0, 2023-09-25 17:24:01.793
190.0, -187500.02235174447, 25008.56220824268, -43519.02526843849, -41817.61048050052, -10173.44119232192, 6063.044793968773, -187500.02235174447, 1729.1533028070096, 15739.651410538127, 18964.874024972203, -114726.09516693297, -79244.19841101152, -40035.10356367869, 12574.912616600112, -45265.52352494282, -43697.77216884759, 0.048, 1.016, -0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680641793569E9, 0.0, 2023-09-25 17:24:01.793
192.0, -187500.02235174447, 24933.169774194932, -43523.07093418491, -41775.388035224445, -10153.704601967884, 6084.860096557152, -187500.02235174447, 1696.4527006688954, 15713.0081311474, 18962.527091804397, -114663.48793071366, -79203.60764308067, -39967.601295423665, 12556.7630001024, -45233.78404781628, -43659.573037573464, 0.048, 1.016, -0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680641793573E9, 0.0, 2023-09-25 17:24:01.793
194.0, -187500.02235174447, 25009.32216755416, -43516.00778293703, -41807.2169193288, -10182.694814526418, 6061.413116623535, -187500.02235174447, 1754.7684019527915, 15735.82926223627, 18977.23453965599, -114696.14382936286, -79247.84174535773, -40012.50595003438, 12577.706584657024, -45248.15621950105, -43652.308720625486, 0.046, 1.016, -0.004, 192.0, 0.5, 56.0, 15.5, 96.0, 127.5, 112.0, 0.0, 0.0, 0.0, 1.695680641793577E9, 0.0, 2023-09-25 17:24:01.793
0.0, -93750.01117587223, 12759.180397889662, -21803.523219051745, -20793.96197723889, -5492.292999302506, 2683.7963084931744, -93750.01117587223, -382.7289203082228, 7861.153228420405, 9482.168791552638, -57283.96711158361, -39573.048302298586, -19934.98443782144, 6282.516572775433, -22582.012126685637, -21787.20644559937, 0.048, 1.017, -0.015000000000000001, 192.0, 0.5, 72.0, 15.5, 104.0, 127.5, 24.0, 0.0, 0.0, 0.0, 1.695680641949698E9, 0.0, 2023-09-25 17:24:01.949
