%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
12.0, -187500.02235174447, 32284.725580778788, -26857.16323341885, -28538.97554146952, 9269.648405271579, -2192.0132269875085, -187500.02235174447, -11837.036828641514, 65.11063159830947, -10080.592045854575, -20333.940724604217, -33636.55908543576, 16164.826293566979, -14382.051155811687, -19629.79371902868, -16938.77779707644, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682331171438E9, 0.0, 2023-09-25 17:52:11.171
14.0, -187500.02235174447, 32268.028827670674, -26876.69865807279, -28568.233974961517, 9286.993358968897, -2206.161881227718, -187500.02235174447, -11858.740372507618, 38.176779529664465, -10095.791232084184, -20368.027134898563, -33637.721376147434, 16158.523101630582, -14373.378678963029, -19670.920928826443, -16951.250070482503, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682331171446E9, 0.0, 2023-09-25 17:52:11.171
16.0, -187500.02235174447, 32279.7187900208, -26870.239003925206, -28558.30980042336, 9259.724230733424, -2199.1657852132066, -187500.02235174447, -11848.257404358079, 66.29527405444075, -10090.918551792927, -20342.25557354159, -33647.08675707421, 16182.685337386769, -14379.03367031022, -19625.725701537813, -16947.87495706975, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69568233117145E9, 0.0, 2023-09-25 17:52:11.171
18.0, -187500.02235174447, 32270.57692653858, -26874.821111538546, -28564.41182665966, 9268.664928515545, -2197.3329421678714, -187500.02235174447, -11885.45070713171, 44.927006355167194, -10094.450127416865, -20378.42069607028, -33643.242257027894, 16176.516255917104, -14381.626472667036, -19653.8888995515, -16952.702933872097, 0.178, 0.992, -0.182, 192.0, 2.5, 72.0, 15.5, 0.0, 125.0, 40.0, 0.0, 0.0, 0.0, 1.695682331171454E9, 0.0, 2023-09-25 17:52:11.171
20.0, -187500.02235174447, 32289.15122618094, -26879.492626129704, -28547.625666573724, 9288.245056658394, -2206.117177738807, -187500.02235174447, -11866.54113132252, 68.6645589667033, -10080.770859810216, -20342.300277030503, -33646.32679776273, 16169.363697691406, -14375.256225497274, -19626.68682654939, -16943.270497711957, 0.178, 0.992, -0.182, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682331171457E9, 0.0, 2023-09-25 17:52:11.171
22.0, -187500.02235174447, 32284.300897634137, -26857.856137496965, -28534.281675133905, 9280.17607691003, -2188.1463751967403, -187500.02235174447, -11921.347608726932, 45.61991043328172, -10076.099345219058, -20370.307012833004, -33630.546466177286, 16156.444389396238, -14360.615832879048, -19666.13765551301, -16951.339477460322, 0.178, 0.992, -0.182, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69568233117146E9, 0.0, 2023-09-25 17:52:11.171
24.0, -187500.02235174447, 32290.291165148163, -26877.659783084368, -28555.716998066546, 9278.03030944232, -2207.123006239296, -187500.02235174447, -11885.763631554084, 74.63247473627028, -10071.204313183345, -20335.97473334965, -33644.98569309541, 16168.223758724185, -14364.683850369913, -19628.698483550368, -16933.59219236281, 0.178, 0.992, -0.182, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682331171468E9, 0.0, 2023-09-25 17:52:11.171
26.0, -187500.02235174447, 32275.67312427439, -26868.49556785769, -28543.244724660486, 9284.847591501188, -2195.2765816779834, -187500.02235174447, -11943.36407701541, 40.85898886430131, -10078.379223153499, -20378.80067572602, -33648.293751274796, 16160.57946212047, -14360.593481134592, -19654.537100140704, -16948.43375068113, 0.178, 0.992, -0.182, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682331171471E9, 0.0, 2023-09-25 17:52:11.171
28.0, -187500.02235174447, 32291.475807604293, -26874.955222005276, -28546.79865202888, 9322.554984397291, -2202.5856021148684, -187500.02235174447, -11917.525460425075, 66.00470137652175, -10061.883635745482, -20348.35759977789, -33646.93029486302, 16168.53668314656, -14354.245585709285, -19631.715969051835, -16933.547488873897, 0.17, 0.998, -0.17200000000000001, 192.0, 2.5, 40.0, 15.5, 24.0, 125.0, 80.0, 0.0, 0.0, 0.0, 1.695682331171474E9, 0.0, 2023-09-25 17:52:11.171
0.0, -93750.01117587223, 16094.351243299396, -13419.495632588343, -14263.72102066529, 4766.822429516606, -1047.2239312200466, -93750.01117587223, -5796.679055294879, 22.37409619976237, -5039.401953149075, -10183.231256393345, -16828.13666202267, 8078.725108948363, -7180.408499289572, -9816.707350815219, -8467.846628170804, 0.154, 1.004, -0.078, 192.0, 2.0, 104.0, 15.5, 48.0, 126.5, 72.0, 0.0, 0.0, 0.0, 1.695682331343616E9, 0.0, 2023-09-25 17:52:11.343
2.0, -187500.02235174447, 32204.66163213988, -26854.659838039857, -28554.644114332692, 9537.332896868336, -2109.17766203614, -187500.02235174447, -11549.369877501713, -23.916366567178557, -9871.871456130917, -20251.82041547542, -33532.39995627403, 16066.456266219171, -14131.353990000964, -19468.05649615008, -16773.777219507363, 0.154, 1.004, -0.078, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682331343628E9, 0.0, 2023-09-25 17:52:11.343
4.0, -187500.02235174447, 32195.385658190928, -26839.706520999258, -28530.660692532147, 9516.79164371391, -2095.744263618501, -187500.02235174447, -11599.706006015063, -32.85706434930138, -9871.491476475177, -20268.763037772544, -33536.423270275984, 16061.248309761086, -14136.874870881424, -19477.265414865662, -16788.059984214306, 0.154, 1.004, -0.078, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682331343632E9, 0.0, 2023-09-25 17:52:11.343
6.0, -187500.02235174447, 32217.312719501584, -26844.31098035705, -28530.79480299888, 9554.052001720906, -2086.580048391825, -187500.02235174447, -11563.451476508555, -27.604404402304223, -9876.006528855149, -20252.669781764722, -33521.73817416885, 16066.545673196993, -14138.595955204482, -19479.925272455846, -16770.558568305798, 0.154, 1.004, -0.078, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682331343635E9, 0.0, 2023-09-25 17:52:11.343
8.0, -187500.02235174447, 32197.956108803286, -26849.474233326226, -28528.179648897607, 9516.657533247177, -2093.196164750596, -187500.02235174447, -11583.76921221843, -39.74140164153596, -9856.784028623584, -20254.323810854414, -33524.08510733666, 16048.84309158839, -14116.93711482729, -19463.094408881, -16761.059076912294, 0.14, 1.0, -0.03, 192.0, 2.0, 48.0, 15.5, 32.0, 127.5, 8.0, 0.0, 0.0, 0.0, 1.695682331343638E9, 0.0, 2023-09-25 17:52:11.343
10.0, -187500.02235174447, 32212.9541293328, -26865.16515793385, -28544.183497927606, 9525.26295486247, -2103.4332637111265, -187500.02235174447, -11529.23095574748, -56.81813440539055, -9878.733441678696, -20262.370438858325, -33532.42230801848, 16024.92672502121, -14142.84278665099, -19467.944737427802, -16761.21553912348, 0.14, 1.0, -0.03, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682331343641E9, 0.0, 2023-09-25 17:52:11.343
12.0, -187500.02235174447, 32223.057117826596, -26831.771651717623, -28504.30798581934, 9500.988960384007, -2090.3351414603167, -187500.02235174447, -11558.601147961754, -51.81134364740177, -9869.748040407663, -20250.993400930573, -33519.88297937906, 16030.201736712665, -14128.157690543854, -19448.833995918514, -16757.79572222182, 0.14, 1.0, -0.03, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682331343644E9, 0.0, 2023-09-25 17:52:11.343
14.0, -187500.02235174447, 32232.824830153568, -26837.046663409077, -28522.055270916855, 9531.78966424342, -2087.8093943368667, -187500.02235174447, -11548.699325168052, -33.95229982761143, -9839.774351093096, -20250.09933115236, -33505.331993738655, 16056.532091681016, -14116.624190404915, -19475.589034031516, -16761.64022226813, 0.14, 1.0, -0.03, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682331343648E9, 0.0, 2023-09-25 17:52:11.343
16.0, -187500.02235174447, 32227.46041148429, -26826.429584792804, -28510.946453922566, 9507.985056398518, -2085.5742198913363, -187500.02235174447, -11570.849903923263, -27.91732882467852, -9836.622755124898, -20234.85544143384, -33514.25033977632, 16066.903301108277, -14115.41719620433, -19450.33156279702, -16757.438094310535, 0.14, 1.0, -0.03, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682331403906E9, 0.0, 2023-09-25 17:52:11.403
18.0, -187500.02235174447, 32233.741251676234, -26826.094308625976, -28510.78999171138, 9555.5048651105, -2077.281722698417, -187500.02235174447, -11563.540883486377, -23.75990435599141, -9864.383621738389, -20248.400598573757, -33505.53315943875, 16059.236652760108, -14101.045024519566, -19479.120609655456, -16755.918175687573, 0.132, 1.008, -0.002, 192.0, 2.0, 16.0, 15.5, 64.0, 127.5, 120.0, 0.0, 0.0, 0.0, 1.69568233140392E9, 0.0, 2023-09-25 17:52:11.403
20.0, -187500.02235174447, 32240.938513390844, -26810.96217762973, -28483.409104753628, 9518.177451870139, -2072.74431857399, -187500.02235174447, -11573.15213360216, -18.26137521998587, -9846.94926106325, -20226.205316329637, -33506.42722921696, 16064.60107142938, -14119.418158461829, -19436.093501578987, -16741.098969113704, 0.132, 1.008, -0.002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682331403927E9, 0.0, 2023-09-25 17:52:11.403
22.0, -187500.02235174447, 32238.166897078383, -26837.560753531547, -28526.860895974743, 9529.822710731354, -2075.582990119814, -187500.02235174447, -11562.825627663808, -24.564567156382463, -9829.358438176923, -20242.075054892906, -33492.97147905487, 16069.741972654103, -14092.976044771201, -19458.914632667856, -16743.825881937253, 0.132, 1.008, -0.002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682331403933E9, 0.0, 2023-09-25 17:52:11.403
24.0, -187500.02235174447, 32249.566286750593, -26819.142916100376, -28488.661764700624, 9530.537966553924, -2065.7035190705683, -187500.02235174447, -11565.261967809436, -9.611250115782036, -9822.339990417957, -20220.773842427, -33504.2591100048, 16059.41546671575, -14098.407518673841, -19424.18002178431, -16738.148538845606, 0.132, 1.008, -0.002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682331403941E9, 0.0, 2023-09-25 17:52:11.403
26.0, -187500.02235174447, 32235.57409472157, -26827.681282482303, -28510.63352950019, 9535.902385223197, -2070.352681917272, -187500.02235174447, -11578.807124949351, -21.345915954818246, -9830.18545272177, -20242.29857233746, -33483.360228939084, 16068.333812753417, -14099.323940196507, -19465.12841762643, -16739.109663857183, 0.132, 1.008, -0.002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682331403947E9, 0.0, 2023-09-25 17:52:11.403
28.0, -187500.02235174447, 32236.401109266415, -26835.303227341563, -28516.512038291938, 9526.715818252065, -2094.2690484844506, -187500.02235174447, -11552.610880447732, -27.067962535376854, -9852.313679732524, -20225.71357795162, -33524.621549203584, 16045.624440386826, -14129.074112066523, -19422.79421362808, -16742.194204592015, 0.13, 1.002, 0.014, 192.0, 2.0, 8.0, 15.5, 40.0, 0.0, 56.0, 0.0, 0.0, 0.0, 1.695682331403953E9, 0.0, 2023-09-25 17:52:11.403
30.0, -187500.02235174447, 32232.109574330996, -26824.619093491925, -28510.387660311182, 9538.159911413182, -2077.9522750320766, -187500.02235174447, -11587.256084353457, -33.59467191632652, -9838.701467359242, -20253.04976142046, -33499.29702273572, 16066.165693541254, -14110.276294979609, -19471.27514735164, -16755.672306498564, 0.13, 1.002, 0.014, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682331463305E9, 0.0, 2023-09-25 17:52:11.463
32.0, -187500.02235174447, 32244.850068670523, -26830.25173309466, -28508.68892773258, 9527.006390929984, -2085.2165919800514, -187500.02235174447, -11555.561310715833, -17.970802542066878, -9830.453673655233, -20217.84576390335, -33512.84217987564, 16063.259966762063, -14111.282123480098, -19430.147937553877, -16747.89389942812, 0.13, 1.002, 0.014, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682331463316E9, 0.0, 2023-09-25 17:52:11.463
