%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
208.0, 11411.660779912565, 33914.74889692651, -20008.588732312768, -18661.985535858337, -11257.456094915402, 17391.87000892997, -187500.02235174447, 15610.413624097542, 10102.608514143052, -28332.780698869312, -1768.2465038593418, -8099.579286525165, 999.4135498301447, 2680.9129334584395, -22971.938308708468, -29333.356539411136, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684517138326E9, 0.0, 2023-09-25 18:28:37.138
210.0, 11413.873602613641, 33911.37378351376, -19995.62472052869, -18651.100236308605, -11261.971147295375, 17376.782581422638, -187500.02235174447, 15592.755745977849, 10100.596857142074, -28342.861335618658, -1773.722681250892, -8109.056426174216, 998.6088870297536, 2674.833258966596, -22972.54180580876, -29338.76566156932, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684517138334E9, 0.0, 2023-09-25 18:28:37.138
212.0, 11426.301172530792, 33922.95198714161, -19995.71412750651, -18634.98462855633, -11255.355030936604, 17377.20726456729, -187500.02235174447, 15582.496295272864, 10119.95346784037, -28331.886629091103, -1756.6012449981267, -8094.88542018955, 1020.6700588071417, 2676.9343229453953, -22964.40577082703, -29337.692777835466, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684517138338E9, 0.0, 2023-09-25 18:28:37.138
214.0, 11413.158346791071, 33911.3067282804, -20003.783107254876, -18622.959390039374, -11258.506626904802, 17375.888511644425, -187500.02235174447, 15616.068615444734, 10110.185755513401, -28331.573704668728, -1773.0968324061434, -8099.691045247441, 1008.2648406344463, 2660.9751774043057, -22969.1219889071, -29331.27782717679, 0.088, 0.89, 0.47600000000000003, 192.0, 1.0, 96.0, 13.5, 104.0, 7.0, 112.0, 0.0, 0.0, 0.0, 1.695684517138341E9, 0.0, 2023-09-25 18:28:37.138
216.0, 11409.984399078417, 33917.319347538876, -20000.743270008956, -18624.389901684513, -11262.596996140122, 17373.29570928761, -187500.02235174447, 15612.648798543072, 10106.274200233722, -28330.590227912693, -1758.5458467657384, -8095.399510312022, 1010.7682360134406, 2674.0285961662053, -22959.108407391122, -29318.313815392714, 0.088, 0.89, 0.47600000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684517138344E9, 0.0, 2023-09-25 18:28:37.138
218.0, 11411.101986301182, 33916.84996090531, -20005.995929955952, -18642.137186782027, -11259.624214127567, 17385.030375126647, -187500.02235174447, 15619.555487579762, 10102.80967984315, -28326.566913910738, -1766.5030677918278, -8098.774623724774, 1002.3863318427005, 2678.76716599073, -22962.148244637043, -29317.307986892225, 0.088, 0.89, 0.47600000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684517138348E9, 0.0, 2023-09-25 18:28:37.138
220.0, 11408.263314755359, 33916.71585043858, -20003.738403765965, -18629.195526742402, -11261.166484494983, 17379.934177390835, -187500.02235174447, 15610.815955497737, 10106.676531633919, -28321.1354400081, -1764.2231898573864, -8094.661902744998, 1015.6856197936082, 2688.4007678509674, -22956.515605034307, -29309.842504244152, 0.088, 0.89, 0.47600000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684517138351E9, 0.0, 2023-09-25 18:28:37.138
222.0, 11410.565544434256, 33913.69836493711, -19999.089240919264, -18641.287820492726, -11257.053763515207, 17383.62221522596, -187500.02235174447, 15586.407850552541, 10107.727063623317, -28318.74380335138, -1764.1561346240205, -8091.59971375462, 995.5466980393766, 2676.420232822923, -22960.851843458637, -29317.732670036876, 0.088, 0.89, 0.47600000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684517138354E9, 0.0, 2023-09-25 18:28:37.138
224.0, 11417.181660793027, 33923.15315284171, -20012.76850852591, -18630.715445365364, -11266.79912409772, 17370.501741230695, -187500.02235174447, 15609.296036874777, 10098.13816525199, -28321.001329541366, -1770.4816783048725, -8089.632760242554, 1011.5728988138318, 2690.3006661296686, -22958.8178347132, -29314.04463220175, 0.09, 0.888, 0.48, 192.0, 1.0, 104.0, 13.5, 96.0, 7.5, 0.0, 0.0, 0.0, 0.0, 1.695684517138358E9, 0.0, 2023-09-25 18:28:37.138
0.0, 5756.535322253147, 17009.856344444317, -9992.704986656307, -9325.41600768757, -5558.454162890215, 8656.696517073693, -93750.01117587223, 7514.880003318787, 5055.80813357927, -14162.020583393643, -885.9337432305507, -4048.1467900451175, 506.17760493488373, 1324.0502862990245, -11481.80055401332, -14654.585975955246, 0.044, 0.89, 0.47400000000000003, 192.0, 0.5, 48.0, 13.5, 104.0, 7.0, 104.0, 0.0, 0.0, 0.0, 1.695684517299613E9, 0.0, 2023-09-25 18:28:37.299
2.0, 11511.841298561252, 34014.16945626372, -19980.939624421553, -18646.093445550614, -11122.25039270525, 17316.902258026872, -187500.02235174447, 15025.155547279783, 9882.376776024912, -28026.047709709135, -1825.914004554034, -7947.855645162541, 1050.9566725440827, 2736.7922945967075, -22860.291345154208, -29165.62904901851, 0.044, 0.89, 0.47400000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684517299624E9, 0.0, 2023-09-25 18:28:37.299
4.0, 11520.402016687634, 34027.84872387037, -19962.745304434935, -18639.566736169665, -11119.322314181605, 17323.294856941087, -187500.02235174447, 15027.346018236402, 9867.132886306392, -28021.77852651817, -1803.6293153320928, -7940.1889968143705, 1051.984852789027, 2731.427875927434, -22857.027990463735, -29157.783586714697, 0.044, 0.89, 0.47400000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684517299628E9, 0.0, 2023-09-25 18:28:37.299
6.0, 11509.159089226616, 34010.03438353949, -19983.018336655896, -18644.39471297201, -11128.888860808476, 17313.795365547583, -187500.02235174447, 15014.024378541038, 9859.466237958222, -28019.1633724169, -1820.0801992511988, -7943.698220693854, 1024.983945487016, 2734.1100852620707, -22858.592612575605, -29155.950743669364, 0.044, 0.89, 0.47400000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684517299631E9, 0.0, 2023-09-25 18:28:37.299
8.0, 11515.127004996182, 34015.89054058678, -19978.48093253147, -18640.5502129257, -11121.177508971396, 17316.14229871539, -187500.02235174447, 15024.105015290383, 9867.401107239855, -28025.600674820027, -1815.8333678046904, -7942.223005559803, 1046.1286957417365, 2731.3384689496124, -22860.55956608767, -29157.29184833668, 0.014, 0.89, 0.47200000000000003, 192.0, 0.0, 56.0, 13.5, 104.0, 7.0, 96.0, 0.0, 0.0, 0.0, 1.695684517299634E9, 0.0, 2023-09-25 18:28:37.299
10.0, 11511.99776077244, 34014.281214986, -19969.406124282614, -18640.527861181243, -11126.877203807499, 17308.676816067316, -187500.02235174447, 15006.804765081975, 9862.036688570583, -28022.87376199648, -1820.974269029411, -7948.168569584915, 1035.5116171254656, 2732.768980594752, -22862.973554488846, -29160.86812744953, 0.014, 0.89, 0.47200000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684517299638E9, 0.0, 2023-09-25 18:28:37.299
12.0, 11513.651789862131, 34017.835142354386, -19968.892034160144, -18638.40444545799, -11122.384503171981, 17312.05192948007, -187500.02235174447, 15027.882460103328, 9864.540083949576, -28016.88349448246, -1808.7925683012688, -7937.350325268546, 1050.4872859105212, 2737.2169777413583, -22853.18349041742, -29156.643647747478, 0.014, 0.89, 0.47200000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684517299641E9, 0.0, 2023-09-25 18:28:37.299
14.0, 11512.42244391709, 34016.76225862053, -19967.439170770547, -18643.41123621598, -11122.853889805543, 17304.161763687345, -187500.02235174447, 15001.216828968149, 9857.991022824172, -28023.052575952122, -1819.5661091287268, -7947.162741084426, 1041.3230706838453, 2730.0867712601153, -22860.42545562094, -29166.05373216316, 0.014, 0.89, 0.47200000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684517299644E9, 0.0, 2023-09-25 18:28:37.299
16.0, 11510.790766571852, 34017.79043886548, -19983.75594422292, -18644.059436805182, -11133.783892844189, 17300.89840899687, -187500.02235174447, 15009.01758778305, 9857.119304790414, -28025.243046908745, -1819.499053895361, -7945.5757672281, 1041.9936230175047, 2727.449265414389, -22859.643144565005, -29167.260726363747, 0.014, 0.89, 0.47200000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684517359907E9, 0.0, 2023-09-25 18:28:37.359
18.0, 11512.958885784017, 34015.91289233123, -19964.980478880465, -18642.561869926678, -11130.699352109355, 17313.95182775877, -187500.02235174447, 15016.863050086862, 9851.084333787481, -28034.02728247968, -1833.9606325579446, -7958.450372034356, 1032.628242090731, 2734.646527128998, -22867.734476057827, -29169.7864734872, 0.014, 0.89, 0.47200000000000003, 192.0, 0.0, 0.0, 13.5, 104.0, 7.0, 80.0, 0.0, 0.0, 0.0, 1.695684517359917E9, 0.0, 2023-09-25 18:28:37.359
20.0, 11510.813118316308, 34014.10240103035, -19977.788028453353, -18643.254774004792, -11131.548718398657, 17314.398862647875, -187500.02235174447, 15015.030207041527, 9841.42838018279, -28027.902904498926, -1822.8294638192015, -7952.549511498155, 1031.4435996345997, 2717.9944775097943, -22860.93954574341, -29164.734979240297, 0.014, 0.89, 0.47200000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684517359921E9, 0.0, 2023-09-25 18:28:37.359
22.0, 11510.32137993829, 34013.52125567452, -19977.743324964445, -18646.83105311764, -11133.426264932903, 17310.777880046116, -187500.02235174447, 15007.140041248804, 9850.927871576294, -28022.560837574107, -1819.0296672617994, -7946.738057939775, 1044.8993497966947, 2736.1887974964143, -22865.611060334573, -29163.282115850703, 0.014, 0.89, 0.47200000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684517359924E9, 0.0, 2023-09-25 18:28:37.359
24.0, 11509.561420626811, 34019.33270923289, -19982.28072908887, -18647.009867073284, -11125.558450884635, 17309.95086550127, -187500.02235174447, 15016.930105320229, 9838.56735689251, -28030.607465578018, -1826.651612121059, -7955.231720832792, 1041.725402084041, 2723.068323501149, -22875.267013939265, -29173.809787489154, 0.014, 0.89, 0.47200000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684517359927E9, 0.0, 2023-09-25 18:28:37.359
