%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 29788.303946054453, -187500.02235174447, -16594.024490597785, -18249.5064436801, -20659.4268273624, -19761.53490084826, -187500.02235174447, -18686.12541987007, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695759115200559E9, 0.0, 2023-09-26 15:11:55.200
224.0, 29709.3128811494, -187500.02235174447, -16623.48408978988, -18281.111810339906, -20683.298490440666, -19770.14032246355, -187500.02235174447, -18704.252684623323, -12219.542231505184, -13036.610250068934, 8453.921491375148, -31908.813942529436, -21871.830150107166, -28749.59602947188, 18083.164761443706, 7573.866256936343, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695759115200577E9, 0.0, 2023-09-26 15:11:55.200
226.0, 29584.277222666413, -187500.02235174447, -16597.19843831044, -18262.157531041805, -20663.51719659772, -19767.122836962084, -187500.02235174447, -18692.294501339737, -12215.205993080854, -13052.43528514329, 8277.141544478125, -32092.67939241879, -21862.107141269105, -28739.649503189266, 17938.392512606682, 7522.881927833788, 0.028, 0.499, -0.064, 192.0, 0.5, 96.0, 15.5, 24.0, 126.0, 0.0, 0.0, 0.0, 0.0, 1.695759115200588E9, 0.0, 2023-09-26 15:11:55.200
228.0, 29505.755544394917, -187500.02235174447, -16622.075929889194, -18283.65990920781, -20692.2838917117, -19772.420200397995, -187500.02235174447, -18709.348882359136, -12202.21962955232, -13049.730724064199, 8296.83343134325, -32083.96221208122, -21855.245155721328, -28747.003227115063, 17969.21556821055, 7554.1296665823065, 0.028, 0.499, -0.064, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695759115200604E9, 0.0, 2023-09-26 15:11:55.200
230.0, 29351.23793497538, -187500.02235174447, -16613.559915251724, -18273.33340326946, -20681.108019484047, -19770.00621199682, -187500.02235174447, -18704.40914683451, -12215.697731458871, -13079.927930823318, 8144.148664969047, -32248.403996038916, -21854.731065598855, -28740.722386923124, 17851.265412719895, 7511.7507590950445, 0.028, 0.499, -0.064, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695759115200617E9, 0.0, 2023-09-26 15:11:55.200
232.0, 29319.453754359933, -187500.02235174447, -16633.542374794768, -18292.33238605647, -20699.928188315414, -19779.416296412506, -187500.02235174447, -18716.479088840377, -12197.905742872446, -13071.34486095248, 8163.192351244968, -32246.52644950467, -21841.52118462577, -28749.6854364497, 17883.0719450798, 7545.904224622754, 0.028, 0.499, -0.064, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695759115200626E9, 0.0, 2023-09-26 15:11:55.200
234.0, 29164.220889117827, -187500.02235174447, -16625.473395046403, -18285.425697019782, -20688.52879864321, -19776.219996955395, -187500.02235174447, -18713.014568449806, -12212.099100601567, -13100.223314788738, 8043.096428286604, -32383.430884293426, -21846.349161428116, -28748.769014927035, 17789.731060234437, 7513.650657373746, 0.028, 0.499, -0.064, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695759115200636E9, 0.0, 2023-09-26 15:11:55.200
236.0, 29104.89935933344, -187500.02235174447, -16630.7260549934, -18290.90187441133, -20691.00984227775, -19772.643717842548, -187500.02235174447, -18715.406205106523, -12186.126373544499, -13089.002739072173, 8043.409352708978, -32402.295756613705, -21828.98185598634, -28749.39486377178, 17801.644540029116, 7539.019887330519, 0.045, 0.7304999999999999, -0.101, 192.0, 0.5, 120.0, 15.0, 8.0, 125.5, 88.0, 0.0, 0.0, 0.0, 1.695759115200652E9, 0.0, 2023-09-26 15:11:55.200
238.0, 28915.222455885705, -187500.02235174447, -16625.80867121323, -18283.771667930087, -20692.350946945066, -19774.54361612125, -187500.02235174447, -18719.56362957521, -12190.239094524277, -13113.209678317271, 7900.626409128477, -32566.62578184912, -21824.019768717262, -28743.806927657955, 17684.901378739047, 7498.227953699584, 0.045, 0.7304999999999999, -0.101, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695759115200662E9, 0.0, 2023-09-26 15:11:55.200
0.0, 16916.78368053242, -93750.01117587223, -8326.628306702174, -9135.962621684388, -10527.22460356052, -10051.311260618122, -93750.01117587223, -9458.654756385655, -6087.788175080797, -6558.426506331743, 3972.173210641529, -16276.160332698862, -10911.696959936256, -14381.827638367135, 8868.523999276638, 3769.912275065455, 0.056, 0.966, -0.20600000000000002, 192.0, 0.5, 96.0, 15.0, 24.0, 124.5, 72.0, 0.0, 0.0, 0.0, 1.695759115338345E9, 0.0, 2023-09-26 15:11:55.338
