%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 18846.67800029254, 37077.92306875266, 43720.3697824919, -11068.583854268058, -1892.6786652420362, -7314.764835210423, 11807.420767238233, -30770.37254218728, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695765229190719E9, 0.0, 2023-09-26 16:53:49.190
224.0, 18836.463253076465, 37064.37791161274, 43759.37357656641, -11066.080458889062, -1873.299702799285, -7233.069209226276, 11896.112489236892, -30694.577776739334, 30909.713317121666, 54633.184329650925, -187500.02235174447, -187500.02235174447, 37901.02605831934, 9846.56928140751, -3118.04599977088, -15290.895437108928, 0.07100000000000001, 0.499, 0.045, 192.0, 2.0, 56.0, 15.5, 24.0, 1.0, 104.0, 0.0, 0.0, 0.0, 1.695765229190755E9, 0.0, 2023-09-26 16:53:49.190
226.0, 18841.201822900992, 37067.23893490302, 43720.70505865873, -11072.204836869818, -1898.6689327560584, -7289.194439553552, 11829.750159949084, -30747.976094243062, 30910.227407244136, 54682.7604988528, -187500.02235174447, -187500.02235174447, 37894.5440524273, 9890.445755773277, -3067.508705557431, -15233.563212581064, 0.07100000000000001, 0.499, 0.045, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695765229190766E9, 0.0, 2023-09-26 16:53:49.190
228.0, 18831.07648266274, 37072.156318683185, 43758.72537597721, -11070.99784266923, -1868.494077741394, -7227.123645201164, 11894.413756658287, -30688.92278539214, 30915.70358463569, 54630.032733682725, -187500.02235174447, -187500.02235174447, 37899.21556701846, 9842.993002294661, -3116.5707846368296, -15291.409527231399, 0.07100000000000001, 0.499, 0.045, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695765229190776E9, 0.0, 2023-09-26 16:53:49.190
230.0, 18844.26401189137, 37060.15343191069, 43727.947023862245, -11075.579950282568, -1901.1276246461423, -7279.382023737672, 11832.030037883525, -30746.255009920005, 30907.813418842965, 54689.98011231186, -187500.02235174447, -187500.02235174447, 37903.5965089317, 9892.926799407816, -3051.527208271886, -15223.482575831722, 0.07100000000000001, 0.499, 0.045, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695765229190805E9, 0.0, 2023-09-26 16:53:49.190
232.0, 18834.608058286674, 37082.035789732436, 43761.94402717877, -11069.321461835083, -1866.0577375957655, -7229.962316746988, 11881.673262318762, -30697.707020963077, 30922.163238783272, 54615.347637575585, -187500.02235174447, -187500.02235174447, 37895.9969158169, 9828.352609676434, -3117.71072360405, -15298.450326734821, 0.07100000000000001, 0.499, 0.045, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695765229190824E9, 0.0, 2023-09-26 16:53:49.190
234.0, 18857.11626495317, 37071.597525071804, 43728.97520410719, -11073.05420315912, -1896.009075165877, -7277.169201036597, 11824.743369191096, -30748.870164021275, 30916.709413136177, 54691.03064430126, -187500.02235174447, -187500.02235174447, 37900.60137517469, 9896.167802353835, -3043.502932012431, -15214.832450727517, 0.10550000000000001, 0.7464999999999999, 0.0645, 192.0, 2.0, 48.0, 15.5, 8.0, 1.0, 80.0, 0.0, 0.0, 0.0, 1.695765229190833E9, 0.0, 2023-09-26 16:53:49.190
236.0, 18852.06477070627, 37087.73548456854, 43755.931407920296, -11050.925976148364, -1854.233664778908, -7292.748366921946, 11809.09714807238, -30762.75059732802, 30941.98923611513, 54588.39143376249, -187500.02235174447, -187500.02235174447, 37895.54988092779, 9807.252562910624, -3153.3170525213545, -15331.530908528675, 0.10550000000000001, 0.7464999999999999, 0.0645, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695765229190844E9, 0.0, 2023-09-26 16:53:49.190
238.0, 18849.606078816185, 37078.124234452756, 43738.25117805615, -11067.063935645097, -1888.744758217902, -7284.232352284474, 11809.834755639406, -30760.157794971205, 30925.337186495926, 54685.330949465155, -187500.02235174447, -187500.02235174447, 37918.25925329438, 9894.849049430974, -3075.309464372333, -15248.136549965926, 0.10550000000000001, 0.7464999999999999, 0.0645, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695765229190853E9, 0.0, 2023-09-26 16:53:49.190
0.0, 9363.570435472779, 18415.378739282936, 21934.616200282122, -5604.655218679335, -949.8373806282736, -3689.758919448724, 5066.872247084648, -15668.930491081535, 15468.077715406147, 27298.207855010973, -93750.01117587223, -93750.01117587223, 18955.061609156324, 4907.97369575187, -1580.7824231126815, -7672.102173817418, 0.136, 1.002, 0.08600000000000001, 192.0, 2.0, 32.0, 15.5, 40.0, 1.0, 88.0, 0.0, 0.0, 0.0, 1.69576522926821E9, 0.0, 2023-09-26 16:53:49.268
