%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 32729.793516372865, 50978.76351818604, -76720.86527596299, -63657.38822905877, -50714.9235266356, -28546.709245051057, 187500.0, -51775.44674580655, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695341460697737E9, 0.0, 2023-09-21 19:11:00.697
224.0, 32975.95327805916, 51152.41422085932, -76739.61838956099, -63676.27545312351, -50654.39500265062, -28505.537331764383, 187500.0, -51795.764481516424, -8927.197328471819, -36691.68492456495, -75344.22133496063, -37073.855051261795, -13866.374059483298, -64145.4385692404, -58358.88485418378, -59355.72795340156, 0.136, 1.004, 0.094, 192.0, 2.0, 32.0, 15.5, 48.0, 1.0, 120.0, 0.0, 0.0, 0.0, 1.695341460697747E9, 0.0, 2023-09-21 19:11:00.697
226.0, 32859.47833770255, 51000.44471030769, -76727.4590405773, -63658.50581628154, -50717.40457027013, -28561.394341158193, 187500.0, -51784.40979533313, -8944.922261824879, -36699.15040721303, -75352.290314709, -37086.975525257054, -13901.198077344667, -64155.18392982292, -58387.36097661984, -59286.92928396813, 0.136, 1.004, 0.094, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695341460697751E9, 0.0, 2023-09-21 19:11:00.697
228.0, 33061.87338374536, 51134.44341831725, -76734.05280519162, -63661.09861863835, -50653.724450316964, -28510.991157411478, 187500.0, -51794.75865301593, -8924.04573250362, -36685.20291867291, -75330.34090165388, -37060.46635633306, -13874.018356087014, -64141.325848260625, -58366.86442695432, -59358.633680180756, 0.136, 1.004, 0.094, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695341460697754E9, 0.0, 2023-09-21 19:11:00.697
230.0, 32974.83569083639, 51015.71095177066, -76723.14515389742, -63645.40769403073, -50721.91962265011, -28559.919126024142, 187500.0, -51784.45449882204, -8940.38485770045, -36690.477930364366, -75339.8850965363, -37071.463414605074, -13902.717995967627, -64146.13147331852, -58389.529095832004, -59279.10617340877, 0.136, 1.004, 0.094, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695341460697758E9, 0.0, 2023-09-21 19:11:00.697
232.0, 33121.105506551925, 51117.94783090924, -76724.62036903147, -63649.20749058813, -50652.338642160736, -28509.1806661106, 187500.0, -51791.13767041417, -8923.196366214319, -36679.99496221483, -75324.17182018422, -37058.99114119901, -13883.115516080323, -64134.41915922394, -58366.43974380967, -59369.78720066395, 0.136, 1.004, 0.094, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695341460697761E9, 0.0, 2023-09-21 19:11:00.697
234.0, 33052.73152026314, 51035.73811480262, -76701.86629317598, -63622.83243213087, -50711.30254403383, -28550.151413697175, 187500.0, -51769.18825735906, -8928.963116283789, -36684.46531110589, -75327.05519521896, -37062.67917903414, -13893.151449340756, -64134.0391795682, -58374.62048228032, -59276.267501862945, 0.136, 1.008, 0.098, 192.0, 2.0, 32.0, 15.5, 64.0, 1.5, 8.0, 0.0, 0.0, 0.0, 1.695341460697764E9, 0.0, 2023-09-21 19:11:00.697
236.0, 33156.84594593596, 51096.3113422765, -76709.71175547979, -63632.39897875774, -50641.52039784437, -28507.057250387345, 187500.0, -51788.991902946465, -8909.427691629851, -36671.92598246646, -75306.69275602016, -37041.825001457335, -13870.397373485253, -64120.96340906184, -58352.04522038045, -59383.153543848224, 0.136, 1.008, 0.098, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695341460697767E9, 0.0, 2023-09-21 19:11:00.697
238.0, 33143.189030073765, 51062.87313257136, -76706.13547636694, -63624.620571687294, -50714.63295395768, -28553.32536140983, 187500.0, -51781.213495876014, -8932.762912841192, -36689.60621233061, -75330.34090165388, -37059.862859232766, -13890.804516172948, -64141.90699361647, -58373.86052296883, -59265.91864418014, 0.136, 1.008, 0.098, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695341460697771E9, 0.0, 2023-09-21 19:11:00.697
240.0, 33177.14132990138, 51064.70597561669, -76694.53492099463, -63614.78580412696, -50640.380458877145, -28491.232215312986, 187500.0, -51768.785925958866, -8905.47143286126, -36659.409005571484, -75301.55185479544, -37030.38090829622, -13867.446943217152, -64107.99939727777, -58344.378572032285, -59391.58015150788, 0.136, 1.008, 0.098, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695341460697774E9, 0.0, 2023-09-21 19:11:00.697
0.0, 16353.09503711403, 25511.074127086893, -38328.57022626045, -31818.66935714118, -25326.381662652693, -14255.897910105934, 93749.98882412778, -25877.5086256872, -4459.93297814524, -18344.121377959418, -37664.589305471105, -18527.517441215212, -6933.488778291796, -32068.15952875132, -29173.63097353351, -29637.362615747767, 0.134, 1.004, 0.098, 192.0, 2.0, 24.0, 15.5, 48.0, 1.5, 8.0, 0.0, 0.0, 0.0, 1.695341460779872E9, 0.0, 2023-09-21 19:11:00.779
2.0, 32901.79018995645, 51204.51613718464, -76689.7516476812, -63670.66516526523, -50673.371633693176, -28531.241837887985, 187500.0, -51785.95206570054, -8909.584153841037, -36635.33617679312, -75316.86279974732, -37056.778318497934, -13824.643352585239, -64105.339539687586, -58306.067682035886, -58607.01156938214, 0.134, 1.004, 0.098, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695341460838194E9, 0.0, 2023-09-21 19:11:00.838
