%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -74237.05002511144, 72383.39750568838, -5222.6192024492275, 14602.17113520755, 57858.6081097851, 47368.554457253755, -187500.02235174447, 54325.53491896808, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422697788123E9, 0.0, 2023-09-22 17:44:57.788
240.0, -74340.31508449497, 72300.76310643711, -5205.0283795629, 14528.700951182956, 57861.33502260865, 47357.89267514857, -187500.02235174447, 54227.835443953925, 64811.341740052914, 80969.48486202775, 33169.09470189747, 8876.235351113719, 62826.14920451036, 42542.790477608505, 10036.402647066432, 27486.655412513664, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422697788133E9, 0.0, 2023-09-22 17:44:57.788
242.0, -74247.68945547217, 72361.9845345002, -5214.438463978585, 14593.342196147705, 57870.99097621334, 47373.80711720075, -187500.02235174447, 54291.91789530729, 64780.652794915775, 80930.01168131968, 33191.647612052875, 8881.08567966052, 62836.31924823752, 42547.61845441085, 10007.45713799681, 27451.585525463288, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422697788137E9, 0.0, 2023-09-22 17:44:57.788
244.0, -74358.91173588177, 72283.12758006186, -5184.21890547501, 14520.16258480103, 57866.72179302237, 47365.42521303001, -187500.02235174447, 54201.415682007755, 64831.59242052942, 80973.12819637397, 33177.096626412465, 8881.71152850527, 62830.91012607934, 42548.311358488965, 10035.597984266042, 27478.63113625421, 0.10200000000000001, 1.002, 0.08600000000000001, 192.0, 1.5, 24.0, 15.5, 40.0, 1.0, 88.0, 0.0, 0.0, 0.0, 1.695422697788141E9, 0.0, 2023-09-22 17:44:57.788
246.0, -74291.14124669328, 72329.93213295127, -5215.243126778976, 14601.791155551811, 57869.918092479485, 47371.79546019977, -187500.02235174447, 54291.537915651556, 64750.36618117883, 80918.72405036975, 33203.114056958446, 8902.766871782169, 62843.896489607876, 42555.55332369248, 9953.321212926056, 27399.461257393512, 0.10200000000000001, 1.002, 0.08600000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422697788144E9, 0.0, 2023-09-22 17:44:57.788
248.0, -74361.79511091652, 72284.1110568179, -5188.97982704399, 14525.169375559019, 57862.11733366458, 47358.04913735976, -187500.02235174447, 54214.2455833251, 64841.31542936748, 80984.30406860162, 33177.07427466801, 8887.18770589682, 62825.4786521767, 42541.76229736356, 10028.512481273709, 27473.333772818303, 0.10200000000000001, 1.002, 0.08600000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422697788147E9, 0.0, 2023-09-22 17:44:57.788
250.0, -74326.00996804357, 72310.93315016427, -5214.6396296786825, 14596.94082700501, 57871.34860412462, 47370.11907936562, -187500.02235174447, 54280.11617423489, 64725.354579133345, 80913.51609391166, 33196.14031268839, 8897.357749623985, 62839.1802715278, 42550.07714630093, 9931.192985915302, 27393.582748601766, 0.10200000000000001, 1.002, 0.08600000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69542269778815E9, 0.0, 2023-09-22 17:44:57.788
252.0, -74342.68436940723, 72303.82529542748, -5197.69700738156, 14525.862279637133, 57851.2543858593, 47348.639052944076, -187500.02235174447, 54212.25627806858, 64856.581670830456, 80992.19423439435, 33179.622373535916, 8875.408336568873, 62826.752701610654, 42534.185055993206, 10025.338533561056, 27485.96250843555, 0.10200000000000001, 1.002, 0.08600000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422697788167E9, 0.0, 2023-09-22 17:44:57.788
254.0, -74326.07702327693, 72308.13918210736, -5211.912716855135, 14588.447164111993, 57867.817028500685, 47356.43981175897, -187500.02235174447, 54263.48647636014, 64724.9745994776, 80910.40920143238, 33189.90417598536, 8878.604636025982, 62832.988838313686, 42537.02372753903, 9934.054009205582, 27404.55745512932, 0.098, 1.006, 0.082, 192.0, 1.5, 8.0, 15.5, 56.0, 1.0, 72.0, 0.0, 0.0, 0.0, 1.69542269778817E9, 0.0, 2023-09-22 17:44:57.788
0.0, -36791.552518791264, 36131.14787711476, -2635.0471538361494, 7248.089581500242, 28892.91541491931, 23642.311828412036, -93750.01117587223, 27001.66726132241, 32415.93032073144, 40494.722484913174, 16591.297577774236, 4442.722134914653, 31414.616872622595, 21272.758695216024, 5009.227098134411, 13741.807787633872, 0.098, 1.008, 0.08, 192.0, 1.5, 8.0, 15.5, 64.0, 1.0, 64.0, 0.0, 0.0, 0.0, 1.695422697957554E9, 0.0, 2023-09-22 17:44:57.957
