%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -187500.02235174447, 20170.258899958004, -50696.46098571551, -42839.62164397498, -27127.50758260579, -10062.911815990426, -187500.02235174447, -11625.321105160845, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680237305356E9, 0.0, 2023-09-25 17:17:17.305
194.0, -187500.02235174447, 20186.955653066118, -50679.92069481858, -42845.12017311098, -27121.76318428078, -10060.296661889155, -187500.02235174447, -11615.754558533974, 8104.31785634969, 13485.612092687143, -20054.365104957236, -28189.595423888615, 35425.12332500498, -6917.775501939715, -30422.266474040327, -26390.61527140323, -0.002, 1.01, -0.068, 192.0, 127.5, 120.0, 15.5, 72.0, 126.5, 112.0, 0.0, 0.0, 0.0, 1.695680237305365E9, 0.0, 2023-09-25 17:17:17.305
196.0, -187500.02235174447, 20226.607647729834, -50679.04897678483, -42825.45063799032, -27105.736983506322, -10041.990583180259, -187500.02235174447, -11610.72541603153, 8136.169092198503, 13509.975494143426, -19961.068923600786, -28121.84728644458, 35542.17941071742, -6893.099176061056, -30359.90510701002, -26372.197433972055, -0.002, 1.01, -0.068, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680237305369E9, 0.0, 2023-09-25 17:17:17.305
198.0, -187500.02235174447, 20236.889450179275, -50686.35799722171, -42850.05990863561, -27113.358928365582, -10059.246129899757, -187500.02235174447, -11616.469814356544, 8092.717300977386, 13496.922075381528, -20047.92780255411, -28191.495322167317, 35419.46833365779, -6900.028216842201, -30417.997290849366, -26401.925254097612, -0.002, 1.01, -0.068, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680237305372E9, 0.0, 2023-09-25 17:17:17.305
200.0, -187500.02235174447, 20273.568662830432, -50689.84486935674, -42851.69158598084, -27107.145143407008, -10060.85545550054, -187500.02235174447, -11627.511576117466, 8130.089417706659, 13514.378787801123, -19970.344897549738, -28126.965835924846, 35517.63719530549, -6890.640484170972, -30365.470691379393, -26385.89905332316, -0.002, 1.01, -0.068, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680237305376E9, 0.0, 2023-09-25 17:17:17.305
202.0, -187500.02235174447, 20280.318889655937, -50696.84096537125, -42858.93355118437, -27101.825428226643, -10064.252920657746, -187500.02235174447, -11616.402759123179, 8143.813388802218, 13502.554714984264, -20045.714979853034, -28189.1036855106, 35427.33614770605, -6907.001961112257, -30416.566779204226, -26414.196361803577, -0.002, 1.01, -0.068, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680237305379E9, 0.0, 2023-09-25 17:17:17.305
204.0, -187500.02235174447, 20289.885436282806, -50671.18116273656, -42858.77708897318, -27103.300643360693, -10063.60472006854, -187500.02235174447, -11606.880915985217, 8140.102999222637, 13511.830688933218, -19971.037801627852, -28136.018292429246, 35500.22518637481, -6886.17013527991, -30370.9692205154, -26398.863065107234, -0.002, 1.018, -0.07, 192.0, 127.5, 120.0, 15.5, 104.0, 126.5, 104.0, 0.0, 0.0, 0.0, 1.695680237305382E9, 0.0, 2023-09-25 17:17:17.305
206.0, -187500.02235174447, 20278.508398355058, -50727.060523874825, -42866.28727511016, -27098.02563166924, -10062.75535377924, -187500.02235174447, -11603.595209550287, 8096.919428934983, 13484.00276708636, -20061.00357306046, -28208.527351442262, 35396.69190605783, -6904.006827355245, -30434.31406430174, -26432.457737023564, -0.002, 1.018, -0.07, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680237305385E9, 0.0, 2023-09-25 17:17:17.305
208.0, -187500.02235174447, 20293.953453773673, -50668.901284802116, -42870.15412690093, -27095.902215945986, -10067.13629569248, -187500.02235174447, -11612.938238732606, 8143.388705657567, 13502.040624861793, -19997.72578450749, -28160.56050784117, 35478.74515995326, -6890.059338815134, -30386.39192418956, -26403.199303531565, -0.002, 1.018, -0.07, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680237305389E9, 0.0, 2023-09-25 17:17:17.305
0.0, -93750.01117587223, 10071.874865517006, -25318.223275926506, -21417.776813242057, -13563.038535480326, -5083.703110659494, -93750.01117587223, -5928.375533625547, 4063.99417686393, 6744.482427177719, -10036.045019155148, -14115.193678759775, 17688.50000959635, -3453.2774631115753, -15220.196869396792, -13213.926638832885, -0.002, 1.018, -0.108, 192.0, 127.5, 120.0, 15.5, 104.0, 126.0, 80.0, 0.0, 0.0, 0.0, 1.695680237469809E9, 0.0, 2023-09-25 17:17:17.469
2.0, -187500.02235174447, 20139.637010054234, -50561.41174571655, -42832.491437493736, -27138.37053041107, -10179.364404602577, -187500.02235174447, -11860.416753341766, 8169.160267014536, 13237.641839699965, -20154.478568372557, -28190.40008668901, 35310.34711722698, -6936.416856815441, -29570.307382381845, -26340.145032423145, -0.002, 1.018, -0.108, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680237469819E9, 0.0, 2023-09-25 17:17:17.469
4.0, -187500.02235174447, 20137.55829781989, -50617.71578999946, -42852.65271099242, -27144.003170013806, -10178.515038313275, -187500.02235174447, -11868.351622623399, 8144.2827754357795, 13193.675958356376, -20100.342643301803, -28136.51003080726, 35372.7978912351, -6946.676307520427, -29522.720518436498, -26311.288930331342, -0.002, 1.018, -0.108, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680237469823E9, 0.0, 2023-09-25 17:17:17.469
