%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -187500.02235174447, 28253.87904094208, -29860.902412045292, -31224.582341263576, 17402.554142779605, 6785.699043953306, -187500.02235174447, -16970.78549513644, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69568193783993E9, 0.0, 2023-09-25 17:45:37.839
224.0, -187500.02235174447, 28234.365968032598, -29856.27560094304, -31228.98563492127, 17410.77958473916, 6797.232544092244, -187500.02235174447, -17037.3713418688, -1986.8689163767, -12195.000016093258, -20692.66387136744, -37803.37128679411, 17496.006786347247, -12793.423270395193, -27035.865430339032, -23858.34143857258, 0.148, 1.002, -0.096, 192.0, 2.0, 80.0, 15.5, 40.0, 126.5, 0.0, 0.0, 0.0, 0.0, 1.695681937839938E9, 0.0, 2023-09-25 17:45:37.839
226.0, -187500.02235174447, 28265.569003292207, -29855.739159076114, -31225.521114530697, 17410.1090324055, 6789.275323066155, -187500.02235174447, -16963.252957255, -1973.033186558865, -12190.239094524277, -20663.89717625346, -37826.39358358307, 17489.301263010653, -12788.327072659384, -26986.512778581713, -23825.909057367928, 0.148, 1.002, -0.096, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681937839942E9, 0.0, 2023-09-25 17:45:37.839
228.0, -187500.02235174447, 28245.608895493617, -29845.680874071226, -31212.22182657979, 17396.407413054396, 6814.979829189758, -187500.02235174447, -17066.00392651605, -1982.5997331857366, -12179.376146718998, -20686.561845131142, -37786.40631275252, 17514.603437734062, -12777.642938809746, -27039.799337363165, -23861.873014196517, 0.148, 1.002, -0.096, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681937839945E9, 0.0, 2023-09-25 17:45:37.839
230.0, -187500.02235174447, 28261.232764867877, -29882.87417684486, -31237.591056536563, 17398.77669796666, 6789.141212599423, -187500.02235174447, -16961.800093865408, -1977.3023697498286, -12181.45485895334, -20669.820388534117, -37820.98446142489, 17488.049565321155, -12767.808171249411, -26990.893720494954, -23821.975150343795, 0.148, 1.002, -0.096, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681937839949E9, 0.0, 2023-09-25 17:45:37.839
232.0, -187500.02235174447, 28229.850915652623, -29877.68857213123, -31238.75334724824, 17374.48035174374, 6789.208267832789, -187500.02235174447, -17052.70463856514, -2002.3810270286833, -12197.03402483869, -20703.683281383906, -37810.21092059743, 17485.9261495979, -12798.608875108825, -27037.519459428724, -23861.023647907215, 0.148, 1.002, -0.096, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681937839952E9, 0.0, 2023-09-25 17:45:37.839
234.0, -187500.02235174447, 28259.19875612244, -29880.862519843882, -31243.000178694747, 17404.074061402567, 6778.568837472062, -187500.02235174447, -16953.77581760595, -1988.2100210440185, -12207.181716821398, -20693.066202767637, -37842.68800529099, 17473.923262825403, -12801.626360610291, -27009.378613159493, -23844.05867386564, 0.15, 1.004, -0.094, 192.0, 2.0, 88.0, 15.5, 48.0, 126.5, 8.0, 0.0, 0.0, 0.0, 1.695681937839956E9, 0.0, 2023-09-25 17:45:37.839
236.0, -187500.02235174447, 28236.19881107793, -29855.359179420375, -31212.020660879694, 17379.397735523908, 6794.8632591799815, -187500.02235174447, -17072.86591206383, -1991.451023990038, -12201.45967024084, -20701.358699960554, -37819.084563146185, 17498.107850326043, -12802.363968177317, -27041.54277343068, -23869.83023522261, 0.15, 1.004, -0.094, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681937839975E9, 0.0, 2023-09-25 17:45:37.839
238.0, -187500.02235174447, 28260.383398578575, -29883.63413615634, -31241.346149605055, 17416.233410386256, 6780.982825873235, -187500.02235174447, -16976.440486483632, -1964.941855066044, -12176.716289128815, -20671.027382734705, -37817.36347882313, 17514.446975522875, -12779.833409766366, -27010.429145148893, -23841.5776302311, 0.15, 1.004, -0.094, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681937839979E9, 0.0, 2023-09-25 17:45:37.839
0.0, -93750.01117587223, 14170.067211397554, -14884.496019422535, -15612.51468807634, 8629.919127216235, 3402.1143200533775, -93750.01117587223, -8400.880801782705, -1006.1414249111921, -6108.687056146509, -10359.206540489977, -18916.4154429931, 8741.677849492771, -6409.385074303756, -13524.571183272743, -11943.095856081945, 0.138, 1.008, -0.108, 192.0, 2.0, 40.0, 15.5, 64.0, 126.0, 80.0, 0.0, 0.0, 0.0, 1.69568193800953E9, 0.0, 2023-09-25 17:45:38.009
