%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 17946.59560282178, 32320.622482374012, -25880.6602216554, -22922.20567729541, -13829.046646242936, 11608.959628219562, -187500.02235174447, 31314.972795840837, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684043070062E9, 0.0, 2023-09-25 18:20:43.070
224.0, 17948.20492842256, 32332.759479613243, -25877.21805300928, -22920.618703439082, -13826.051512485923, 11616.939200990106, -187500.02235174447, 31339.850287419595, 5665.295501386583, -35885.68101950658, -6398.343312542834, -13183.841190796042, 1610.9349263828906, -2844.9747377603935, -28790.276204380538, -35944.82373533532, 0.048, 0.914, 0.424, 192.0, 0.5, 64.0, 14.0, 72.0, 6.5, 32.0, 0.0, 0.0, 0.0, 1.695684043070071E9, 0.0, 2023-09-25 18:20:43.070
226.0, 17933.296314870873, 32333.765308113732, -25881.5095879447, -22926.385453508552, -13825.872698530282, 11615.240468411503, -187500.02235174447, 31325.880447135027, 5648.732858745201, -35888.899670708146, -6397.561001486898, -13182.790658806642, 1587.9796848272902, -2884.4255667240104, -28787.392829345805, -35942.1862294896, 0.048, 0.914, 0.424, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684043070075E9, 0.0, 2023-09-25 18:20:43.070
228.0, 17954.12814070322, 32334.122936025018, -25883.208320523303, -22920.372834250073, -13829.78425380996, 11616.134538189715, -187500.02235174447, 31345.617037489064, 5646.2518151106615, -35886.999772429444, -6397.203373575613, -13185.025833252173, 1608.4091792594409, -2874.769613119318, -28788.353954357382, -35946.07543302482, 0.048, 0.914, 0.424, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684043070078E9, 0.0, 2023-09-25 18:20:43.070
230.0, 17944.226317909517, 32314.699270093355, -25886.136399046947, -22920.64105518354, -13834.031085256469, 11619.800224280385, -187500.02235174447, 31320.15840055447, 5667.195399665285, -35885.50220555093, -6413.520147027987, -13187.149248975427, 1599.0437983326672, -2854.4295256649884, -28791.17027415875, -35938.58759863229, 0.048, 0.914, 0.424, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684043070081E9, 0.0, 2023-09-25 18:20:43.070
232.0, 17926.523736300915, 32317.470886405816, -25880.526111188665, -22912.259151012797, -13826.140919463745, 11625.656381327675, -187500.02235174447, 31342.376034543042, 5634.360687060438, -35910.53615934088, -6384.261713535991, -13162.6070335635, 1597.7697488987149, -2883.1291655456025, -28781.603727531878, -35936.19596197557, 0.048, 0.914, 0.424, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684043070084E9, 0.0, 2023-09-25 18:20:43.070
234.0, 17936.69378002808, 32321.114220752028, -25885.21997752428, -22920.95397960591, -13824.30807641841, 11623.644724326698, -187500.02235174447, 31305.160380024958, 5647.503512800159, -35893.48177832148, -6388.240324049035, -13168.08321095505, 1604.7434931687706, -2867.058261282237, -28781.782541487522, -35931.07741249531, 0.05, 0.918, 0.42, 192.0, 0.5, 72.0, 14.0, 88.0, 6.5, 16.0, 0.0, 0.0, 0.0, 1.695684043070089E9, 0.0, 2023-09-25 18:20:43.070
236.0, 17942.058198697352, 32329.58553190059, -25896.954643363315, -22929.358235521107, -13832.421759655686, 11616.268648656447, -187500.02235174447, 31336.05049086219, 5645.894187199377, -35891.268955620406, -6403.6406759787415, -13182.03069949516, 1602.1059873230442, -2875.7754416198068, -28782.49779731009, -35937.06768000933, 0.05, 0.918, 0.42, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684043070092E9, 0.0, 2023-09-25 18:20:43.070
238.0, 17953.144663947187, 32336.268703492726, -25884.92940484636, -22925.469031985886, -13823.458710129109, 11625.030532482926, -187500.02235174447, 31313.76580164025, 5649.448114567771, -35885.85983346222, -6413.564850516898, -13189.987920521251, 1593.9252488524019, -2869.025214794304, -28787.772809001544, -35934.58663637479, 0.05, 0.918, 0.42, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684043070095E9, 0.0, 2023-09-25 18:20:43.070
0.0, 8978.226361063285, 16168.827255824479, -12953.014725806086, -11408.844460111197, -6966.1446769409995, 5939.149074453006, -93750.01117587223, 16395.54099983466, 2829.932013741972, -17945.74623653248, -3202.334428111843, -6591.462384636687, 806.7415126253978, -1436.6136713759508, -14388.331996003628, -17963.582928607815, 0.065, 0.916, 0.423, 192.0, 1.0, 64.0, 14.0, 72.0, 6.5, 40.0, 0.0, 0.0, 0.0, 1.695684043205008E9, 0.0, 2023-09-25 18:20:43.205
