%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
196.0, 9232.790378664778, 21945.233278898395, 26759.843738060445, -5708.1214437629515, 30559.48383325146, 30734.945027225618, -187500.02235174447, 50818.859138352775, 13430.872670516095, -18940.55532700483, -7976.264712365236, 8780.055794722533, 11921.995809316137, -187500.02235174447, 13142.065780409072, -55572.9187217854, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959356411183295E9, 0.0, 2023-09-28 16:14:01.118
198.0, 9236.947803133466, 21936.091415416173, 27010.11622072652, -5764.023156645675, 30532.75114688291, 30741.78466102894, -187500.02235174447, 51061.576731392954, 13365.31500402868, -18953.027600410893, -8006.484270868811, 8788.638864593371, 11897.475945648664, -187500.02235174447, 13372.042879109727, -55336.79489335953, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695935641118352E9, 0.0, 2023-09-28 16:14:01.118
200.0, 9252.817541696733, 21946.10499693215, 26685.77005693556, -5726.628688171946, 30571.777292701878, 30710.17929436914, -187500.02235174447, 50753.56969279882, 13431.90085076104, -18936.241440324957, -7979.237494377791, 8774.11023069742, 11926.421454718287, -187500.02235174447, 13158.471960839268, -55550.4105151189, 0.095, 0.5, 0.041, 192.0, 2.5, 120.0, 15.5, 32.0, 1.0, 72.0, 0.0, 0.0, 0.0, 1.6959356411183681E9, 0.0, 2023-09-28 16:14:01.118
202.0, 9233.63974495408, 21913.471450027402, 27049.991732834787, -5742.386668012938, 30530.828896859755, 30758.548469370424, -187500.02235174447, 51091.505717218606, 13370.053573853205, -18949.741893975963, -8004.91964875694, 8799.859440309936, 11901.186335228245, -187500.02235174447, 13317.951657527883, -55399.4244813233, 0.095, 0.5, 0.041, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695935641118384E9, 0.0, 2023-09-28 16:14:01.118
204.0, 9249.397724795072, 21961.34888665067, 26656.221050765642, -5759.1281246099625, 30565.29528680984, 30679.13272132072, -187500.02235174447, 50735.867111190215, 13420.121481433092, -18940.80119619384, -7994.324921885124, 8759.49218982365, 11912.78689060055, -187500.02235174447, 13208.13753701896, -55494.91113363638, 0.095, 0.5, 0.041, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959356411183991E9, 0.0, 2023-09-28 16:14:01.118
206.0, 9230.756369919345, 21908.53171450278, 27068.588384221603, -5733.736542908734, 30526.35854796869, 30767.9138502972, -187500.02235174447, 51113.58924074045, 13361.425800493456, -18943.46105378402, -8013.145090716493, 8788.102422726444, 11925.057998306513, -187500.02235174447, 13292.224799659825, -55422.69264730128, 0.095, 0.5, 0.041, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959356411184163E9, 0.0, 2023-09-28 16:14:01.118
208.0, 9256.952614420965, 21938.639514284077, 26637.400881934274, -5777.858886463509, 30566.03289437686, 30647.6838168721, -187500.02235174447, 50732.022611143904, 13415.092338930648, -18962.214167382022, -8012.496890127289, 8747.77987572907, 11896.134840981345, -187500.02235174447, 13254.986793397284, -55434.94140326278, 0.095, 0.5, 0.041, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695935641118431E9, 0.0, 2023-09-28 16:14:01.118
210.0, 9209.477509197892, 21891.834961394663, 27061.30171552917, -5714.111711276974, 30525.41977470157, 30777.413341690703, -187500.02235174447, 51101.02756035657, 13377.161428589992, -18941.963486905515, -8007.467747624844, 8800.194716476764, 11890.569256611974, -187500.02235174447, 13241.843967657564, -55470.12304903544, 0.1395, 0.748, 0.0625, 192.0, 2.5, 96.0, 15.5, 16.0, 1.0, 80.0, 0.0, 0.0, 0.0, 1.695935641118446E9, 0.0, 2023-09-28 16:14:01.118
212.0, 9250.515312017837, 21963.427598885013, 26620.65942533725, -5789.481793580269, 30562.34485654174, 30634.92097078812, -187500.02235174447, 50707.30158177634, 13411.359597606612, -18958.928460947092, -8005.813718535152, 8754.105419409922, 11914.105643523413, -187500.02235174447, 13264.776857468709, -55422.22326066771, 0.1395, 0.748, 0.0625, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695935641118461E9, 0.0, 2023-09-28 16:14:01.118
214.0, 9205.58830566267, 21883.028374079273, 27075.204500580374, -5699.158394236373, 30526.98439681344, 30793.841873865353, -187500.02235174447, 51108.001304626625, 13377.474353012367, -18939.79536769335, -8000.225782421325, 8800.150012987855, 11924.588611672953, -187500.02235174447, 13191.664301355398, -55529.31046835309, 0.1395, 0.748, 0.0625, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695935641118476E9, 0.0, 2023-09-28 16:14:01.118
