%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -10829.487243829637, -18092.328976670382, 9434.604279351744, 18357.06303799904, -27601.09634412484, -17687.44947760695, 163076.9417377641, -21121.79501316488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695339032183843E9, 0.0, 2023-09-21 18:30:32.183
192.0, -10826.201537394707, -18085.53404635597, 9433.799616551354, 18360.438151411792, -27597.967099901092, -17689.237617163377, 163057.47336834352, -21130.623952224727, 19955.168063064582, 11767.098220240858, -5681.858144027966, -6310.031570199915, 5122.148111122622, -4312.3220577623915, -5818.896689283453, -3432.356230301408, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695339032183853E9, 0.0, 2023-09-21 18:30:32.183
200.0, -10824.011066438088, -18079.923758497687, 9431.005648494442, 18344.4790058707, -27604.94084417115, -17699.07238472371, 163061.3849236232, -21121.482088742505, 19948.976629850466, 11766.673537096207, -5689.681254587324, -6315.373637124734, 5113.0285993848565, -4320.636906699766, -5820.304849184138, -3430.8139599339916, 0.108, 0.972, 0.28, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695339032183858E9, 0.0, 2023-09-21 18:30:32.183
200.0, -10828.52611881806, -18084.796438788944, 9418.91335474412, 18351.430398396304, -27599.84464643534, -17689.50583809684, 163065.00590622498, -21126.17595507812, 19948.976629850466, 11766.673537096207, -5689.681254587324, -6315.373637124734, 5113.0285993848565, -4320.636906699766, -5820.304849184138, -3430.8139599339916, 0.108, 0.972, 0.28, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695339032183861E9, 0.0, 2023-09-21 18:30:32.183
198.0, -10823.876955971356, -18081.24251142055, 9426.110616458729, 18342.757921547643, -27603.264463337, -17694.624387577103, 163063.91067074664, -21115.08948982829, 19950.965935106986, 11771.657976109742, -5685.188553951807, -6308.936334721606, 5110.0334656278455, -4316.054799086428, -5819.7237038283, -3431.1045326119106, 0.108, 0.972, 0.28, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695339032183865E9, 0.0, 2023-09-21 18:30:32.183
202.0, -10826.849737983912, -18087.791572545957, 9429.552785104846, 18343.49552911467, -27598.36943130129, -17691.584550331183, 163082.01558375545, -21111.334396759798, 19950.876528129163, 11762.717278327618, -5685.836754541011, -6320.603945327276, 5110.838128428237, -4326.0013253690395, -5819.611945106023, -3433.4738175241732, 0.108, 0.972, 0.28, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695339032183868E9, 0.0, 2023-09-21 18:30:32.183
208.0, -10814.66803725577, -18072.748848527535, 9429.843357782765, 18347.80941579454, -27602.482152281067, -17698.580646345694, 163061.36257187874, -21122.309103287353, 19958.14084507714, 11769.825133064405, -5677.0078154811645, -6305.24829688648, 5133.100465905723, -4327.297726547447, -5825.177529475395, -3442.1686461172876, 0.108, 0.972, 0.28, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695339032183871E9, 0.0, 2023-09-21 18:30:32.183
210.0, -10810.532964531538, -18071.698316538135, 9427.429369381593, 18346.5800698495, -27600.17992260217, -17702.514553369827, 163065.00590622498, -21125.103071344267, 19959.303135788818, 11768.260510952534, -5674.660882313357, -6307.4387678431, 5109.497023760918, -4331.321040549403, -5825.825730064599, -3444.314413584997, 0.108, 0.972, 0.28, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695339032183875E9, 0.0, 2023-09-21 18:30:32.183
212.0, -10809.929467431244, -18073.709973539113, 9435.475997385502, 18346.75888380514, -27602.07982088087, -17696.524285855805, 163074.0360109849, -21122.71143468755, 19960.04074335584, 11765.33243242889, -5672.716280545746, -6311.618544056242, 5131.938175194046, -4330.717543449109, -5822.830596307587, -3445.8566839524133, 0.108, 0.972, 0.28, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695339032183878E9, 0.0, 2023-09-21 18:30:32.183
214.0, -10815.942086689722, -18082.583616087868, 9425.529471102891, 18341.573279091514, -27601.543379013943, -17698.200666689954, 163065.27412715842, -21122.622027709727, 19956.86679564319, 11761.107952726836, -5680.628798082924, -6318.972267982039, 5121.723427977971, -4330.784598682475, -5828.463235910325, -3448.6953554982374, 0.11, 0.968, 0.28400000000000003, 192.0, 1.5, 56.0, 15.0, 32.0, 4.0, 112.0, 0.0, 0.0, 0.0, 1.695339032183882E9, 0.0, 2023-09-21 18:30:32.183
