%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
194.0, -22412.138868825303, -9523.519518794958, -64758.16693999374, -65663.99373578951, -34830.00812888243, -40285.37604634477, -187500.02235174447, -61584.75566920706, -9430.513910116424, -187500.02235174447, -65622.39713935819, -59262.94586216759, -41663.40579550336, -47563.70753809304, -67548.8939939611, -63403.67357774659, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695417016497322E9, 0.0, 2023-09-22 16:10:16.497
196.0, -22429.52852601153, -9537.288193379425, -64768.22522499863, -65680.71284064208, -34845.631998256686, -40294.74142727154, -187500.02235174447, -61598.61375076935, -9455.816084839831, -187500.02235174447, -65639.74209305551, -59279.150876897686, -41662.46702223623, -47554.096287977256, -67572.58684308373, -63418.716301765, -0.038, 0.47500000000000003, 0.162, 192.0, 126.5, 80.0, 14.5, 88.0, 5.0, 16.0, 0.0, 0.0, 0.0, 1.695417016497333E9, 0.0, 2023-09-22 16:10:16.497
198.0, -22395.308005250456, -9513.148309367694, -64752.24372771308, -65648.23575594852, -34829.80696318233, -40263.15841235619, -187500.02235174447, -61573.75861093505, -9433.687857829078, -187500.02235174447, -65629.46029060606, -59254.56395799684, -41658.7342809122, -47540.595834326254, -67557.56647080976, -63401.751327723425, -0.038, 0.47500000000000003, 0.162, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695417016497337E9, 0.0, 2023-09-22 16:10:16.497
200.0, -22404.941607110693, -9520.16675712666, -64738.74327406207, -65670.16281725917, -34833.33853880627, -40273.14964212771, -187500.02235174447, -61575.63615746929, -9426.334133903281, -187500.02235174447, -65615.95983695505, -59248.97602188302, -41647.55840868454, -47519.58519453826, -67552.13499690712, -63395.537542764854, -0.038, 0.47500000000000003, 0.162, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69541701649734E9, 0.0, 2023-09-22 16:10:16.497
202.0, -22393.989252327592, -9509.415568043658, -64727.50034660105, -65653.13078798424, -34823.973157879496, -40277.1059008963, -187500.02235174447, -61576.57493073642, -9446.830683568798, -187500.02235174447, -65614.81989798784, -59253.37931554071, -41678.426167777325, -47525.441351585556, -67552.02323818485, -63414.134194151666, -0.038, 0.47500000000000003, 0.162, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695417016497343E9, 0.0, 2023-09-22 16:10:16.497
204.0, -22395.039784316992, -9508.096815120794, -64717.53146857399, -65642.64781983469, -34816.64178569815, -40282.962057943594, -187500.02235174447, -61574.65268071326, -9407.62572379419, -187500.02235174447, -65590.4341447871, -59231.65341993015, -41637.388364957376, -47525.709572519016, -67534.05243564278, -63393.05649913031, -0.038, 0.47500000000000003, 0.162, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695417016497347E9, 0.0, 2023-09-22 16:10:16.497
206.0, -22388.3342609804, -9498.329102793825, -64712.68114002718, -65645.30767742488, -34800.79439887934, -40279.22931661956, -187500.02235174447, -61566.159017820246, -9420.030941966885, -187500.02235174447, -65601.8335344593, -59241.48818749049, -41637.63423414639, -47537.19836916905, -67531.34787456368, -63397.95153116602, -0.063, 0.7125, 0.24, 192.0, 126.5, 32.0, 14.5, 88.0, 4.5, 120.0, 0.0, 0.0, 0.0, 1.69541701649735E9, 0.0, 2023-09-22 16:10:16.497
208.0, -22387.909577835748, -9494.797527169887, -64727.43329136769, -65649.241584449, -34795.787608121354, -40274.49074679503, -187500.02235174447, -61564.41558175273, -9407.536316816368, -187500.02235174447, -65593.04929888836, -59235.38616125419, -41629.408792186834, -47527.40830509762, -67511.07484234271, -63389.949606651026, -0.063, 0.7125, 0.24, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695417016497355E9, 0.0, 2023-09-22 16:10:16.497
210.0, -22380.3323364654, -9489.20959105606, -64711.40709059323, -65635.69642730909, -34793.41832320909, -40273.797842716915, -187500.02235174447, -61565.108485830846, -9402.104842913728, -187500.02235174447, -65591.35056630976, -59224.29969600436, -41624.804332829044, -47533.13035167818, -67514.67347320002, -63392.318891563285, -0.063, 0.7125, 0.24, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69541701649736E9, 0.0, 2023-09-22 16:10:16.497
0.0, -11396.014558793851, -4940.227263000877, -32487.29944077724, -32919.828047731884, -17521.241905837287, -20240.845708947865, -93750.01117587223, -30889.373229667337, -4705.98098110926, -93750.01117587223, -32793.384229348216, -29608.886493311704, -20818.906524051014, -23759.144396679927, -33756.40913920512, -31690.303288734354, -0.076, 0.9560000000000001, 0.316, 192.0, 126.5, 80.0, 14.5, 112.0, 4.5, 112.0, 0.0, 0.0, 0.0, 1.695417016653435E9, 0.0, 2023-09-22 16:10:16.653
2.0, -22788.765762897227, -9882.868514402928, -64976.90111123337, -65835.20809831716, -35031.26323595801, -40491.10150231141, -187500.02235174447, -61784.02147102612, -9650.969165679118, -187500.02235174447, -65860.51027304056, -59501.46132725017, -41894.27696398222, -47707.183385751654, -67755.55822319486, -63590.98119628206, -0.076, 0.9560000000000001, 0.316, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695417016653458E9, 0.0, 2023-09-22 16:10:16.653
4.0, -22775.354716224043, -9870.686813674785, -64966.77577099512, -65831.27419129302, -35041.1203552628, -40491.6602959228, -187500.02235174447, -61790.481125173705, -9659.060497171939, -187500.02235174447, -65865.36060158737, -59505.842269163404, -41913.09713281359, -47718.448664957126, -67767.47170298955, -63610.13664128025, -0.076, 0.9560000000000001, 0.316, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695417016653461E9, 0.0, 2023-09-22 16:10:16.653
6.0, -22800.209856058344, -9890.736328451196, -64988.16639043885, -65843.16531934326, -35046.66358788772, -40509.742857187135, -187500.02235174447, -61801.29936949007, -9645.33652607638, -187500.02235174447, -65865.11473239836, -59503.18241157322, -41908.24680426679, -47716.07938004487, -67768.76810416796, -63609.801365113424, -0.076, 0.9560000000000001, 0.316, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695417016653464E9, 0.0, 2023-09-22 16:10:16.653
