%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
194.0, 17514.55873424515, 17145.553785032487, -32797.988688706006, -61198.31635931926, -187500.02235174447, 2513.520719232645, -187500.02235174447, -187500.02235174447, -45503.27903071392, 14375.144466774997, -4395.2023262026705, -65427.445224218995, -8682.825706341948, -48275.7447094613, -3124.907985318659, 19479.32177535555, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419050528928E9, 0.0, 2023-09-22 16:44:10.528
196.0, 17502.46644049483, 17133.43913953771, -32790.05381942437, -61209.11225189117, -187500.02235174447, 2532.206777597282, -187500.02235174447, -187500.02235174447, -45509.26929822795, 14367.209597493364, -4435.703687155687, -65435.0448173338, -8685.284398232032, -48283.14313687601, -3116.8613573147486, 19451.739722697705, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419050528936E9, 0.0, 2023-09-22 16:44:10.528
198.0, 17508.054376608656, 17138.043598895503, -32798.07809568383, -61206.83237395673, -187500.02235174447, 2525.8365304275194, -187500.02235174447, -187500.02235174447, -45513.82905409683, 14369.623585894537, -4397.281038437014, -65444.499605238394, -8689.397119211808, -48285.80299446619, -3114.2462032134777, 19489.33535687153, -0.06, 0.966, 0.274, 192.0, 127.0, 16.0, 15.0, 24.0, 4.0, 72.0, 0.0, 0.0, 0.0, 1.695419050528941E9, 0.0, 2023-09-22 16:44:10.528
200.0, 17504.053414351158, 17135.137872116313, -32787.371610089736, -61206.83237395673, -187500.02235174447, 2536.7665334661647, -187500.02235174447, -187500.02235174447, -45515.10310353078, 14361.532254401714, -4428.551128929988, -65447.20416631749, -8690.693520390216, -48296.84475622711, -3119.3200492048322, 19457.975859400733, -0.06, 0.966, 0.274, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419050528944E9, 0.0, 2023-09-22 16:44:10.528
202.0, 17506.959141130345, 17139.652924496284, -32797.564005561355, -61206.318283834255, -187500.02235174447, 2534.173731109349, -187500.02235174447, -187500.02235174447, -45514.94664131959, 14362.314565457651, -4396.543430869989, -65442.73381742642, -8687.966607566668, -48293.60375328109, -3118.7612555934497, 19497.560798831084, -0.06, 0.966, 0.274, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419050528948E9, 0.0, 2023-09-22 16:44:10.528
204.0, 17512.10004235507, 17147.2972211, -32777.91682218514, -61195.991777895906, -187500.02235174447, 2513.0960360879944, -187500.02235174447, -187500.02235174447, -45510.208071495064, 14372.55166441818, -4431.054524308983, -65437.3470470127, -8683.853886586892, -48289.78160497923, -3122.7622178509496, 19444.22953656072, -0.06, 0.966, 0.274, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419050528951E9, 0.0, 2023-09-22 16:44:10.528
206.0, 17508.076728353113, 17139.854090196382, -32786.72340950053, -61204.12781287764, -187500.02235174447, 2495.8851928574077, -187500.02235174447, -187500.02235174447, -45505.87183307074, 14370.875283584033, -4431.032172564527, -65435.849480134195, -8672.0968690034, -48285.646532255, -3109.194708966578, 19456.61240298896, -0.06, 0.966, 0.274, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419050528954E9, 0.0, 2023-09-22 16:44:10.528
208.0, 17495.671510180415, 17126.510098756564, -32783.77297923243, -61214.05198741579, -187500.02235174447, 2514.4818442442233, -187500.02235174447, -187500.02235174447, -45514.87958608623, 14357.620699122037, -4441.626899436343, -65449.059361107276, -8685.798488354503, -48293.62610502555, -3129.043058042891, 19418.256809503655, -0.062, 0.966, 0.274, 192.0, 127.0, 8.0, 15.0, 24.0, 4.0, 72.0, 0.0, 0.0, 0.0, 1.695419050528958E9, 0.0, 2023-09-22 16:44:10.528
210.0, 17510.356606287554, 17143.363314075865, -32787.706886256565, -61202.18321111002, -187500.02235174447, 2509.1844808083156, -187500.02235174447, -187500.02235174447, -45513.18085350763, 14359.051210767177, -4412.256707222069, -65448.27705005134, -8681.90928481928, -48296.241259126815, -3115.9896392809915, 19472.504493296685, -0.062, 0.966, 0.274, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419050528961E9, 0.0, 2023-09-22 16:44:10.528
0.0, 8738.0121634021, 8561.925120583192, -16376.184389136362, -30593.99492669045, -93750.01117587223, 1213.0962268228802, -93750.01117587223, -93750.01117587223, -22752.64534385745, 7184.051833635787, -2212.375666186293, -32718.28236797838, -4340.19468309816, -24146.030741456838, -1564.9797397827792, 9710.40245418578, -0.064, 0.968, 0.27, 192.0, 127.0, 0.0, 15.0, 32.0, 4.0, 56.0, 0.0, 0.0, 0.0, 1.695419050680364E9, 0.0, 2023-09-22 16:44:10.680
