%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 22380.57820565441, 38314.08629585341, -48043.21951189274, -41841.83977149007, -28725.8808286048, -18150.26469829854, -187500.02235174447, -4954.331213752176, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420741178301E9, 0.0, 2023-09-22 17:12:21.178
224.0, 22386.233197001602, 38312.566377230454, -48025.919261684336, -41836.765925498716, -28700.31043294793, -18145.190852307183, -187500.02235174447, -4933.007649541813, -4559.1523717823475, 24084.183464549, -41000.43070321449, -37378.55403167654, -8948.833817104556, -36598.746371119785, -41804.13237859397, -39814.53654939372, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69542074117831E9, 0.0, 2023-09-22 17:12:21.178
226.0, 22392.178761026713, 38324.97159540315, -48026.34394482899, -41828.62989051699, -28709.854627830344, -18137.188927792184, -187500.02235174447, -4937.12037052159, -4556.648976403353, 24114.40302305258, -40998.79902586926, -37376.87765084239, -8944.654040891415, -36595.84064434059, -41801.047837859136, -39811.921395292455, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420741178314E9, 0.0, 2023-09-22 17:12:21.178
228.0, 22385.205016756656, 38310.889996396305, -48036.44693332278, -41846.354823870046, -28710.368717952817, -18157.104332101862, -187500.02235174447, -4949.212664271911, -4560.202903771747, 24089.547883218274, -41003.649354416055, -37383.06908405651, -8949.571424671582, -36601.58504266561, -41806.09933210604, -39818.17988373994, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420741178318E9, 0.0, 2023-09-22 17:12:21.178
230.0, 22396.894979106783, 38329.419592549755, -48038.905625212865, -41841.593902301065, -28722.90804659224, -18153.77392217802, -187500.02235174447, -4955.381745741576, -4565.2543980186465, 24114.76065096386, -41012.41123824254, -37389.52873820409, -8956.813389875102, -36610.704554403375, -41817.23050084478, -39829.06518328967, -0.038, 0.494, 0.08600000000000001, 192.0, 126.5, 80.0, 15.0, 112.0, 2.5, 48.0, 0.0, 0.0, 0.0, 1.695420741178321E9, 0.0, 2023-09-22 17:12:21.178
232.0, 22385.76381036804, 38314.13099934233, -48021.18069185981, -41831.28974810717, -28696.48828464607, -18142.776863906012, -187500.02235174447, -4941.344850223643, -4555.732554880686, 24086.329232016713, -41000.520110192316, -37379.20223226574, -8946.15160776992, -36597.42761819692, -41805.00409662773, -39816.659965116974, -0.038, 0.494, 0.08600000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420741178324E9, 0.0, 2023-09-22 17:12:21.178
234.0, 22409.546066468487, 38342.070679911456, -48027.84151170749, -41831.13328589598, -28709.072316774407, -18142.7321604171, -187500.02235174447, -4949.235016016366, -4553.989118813171, 24120.929732433528, -41003.29172650477, -37380.610392166425, -8946.375125214474, -36601.24976649878, -41806.568718739596, -39820.01272678527, -0.038, 0.494, 0.08600000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420741178328E9, 0.0, 2023-09-22 17:12:21.178
236.0, 22386.34495572388, 38315.02506912054, -48021.47126453773, -41831.8261899741, -28695.236586956573, -18146.15197731876, -187500.02235174447, -4941.88129209057, -4543.32733670799, 24091.850112897173, -40988.33840946417, -37368.98748504966, -8933.701686108314, -36588.37516169252, -41794.00703835572, -39808.52393013524, -0.038, 0.494, 0.08600000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420741178338E9, 0.0, 2023-09-22 17:12:21.178
238.0, 22412.29533103649, 38344.551723546, -48031.641308264894, -41834.5754545421, -28710.01109004153, -18149.102407586863, -187500.02235174447, -4954.711193407917, -4553.586787412976, 24121.19795336699, -41004.31990674972, -37382.1750142783, -8944.765799613691, -36604.98250782282, -41805.65229721693, -39823.36548845357, -0.038, 0.494, 0.08600000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420741178342E9, 0.0, 2023-09-22 17:12:21.178
0.0, 11185.796402191687, 19124.59959084983, -23973.4082190285, -20918.70706304396, -14341.147463458476, -9066.091068517098, -93750.01117587223, -2539.4934462897118, -2273.2618180825493, 12041.152959007379, -20497.39903180588, -18687.93591117095, -4469.566580005477, -18296.892141925353, -20900.75861224635, -19908.587027619724, -0.078, 0.99, 0.176, 192.0, 126.5, 72.0, 15.0, 120.0, 2.5, 64.0, 0.0, 0.0, 0.0, 1.695420741329532E9, 0.0, 2023-09-22 17:12:21.329
2.0, 22353.46553963012, 38226.37805061079, -47925.448170357726, -41822.3714020695, -28655.182260892663, -18118.949904316654, -187500.02235174447, -5060.9043313150805, -4523.948374265239, 24035.09903372515, -40971.23932495586, -37359.44329016725, -9008.602381778048, -36574.628838852506, -41774.896296846426, -39788.20619442537, -0.078, 0.99, 0.176, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420741329551E9, 0.0, 2023-09-22 17:12:21.329
4.0, 22392.71520289364, 38261.62675161681, -47916.999210953625, -41815.375306054986, -28647.940295689143, -18112.49025016907, -187500.02235174447, -5052.947110288991, -4510.626734569876, 24073.879310355107, -40960.35402540613, -37346.50163012763, -8994.610189749026, -36566.96219050434, -41760.41236643939, -39777.790281509195, -0.078, 0.99, 0.176, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420741329556E9, 0.0, 2023-09-22 17:12:21.329
6.0, 22361.3780571673, 38230.93780647967, -47913.24411788513, -41810.86025367502, -28648.029702666965, -18110.500944912546, -187500.02235174447, -5052.1424474886, -4502.93773447725, 24055.684990368485, -40946.42888861047, -37333.068231709985, -8985.960064644822, -36553.46173685333, -41751.29285470163, -39766.27913311472, -0.078, 0.99, 0.176, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420741329559E9, 0.0, 2023-09-22 17:12:21.329
8.0, 22398.169028540735, 38264.80069932946, -47927.57158608098, -41825.05361140414, -28661.463101084602, -18125.0295788085, -187500.02235174447, -5062.312491215765, -4510.693789803242, 24078.416714479532, -40956.598932337634, -37338.11972595689, -8995.012521149221, -36564.212925936336, -41760.36766295048, -39774.929258218915, -0.08600000000000001, 0.988, 0.178, 192.0, 126.5, 40.0, 15.0, 112.0, 2.5, 72.0, 0.0, 0.0, 0.0, 1.695420741329565E9, 0.0, 2023-09-22 17:12:21.329
10.0, 22355.365437908822, 38225.64044304376, -47937.71927806369, -41830.060402162126, -28672.99660122354, -18130.192831777673, -187500.02235174447, -5070.962616319968, -4525.915327777306, 24046.94545828646, -40969.272371443796, -37353.22950520868, -9009.854079467545, -36574.49472838578, -41774.98570382425, -39786.4404066134, -0.08600000000000001, 0.988, 0.178, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420741329569E9, 0.0, 2023-09-22 17:12:21.329
12.0, 22387.328432479913, 38254.74241432457, -47936.40052514083, -41837.19060864337, -28665.82169125339, -18135.66900916922, -187500.02235174447, -5066.201694750988, -4523.926022520784, 24060.043580537273, -40973.653313357034, -37356.53756338806, -9008.848250967056, -36579.90385054396, -41775.49979394672, -39788.78733978121, -0.08600000000000001, 0.988, 0.178, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420741329572E9, 0.0, 2023-09-22 17:12:21.329
14.0, 22352.45971112963, 38225.19340815466, -47934.746496051135, -41828.026393416694, -28670.135577933263, -18126.86242185383, -187500.02235174447, -5068.123944774145, -4523.478987631677, 24042.117481484114, -40972.58042962318, -37360.04678726754, -9011.508108557238, -36577.86984179853, -41779.098424804026, -39790.21785142635, -0.08600000000000001, 0.988, 0.178, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420741329575E9, 0.0, 2023-09-22 17:12:21.329
16.0, 22390.703545892662, 38258.56456262643, -47932.39956288333, -41829.88158820648, -28666.134615675765, -18129.902259099756, -187500.02235174447, -5066.984005806924, -4521.4673306306995, 24056.221432235412, -40972.96040927892, -37357.36457793291, -9009.54115504517, -36575.8358330531, -41777.86907885898, -39788.295601403195, -0.08600000000000001, 0.988, 0.178, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420741389885E9, 0.0, 2023-09-22 17:12:21.389
18.0, 22369.938775293682, 38244.61707408632, -47915.322830119476, -41803.59593672704, -28658.66913302769, -18105.471802410102, -187500.02235174447, -5052.567130633251, -4504.189432166748, 24062.882252083094, -40950.943940990444, -37336.51040035611, -8993.649064737447, -36556.76979503272, -41766.60379965351, -39773.63285704051, -0.084, 0.996, 0.17400000000000002, 192.0, 126.5, 48.0, 15.5, 16.0, 2.5, 56.0, 0.0, 0.0, 0.0, 1.695420741389896E9, 0.0, 2023-09-22 17:12:21.389
20.0, 22399.621891930332, 38265.448899918665, -47912.014771940085, -41811.866082175504, -28649.639028267746, -18114.881886825788, -187500.02235174447, -5046.308642185765, -4496.3439698629345, 24073.90166209956, -40945.62422581008, -37327.81557176299, -8986.183582089376, -36552.76883277522, -41757.37252919347, -39765.31800810314, -0.084, 0.996, 0.17400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420741389901E9, 0.0, 2023-09-22 17:12:21.389
22.0, 22378.52184516452, 38248.81920204392, -47910.74072250613, -41800.489044247755, -28658.602077794323, -18107.796383833454, -187500.02235174447, -5051.069563754745, -4502.110719932404, 24072.135874287593, -40949.04404271174, -37334.185818932754, -8991.033910636177, -36556.456870610346, -41763.34044496303, -39769.63189478301, -0.084, 0.996, 0.17400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420741389904E9, 0.0, 2023-09-22 17:12:21.389
24.0, 22396.87262736233, 38259.34687368237, -47914.98755395265, -41816.068210133104, -28651.20365037962, -18124.046102052464, -187500.02235174447, -5051.226025965932, -4499.69673153123, 24067.933746329993, -40947.70293804442, -37332.73295554316, -8989.513992013215, -36554.489917098275, -41755.76320359269, -39765.5862290366, -0.084, 0.996, 0.17400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420741389908E9, 0.0, 2023-09-22 17:12:21.389
26.0, 22372.263356717034, 38244.08063221939, -47930.58907158245, -41824.114838137015, -28675.321182646894, -18131.73510214509, -187500.02235174447, -5071.029671553334, -4515.99115323915, 24070.660659153542, -40963.93030451898, -37349.38500516236, -9006.456614310338, -36570.94080101738, -41773.644599156934, -39782.484147844814, -0.084, 0.996, 0.17400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420741389912E9, 0.0, 2023-09-22 17:12:21.389
28.0, 22381.85225508836, 38245.444088631164, -47920.687248788745, -41824.18189337038, -28657.037455682454, -18130.215183522127, -187500.02235174447, -5057.1492382465885, -4512.504281104121, 24046.029036763794, -40962.36568240711, -37347.14983071683, -9003.752053231246, -36571.72311207332, -41770.87298284447, -39781.83594725561, -0.088, 0.994, 0.17400000000000002, 192.0, 126.5, 32.0, 15.5, 8.0, 2.5, 56.0, 0.0, 0.0, 0.0, 1.695420741389915E9, 0.0, 2023-09-22 17:12:21.389
30.0, 22370.050534015958, 38243.6783008192, -47925.89520524684, -41819.13039912348, -28670.180281422174, -18120.29100898397, -187500.02235174447, -5060.054965025779, -4515.097083460937, 24065.09507478417, -40966.83603129817, -37350.10026098493, -9007.328332344096, -36572.81834755163, -41774.40455846841, -39782.70766528937, -0.088, 0.994, 0.17400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420741450055E9, 0.0, 2023-09-22 17:12:21.450
32.0, 22374.252661973558, 38242.47130661861, -47912.57356555147, -41818.50455027873, -28647.269743355482, -18119.44164269467, -187500.02235174447, -5042.508845628363, -4505.061150200504, 24050.09705425466, -40955.39193813705, -37340.46665912469, -8994.073747882097, -36559.34024564508, -41757.55134314911, -39766.614409281545, -0.088, 0.994, 0.17400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420741450072E9, 0.0, 2023-09-22 17:12:21.450
34.0, 22375.72787710761, 38252.864867790326, -47913.713504518695, -41810.346163552545, -28658.512670816504, -18111.73029085759, -187500.02235174447, -5052.030688766324, -4512.638391570854, 24073.14170278808, -40964.13147021907, -37349.80968830701, -9002.030968908188, -36567.87861202701, -41766.13441301995, -39776.65034254198, -0.088, 0.994, 0.17400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420741450076E9, 0.0, 2023-09-22 17:12:21.450
36.0, 22367.927118292704, 38239.654986817244, -47904.92926894776, -41815.06238163261, -28641.033606652454, -18116.714729871124, -187500.02235174447, -5047.716802086449, -4498.55679256401, 24052.935725800482, -40948.8652287561, -37335.97395848918, -8987.547038501149, -36554.71343454283, -41751.4046134239, -39763.66397901344, -0.088, 0.994, 0.17400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420741450085E9, 0.0, 2023-09-22 17:12:21.450
38.0, 22374.2303102291, 38252.28372243449, -47911.8583097289, -41816.492893277755, -28654.444653325638, -18118.21229674963, -187500.02235174447, -5052.768296333349, -4505.08350194496, 24082.820008137227, -40959.59406609465, -37343.32768241497, -8990.899800169445, -36563.18474569139, -41758.3560059495, -39773.029359940214, -0.088, 0.994, 0.176, 192.0, 126.5, 32.0, 15.5, 8.0, 2.5, 64.0, 0.0, 0.0, 0.0, 1.69542074145009E9, 0.0, 2023-09-22 17:12:21.450
40.0, 22360.3275251779, 38229.08261168988, -47904.50458580311, -41815.95645141083, -28635.490374027537, -18116.982950804588, -187500.02235174447, -5042.262976439354, -4507.542193835044, 24042.564516373222, -40961.27044692879, -37348.84856329543, -8991.391538547461, -36563.40826313594, -41756.724328604265, -39770.50361281677, -0.088, 0.994, 0.176, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420741450094E9, 0.0, 2023-09-22 17:12:21.450
42.0, 22382.14282776628, 38252.3284259234, -47912.037123684546, -41817.58812875606, -28652.030664924463, -18116.558267659937, -187500.02235174447, -5052.321261444243, -4509.106815946915, 24076.315650500736, -40964.42204289699, -37350.34613017394, -8993.649064737447, -36567.498632371266, -41758.825392583065, -39772.64938028448, -0.088, 0.994, 0.176, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420741450097E9, 0.0, 2023-09-22 17:12:21.450
44.0, 22368.195339226168, 38234.2235129146, -47897.843765955426, -41805.60759372802, -28638.44080429564, -18106.67879661069, -187500.02235174447, -5039.871339782637, -4500.3896356093455, 24046.073740252705, -40951.659196813016, -37342.657130081316, -8985.513029755715, -36552.21003916384, -41749.90704654539, -39760.13240338951, -0.088, 0.994, 0.176, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420741450101E9, 0.0, 2023-09-22 17:12:21.450
46.0, 22398.370194240833, 38266.54413539697, -47905.35395209241, -41806.45696001732, -28652.030664924463, -18106.432927421683, -187500.02235174447, -5047.493284641896, -4503.764749022097, 24082.864711626138, -40960.91281901751, -37348.42388015078, -8990.855096680534, -36559.027321222704, -41757.68545361584, -39766.92733370392, -0.088, 0.994, 0.176, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420741510247E9, 0.0, 2023-09-22 17:12:21.510
48.0, 22369.603499126853, 38236.41398387122, -47904.63869626984, -41805.07115186109, -28648.14146138924, -18107.706976855636, -187500.02235174447, -5045.436924152008, -4492.387711094345, 24057.47312992491, -40947.83704851116, -37336.33158640046, -8980.908570397922, -36542.1741059034, -41748.744755833715, -39754.365653320034, -0.08600000000000001, 0.996, 0.17200000000000001, 192.0, 126.5, 40.0, 15.5, 16.0, 2.5, 48.0, 0.0, 0.0, 0.0, 1.695420741510275E9, 0.0, 2023-09-22 17:12:21.510
