%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
238.0, -187500.02235174447, 20259.464712079134, -47901.397693323815, -40827.51760810824, -27999.82911346306, -11149.787741874188, -187500.02235174447, -16816.6702171171, 10310.747958510872, 16216.168250580818, -187500.02235174447, -13310.888506280007, 27056.384331749003, -5939.596109342112, -40618.64055617339, -22888.34278444562, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680507758831E9, 0.0, 2023-09-25 17:21:47.758
240.0, -187500.02235174447, 20251.686305008687, -47876.9001814008, -40840.906303036965, -28009.88739846795, -11160.695393168378, -187500.02235174447, -16823.75572010943, 10310.99382769988, 16209.35096852195, -187500.02235174447, -13353.200358533903, 26986.49042683726, -5940.9148622649745, -40650.22357108874, -22896.031784538245, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680507758839E9, 0.0, 2023-09-25 17:21:47.758
242.0, -187500.02235174447, 20261.945755713674, -47902.26941135757, -40821.46028536085, -27994.01765990468, -11137.114302768028, -187500.02235174447, -16808.623589113187, 10314.972438212924, 16224.326637307006, -187500.02235174447, -13313.458956892367, 27053.50095671427, -5937.830321530142, -40622.61916668644, -22895.89767407151, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680507758843E9, 0.0, 2023-09-25 17:21:47.758
244.0, -187500.02235174447, 20250.702828252655, -47884.969161149165, -40832.03266048821, -28002.39956407542, -11154.950994843364, -187500.02235174447, -16818.23483922897, 10319.040455703791, 16216.861154658933, -187500.02235174447, -13373.763963432786, 26956.80731020061, -5941.496007620813, -40678.63263829144, -22917.891790615537, 0.012, 1.012, -0.054, 192.0, 0.0, 48.0, 15.5, 80.0, 127.0, 40.0, 0.0, 0.0, 0.0, 1.695680507758846E9, 0.0, 2023-09-25 17:21:47.758
246.0, -187500.02235174447, 20250.97104918612, -47895.98857116563, -40833.50787562226, -28005.238235621244, -11154.883939609997, -187500.02235174447, -16821.833470086272, 10311.41851084453, 16221.398558783361, -187500.02235174447, -13318.957486028372, 27039.01702630723, -5934.611670328578, -40633.81739065855, -22895.025956037756, 0.012, 1.012, -0.054, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69568050775885E9, 0.0, 2023-09-25 17:21:47.758
248.0, -187500.02235174447, 20248.91468869623, -47891.6523327413, -40839.52049488074, -28008.412183333898, -11157.364983244537, -187500.02235174447, -16817.98897003996, 10307.864583476137, 16209.462727244227, -187500.02235174447, -13353.69209691192, 26973.95109819783, -5935.2822226622375, -40660.93005668283, -22896.679985127448, 0.012, 1.012, -0.054, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680507758853E9, 0.0, 2023-09-25 17:21:47.758
250.0, -187500.02235174447, 20265.52203482652, -47901.64356251283, -40829.39515464249, -27996.856331450505, -11145.406799960947, -187500.02235174447, -16816.580810139276, 10301.024949672812, 16217.129375592396, -187500.02235174447, -13306.172288199938, 27053.523308458723, -5925.626269057545, -40618.61820442894, -22881.27963319774, 0.012, 1.012, -0.054, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680507758856E9, 0.0, 2023-09-25 17:21:47.758
252.0, -187500.02235174447, 20271.445247107178, -47898.603725266905, -40836.435954145905, -27994.531750027152, -11146.077352294607, -187500.02235174447, -16811.082281003273, 10320.694484793483, 16221.420910527815, -187500.02235174447, -13363.392754005523, 26957.880193934467, -5922.2511556447935, -40677.42564409085, -22913.175572535467, 0.012, 1.012, -0.054, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69568050775886E9, 0.0, 2023-09-25 17:21:47.758
254.0, -187500.02235174447, 20284.811590291454, -47886.82435593896, -40829.64102383149, -27985.501645267206, -11140.310602225138, -187500.02235174447, -16805.583751867267, 10315.0841969352, 16219.990398882675, -187500.02235174447, -13330.78155884523, 27013.20076146135, -5915.009190441274, -40655.69974848029, -22906.559456176696, 0.012, 1.012, -0.058, 192.0, 0.0, 48.0, 15.5, 80.0, 127.0, 24.0, 0.0, 0.0, 0.0, 1.695680507758863E9, 0.0, 2023-09-25 17:21:47.758
0.0, -93750.01117587223, 10199.30216065671, -23887.91279648695, -20383.293376361537, -13984.503028929596, -5572.9157415528, -93750.01117587223, -8498.133241907744, 5159.274358662887, 8106.620086028587, -93750.01117587223, -6672.174533864801, 13489.031909588804, -2952.6430908016077, -20339.50630897359, -11454.196149611014, 0.011, 1.013, -0.063, 192.0, 0.0, 40.0, 15.5, 88.0, 126.5, 112.0, 0.0, 0.0, 0.0, 1.695680507847436E9, 0.0, 2023-09-25 17:21:47.847
2.0, -187500.02235174447, 20413.490583120656, -47751.55159849544, -40769.69364520236, -27967.73200842524, -11144.624488905012, -187500.02235174447, -16992.08670760235, 10337.681810579517, 16279.98248100072, -187500.02235174447, -13539.122168913147, 27249.078720698206, -5883.3367685481035, -39414.77559981056, -22743.03409374167, 0.011, 1.013, -0.063, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680507847447E9, 0.0, 2023-09-25 17:21:47.847
4.0, -187500.02235174447, 20431.975475785195, -47795.42807286121, -40766.36323527852, -27964.133377567934, -11135.683791122889, -187500.02235174447, -16988.75629767851, 10330.372790142632, 16285.995100259199, -187500.02235174447, -13504.164040585047, 27298.92311083354, -5866.148277061972, -39393.586146066926, -22737.669675072393, 0.011, 1.013, -0.063, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680507847451E9, 0.0, 2023-09-25 17:21:47.847
6.0, -187500.02235174447, 20439.396254944357, -47763.1745056122, -40787.66444774443, -27973.319944539064, -11150.01125931874, -187500.02235174447, -16991.349100035324, 10337.502996623874, 16289.817248561056, -187500.02235174447, -13562.435038380032, 27223.329511085693, -5866.997643351275, -39435.89799832082, -22759.686143360872, 0.011, 1.013, -0.063, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680507847454E9, 0.0, 2023-09-25 17:21:47.847
8.0, -187500.02235174447, 20449.678057393798, -47795.24925890556, -40783.730540720295, -27976.44918876281, -11149.966555829831, -187500.02235174447, -16999.373376294778, 10327.489415107897, 16281.770620557145, -187500.02235174447, -13495.826839903217, 27314.92695986354, -5865.20950379485, -39373.46957605715, -22726.694968544838, 0.012, 1.01, -0.068, 192.0, 0.0, 48.0, 15.5, 72.0, 126.5, 112.0, 0.0, 0.0, 0.0, 1.695680507847457E9, 0.0, 2023-09-25 17:21:47.847
10.0, -187500.02235174447, 20474.086162338994, -47749.80816242792, -40767.48082250128, -27955.595011186007, -11134.767369600222, -187500.02235174447, -16978.27332952897, 10353.082162509223, 16298.400318431894, -187500.02235174447, -13561.026878479348, 27222.524848285302, -5866.103573573062, -39425.83971331593, -22760.133178249976, 0.012, 1.01, -0.068, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680507847463E9, 0.0, 2023-09-25 17:21:47.847
12.0, -187500.02235174447, 20460.04926682106, -47768.51657253702, -40773.49344175976, -27974.459883506286, -11149.966555829831, -187500.02235174447, -16993.89719890323, 10335.558394856262, 16310.984350560231, -187500.02235174447, -13487.087307821192, 27320.000805854896, -5848.333936731093, -39364.640636997305, -22723.63277955446, 0.012, 1.01, -0.068, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680507847466E9, 0.0, 2023-09-25 17:21:47.847
14.0, -187500.02235174447, 20467.134769813394, -47753.36208979632, -40763.949246877346, -27970.593031715518, -11144.11039878254, -187500.02235174447, -16989.18098082316, 10337.123016968133, 16299.94258879931, -187500.02235174447, -13528.795662974795, 27257.550031846768, -5859.174532791917, -39383.32669536194, -22730.047730213133, 0.012, 1.01, -0.068, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69568050784747E9, 0.0, 2023-09-25 17:21:47.847
16.0, -187500.02235174447, 20468.922909369816, -47766.92959868069, -40760.372967764495, -27966.97204911376, -11135.43792193388, -187500.02235174447, -16988.465725000588, 10344.275575193831, 16316.169955273863, -187500.02235174447, -13484.114525808636, 27334.149460095105, -5840.711991871834, -39345.55224723247, -22719.721224274785, 0.012, 1.01, -0.068, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680507907735E9, 0.0, 2023-09-25 17:21:47.907
18.0, -187500.02235174447, 20467.872377380416, -47746.85773215983, -40769.961866135825, -27969.743665426216, -11141.674058636912, -187500.02235174447, -16989.717422690086, 10348.008316517868, 16310.22439124875, -187500.02235174447, -13535.747055500397, 27255.270153912326, -5839.34853546006, -39380.73389300512, -22732.618180825495, 0.016, 1.012, -0.068, 192.0, 0.0, 64.0, 15.5, 80.0, 126.5, 112.0, 0.0, 0.0, 0.0, 1.695680507907747E9, 0.0, 2023-09-25 17:21:47.907
20.0, -187500.02235174447, 20488.77125844613, -47755.709022964125, -40752.125174060486, -27956.466729219763, -11119.925811281897, -187500.02235174447, -16977.60277719531, 10353.126865998134, 16317.667522152367, -187500.02235174447, -13495.335101525201, 27326.236942557927, -5836.15223600295, -39344.859343154356, -22726.136174933457, 0.016, 1.012, -0.068, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680507907751E9, 0.0, 2023-09-25 17:21:47.907
22.0, -187500.02235174447, 20471.3816012599, -47745.78484842597, -40775.43804352737, -27968.223746803254, -11147.798436617666, -187500.02235174447, -16996.646463471232, 10357.016069533358, 16309.106804025985, -187500.02235174447, -13551.080352196735, 27240.11567117163, -5836.420456936415, -39397.341239135414, -22746.364503665507, 0.016, 1.012, -0.068, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680507907754E9, 0.0, 2023-09-25 17:21:47.907
24.0, -187500.02235174447, 20491.989909647695, -47754.43497353017, -40748.34772924754, -27950.789386128115, -11123.837366561576, -187500.02235174447, -16979.212102796093, 10350.891691552602, 16322.853126865999, -187500.02235174447, -13509.170831343035, 27315.35164300819, -5837.58274764809, -39354.984683392606, -22733.646361070438, 0.016, 1.012, -0.068, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680507907757E9, 0.0, 2023-09-25 17:21:47.907
26.0, -187500.02235174447, 20464.631374434397, -47763.26391259002, -40771.39237778096, -27962.322886267055, -11138.701276624355, -187500.02235174447, -16986.297605788423, 10355.80907533277, 16314.493574439715, -187500.02235174447, -13556.422419121554, 27236.695854269965, -5840.086143027084, -39397.45299785769, -22751.348942679044, 0.016, 1.012, -0.068, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680507907761E9, 0.0, 2023-09-25 17:21:47.907
28.0, -187500.02235174447, 20452.13674928388, -47779.58068604239, -40794.50408154775, -27975.59982247351, -11158.63903267849, -187500.02235174447, -17003.88842867475, 10326.483586607408, 16292.387699173416, -187500.02235174447, -13508.209706331458, 27322.5489047228, -5853.608948422546, -39337.8855988843, -22723.141041176445, 0.008, 1.012, -0.068, 192.0, 0.0, 32.0, 15.5, 80.0, 126.5, 112.0, 0.0, 0.0, 0.0, 1.695680507907764E9, 0.0, 2023-09-25 17:21:47.907
30.0, -187500.02235174447, 20447.91226958183, -47795.11514843883, -40804.8305874861, -27980.07017136457, -11166.193922304383, -187500.02235174447, -17007.621169998787, 10325.745979040383, 16288.789068316111, -187500.02235174447, -13546.744113772407, 27265.663715084043, -5868.606968952056, -39367.16638412075, -22743.324666419587, 0.008, 1.012, -0.068, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680507968034E9, 0.0, 2023-09-25 17:21:47.968
32.0, -187500.02235174447, 20479.361174030444, -47775.982055185086, -40773.69460745986, -27956.086749564023, -11135.214404489328, -187500.02235174447, -16995.17124833718, 10336.072484978735, 16290.733670083722, -187500.02235174447, -13515.921058168538, 27323.420622756556, -5870.260998041749, -39324.51925570003, -22730.673579057882, 0.008, 1.012, -0.068, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680507968046E9, 0.0, 2023-09-25 17:21:47.968
