%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -187500.02235174447, 28461.973781820987, -28449.54621190384, -31084.995697140184, 8574.956187600636, -1336.5896149384516, -187500.02235174447, -19025.022569301436, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69568217520865E9, 0.0, 2023-09-25 17:49:35.208
224.0, -187500.02235174447, 28478.98345935148, -28466.891165601155, -31109.940243952307, 8639.485673843106, -1343.9880423531583, -187500.02235174447, -18932.955733890027, -1262.4712303246536, -10933.624021246913, -23512.69406231571, -35077.441940002675, 16421.469023402813, -13873.705431664639, -23982.348916810624, -17982.157228250173, 0.046, 1.006, 0.064, 192.0, 0.5, 56.0, 15.5, 56.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.695682175208658E9, 0.0, 2023-09-25 17:49:35.208
226.0, -187500.02235174447, 28486.73951467747, -28468.902822602133, -31107.05686891757, 8603.119385614322, -1352.772277924094, -187500.02235174447, -18946.299725329845, -1252.39059357531, -10941.31302133954, -23480.395791577794, -35089.62364073082, 16424.28534320418, -13884.434269003186, -23952.21876528487, -17981.12904800523, 0.046, 1.006, 0.064, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682175208662E9, 0.0, 2023-09-25 17:49:35.208
228.0, -187500.02235174447, 28498.31771830532, -28475.384828494174, -31135.600046587, 8592.301141297954, -1361.1318303503788, -187500.02235174447, -18850.20957591648, -1262.8959134693043, -10955.97576570222, -23481.580434033924, -35090.875338420316, 16406.694520317855, -13881.79676315746, -23981.253681332313, -17991.902588832687, 0.046, 1.006, 0.064, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682175208665E9, 0.0, 2023-09-25 17:49:35.208
230.0, -187500.02235174447, 28514.813305713335, -28460.45386319803, -31099.121999635936, 8584.500382483051, -1357.3543855374319, -187500.02235174447, -18831.702331507484, -1251.585930774919, -10963.038916950098, -23436.094634067373, -35090.115379108836, 16411.678959331388, -13883.830771902893, -23939.45591920089, -17992.46138244407, 0.046, 1.006, 0.064, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682175208668E9, 0.0, 2023-09-25 17:49:35.208
232.0, -187500.02235174447, 28522.412898828137, -28460.029180053378, -31102.653575259876, 8628.332153359908, -1338.5342167060635, -187500.02235174447, -18788.89874087557, -1238.6219189908409, -10946.900957453367, -23403.081107506885, -35057.258314759536, 16419.21149721283, -13850.012582542013, -23984.89701567853, -18002.206743026585, 0.046, 1.006, 0.064, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682175208672E9, 0.0, 2023-09-25 17:49:35.208
234.0, -187500.02235174447, 28541.970675226534, -28437.34215943124, -31079.72068544873, 8610.89779268477, -1340.165894051301, -187500.02235174447, -18760.735542861887, -1213.7444274120842, -10941.201262617262, -23301.872408613257, -35072.770425411516, 16421.960761780832, -13827.325561919877, -23932.906858075483, -17985.822914340846, 0.038, 1.0, 0.074, 192.0, 0.5, 24.0, 15.5, 32.0, 1.0, 40.0, 0.0, 0.0, 0.0, 1.695682175208675E9, 0.0, 2023-09-25 17:49:35.208
236.0, -187500.02235174447, 28559.427387646127, -28451.49081367145, -31086.001525640673, 8637.585775564407, -1339.4953417176416, -187500.02235174447, -18716.814365007205, -1221.5451862269863, -10930.338314811983, -23249.189346932097, -35050.99982631204, 16420.329084435594, -13803.856230241803, -23971.55302423871, -17992.640196399712, 0.038, 1.0, 0.074, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682175208678E9, 0.0, 2023-09-25 17:49:35.208
238.0, -187500.02235174447, 28594.251405507497, -28462.890203343657, -31081.82174942753, 8659.132857219322, -1359.2319320716779, -187500.02235174447, -18628.480270919834, -1203.6414389182853, -10933.869890435923, -23161.190529011554, -35057.168907781714, 16416.90926753393, -13801.464593585086, -23931.476346430343, -17977.66452761466, 0.038, 1.0, 0.074, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682175208681E9, 0.0, 2023-09-25 17:49:35.208
0.0, -93750.01117587223, 15254.707962835786, -14157.192606591298, -15444.697790705895, 4738.569824525097, -527.6576313564339, -93750.01117587223, -8885.690139018314, -609.1744433849387, -5469.650682169281, -11573.800334191363, -17518.738510458294, 8191.199087047468, -6898.4635947303295, -11992.716728772728, -9006.344855588062, 0.084, 1.008, -0.016, 192.0, 1.0, 80.0, 15.5, 64.0, 127.5, 64.0, 0.0, 0.0, 0.0, 1.695682175364723E9, 0.0, 2023-09-25 17:49:35.364
2.0, -187500.02235174447, 30527.99022531393, -28297.84492228567, -30861.098272931373, 9475.150343793672, -1055.9858150465268, -187500.02235174447, -17732.488242684394, -1641.5791680311165, -10871.240302472152, -21133.842603426292, -34939.174048802146, 16380.43122058287, -13325.931230298429, -22683.01965987917, -17879.719183411504, 0.084, 1.008, -0.016, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682175364733E9, 0.0, 2023-09-25 17:49:35.364
4.0, -187500.02235174447, 30527.36437646918, -28268.519433560305, -30812.05854559643, 9482.615826441745, -1028.9402042556053, -187500.02235174447, -17840.961258526, -1607.5598129701393, -10844.395857381327, -21149.33236233382, -34890.156673211655, 16416.953971022842, -13326.490023909811, -22713.462735827296, -17885.48593348097, 0.084, 1.008, -0.016, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682175364737E9, 0.0, 2023-09-25 17:49:35.364
