%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
238.0, 14917.151918071739, 34382.123873486984, -22534.693483673753, -20541.566078849566, -13190.524362388178, 16859.29499379337, -187500.02235174447, 18745.983391521382, 8020.96820127585, -31160.07520676556, -3306.22533634011, -13398.663806755998, -54.448849493128, 614.3823998430253, -24649.1685091458, -31467.41169302603, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684357451874E9, 0.0, 2023-09-25 18:25:57.451
240.0, 14932.619325234811, 34389.3658386905, -22510.955931062213, -20527.14920367589, -13160.014231206684, 16882.54080802689, -187500.02235174447, 18758.85799632764, 8030.199471735892, -31147.714692081776, -3298.715150203127, -13393.791126464741, -53.152448314720196, 620.2385568903156, -24646.30748585552, -31455.69937893145, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684357451882E9, 0.0, 2023-09-25 18:25:57.451
242.0, 14934.854499680341, 34397.27835622768, -22521.55065793403, -20531.820718267052, -13171.815952279087, 16878.696307980576, -187500.02235174447, 18754.00766778084, 8038.000230550794, -31137.008206487684, -3280.3420162608645, -13376.021489622772, -31.538311426438266, 637.1141239540725, -24630.370692058885, -31442.422442724997, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684357451886E9, 0.0, 2023-09-25 18:25:57.451
244.0, 14928.439549021668, 34395.04318178215, -22527.65268417033, -20532.893602000906, -13168.79846677762, 16886.452363306566, -187500.02235174447, 18775.1300662911, 8033.865157826563, -31132.4484506188, -3286.7569669195377, -13376.200303578415, -31.024221303966204, 653.9896910178294, -24633.678750238272, -31432.45356469793, 0.096, 0.924, 0.404, 192.0, 1.5, 0.0, 14.0, 112.0, 6.0, 80.0, 0.0, 0.0, 0.0, 1.695684357451889E9, 0.0, 2023-09-25 18:25:57.451
246.0, 14919.14122332826, 34391.980992791774, -22539.49910873164, -20548.02573299715, -13184.489391385245, 16865.106447351747, -187500.02235174447, 18737.89206002856, 8028.768960090752, -31138.72929081074, -3293.194269322666, -13380.60359723611, -47.542160456438125, 628.5981093166005, -24644.608753276916, -31444.299989259245, 0.096, 0.924, 0.404, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684357451893E9, 0.0, 2023-09-25 18:25:57.451
248.0, 14925.511470498022, 34394.350277704034, -22537.241582541657, -20540.001456737693, -13182.477734384267, 16874.225959089516, -187500.02235174447, 18743.10001648665, 8023.762169332764, -31145.3007036806, -3304.7054177171494, -13388.60552175111, -63.657768208714515, 638.1199524545614, -24656.611640049417, -31454.715902175416, 0.096, 0.924, 0.404, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684357451896E9, 0.0, 2023-09-25 18:25:57.451
250.0, 14929.735950200076, 34403.98387956427, -22528.144422548346, -20533.944133990306, -13177.716812815288, 16867.72160145302, -187500.02235174447, 18742.72003683091, 8035.921518316451, -31133.230761674735, -3291.607295466339, -13375.820323922673, -44.3011575104186, 635.0577634641843, -24644.362884087906, -31451.720768418407, 0.096, 0.924, 0.404, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684357451899E9, 0.0, 2023-09-25 18:25:57.451
252.0, 14928.819528677408, 34398.30653647263, -22538.873259886892, -20534.122947945947, -13178.879103526962, 16869.219168331525, -187500.02235174447, 18741.557746119233, 8033.328715959635, -31128.313377894567, -3296.524679246507, -13374.278053555257, -51.67723318066993, 631.1685599289608, -24648.341494600954, -31456.593448709664, 0.096, 0.924, 0.404, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684357451903E9, 0.0, 2023-09-25 18:25:57.451
254.0, 14929.28891531097, 34402.37455396349, -22535.252277285133, -20531.239572911214, -13182.187161706348, 16868.503912508957, -187500.02235174447, 18742.004781008338, 8029.081884513126, -31132.98489248573, -3299.1174816033226, -13379.217789079881, -48.63739593474817, 626.519397082257, -24653.013009192113, -31464.863594158127, 0.09, 0.926, 0.4, 192.0, 1.0, 104.0, 14.0, 120.0, 6.0, 64.0, 0.0, 0.0, 0.0, 1.695684357451906E9, 0.0, 2023-09-25 18:25:57.451
0.0, 7414.7218364145565, 16505.22100987685, -11285.105202806617, -10278.919074406514, -6410.4132545487, 8471.065279372368, -93750.01117587223, 9048.254376441762, 4014.2391937064167, -15565.50896948683, -1650.5198658132394, -6688.603066039452, -30.174855014664534, 316.2995357870502, -12323.030808333257, -15727.804985976814, 0.093, 0.931, 0.393, 192.0, 1.5, 0.0, 14.5, 32.0, 6.0, 8.0, 0.0, 0.0, 0.0, 1.695684357533809E9, 0.0, 2023-09-25 18:25:57.533
2.0, 14841.55831832389, 32997.52271145853, -22568.42226605681, -20558.93338429134, -12825.766244622022, 16936.74378833101, -187500.02235174447, 18087.858627779322, 8200.184488318502, -30946.92897163975, -3414.8548143929024, -12885.73597499561, 406.7346938532226, 861.6821004965426, -24635.01985490559, -31413.74515458884, 0.093, 0.931, 0.393, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684357592066E9, 0.0, 2023-09-25 18:25:57.592
4.0, 14835.255126387494, 33012.453676754674, -22569.808074213037, -20554.507738889188, -12832.002381325054, 16947.472625669554, -187500.02235174447, 18108.39988093375, 8209.48281401191, -30941.475145992656, -3409.870375379369, -12894.006120444075, 396.1623187258624, 872.7462140019196, -24635.533945028063, -31413.87926505557, 0.093, 0.931, 0.393, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684357592076E9, 0.0, 2023-09-25 18:25:57.592
6.0, 14819.474794802047, 33002.41774349425, -22583.532045308595, -20571.316250719578, -12841.948907607664, 16932.00521850648, -187500.02235174447, 18081.130752698275, 8198.753976673363, -30946.660750706287, -3417.8275964054583, -12893.804954743977, 393.12248147994063, 860.6986237405091, -24643.915849198802, -31416.673233112484, 0.093, 0.931, 0.393, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69568435759208E9, 0.0, 2023-09-25 18:25:57.592
8.0, 14827.811995483877, 33014.59944422239, -22577.050039416557, -20564.923651805362, -12838.015000583531, 16930.932334772628, -187500.02235174447, 18079.834351519865, 8190.662645180541, -30951.376968786357, -3420.7109714401927, -12903.796184515499, 382.46069937475914, 856.0047574048946, -24648.609715534418, -31424.630454138573, 0.10200000000000001, 0.934, 0.382, 192.0, 1.5, 24.0, 14.5, 24.0, 5.5, 120.0, 0.0, 0.0, 0.0, 1.695684357592083E9, 0.0, 2023-09-25 18:25:57.592
