%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 61419.44216721561, 62876.10535336797, -25637.137965814825, -31682.61428864173, -1860.9838916044107, -1254.0446226650029, -187500.02235174447, 5940.423123886958, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.077, 0.496, 0.09, 192.0, 2.0, 104.0, 15.5, 0.0, 2.5, 80.0, 0.0, 0.0, 0.0, 1.695762807137104E9, 0.0, 2023-09-26 16:13:27.137
240.0, 61424.96304809607, 62887.48239129572, -25631.572381445454, -31677.294573461364, -1849.8527228656678, -1243.1816748597234, -187500.02235174447, 5967.4463829334245, 36900.316107310784, -9946.43687563382, 8039.4977974293, -6094.605457139666, 7873.759612293198, 6497.76387188004, -16192.96713983621, -46054.964787359815, 0.077, 0.496, 0.09, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762807137123E9, 0.0, 2023-09-26 16:13:27.137
242.0, 61423.73370215103, 62888.37646107394, -25631.72884365664, -31677.60749788374, -1852.8925601115895, -1246.9814714171257, -187500.02235174447, 5972.98961555834, 36936.14595367265, -9944.961660499772, 8042.157655019481, -6097.533535663311, 7903.353321952024, 6508.224488285124, -16195.090555559464, -46056.149429815945, 0.077, 0.496, 0.09, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762807137133E9, 0.0, 2023-09-26 16:13:27.137
244.0, 61426.93000160814, 62889.6952139968, -25624.241009264115, -31667.83978555677, -1838.8333128492013, -1232.9445758991928, -187500.02235174447, 5989.5746099441785, 36899.712610210496, -9937.63028831843, 8053.266472013769, -6087.028215769317, 7889.271722945181, 6516.9863721116035, -16187.356851977927, -46045.085316310564, 0.077, 0.496, 0.09, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762807137142E9, 0.0, 2023-09-26 16:13:27.137
246.0, 61412.244905501, 62871.21032133226, -25644.290524040523, -31693.8795678472, -1859.3745660036286, -1258.4479163226983, -187500.02235174447, 5969.145115512028, 36932.144991415145, -9942.435913376321, 8043.699925386897, -6101.154518265071, 7895.954894537318, 6520.942630880193, -16199.337387005973, -46062.31851128561, 0.077, 0.496, 0.09, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762807137158E9, 0.0, 2023-09-26 16:13:27.137
248.0, 61420.045664315905, 62883.88376043842, -25638.724939671152, -31691.934966079592, -1845.8741123526231, -1247.7861342175167, -187500.02235174447, 5985.908923853508, 36891.55422348431, -9953.052991992592, 8038.02258229525, -6105.155480522571, 7865.623577311466, 6505.76579639504, -16201.080823073486, -46064.12900258649, 0.11050000000000001, 0.743, 0.135, 192.0, 2.0, 64.0, 15.0, 120.0, 2.5, 80.0, 0.0, 0.0, 0.0, 1.695762807137167E9, 0.0, 2023-09-26 16:13:27.137
250.0, 61422.59376318381, 62890.365766330455, -25625.872686609353, -31690.102123034256, -1846.6117199196483, -1243.6287097488296, -187500.02235174447, 5988.211153532405, 36913.30247083932, -9936.088017951015, 8051.1877597794255, -6098.472308930434, 7916.1832232693705, 6515.332343021911, -16188.988529323165, -46055.7694501602, 0.11050000000000001, 0.743, 0.135, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762807137196E9, 0.0, 2023-09-26 16:13:27.137
252.0, 61420.26918176046, 62889.40464131888, -25627.5490674435, -31696.718239393027, -1838.2521674933635, -1245.1262766273353, -187500.02235174447, 5989.976941344374, 36898.84089217674, -9931.528262082133, 8057.558006949188, -6095.164250751049, 7875.927731505362, 6529.324535050933, -16180.96425306371, -46049.10863031252, 0.11050000000000001, 0.743, 0.135, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762807137205E9, 0.0, 2023-09-26 16:13:27.137
254.0, 61417.810489870375, 62892.35507158698, -25631.3488640009, -31706.84357963128, -1836.620490148126, -1245.4168493052541, -187500.02235174447, 5996.078967580673, 36917.63870926365, -9925.716808523752, 8061.827190140151, -6099.746358364387, 7891.41749041289, 6533.973697897637, -16182.886503086866, -46053.10959257002, 0.11050000000000001, 0.743, 0.135, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762807137214E9, 0.0, 2023-09-26 16:13:27.137
0.0, 30405.033279065286, 31476.888832675082, -12410.448480897961, -15727.20148887652, -985.24254384548, -334.38209705139366, -93750.01117587223, 4051.8571796246983, 18443.74310299672, -4973.84428666166, 4028.7007723690003, -3061.1831618765787, 3934.130541578596, 3257.297367727443, -8096.382987068056, -23031.706873381958, 0.126, 0.996, 0.18, 192.0, 1.5, 120.0, 15.5, 16.0, 2.5, 80.0, 0.0, 0.0, 0.0, 1.695762807314349E9, 0.0, 2023-09-26 16:13:27.314
2.0, 60812.74876746521, 62951.65424962691, -24826.171973487377, -31459.588582466673, -1987.383006499172, -677.0343395512509, -187500.02235174447, 8098.551106280221, 35281.53571862409, -9193.652474123535, 8530.699733579127, -5679.22063818224, 9009.138823644975, 5936.891548263019, -16234.295515334074, -45729.00929796807, 0.126, 0.996, 0.18, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762807314375E9, 0.0, 2023-09-26 16:13:27.314
4.0, 60801.28232255964, 62948.03326702515, -24836.744348614735, -31466.852899414647, -1987.383006499172, -686.6008861781223, -187500.02235174447, 8087.017606141282, 35233.63593025636, -9205.185974262473, 8521.78138754146, -5688.228391197728, 8977.198180818341, 5924.93336497943, -16245.381980583905, -45738.86641727286, 0.126, 0.996, 0.18, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762807314385E9, 0.0, 2023-09-26 16:13:27.314
6.0, 60812.16762210937, 62950.67077287088, -24826.48489790975, -31459.834451655683, -1983.6055616862252, -680.8788395975638, -187500.02235174447, 8083.508382261799, 35254.937142722265, -9204.291904484262, 8527.011695744002, -5683.422766139837, 8999.281704340185, 5930.454245859891, -16242.900936949365, -45738.93347250622, 0.126, 0.996, 0.18, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762807314394E9, 0.0, 2023-09-26 16:13:27.314
8.0, 60816.34739832251, 62959.03032529716, -24822.796860074624, -31449.306780017232, -1975.871858104689, -670.8876098260415, -187500.02235174447, 8086.302350318712, 35226.05868888601, -9203.666055639513, 8530.275050434477, -5674.4820683577145, 8986.720023956303, 5931.258908660282, -16236.97772466871, -45730.32805089093, 0.11800000000000001, 0.99, 0.178, 192.0, 1.5, 88.0, 15.0, 120.0, 2.5, 72.0, 0.0, 0.0, 0.0, 1.695762807314403E9, 0.0, 2023-09-26 16:13:27.314
10.0, 60827.076235661065, 62969.49094170224, -24814.929046026355, -31440.03080606828, -1984.164355297608, -662.6398161220332, -187500.02235174447, 8099.154603380514, 35258.40166311284, -9179.995558261342, 8542.210881973611, -5657.3382803604945, 8988.038776879166, 5944.357030911092, -16231.970933910721, -45716.53702456201, 0.11800000000000001, 0.99, 0.178, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762807314413E9, 0.0, 2023-09-26 16:13:27.314
12.0, 60828.3055816061, 62968.59687192403, -24812.29154018063, -31437.438003711464, -1985.1701837980968, -657.163638730483, -187500.02235174447, 8109.145833152036, 35233.72533723418, -9183.728299585378, 8543.97666978558, -5652.3538413469605, 8980.662701208914, 5945.69813557841, -16230.652180987858, -45711.217309381645, 0.11800000000000001, 0.99, 0.178, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762807314422E9, 0.0, 2023-09-26 16:13:27.314
14.0, 60820.705988491296, 62960.907871831405, -24824.71911009778, -31449.41853873951, -1994.222640302496, -668.2501039803152, -187500.02235174447, 8104.094338905137, 35263.2743434041, -9183.43772690746, 8542.300288951432, -5662.345071118483, 8996.912419427923, 5946.815722801176, -16243.996172427676, -45722.86256824286, 0.11800000000000001, 0.99, 0.178, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762807314431E9, 0.0, 2023-09-26 16:13:27.314
16.0, 60822.15885188089, 62962.383086965456, -24821.522810640672, -31448.815041639216, -1982.935009352566, -667.3113307131923, -187500.02235174447, 8097.344112079634, 35247.7175292632, -9189.986788032864, 8542.926137796181, -5663.082678685508, 8985.11069835552, 5939.12672270855, -16239.525823536615, -45721.543815319994, 0.11800000000000001, 0.99, 0.178, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762807374655E9, 0.0, 2023-09-26 16:13:27.374
18.0, 60812.54760176511, 62954.64938338392, -24832.497517168227, -31461.287315045276, -1991.8757071346888, -679.3142174856922, -187500.02235174447, 8089.297484075723, 35260.10039569144, -9199.083948026175, 8531.638506846251, -5673.476239857226, 8996.755957216736, 5930.856577260087, -16247.706562007257, -45736.67594631624, 0.11, 0.988, 0.17400000000000002, 192.0, 1.5, 56.0, 15.0, 112.0, 2.5, 56.0, 0.0, 0.0, 0.0, 1.695762807374677E9, 0.0, 2023-09-26 16:13:27.374
20.0, 60822.60588677, 62969.35683123551, -24822.23806646324, -31449.46324222842, -1976.6988726495354, -671.9157900709856, -187500.02235174447, 8091.890286432539, 35249.34920660844, -9201.117956771608, 8531.057361490413, -5665.988405464698, 8993.425547292894, 5927.79438826971, -16241.7833497266, -45735.960690493666, 0.11, 0.988, 0.17400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762807374687E9, 0.0, 2023-09-26 16:13:27.374
22.0, 60820.05778790209, 62966.09347654504, -24822.9086187969, -31443.74119564786, -1983.650265175136, -665.2549702233041, -187500.02235174447, 8109.950495952427, 35266.38123588339, -9188.176296731985, 8541.36151568431, -5651.370364590927, 9014.50324231425, 5947.933310023941, -16231.970933910721, -45726.08121944442, 0.11, 0.988, 0.17400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762807374696E9, 0.0, 2023-09-26 16:13:27.374
24.0, 60818.64962800141, 62965.48997944474, -24822.081604252053, -31443.76354739232, -1996.2566490479292, -667.646606880022, -187500.02235174447, 8102.350902837623, 35270.09162546297, -9189.763270588312, 8543.59669012984, -5643.480198798204, 9012.960971946834, 5947.016888501274, -16229.914573420832, -45717.989887951604, 0.11, 0.988, 0.17400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762807374705E9, 0.0, 2023-09-26 16:13:27.374
26.0, 60813.709892476785, 62960.23731949775, -24828.697720610824, -31444.50115495934, -2000.1905560720631, -671.8934383265303, -187500.02235174447, 8097.433519057456, 35260.30156139154, -9201.453232938436, 8531.213823701599, -5659.238178639195, 9010.882259712489, 5932.130626694039, -16248.243003874184, -45736.49713236059, 0.11, 0.988, 0.17400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762807374714E9, 0.0, 2023-09-26 16:13:27.374
28.0, 60816.928543678354, 62964.17122652188, -24820.360519928996, -31439.36025373462, -1998.8718031492, -670.8429063371309, -187500.02235174447, 8081.943760149928, 35266.470642861204, -9202.34730271665, 8535.550062125929, -5649.984556434698, 9000.242829351762, 5932.868234261065, -16240.26343110364, -45727.42232411174, 0.10400000000000001, 0.992, 0.176, 192.0, 1.5, 32.0, 15.5, 0.0, 2.5, 64.0, 0.0, 0.0, 0.0, 1.695762807374724E9, 0.0, 2023-09-26 16:13:27.374
30.0, 60810.73711046423, 62960.37142996448, -24831.312874712097, -31441.75189039134, -2001.7998816728452, -671.4016999485135, -187500.02235174447, 8096.070062645682, 35257.395834612355, -9196.334683458172, 8537.762884827005, -5644.0166406651315, 8999.013483406721, 5937.427990129947, -16236.128358379408, -45726.930585733724, 0.10400000000000001, 0.992, 0.176, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762807434044E9, 0.0, 2023-09-26 16:13:27.434
32.0, 60806.155002850894, 62958.180959007856, -24829.591790389037, -31443.227105525388, -1999.385893271672, -672.5416389157342, -187500.02235174447, 8079.440364770933, 35265.21894517171, -9206.415320207516, 8523.077788719867, -5655.371326848427, 9009.965838189823, 5927.12383593605, -16252.31102136505, -45740.18517019572, 0.10400000000000001, 0.992, 0.176, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762807434069E9, 0.0, 2023-09-26 16:13:27.434
34.0, 60814.29103783263, 62965.400572466926, -24817.43244140535, -31435.51575368831, -1978.3081982503174, -658.7059090978992, -187500.02235174447, 8103.870821460584, 35248.14221240785, -9188.131593243073, 8538.947527283135, -5636.238233594684, 9002.388596819472, 5947.039240245729, -16232.596782755469, -45722.326126375934, 0.10400000000000001, 0.992, 0.176, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69576280743408E9, 0.0, 2023-09-26 16:13:27.434
36.0, 60821.24243035823, 62970.87674985847, -24817.72301408327, -31439.382605479077, -1978.8669918617002, -667.5348481577454, -187500.02235174447, 8092.31496957719, 35268.50465160664, -9180.442593150448, 8545.876568064281, -5622.648372965858, 9027.802530265157, 5956.538731639234, -16223.969009395722, -45714.41360883875, 0.10400000000000001, 0.992, 0.176, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762807434089E9, 0.0, 2023-09-26 16:13:27.434
38.0, 60801.10350860399, 62948.34619144753, -24834.889153824945, -31462.382550523587, -1992.970942612999, -683.4045867210134, -187500.02235174447, 8087.665806730486, 35233.12184013389, -9199.151003259542, 8531.862024290804, -5640.865044696933, 9004.35555033154, 5938.702039563899, -16236.798910713067, -45737.27944341653, 0.1, 0.996, 0.17400000000000002, 192.0, 1.5, 16.0, 15.5, 16.0, 2.5, 56.0, 0.0, 0.0, 0.0, 1.695762807434098E9, 0.0, 2023-09-26 16:13:27.434
40.0, 60819.119014634976, 62965.98171782276, -24813.610293103495, -31444.590561937162, -1968.518134178893, -668.8536010806085, -187500.02235174447, 8102.5520685377205, 35272.88559351988, -9186.611674620113, 8547.64235587625, -5632.460788781737, 9024.248602896763, 5948.737972824332, -16227.254715830652, -45721.90144323128, 0.1, 0.996, 0.17400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762807434137E9, 0.0, 2023-09-26 16:13:27.434
42.0, 60815.49803203321, 62966.51815968969, -24817.655958849904, -31446.78103289378, -1965.746517866435, -664.7855835897427, -187500.02235174447, 8122.422769358489, 35241.794316982545, -9185.695253097445, 8554.124361768289, -5623.9447741442655, 8997.046529894655, 5956.136400239039, -16221.197393083263, -45709.51857680304, 0.1, 0.996, 0.17400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762807434146E9, 0.0, 2023-09-26 16:13:27.434
44.0, 60816.995598911715, 62971.4131917254, -24819.175877472866, -31449.865573628616, -1965.38888995515, -664.5620661451895, -187500.02235174447, 8119.002952456827, 35265.80009052755, -9190.25500896633, 8548.290556465454, -5634.740666716179, 9028.629544810003, 5951.978975770352, -16236.664800246335, -45718.10164667388, 0.1, 0.996, 0.17400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762807434155E9, 0.0, 2023-09-26 16:13:27.434
46.0, 60802.31050280458, 62959.097380530526, -24832.877496823967, -31461.957867378936, -1967.489953933949, -663.3327202001477, -187500.02235174447, 8130.335286895667, 35223.19766559573, -9186.611674620113, 8558.728821126082, -5630.605593991947, 8997.35945431703, 5961.254949719304, -16234.206108356251, -45710.34559134789, 0.1, 0.996, 0.17400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762807493828E9, 0.0, 2023-09-26 16:13:27.493
48.0, 60803.04811037161, 62960.81846485358, -24830.016473533688, -31473.357257051142, -1975.514230193404, -674.9556273169073, -187500.02235174447, 8114.107920421115, 35256.635875300875, -9187.304578698227, 8549.341088454854, -5644.284861598595, 9011.575163790603, 5956.583435128145, -16246.276050362118, -45728.76342877906, 0.098, 1.0, 0.17400000000000002, 192.0, 1.5, 8.0, 15.5, 32.0, 2.5, 56.0, 0.0, 0.0, 0.0, 1.695762807493849E9, 0.0, 2023-09-26 16:13:27.493
