%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 12065.650470930395, -2395.6376189753555, -17168.21845391017, -48957.42821185925, -37777.75618764832, 187500.0, -126761.01198923732, -43348.10147858876, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328292855743E9, 0.0, 2023-09-21 15:31:32.855
224.0, 12071.707793677782, -2388.529764238568, -17137.060122139468, -48935.34468833741, -37756.4102716935, 187500.0, -126784.57072789321, -43319.91592883062, 8283.042405014325, -39650.58650381405, -53330.72582849572, -100411.97096252097, -13984.81595335197, 16201.460802729227, -48224.20158674736, -187500.02235174447, 0.07, 1.01, 0.084, 192.0, 1.0, 24.0, 15.5, 72.0, 1.0, 80.0, 0.0, 0.0, 0.0, 1.695328292855754E9, 0.0, 2023-09-21 15:31:32.855
226.0, 12065.561063952573, -2387.4792322491685, -17150.91820370176, -48923.16298760927, -37752.69988211392, 187500.0, -126769.66211434153, -43312.070466526806, 8265.071602472259, -39650.787669514146, -53338.6383460329, -100379.42682259403, -13985.397098707808, 16246.74543699568, -48221.944060557376, -187500.02235174447, 0.07, 1.01, 0.084, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328292855759E9, 0.0, 2023-09-21 15:31:32.855
228.0, 12054.273433002643, -2395.145880597339, -17146.134930388325, -48929.71204873468, -37761.126489773575, 187500.0, -126786.6270883831, -43314.14917876115, 8265.898617017105, -39636.41549782938, -53337.185482643305, -100411.65803809858, -13985.710023130183, 16214.625980213403, -48220.40179018996, -187500.02235174447, 0.07, 1.01, 0.084, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328292855768E9, 0.0, 2023-09-21 15:31:32.855
230.0, 12045.042162542602, -2400.2867818220598, -17165.983279464635, -48924.5487957655, -37759.09248102814, 187500.0, -126763.06834972721, -43306.79545483535, 8247.72664877494, -39646.74200376773, -53355.26804390765, -100374.12945915812, -13994.784831379036, 16248.69003876329, -48229.476598438814, -187500.02235174447, 0.07, 1.01, 0.084, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328292855771E9, 0.0, 2023-09-21 15:31:32.855
232.0, 12039.364819450953, -2412.759055228121, -17142.379837319833, -48923.99000215412, -37759.60657115061, 187500.0, -126786.0235912828, -43315.93731831757, 8257.315547146267, -39637.5554367966, -53345.9920699587, -100407.88059328563, -13984.681842885238, 16219.141032593374, -48211.081112752094, -187500.02235174447, 0.07, 1.01, 0.084, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328292855774E9, 0.0, 2023-09-21 15:31:32.855
234.0, 12039.588336895507, -2413.4519593062355, -17160.57415730645, -48929.1979586122, -37765.730949131364, 187500.0, -126743.82349775119, -43315.80320785084, 8236.282555613823, -39656.12973643896, -53364.90164576789, -100368.56387478876, -13999.366938992374, 16243.504434049659, -48225.94502281488, -187500.02235174447, 0.074, 1.01, 0.084, 192.0, 1.0, 40.0, 15.5, 72.0, 1.0, 80.0, 0.0, 0.0, 0.0, 1.695328292855777E9, 0.0, 2023-09-21 15:31:32.855
236.0, 12061.694212161805, -2391.211973573205, -17131.561593003466, -48907.62852521283, -37737.09836448412, 187500.0, -126790.24807098486, -43302.95095478904, 8260.891826259116, -39634.42619257286, -53341.879348978924, -100390.4909360994, -13991.633235410838, 16240.889279948387, -48201.179289958396, -187500.02235174447, 0.074, 1.01, 0.084, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69532829285578E9, 0.0, 2023-09-21 15:31:32.855
238.0, 12048.86431084446, -2404.555965013023, -17150.851148468395, -48922.82771144244, -37758.265466483295, 187500.0, -126751.6242565661, -43311.936356060076, 8251.63820405462, -39648.97717821326, -53348.78603801561, -100374.62119753614, -13985.508857430084, 16244.733779994702, -48214.456226164846, -187500.02235174447, 0.074, 1.01, 0.084, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328292855784E9, 0.0, 2023-09-21 15:31:32.855
0.0, 6014.966191645407, -1182.0496537744586, -8839.936118118301, -24368.609412742786, -18866.369887157667, 93749.98882412778, -63639.93151663918, -21629.291371022628, 4131.630555585689, -19815.313198007727, -26665.89935611479, -50203.22504082025, -6986.127136484044, 8116.298391377734, -24100.00849962336, -93750.01117587223, 0.076, 1.01, 0.07700000000000001, 192.0, 1.0, 56.0, 15.5, 72.0, 1.0, 24.0, 0.0, 0.0, 0.0, 1.695328292980308E9, 0.0, 2023-09-21 15:31:32.980
2.0, 12021.461072142252, -2370.693072163233, -17689.84111426367, -48741.420953443165, -37738.99826276282, 187500.0, -127251.56572479794, -43251.69840475302, 8355.663222749617, -39668.93728601185, -53282.64722617236, -98686.72921499363, -13916.017283918534, 16502.06941390865, -48094.762634606675, -187500.02235174447, 0.076, 1.01, 0.07700000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328293039283E9, 0.0, 2023-09-21 15:31:33.039
4.0, 12004.540801589585, -2385.109947336906, -17713.64572210857, -48760.82226763037, -37751.87286756907, 187500.0, -127271.14585294078, -43285.58364934727, 8335.814873673306, -39685.34346644205, -53300.68508394779, -98656.84493265688, -13940.157167930267, 16562.352068704615, -48112.77814063766, -187500.02235174447, 0.076, 1.01, 0.07700000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328293039303E9, 0.0, 2023-09-21 15:31:33.039
6.0, 12022.221031453733, -2373.0623570754956, -17706.98490226089, -48751.009851814495, -37738.28300694025, 187500.0, -127270.22943141812, -43263.29896012533, 8338.251213818934, -39684.22587921928, -53296.9299908793, -98671.97706365313, -13931.797615503981, 16490.804134703176, -48109.313620247085, -187500.02235174447, 0.076, 1.01, 0.07700000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328293039307E9, 0.0, 2023-09-21 15:31:33.039
8.0, 12023.629191354417, -2375.6998629212217, -17715.36680643163, -48756.9107123507, -37739.82527730767, 187500.0, -127285.20510020318, -43278.34168414375, 8343.481522021475, -39690.28320196667, -53293.95720886674, -98646.3396127629, -13932.75874051556, 16554.931289545453, -48108.531309191145, -187500.02235174447, 0.078, 1.016, 0.06, 192.0, 1.0, 56.0, 15.5, 96.0, 0.5, 112.0, 0.0, 0.0, 0.0, 1.69532829303931E9, 0.0, 2023-09-21 15:31:33.039
10.0, 12033.374551936931, -2374.5152204650904, -17680.02869844779, -48746.22657850106, -37735.33257667215, 187500.0, -127290.92714678374, -43263.03073919186, 8372.583493302285, -39671.59714360203, -53267.40333645384, -98683.51056379206, -13909.758795471049, 16484.07625962213, -48085.263143213175, -187500.02235174447, 0.078, 1.016, 0.06, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328293039313E9, 0.0, 2023-09-21 15:31:33.039
12.0, 12015.649618583873, -2389.0215026165847, -17699.31825391272, -48756.0613460614, -37746.46374541089, 187500.0, -127293.27407995154, -43285.918925514095, 8341.134588853669, -39698.19571950385, -53293.19724955526, -98641.84691212737, -13933.205775404665, 16560.13924600354, -48108.955992335796, -187500.02235174447, 0.078, 1.016, 0.06, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328293039316E9, 0.0, 2023-09-21 15:31:33.039
14.0, 12017.28129592911, -2393.04481661854, -17678.77700075829, -48750.31694773638, -37743.46861165388, 187500.0, -127289.25076594959, -43275.771233531384, 8351.304632580834, -39697.391056703455, -53288.30221751955, -98663.08106935992, -13927.394321846286, 16492.860495193065, -48106.34083823453, -187500.02235174447, 0.078, 1.016, 0.06, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328293039319E9, 0.0, 2023-09-21 15:31:33.039
16.0, 12016.543688362086, -2389.6697032057887, -17692.769192787313, -48741.59976739881, -37736.96425401739, 187500.0, -127288.8931380383, -43271.63616080715, 8346.186083100567, -39691.601954889535, -53289.84448788697, -98627.89942358727, -13928.198984646677, 16558.351106447113, -48097.33308521904, -187500.02235174447, 0.078, 1.016, 0.06, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69532829309953E9, 0.0, 2023-09-21 15:31:33.099
18.0, 12012.878002271415, -2397.2916480650483, -17692.7244892984, -48749.57934016935, -37742.0604517532, 187500.0, -127293.36348692936, -43285.3154284138, 8345.22495808899, -39691.736065356265, -53291.610275698935, -98659.52714199152, -13925.18149914521, 16504.528105798734, -48097.6013061525, -187500.02235174447, 0.078, 1.014, 0.056, 192.0, 1.0, 56.0, 15.5, 88.0, 0.5, 96.0, 0.0, 0.0, 0.0, 1.695328293099542E9, 0.0, 2023-09-21 15:31:33.099
20.0, 12031.00526702467, -2373.4199849867805, -17694.914960255024, -48727.00407826949, -37724.6037393336, 187500.0, -127298.25851896507, -43261.33200661326, 8346.834283689772, -39683.04123676315, -53290.09035707598, -98625.55249041945, -13927.260211379555, 16559.781618092253, -48092.79568109461, -187500.02235174447, 0.078, 1.014, 0.056, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328293099546E9, 0.0, 2023-09-21 15:31:33.099
22.0, 12020.879926786414, -2395.5482119975345, -17682.93442522698, -48743.34320346633, -37737.61245460659, 187500.0, -127310.1496470153, -43267.70225378302, 8358.434839062076, -39670.412501145904, -53277.707490647736, -98668.42313628473, -13911.457528049652, 16513.98289370333, -48079.33993093252, -187500.02235174447, 0.078, 1.014, 0.056, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328293099549E9, 0.0, 2023-09-21 15:31:33.099
24.0, 12014.532031361108, -2397.1575375983166, -17710.874105796112, -48754.004985571504, -37750.352948946114, 187500.0, -127271.05644596297, -43283.30377141282, 8330.69632419304, -39696.631097391975, -53304.350770038465, -98616.92471705971, -13933.250478893577, 16569.079943785662, -48107.65959115739, -187500.02235174447, 0.078, 1.014, 0.056, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328293099552E9, 0.0, 2023-09-21 15:31:33.099
26.0, 12024.992647766192, -2387.4121770158026, -17700.88287602459, -48746.673613390165, -37739.71351858539, 187500.0, -127290.65892585028, -43283.974323746486, 8342.118065609702, -39683.063588507604, -53294.09131933348, -98635.2754992575, -13928.936592213702, 16536.37934164755, -48101.11053003198, -187500.02235174447, 0.078, 1.014, 0.056, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328293099555E9, 0.0, 2023-09-21 15:31:33.099
28.0, 12025.707903588762, -2388.596819471934, -17711.142326729576, -48751.23336925905, -37748.251884967314, 187500.0, -127271.32466689643, -43285.1142627137, 8345.046144133346, -39683.60003037453, -53290.291522776075, -98607.40287392175, -13920.778205487515, 16561.882682071053, -48097.33308521904, -187500.02235174447, 0.078, 1.02, 0.052000000000000005, 192.0, 1.0, 56.0, 15.5, 112.0, 0.5, 80.0, 0.0, 0.0, 0.0, 1.695328293099558E9, 0.0, 2023-09-21 15:31:33.099
30.0, 12052.284127746121, -2364.367528482381, -17684.767268272313, -48727.853444558794, -37719.44048636442, 187500.0, -127320.63261516484, -43265.5117828264, 8349.60590000223, -39679.55436462812, -53289.106880319945, -98629.10641778784, -13926.299086367975, 16538.100425970606, -48096.439015440825, -187500.02235174447, 0.078, 1.02, 0.052000000000000005, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328293099561E9, 0.0, 2023-09-21 15:31:33.099
32.0, 12024.344447176987, -2396.1964125867385, -17699.56412310173, -48754.96611058308, -37747.46957391138, 187500.0, -127279.1924809447, -43285.74011155845, 8358.859522206727, -39670.971294757284, -53279.652092415345, -98623.27261248502, -13909.267057093031, 16540.715580071876, -48083.452651912296, -187500.02235174447, 0.078, 1.02, 0.052000000000000005, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328293159828E9, 0.0, 2023-09-21 15:31:33.159
34.0, 12037.621383383439, -2381.7124821796992, -17698.334777156684, -48739.16342725318, -37731.64453883702, 187500.0, -127307.08745802492, -43280.04041672235, 8332.93149863857, -39690.43966417786, -53303.434348515795, -98612.25320246855, -13940.470092352642, 16556.71942910188, -48109.98417258074, -187500.02235174447, 0.078, 1.02, 0.052000000000000005, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328293159836E9, 0.0, 2023-09-21 15:31:33.159
36.0, 12035.855595571471, -2384.4840984921575, -17699.92175101301, -48740.102200520305, -37733.857361538096, 187500.0, -127287.79790255999, -43264.64006479264, 8356.758458227929, -39671.19481220184, -53279.36151973743, -98610.55446988995, -13914.162089128744, 16542.235498694838, -48086.35837869148, -187500.02235174447, 0.078, 1.02, 0.052000000000000005, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69532829315984E9, 0.0, 2023-09-21 15:31:33.159
38.0, 12034.335676948509, -2384.6629124478, -17699.832344035192, -48744.281976733444, -37739.40059416302, 187500.0, -127315.35760347339, -43284.4660621245, 8344.532054010875, -39682.013056518204, -53290.1797640538, -98607.73815008857, -13936.267964395043, 16569.79519960823, -48099.18828000883, -187500.02235174447, 0.076, 1.02, 0.048, 192.0, 1.0, 48.0, 15.5, 112.0, 0.5, 64.0, 0.0, 0.0, 0.0, 1.695328293159843E9, 0.0, 2023-09-21 15:31:33.159
40.0, 12045.444493942798, -2374.6493309318225, -17696.747803300357, -48736.92825280765, -37738.73004182935, 187500.0, -127298.549091643, -43260.48264032396, 8356.199664616546, -39668.33378891156, -53278.73567089268, -98596.94225751665, -13922.588696788394, 16543.733065573342, -48089.46527117077, -187500.02235174447, 0.076, 1.02, 0.048, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328293159846E9, 0.0, 2023-09-21 15:31:33.159
