%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -17127.314761556954, -26883.203015709285, -27538.489107905523, -5740.039734845131, -56787.55721897569, -47626.53829175691, 135505.237937598, -49010.60301191843, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.084, 0.481, 0.147, 192.0, 2.5, 32.0, 15.0, 8.0, 4.5, 24.0, 0.0, 0.0, 0.0, 1.69533831135417E9, 0.0, 2023-09-21 18:18:31.354
254.0, -17121.503307998577, -26878.956184262777, -27536.410395671177, -5742.99016511323, -56786.81961140867, -47631.65684123717, 135523.23109188452, -49011.74295088565, -12832.672933658712, -19731.203583622406, -38161.580343434856, -33099.69253536374, -44248.80972490427, -31955.864364607856, -26194.165789385534, -34370.880946025965, 0.084, 0.481, 0.147, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338311354179E9, 0.0, 2023-09-21 18:18:31.354
0.0, -17117.25647655207, -26881.616041852958, -27536.343340437812, -5747.304051793105, -56782.23750379533, -47635.09900988329, 135500.9911061515, -49012.14528228585, -12832.963506336631, -19736.210374380396, -38163.56964869137, -33103.492331921145, -44244.20526554647, -31962.771053644545, -26198.2338068764, -34377.85469029602, 0.084, 0.481, 0.147, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338311354183E9, 0.0, 2023-09-21 18:18:31.354
2.0, -17123.224392321634, -26887.98628902272, -27537.952666038593, -5752.020269873175, -56778.59416944911, -47639.658765752174, 135528.88608323172, -49013.82166312, -12823.665180643224, -19736.120967402574, -38157.73584338854, -33100.98893654215, -44236.22569277593, -31962.167556544253, -26188.242577104877, -34372.42321639338, 0.084, 0.481, 0.147, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338311354187E9, 0.0, 2023-09-21 18:18:31.354
4.0, -17125.124290600335, -26886.309908188574, -27549.44146268862, -5753.651947218412, -56784.651492196506, -47645.51492279946, 135511.60818476774, -49020.929517856785, -12839.266698273028, -19749.397903609028, -38175.30431453041, -33114.86936984889, -44257.035166863825, -31974.528071228036, -26197.876178965114, -34384.023771765686, 0.084, 0.481, 0.147, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69533831135419E9, 0.0, 2023-09-21 18:18:31.354
6.0, -17120.788052176005, -26879.582033107527, -27543.808823085885, -5746.767609926178, -56784.8526578966, -47643.436210565116, 135524.68395527411, -49019.58841318946, -12833.455244714647, -19739.697246515425, -38173.33736101835, -33106.59922440043, -44266.02056813485, -31966.973181602145, -26195.238673119387, -34380.49219614174, 0.127, 0.7185, 0.22349999999999998, 192.0, 2.5, 40.0, 14.5, 112.0, 4.5, 48.0, 0.0, 0.0, 0.0, 1.695338311354194E9, 0.0, 2023-09-21 18:18:31.354
8.0, -17121.3915492763, -26877.12334121744, -27539.316122450367, -5744.890063391932, -56786.14905907501, -47641.93864368661, 135527.90260647566, -49016.41446547681, -12835.980991838098, -19737.059740669698, -38170.34222726133, -33105.0122505441, -44254.308254040276, -31967.062588579967, -26196.535074297797, -34380.46984439729, 0.127, 0.7185, 0.22349999999999998, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338311354197E9, 0.0, 2023-09-21 18:18:31.354
10.0, -17121.704473698675, -26874.687001071812, -27531.850639802295, -5740.844397645521, -56783.600960207106, -47638.675288996135, 135545.58283633983, -49011.29591599655, -12830.191890024173, -19732.120005145076, -38166.251858026015, -33097.949099296224, -44238.639681177105, -31962.458129222174, -26187.437914304486, -34374.32311467208, 0.127, 0.7185, 0.22349999999999998, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338311354201E9, 0.0, 2023-09-21 18:18:31.354
12.0, -17113.411976505755, -26865.723951545235, -27527.49204963351, -5736.530510965647, -56781.365785761576, -47636.90950118417, 135528.21553089804, -49010.088921795956, -12827.39792196726, -19733.81873772368, -38165.60365743681, -33097.79263708504, -44239.86902712215, -31958.23364952012, -26186.47678929291, -34373.98783850525, 0.127, 0.7185, 0.22349999999999998, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338311354204E9, 0.0, 2023-09-21 18:18:31.354
0.0, -8539.26045170551, -13310.262657435258, -13454.342002194167, -2604.5370226546556, -28239.328055301674, -23724.990931152217, 68596.60966355917, -24278.308365143344, -6411.463786538099, -9869.345709007468, -19081.080744395345, -16547.555213875203, -22121.365025206214, -15980.40205006624, -13093.182515285316, -17186.30101517451, 0.17400000000000002, 0.966, 0.28800000000000003, 192.0, 2.5, 56.0, 15.0, 24.0, 4.5, 0.0, 0.0, 0.0, 0.0, 1.695338311495436E9, 0.0, 2023-09-21 18:18:31.495
