%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
12.0, 46606.69524749461, 55620.125606075, -73508.60667331298, -51770.08232713727, -41820.65031774644, -12595.073890098798, 187500.0, -44062.84321103612, -4881.978616950348, -31628.12073565969, -72953.1211201097, -25232.303170240306, -12055.94981383679, -62055.014020802264, -43376.10821439126, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695340857660045E9, 0.0, 2023-09-21 19:00:57.660
14.0, 46521.35628716425, 55547.81771276209, -73489.2947661036, -51750.41279201661, -41815.4200095439, -12604.7745471924, 187500.0, -44050.32623414114, -4887.097166430613, -31625.349119347233, -72956.96562015601, -25233.13018478515, -12070.836075644027, -62057.94209932591, -43395.91185997866, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695340857660055E9, 0.0, 2023-09-21 19:00:57.660
16.0, 46602.67193349265, 55614.224745538806, -73492.73693474972, -51760.672242721594, -41807.686305962365, -12584.523866715894, 187500.0, -44052.09202195311, -4876.658901769984, -31618.755354732915, -72947.71199795151, -25223.69774862501, -12050.987726567713, -62050.968355055855, -43373.06837714534, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695340857660059E9, 0.0, 2023-09-21 19:00:57.660
18.0, 46537.65070887217, 55558.68066056736, -73487.41721956935, -51756.0677833638, -41821.879663691485, -12617.000951409455, 187500.0, -44066.12891747105, -4894.182669422945, -31635.45210784103, -72963.24646034795, -25238.651065665614, -12070.701965177293, -62068.46977096436, -43396.940040223606, -187500.02235174447, 0.11, 1.018, -0.018000000000000002, 192.0, 1.5, 56.0, 15.5, 104.0, 127.5, 56.0, 0.0, 0.0, 0.0, 1.695340857660063E9, 0.0, 2023-09-21 19:00:57.660
20.0, 46606.78465447243, 55616.21405079533, -73493.51924580566, -51765.43316429057, -41814.03420138767, -12603.96988439201, 187500.0, -44074.48846989733, -4877.329454103644, -31625.88556121416, -72949.05310261883, -25227.05051029331, -12057.62619467094, -62056.57864291414, -43381.38322608271, -187500.02235174447, 0.11, 1.018, -0.018000000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695340857660066E9, 0.0, 2023-09-21 19:00:57.660
22.0, 46552.40286021267, 55571.17528571788, -73481.78457996662, -51755.59839673024, -41814.883567676974, -12623.237088112484, 187500.0, -44060.33981565712, -4878.335282604133, -31628.25484612642, -72950.23774507496, -25231.61026616219, -12062.476523217741, -62061.96541332787, -43390.703903520574, -187500.02235174447, 0.11, 1.018, -0.018000000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695340857660069E9, 0.0, 2023-09-21 19:00:57.660
24.0, 46611.21029987458, 55616.41521649542, -73502.41524009887, -51781.28055110938, -41819.68919273486, -12612.485899029482, 187500.0, -44080.74695834482, -4886.873648986059, -31643.1187561892, -72962.75472196993, -25242.026179078362, -12066.589244197517, -62077.92455886896, -43395.755397767476, -187500.02235174447, 0.11, 1.018, -0.018000000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695340857660073E9, 0.0, 2023-09-21 19:00:57.660
26.0, 46564.02576732943, 55583.178172490385, -73486.3443358355, -51766.416641046606, -41820.18093111288, -12625.651076513657, 187500.0, -44061.636216835526, -4889.287637387233, -31644.54926783434, -72968.2756028504, -25244.216650034985, -12073.272415789655, -62078.63981469152, -43412.42979913113, -187500.02235174447, 0.11, 1.018, -0.018000000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695340857660076E9, 0.0, 2023-09-21 19:00:57.660
28.0, 46594.33473281083, 55607.787443135676, -73515.26749316067, -51798.223173406506, -41832.83201847458, -12616.531564775893, 187500.0, -44082.602153134605, -4893.579172322652, -31651.433605126575, -72973.72942849749, -25251.928001872064, -12073.451229745297, -62083.11016358259, -43406.03720021692, -187500.02235174447, 0.11, 1.014, -0.014, 192.0, 1.5, 56.0, 15.5, 88.0, 127.5, 72.0, 0.0, 0.0, 0.0, 1.69534085766008E9, 0.0, 2023-09-21 19:00:57.660
0.0, 23128.57933385126, 27898.91098724735, -36780.82368145272, -26033.38969151851, -21143.65501924217, -6591.663550336784, 93749.98882412778, -22185.045145159384, -2453.2604161811373, -15832.187632583098, -36493.78257915766, -12634.770588251424, -6040.67069776901, -31049.43407171179, -21710.09292722856, -93750.01117587223, 0.114, 1.014, -0.018000000000000002, 192.0, 1.5, 72.0, 15.5, 88.0, 127.5, 56.0, 0.0, 0.0, 0.0, 1.695340857831593E9, 0.0, 2023-09-21 19:00:57.831
