%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 54758.77878174529, 54255.86453150088, -32570.40322666207, 3607.370389386462, 30392.605709148134, 29710.721041050085, -176707.48254149946, 62445.476644692026, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695421594058458E9, 0.0, 2023-09-22 17:26:34.058
240.0, 54808.75728234736, 54279.98206376816, -32572.21371796295, 3583.275208863641, 30353.19958367343, 29705.87071250328, -176657.3028751973, 62489.33076731334, 46198.418283273975, 62460.854644877276, -20373.50331229011, -2246.216207291628, 27813.482619939165, 15196.705185974264, -26399.958300585546, -10194.496535598819, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695421594058468E9, 0.0, 2023-09-22 17:26:34.058
242.0, 54763.696165525456, 54260.33488039194, -32587.83758733721, 3600.866031749968, 30379.462883408414, 29705.088401447345, -176747.55921930782, 62463.223929789536, 46179.464003975874, 62406.71871980652, -20368.094190131927, -2199.0987299798408, 27853.112262858423, 15227.72940727823, -26360.529823366385, -10191.099070441613, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695421594058472E9, 0.0, 2023-09-22 17:26:34.058
244.0, 54812.5347271603, 54282.150182980324, -32564.859994037153, 3586.896191465401, 30353.15488018452, 29711.16807593919, -176640.51671511136, 62505.91576169917, 46178.99461734231, 62443.442635946594, -20394.536303822555, -2259.180219075706, 27792.002593517616, 15174.24168279668, -26424.90284739767, -10222.369160934588, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695421594058476E9, 0.0, 2023-09-22 17:26:34.058
246.0, 54749.81573221871, 54268.00152874012, -32560.277886423813, 3596.5521450700935, 30384.447322421947, 29718.186523698158, -176729.54371327683, 62431.19387998508, 46159.548599666196, 62390.20078065405, -20379.694745504232, -2209.0005527735416, 27835.40968124982, 15211.926723948327, -26366.676553091595, -10214.389588164042, 0.07200000000000001, 1.008, 0.136, 192.0, 1.0, 32.0, 15.5, 64.0, 2.0, 32.0, 0.0, 0.0, 0.0, 1.695421594058479E9, 0.0, 2023-09-22 17:26:34.058
248.0, 54861.708564961984, 54312.32503799499, -32591.413866450057, 3634.2818897106517, 30404.608595920636, 29767.06978882191, -176785.467777904, 62543.690209828645, 46228.39197258854, 62441.207461501064, -20347.262364299582, -2197.9811427570753, 27858.02964663859, 15235.619573070953, -26355.366570397207, -10184.39354710502, 0.07200000000000001, 1.008, 0.136, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695421594058482E9, 0.0, 2023-09-22 17:26:34.058
250.0, 54760.85749397964, 54254.27755764456, -32621.767535420364, 3532.0673623165326, 30315.648652988515, 29656.58511597933, -176717.38436429316, 62500.41723256317, 46128.3902678955, 62445.23077550302, -20472.76740941613, -2323.9779262516413, 27749.31076160798, 15124.911382783817, -26499.803543067403, -10276.102754605146, 0.07200000000000001, 1.008, 0.136, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695421594058486E9, 0.0, 2023-09-22 17:26:34.058
252.0, 54841.10025657419, 54308.63700015986, -32565.798767304277, 3623.754218072202, 30382.01098227632, 29737.163154740712, -176656.11823274117, 62534.257773668505, 46210.62233574657, 62416.0841007333, -20356.873614415363, -2222.143378513262, 27829.195896291247, 15215.368892594444, -26381.965146299022, -10187.96982621787, 0.07200000000000001, 1.008, 0.136, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695421594058489E9, 0.0, 2023-09-22 17:26:34.058
254.0, 54761.59510154666, 54273.16478170929, -32583.12136925714, 3585.309217609074, 30357.49111860885, 29699.321651377875, -176752.16367866562, 62452.47274070654, 46165.22594275784, 62434.61369688674, -20399.498391091634, -2222.0092680465305, 27823.563256688507, 15207.076395401526, -26393.141018526676, -10220.916297544993, 0.07200000000000001, 1.008, 0.136, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695421594058493E9, 0.0, 2023-09-22 17:26:34.058
0.0, 27543.07121551886, 27217.830981949686, -16214.78244242459, 1859.4192694925393, 15236.87127076045, 14990.555046862966, -87833.86204646374, 31402.97161376138, 23105.221760895463, 31234.46181231282, -10182.046613937213, -1121.074094900381, 13903.969693657124, 7600.174260160239, -13197.498106658233, -5088.821660139759, 0.076, 1.016, 0.136, 192.0, 1.0, 48.0, 15.5, 96.0, 2.0, 32.0, 0.0, 0.0, 0.0, 1.695421594236601E9, 0.0, 2023-09-22 17:26:34.236
