%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
200.0, -187500.02235174447, 18260.27998450756, -53133.628145888826, -45838.04110742106, -9255.387992309094, -3419.9510121287126, -187500.02235174447, -3899.887669073066, 22947.798424696735, 29340.978484270396, -144704.0089612018, -9661.496837317567, -66985.94295810974, 12524.263563664384, -92049.49045771247, -14028.15598585081, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679488895634E9, 0.0, 2023-09-25 17:04:48.895
202.0, -187500.02235174447, 18275.367412014893, -53188.52403027106, -45796.7574354121, -9209.499860942347, -3381.6624738767714, -187500.02235174447, -3876.2842269282614, 22943.73040720587, 29271.08457935865, -144751.2158454914, -9736.218719031658, -67030.24411562015, 12475.648519474093, -92053.75964090343, -14077.665099819316, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679488895642E9, 0.0, 2023-09-25 17:04:48.895
204.0, -187500.02235174447, 18291.72888895618, -53121.51350039405, -45816.78459844406, -9241.708724702445, -3402.5613549424834, -187500.02235174447, -3887.9518375339317, 22976.229843643887, 29298.4654663164, -144732.23921444884, -9706.44619541719, -66991.39678375683, 12497.933208696033, -92015.82873056277, -14045.098608147933, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679488895646E9, 0.0, 2023-09-25 17:04:48.895
206.0, -187500.02235174447, 18295.551037258036, -53176.72230919866, -45791.92945860976, -9194.099509012642, -3379.5614098979727, -187500.02235174447, -3867.8129157797002, 22976.45336108844, 29265.407236267, -144755.32856647117, -9740.845530133907, -67005.1207548524, 12480.677661976537, -92010.03962874885, -14062.68943103426, 0.063, 0.508, -0.032, 192.0, 1.5, 120.0, 15.5, 96.0, 127.0, 0.0, 0.0, 0.0, 0.0, 1.69567948889565E9, 0.0, 2023-09-25 17:04:48.895
208.0, -187500.02235174447, 18287.75027844313, -53113.15394796777, -45844.523113313095, -9253.398687052571, -3413.2454887921203, -187500.02235174447, -3919.1772245379957, 22972.899433720046, 29271.33044854766, -144753.98746180386, -9722.003009558084, -66978.58923418394, 12484.924493423045, -91975.59559054323, -14043.198709869232, 0.063, 0.508, -0.032, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679488895653E9, 0.0, 2023-09-25 17:04:48.895
210.0, -187500.02235174447, 18294.61226399091, -53185.23832383613, -45805.385208771855, -9211.042131309763, -3369.8831045488246, -187500.02235174447, -3865.3765756340717, 22958.97429692439, 29282.103989375115, -144738.09537149614, -9727.993277072106, -66950.38133268134, 12499.475479063449, -91944.7501831949, -14066.35511712493, 0.063, 0.508, -0.032, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679488895656E9, 0.0, 2023-09-25 17:04:48.895
212.0, -187500.02235174447, 18294.589912246458, -53113.01983750104, -45845.148962157844, -9254.113942875141, -3410.7867969020367, -187500.02235174447, -3900.5358696622698, 22964.40577082703, 29254.588991950633, -144761.27413049628, -9735.481111464633, -66957.42213218476, 12473.23453107292, -91928.34400276472, -14050.015991928101, 0.063, 0.508, -0.032, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69567948889566E9, 0.0, 2023-09-25 17:04:48.895
214.0, -187500.02235174447, 18299.596703004445, -53193.731986729144, -45805.54167098304, -9235.472587999415, -3358.3719561543417, -187500.02235174447, -3860.7274127873675, 22945.138567106555, 29303.092277418647, -144709.19456591542, -9710.693026863699, -66889.539884274, 12526.208165431997, -91874.87863002761, -14062.465913589707, 0.063, 0.508, -0.032, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679488895663E9, 0.0, 2023-09-25 17:04:48.895
216.0, -187500.02235174447, 18282.67643245178, -53129.202500486674, -45856.95068323024, -9260.037155155796, -3420.643916206827, -187500.02235174447, -3909.588326166669, 22944.378607795075, 29227.655139881987, -144774.75223240283, -9764.69484146772, -66942.22294595516, 12461.142237322598, -91888.51319414536, -14063.672907790293, 0.0865, 0.76, -0.05, 192.0, 1.5, 56.0, 15.5, 80.0, 126.5, 112.0, 0.0, 0.0, 0.0, 1.695679488895666E9, 0.0, 2023-09-25 17:04:48.895
0.0, -93750.01117587223, 9179.526171627782, -29260.288686786735, -23428.20446827465, -9697.080814490417, -1858.234627036408, -93750.01117587223, -2636.969403859306, 11479.051289445317, 14621.03600752783, -72380.53648239809, -4889.06411994268, -33456.64989431499, 6238.818912365307, -45930.6890881883, -7047.035640124755, 0.076, 1.016, -0.03, 192.0, 1.0, 48.0, 15.5, 96.0, 127.5, 8.0, 0.0, 0.0, 0.0, 1.695679489073992E9, 0.0, 2023-09-25 17:04:49.073
2.0, -187500.02235174447, 18340.992133735675, -58473.12462009485, -46914.05408549954, -19440.809719659057, -3756.9929667702877, -187500.02235174447, -5309.47808140255, 11738.152711171237, 12148.195463203843, -71981.60254735977, -20659.627993062495, -17206.864620073393, -15150.86175809643, -27899.313318647542, -22447.119348897857, 0.076, 1.016, -0.03, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679489074006E9, 0.0, 2023-09-25 17:04:49.074
4.0, -187500.02235174447, 18345.753055304653, -58518.54336482804, -46892.2164311667, -19423.21889677273, -3746.532350365204, -187500.02235174447, -5307.488776146028, 11711.397673058233, 12206.801737165659, -71851.38128416316, -20567.382343695444, -17066.4286096607, -15119.144632714348, -27828.07830906848, -22441.26319185057, 0.076, 1.016, -0.03, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69567948907401E9, 0.0, 2023-09-25 17:04:49.074
6.0, -187500.02235174447, 18340.321581402015, -58484.18873360023, -46916.579832622985, -19447.604649973473, -3761.0386325166983, -187500.02235174447, -5319.089331518332, 11713.610495759309, 12127.49774783823, -71960.70366629407, -20660.343248885067, -17197.34277693543, -15172.922929873817, -27876.71570500323, -22459.815139748473, 0.076, 1.016, -0.03, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679489074013E9, 0.0, 2023-09-25 17:04:49.074
8.0, -187500.02235174447, 18346.96004950524, -58526.701751554225, -46893.579887578475, -19441.592030714994, -3755.5177516362373, -187500.02235174447, -5301.140880720721, 11707.217896845092, 12209.998036622768, -71820.62528379266, -20557.07818950155, -17050.76003679753, -15119.479908881178, -27799.870407565882, -22443.006627918083, 0.058, 1.012, -0.004, 192.0, 0.5, 104.0, 15.5, 80.0, 127.5, 112.0, 0.0, 0.0, 0.0, 1.695679489074016E9, 0.0, 2023-09-25 17:04:49.074
10.0, -187500.02235174447, 18342.69086631428, -58501.19841113072, -46924.29118446007, -19468.548234528094, -3774.919065823444, -187500.02235174447, -5329.192320012131, 11721.880641207772, 12117.81944248908, -71932.89809619167, -20657.90690873944, -17187.68682333074, -15178.264996798634, -27852.28524831358, -22468.755837530596, 0.058, 1.012, -0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679489074019E9, 0.0, 2023-09-25 17:04:49.074
12.0, -187500.02235174447, 18362.7850845796, -58532.55790860151, -46887.58962006446, -19434.908859122857, -3746.554702109659, -187500.02235174447, -5305.544174378416, 11707.50846952301, 12210.735644189794, -71798.67587073754, -20556.385285423432, -17040.545289581452, -15139.194147490758, -27777.608070088398, -22459.412808348276, 0.058, 1.012, -0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679489074023E9, 0.0, 2023-09-25 17:04:49.074
14.0, -187500.02235174447, 18365.24377646968, -58488.7037859802, -46878.827736237974, -19415.932228080303, -3734.149483936964, -187500.02235174447, -5289.853249770791, 11718.818452217396, 12103.000235915213, -71941.23529687349, -20672.74846705776, -17207.35635845141, -15201.10847963196, -27867.864414198928, -22485.83257029445, 0.058, 1.012, -0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679489074026E9, 0.0, 2023-09-25 17:04:49.074
16.0, -187500.02235174447, 18366.383715436903, -58502.40540533131, -46875.00558793612, -19413.98762631269, -3738.820998528123, -187500.02235174447, -5288.825069525847, 11706.815565444895, 12214.624847725016, -71827.57667631825, -20556.854672056994, -17080.62196738982, -15107.342911641947, -27802.50791341161, -22439.698569738695, 0.058, 1.012, -0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679489133726E9, 0.0, 2023-09-25 17:04:49.133
18.0, -187500.02235174447, 18354.7831600646, -58485.887466178836, -46879.3641781049, -19416.334559480496, -3732.763675780735, -187500.02235174447, -5286.768709035959, 11710.4141963022, 12110.979808685757, -71933.18866886958, -20649.256783635235, -17206.35052995092, -15180.567226477531, -27856.576783249, -22460.083360681936, 0.046, 1.016, 0.008, 192.0, 0.5, 56.0, 15.5, 96.0, 0.0, 32.0, 0.0, 0.0, 0.0, 1.695679489133738E9, 0.0, 2023-09-25 17:04:49.133
20.0, -187500.02235174447, 18339.472215112713, -58508.596838545425, -46898.16199519182, -19441.234402803708, -3747.426420143416, -187500.02235174447, -5300.246810942508, 11668.527027192955, 12202.443146996875, -71807.03542316383, -20541.40961663838, -17066.361554427334, -15107.208801175215, -27772.10954095239, -22420.610179973864, 0.046, 1.016, 0.008, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679489133744E9, 0.0, 2023-09-25 17:04:49.133
22.0, -187500.02235174447, 18337.996999978663, -58514.14007117034, -46888.14841367584, -19434.618286444937, -3738.239853172285, -187500.02235174447, -5295.776462051447, 11665.777762624952, 12091.332625309542, -71878.0692670428, -20636.650399762442, -17156.3496776044, -15185.775182935618, -27807.715869869695, -22462.653811294298, 0.046, 1.016, 0.008, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679489133747E9, 0.0, 2023-09-25 17:04:49.133
24.0, -187500.02235174447, 18336.186508677783, -58516.509356082606, -46909.606088352935, -19466.514225782663, -3759.1610859824523, -187500.02235174447, -5327.62769790026, 11657.21704449857, 12181.164286275422, -71784.70603045297, -20557.39111392392, -17056.392676400268, -15105.778289530075, -27745.57802028394, -22436.166994114756, 0.046, 1.016, 0.008, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69567948913375E9, 0.0, 2023-09-25 17:04:49.133
26.0, -187500.02235174447, 18342.556755847545, -58524.01954221959, -46888.483689842666, -19438.909821380355, -3733.724800792313, -187500.02235174447, -5297.184621952131, 11669.64461441572, 12087.354014796498, -71828.98483621894, -20627.12855662448, -17119.62576146433, -15179.874322399417, -27768.756779284096, -22472.287413154532, 0.046, 1.016, 0.008, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679489133753E9, 0.0, 2023-09-25 17:04:49.133
28.0, -187500.02235174447, 18368.484779415703, -58497.5103732956, -46895.34567539045, -19445.36947552794, -3739.8938822619775, -187500.02235174447, -5309.589840124827, 11687.369547768778, 12155.817408063103, -71785.13071359762, -20578.69232638983, -17069.826074817905, -15116.909458268818, -27742.895810949303, -22450.405055332787, 0.038, 1.018, 0.014, 192.0, 0.5, 24.0, 15.5, 104.0, 0.0, 56.0, 0.0, 0.0, 0.0, 1.695679489133757E9, 0.0, 2023-09-25 17:04:49.133
30.0, -187500.02235174447, 18369.64707012738, -58511.68137928026, -46882.64988453983, -19429.41032998685, -3721.140768663975, -187500.02235174447, -5286.455784613584, 11702.904010165217, 12095.802974200604, -71825.00622570589, -20628.022626402693, -17123.24674406609, -15169.05607808305, -27775.082322964947, -22474.611994577885, 0.038, 1.018, 0.014, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679489193888E9, 0.0, 2023-09-25 17:04:49.193
32.0, -187500.02235174447, 18358.627660110913, -58501.80190823101, -46930.66143162983, -19476.438400320818, -3763.072641262131, -187500.02235174447, -5341.530482951461, 11690.07410884787, 12157.382030174975, -71781.50973099587, -20579.944024079326, -17079.75024935606, -15120.776310059586, -27735.139755623313, -22451.008552433083, 0.038, 1.018, 0.014, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679489193903E9, 0.0, 2023-09-25 17:04:49.193
34.0, -187500.02235174447, 18371.59167189499, -58536.64827783684, -46883.78982350705, -19444.117777838444, -3736.9658037383324, -187500.02235174447, -5307.198203468109, 11684.620283200775, 12100.318026580577, -71759.85089061868, -20596.618425442986, -17064.841635804372, -15188.345633547979, -27724.120345606847, -22487.3077854285, 0.038, 1.018, 0.014, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679489193906E9, 0.0, 2023-09-25 17:04:49.193
36.0, -187500.02235174447, 18382.856951100464, -58497.53272504005, -46913.11531223242, -19471.52101654065, -3752.2096934568517, -187500.02235174447, -5331.069866546377, 11706.07795787787, 12135.745541542237, -71779.38631527261, -20595.567893453586, -17089.942644827683, -15146.369057460912, -27732.524601522044, -22476.57894808995, 0.038, 1.018, 0.014, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69567948919391E9, 0.0, 2023-09-25 17:04:49.193
38.0, -187500.02235174447, 18388.601349425477, -58537.85527203742, -46876.77137574809, -19434.484175978207, -3720.40316109695, -187500.02235174447, -5313.948430293612, 11698.32190255188, 12114.757253498705, -71741.61186714315, -20585.956643337806, -17057.733781067585, -15176.85683689795, -27721.572246738942, -22491.576968619465, 0.034, 1.016, 0.018000000000000002, 192.0, 0.5, 8.0, 15.5, 96.0, 0.0, 72.0, 0.0, 0.0, 0.0, 1.695679489193914E9, 0.0, 2023-09-25 17:04:49.193
40.0, -187500.02235174447, 18398.860800130464, -58484.412251044785, -46900.46422487071, -19457.37236230044, -3743.0231264857207, -187500.02235174447, -5320.899822819212, 11716.27035334949, 12123.027398947168, -71778.11226583866, -20600.082945833557, -17108.271075281034, -15142.792778348063, -27739.319531836456, -22473.87438701086, 0.034, 1.016, 0.018000000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679489193917E9, 0.0, 2023-09-25 17:04:49.193
42.0, -187500.02235174447, 18399.285483275115, -58529.80864403351, -46868.74709948863, -19434.595934700483, -3718.458559329338, -187500.02235174447, -5304.538345877927, 11704.736853210552, 12122.06627393559, -71710.0288522278, -20561.481483159245, -17043.85334776084, -15151.867586596918, -27710.664595444752, -22472.555634087996, 0.034, 1.016, 0.018000000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69567948919392E9, 0.0, 2023-09-25 17:04:49.193
44.0, -187500.02235174447, 18383.102820289474, -58494.537591283035, -46918.23386171268, -19485.848484736503, -3753.9307777799104, -187500.02235174447, -5336.300174748919, 11715.309228337912, 12096.831154445548, -71775.18418731501, -20605.827344158573, -17121.72682544313, -15145.452635938245, -27739.20777311418, -22461.53622407153, 0.034, 1.016, 0.018000000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679489193923E9, 0.0, 2023-09-25 17:04:49.193
46.0, -187500.02235174447, 18394.435154728315, -58548.651164609335, -46871.56341929, -19452.209109331263, -3714.725818005302, -187500.02235174447, -5300.738549320526, 11688.97887336956, 12112.745596497727, -71668.65577324101, -20547.01990449666, -17011.644484000743, -15151.33114472999, -27681.897900330772, -22468.57702357495, 0.034, 1.016, 0.018000000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679489253616E9, 0.0, 2023-09-25 17:04:49.253
