%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
238.0, 41397.91177486322, 30509.57238788276, -32672.461291845, -26552.285439048464, -4584.901581394861, -6736.94988929628, -187500.02235174447, -72228.16464044627, -200.53985125301497, -50262.90419851592, -11487.991987227439, -37808.936871163474, 17125.303104555976, -13959.781999562027, -43289.964591260505, -46525.938394777586, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683408821694E9, 0.0, 2023-09-25 18:10:08.821
240.0, 41391.295658504445, 30491.333364407226, -32672.438940100546, -26558.812148429413, -4588.09788085197, -6742.71663936575, -187500.02235174447, -72250.89636455731, -203.98201989913224, -50260.624320581475, -11493.5128681079, -37825.11953414912, 17109.1874968037, -13971.539017145518, -43300.96164953252, -46530.006412268456, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683408821703E9, 0.0, 2023-09-25 18:10:08.821
242.0, 41398.11294056332, 30495.423733642547, -32673.154195923114, -26563.08133162038, -4592.05413962056, -6730.780807826616, -187500.02235174447, -72187.77503821552, -216.27547934955115, -50276.04702425564, -11502.721786823486, -37821.29738584726, 17120.89981089828, -13978.780982349037, -43297.92181228659, -46527.52536863391, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683408821707E9, 0.0, 2023-09-25 18:10:08.821
244.0, 41399.00701034153, 30491.66864057406, -32662.26889637338, -26557.806319928924, -4582.465241249232, -6722.689476333795, -187500.02235174447, -72221.32500664295, -197.27649656254013, -50251.03542221015, -11481.308815635302, -37824.35957483764, 17110.930932871215, -13958.597357105895, -43287.394140648146, -46503.20667066654, 0.022, 0.912, 0.42, 192.0, 0.0, 88.0, 14.0, 64.0, 6.5, 16.0, 0.0, 0.0, 0.0, 1.695683408821711E9, 0.0, 2023-09-25 18:10:08.821
246.0, 41409.847606402356, 30503.13508547963, -32660.726626005966, -26554.565316982906, -4572.272845777613, -6711.826528528515, -187500.02235174447, -72171.92765139672, -198.81876692995633, -50251.862436755, -11477.911350478096, -37806.500531017846, 17125.86189816736, -13955.244595437598, -43278.74401554394, -46495.47296708501, 0.022, 0.912, 0.42, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683408821715E9, 0.0, 2023-09-25 18:10:08.821
248.0, 41408.797074412956, 30499.6482133446, -32657.306809104302, -26558.20865132912, -4562.2592642616355, -6715.38045589691, -187500.02235174447, -72202.88481746732, -196.58359248442562, -50247.59325356403, -11476.547894066322, -37809.518016519316, 17121.659770209764, -13949.23197617912, -43278.632256821664, -46495.11533917372, 0.022, 0.912, 0.42, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683408821718E9, 0.0, 2023-09-25 18:10:08.821
250.0, 41412.61922271481, 30503.35860292418, -32669.60026855472, -26557.627505973283, -4579.76068017014, -6728.232708958711, -187500.02235174447, -72163.03165710351, -188.2687435470514, -50243.435829095346, -11468.456562573501, -37797.71629544691, 17119.2904852975, -13962.441857152207, -43273.670169552584, -46495.76353976292, 0.022, 0.912, 0.42, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683408821722E9, 0.0, 2023-09-25 18:10:08.821
252.0, 41410.16053082473, 30494.775533053344, -32655.85394571471, -26548.73151168007, -4565.008528829638, -6710.1054442054565, -187500.02235174447, -72183.81877944694, -185.63123770132515, -50239.099590671016, -11465.796704983319, -37802.7230862049, 17124.744310944596, -13950.371915146341, -43277.0676347098, -46493.52836531739, 0.022, 0.912, 0.42, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683408821725E9, 0.0, 2023-09-25 18:10:08.821
254.0, 41405.04198134446, 30491.713344062966, -32672.50599533391, -26561.002619386032, -4585.393319772878, -6724.254098445666, -187500.02235174447, -72133.25913348903, -192.00148487108765, -50255.885750756956, -11478.26897838938, -37800.823187926195, 17124.789014433507, -13968.342717688409, -43284.98015224697, -46504.905403245146, 0.028, 0.912, 0.42, 192.0, 0.0, 112.0, 14.0, 64.0, 6.5, 16.0, 0.0, 0.0, 0.0, 1.695683408821729E9, 0.0, 2023-09-25 18:10:08.821
0.0, 20607.4143180149, 15206.428194812323, -16540.916745771974, -13730.140177028201, -2266.9139226572424, -3281.83958313937, -93750.01117587223, -31006.116390957402, -99.46526282611643, -25125.707700932944, -5740.799694156611, -18899.11519278469, 8567.960091586125, -6977.521714868751, -21642.210679317795, -23251.69274231109, 0.038, 0.922, 0.41600000000000004, 192.0, 0.5, 24.0, 14.0, 104.0, 6.5, 0.0, 0.0, 0.0, 0.0, 1.695683408961364E9, 0.0, 2023-09-25 18:10:08.961
2.0, 41242.231874732, 30442.69596847248, -33052.73152026314, -27441.214316036025, -4507.117510690393, -6536.566500254453, -187500.02235174447, -61999.35817710855, -345.177989623307, -50025.57337588947, -11461.281652603348, -37536.44675450883, 16143.882709012356, -14743.992953776475, -42997.49201506282, -46341.447096043485, 0.038, 0.922, 0.41600000000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683408961374E9, 0.0, 2023-09-25 18:10:08.961
4.0, 41230.00547051495, 30420.411279250537, -33062.29806689001, -27450.020903351415, -4514.94062124975, -6540.679221234229, -187500.02235174447, -62033.60104961408, -327.0283731255976, -50009.56952685947, -11450.195187353514, -37527.550760215614, 16142.541604345037, -14738.717942085023, -42984.63976200101, -46330.49474126038, 0.038, 0.922, 0.41600000000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683408961379E9, 0.0, 2023-09-25 18:10:08.961
6.0, 41209.754790038445, 30412.8787413691, -33093.36699168289, -27471.836205939795, -4544.400220441845, -6570.071765192958, -187500.02235174447, -61964.40004878045, -350.0059664256533, -50030.46840792518, -11464.902635205108, -37525.76262065919, 16146.43080788026, -14746.004610777452, -42995.167433639464, -46347.54912227978, 0.038, 0.922, 0.41600000000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683408961382E9, 0.0, 2023-09-25 18:10:08.961
