%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 4807.5026044252645, 42768.27487567364, -59695.653283077874, -61841.62191648745, -30975.405094075813, -37410.20410182525, -187500.02235174447, -15253.59037561302, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760033393596E9, 0.0, 2023-09-26 15:27:13.393
208.0, 4811.302400982667, 42772.52170712015, -59708.10320473948, -61851.657849747884, -30987.05035293703, -37422.98929965369, -187500.02235174447, -15238.435892872321, -398.59865887149084, -44993.882774577476, -51945.23059668906, -56221.231069711575, -22897.1046682721, -32030.96622597769, -62181.25667348584, -44866.74605211569, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760033393615E9, 0.0, 2023-09-26 15:27:13.393
210.0, 4803.121662512024, 42768.00665474017, -59693.77573654363, -61853.267175348665, -30982.311783112502, -37422.40815429785, -187500.02235174447, -15239.531128350633, -401.12440599494056, -45008.3220014956, -51954.461867149104, -56235.17855825169, -22950.54768926474, -32037.71645280319, -62196.657025415545, -44883.15223254589, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760033393625E9, 0.0, 2023-09-26 15:27:13.393
212.0, 4808.977819559314, 42762.88810525991, -59704.01283550416, -61857.42459981735, -30978.579041788467, -37434.45574455926, -187500.02235174447, -15244.359105152978, -384.8299842870217, -45046.923464169915, -51947.19755020113, -56240.252404243045, -22886.688755355928, -32029.692176543736, -62180.92139731901, -44878.90540109938, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760033393655E9, 0.0, 2023-09-26 15:27:13.393
214.0, 4801.534688655697, 42766.53143960613, -59698.603713345976, -61846.2487275897, -30976.299163854026, -37420.2847385746, -187500.02235174447, -15238.30178240559, -388.11569072195186, -44998.28606823517, -51955.42299216068, -56230.14941574925, -22954.906279433522, -32037.78350803656, -62188.610397411634, -44885.11918605795, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760033393665E9, 0.0, 2023-09-26 15:27:13.393
216.0, 4801.244115977778, 42760.22824766973, -59696.077966222525, -61848.930936924335, -30997.220396664194, -37429.06897414553, -187500.02235174447, -15257.837207059529, -382.10307146347424, -44997.48140543478, -51946.43759088965, -56222.50511914553, -22937.02488386928, -32034.29663590153, -62185.01176655433, -44876.133784786914, 0.014, 1.002, 0.17400000000000002, 192.0, 0.0, 56.0, 15.5, 40.0, 2.5, 56.0, 0.0, 0.0, 0.0, 1.695760033393674E9, 0.0, 2023-09-26 15:27:13.393
218.0, 4803.90397356796, 42780.34481767951, -59696.68146332282, -61846.58400375653, -30983.89875696883, -37423.30222407606, -187500.02235174447, -15221.87325023094, -414.80367360158846, -44995.78267285618, -51959.848637562834, -56223.13096799028, -22938.20952632541, -32040.935104004755, -62198.69103416098, -44885.722683158245, 0.014, 1.002, 0.17400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760033393684E9, 0.0, 2023-09-26 15:27:13.393
220.0, 4801.75820610025, 42763.357491893476, -59690.73589929771, -61853.35658232649, -30984.18932964675, -37426.27500608862, -187500.02235174447, -15260.094733249514, -392.3178186795496, -44999.470710691305, -51950.61736710279, -56223.823872068395, -22938.58950598115, -32033.24610391213, -62187.02342355531, -44883.53221220162, 0.014, 1.002, 0.17400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760033393693E9, 0.0, 2023-09-26 15:27:13.393
222.0, 4809.04487479268, 42782.73645433622, -59693.59692258799, -61836.548070496094, -30968.297239339026, -37418.67541297381, -187500.02235174447, -15228.601125311987, -398.35278968248247, -44995.80502460063, -51953.43368690416, -56214.63730509726, -22927.793613409238, -32014.917673458778, -62180.027327540796, -44881.229982522724, 0.014, 1.002, 0.17400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760033393703E9, 0.0, 2023-09-26 15:27:13.393
224.0, 4790.627037361507, 42760.898800003386, -59696.94968425628, -61836.81629142956, -30979.920146455785, -37423.50338977616, -187500.02235174447, -15282.31236723809, -406.7123421087673, -44994.978010055784, -51959.11102999581, -56213.22914519658, -22889.32626120165, -32029.647473054825, -62184.274158987304, -44874.63621790841, 0.014, 1.002, 0.17400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760033393712E9, 0.0, 2023-09-26 15:27:13.393
