%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
224.0, 68208.69513853731, 52502.7948621267, -26914.76367888018, -35687.51045316583, 2367.6755866617664, -8807.704902613748, -187500.02235174447, 8337.111274851713, 46805.96104931367, -20053.292221223383, 18246.600716900914, -6657.467086013208, 14314.88416372349, -1477.1150323289673, -26257.24241223841, -51640.62102325213, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695761922418588E9, 0.0, 2023-09-26 15:58:42.418
226.0, 68204.02362394615, 52507.086397062114, -26912.84142885702, -35688.98566829988, 2375.498697221124, -8796.529030386095, -187500.02235174447, 8357.026679161392, 46760.67641504722, -20051.63819213369, 18247.293620979028, -6656.818885424004, 14296.622788503504, -1466.2297327792328, -26252.459138924976, -51637.64824123958, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695761922418608E9, 0.0, 2023-09-26 15:58:42.418
228.0, 68218.17227818636, 52503.91244934946, -26902.6490333854, -35673.20533671443, 2369.1955052847275, -8785.330806413986, -187500.02235174447, 8335.88192890667, 46814.36530522887, -20056.98025905851, 18247.51713842358, -6658.472914513697, 14322.12612892701, -1463.6592821668723, -26261.131615773633, -51644.86785469864, 0.10200000000000001, 0.98, 0.23, 192.0, 1.5, 24.0, 15.0, 80.0, 3.5, 24.0, 0.0, 0.0, 0.0, 1.69576192241862E9, 0.0, 2023-09-26 15:58:42.418
230.0, 68215.71358629628, 52509.29921976319, -26905.822981098056, -35678.01096177232, 2375.4763454766685, -8789.063547738022, -187500.02235174447, 8336.194853329045, 46766.6890343057, -20043.52450889641, 18266.22554853267, -6637.17170204779, 14300.936675183377, -1448.6836133818167, -26242.87024055365, -51626.00298237836, 0.10200000000000001, 0.98, 0.23, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69576192241863E9, 0.0, 2023-09-26 15:58:42.418
232.0, 68227.2470864352, 52520.67625769094, -26894.445943170304, -35673.31709543671, 2364.233418015649, -8788.705919826736, -187500.02235174447, 8311.45147221702, 46808.7997208595, -20050.252383977462, 18256.23431876115, -6648.012298108613, 14329.546908086171, -1460.4629827097635, -26262.025685551846, -51649.31585184525, 0.10200000000000001, 0.98, 0.23, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69576192241864E9, 0.0, 2023-09-26 15:58:42.418
234.0, 68218.79812703111, 52511.48969071981, -26897.485780416227, -35678.74856933935, 2362.981720326152, -8803.435719422785, -187500.02235174447, 8309.842146616238, 46764.63267381581, -20042.272811206916, 18271.344098012938, -6633.684829912762, 14306.032872919188, -1447.9013023258808, -26250.715702857462, -51638.43055229552, 0.10200000000000001, 0.98, 0.23, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69576192241865E9, 0.0, 2023-09-26 15:58:42.418
236.0, 68208.76219377067, 52499.598562669584, -26903.677213630344, -35691.667877634514, 2348.430734685747, -8818.724312630215, -187500.02235174447, 8289.390300439632, 46798.45086317669, -20058.656639892655, 18253.84268210443, -6659.590501736463, 14311.196125888364, -1469.314273514065, -26275.660249669585, -51670.25943639987, 0.10200000000000001, 0.98, 0.23, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695761922418659E9, 0.0, 2023-09-26 15:58:42.418
238.0, 68214.66305430687, 52505.544126694695, -26891.428457668837, -35678.05566526123, 2367.3850139838473, -8806.78848109108, -187500.02235174447, 8306.355274481211, 46762.19633367018, -20050.36414269974, 18263.588042686944, -6646.850007396938, 14300.891971694467, -1457.736069886216, -26256.549508160297, -51649.60642452317, 0.108, 0.98, 0.232, 192.0, 1.5, 48.0, 15.0, 80.0, 3.5, 32.0, 0.0, 0.0, 0.0, 1.695761922418668E9, 0.0, 2023-09-26 15:58:42.418
240.0, 68204.33654836852, 52497.27398124623, -26905.13007701994, -35694.193624757965, 2346.46378117368, -8823.999324321667, -187500.02235174447, 8294.464146430988, 46798.87554632134, -20063.752837628464, 18246.734827367643, -6668.374737307398, 14313.252486378251, -1482.0994713425007, -26276.196691536512, -51670.30413988879, 0.108, 0.98, 0.232, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695761922418677E9, 0.0, 2023-09-26 15:58:42.418
0.0, 34161.847431879934, 26348.146956938144, -13452.531510893288, -17837.317924179784, 1122.9292896901716, -4418.604602647377, -93750.01117587223, 3847.361069603094, 23378.427133372683, -10022.298696315134, 9137.683706007447, -3320.7539702360596, 7145.65153666157, -724.5541482632337, -13125.16786160086, -25819.483497081223, 0.109, 0.981, 0.232, 192.0, 1.5, 56.0, 15.0, 88.0, 3.5, 32.0, 0.0, 0.0, 0.0, 1.69576192257473E9, 0.0, 2023-09-26 15:58:42.574
2.0, 68319.26921835772, 52693.65640803056, -26913.42257421286, -35683.80006358625, 2248.473733481614, -8850.307327545563, -187500.02235174447, 7706.47915678968, 46877.017244937095, -19979.598519754236, 17950.17188193463, -7029.936555616446, 14304.580009529593, -1620.9261561544129, -26243.80901382077, -51565.25094094884, 0.109, 0.981, 0.232, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695761922574753E9, 0.0, 2023-09-26 15:58:42.574
4.0, 68325.39359633847, 52695.93628596501, -26904.437172941827, -35681.49783390735, 2252.0053091055524, -8847.84863565548, -187500.02235174447, 7685.267351301593, 46916.78099832308, -19986.728726235477, 17941.65586729716, -7036.932651630957, 14312.067843922121, -1631.5208830262284, -26247.96643828946, -51575.01865327581, 0.109, 0.981, 0.232, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695761922574798E9, 0.0, 2023-09-26 15:58:42.574
6.0, 68311.64727349846, 52680.893561946585, -26916.79768762561, -35704.45307546295, 2248.6748991817117, -8867.987557409711, -187500.02235174447, 7694.923304906286, 46876.68196877027, -19976.7151447195, 17951.31182090185, -7028.573099204672, 14316.985227702287, -1620.2556038207538, -26231.71672007045, -51565.04977524874, 0.109, 0.981, 0.232, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695761922574808E9, 0.0, 2023-09-26 15:58:42.574
8.0, 68331.4285673414, 52700.29487613379, -26896.70346936029, -35672.71359833641, 2253.9275591287087, -8845.121722831933, -187500.02235174447, 7683.747432678632, 46922.61480362592, -19993.657767016623, 17937.185518406095, -7045.761590690803, 14326.55177432916, -1644.7084122548597, -26245.887726055116, -51585.546324914256, 0.114, 0.982, 0.232, 192.0, 1.5, 72.0, 15.0, 88.0, 3.5, 32.0, 0.0, 0.0, 0.0, 1.695761922574817E9, 0.0, 2023-09-26 15:58:42.574
10.0, 68283.01468885121, 52661.08991635918, -26924.866667373975, -35702.82139811771, 2237.990765332075, -8870.669766744348, -187500.02235174447, 7685.826144912976, 46871.071680911984, -19986.415801813102, 17934.8832887272, -7039.659564454504, 14302.121317639509, -1636.3488598285749, -26228.967455502447, -51565.98854851587, 0.114, 0.982, 0.232, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695761922574826E9, 0.0, 2023-09-26 15:58:42.574
12.0, 68296.13516284648, 52691.33182660721, -26900.70443161779, -35675.373455926594, 2258.219094064128, -8841.478388485717, -187500.02235174447, 7688.463650758702, 46908.15322496334, -20000.81032524232, 17915.50432628445, -7060.312576331208, 14287.369166299006, -1649.402278590474, -26246.602981877684, -51578.03613877728, 0.114, 0.982, 0.232, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695761922574835E9, 0.0, 2023-09-26 15:58:42.574
14.0, 68289.07201159859, 52672.75752696485, -26909.46631544427, -35675.99930477134, 2265.438707523192, -8840.51726347414, -187500.02235174447, 7699.416005541802, 46857.928855172264, -19975.75401970792, 17931.686989270092, -7040.419523765984, 14289.090250622065, -1619.9873828872899, -26218.663301308552, -51541.96042322641, 0.114, 0.982, 0.232, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695761922574844E9, 0.0, 2023-09-26 15:58:42.574
16.0, 68307.80277345215, 52690.325998106724, -26896.83757982702, -35663.079996476175, 2271.2278093371165, -8822.83703360999, -187500.02235174447, 7703.349912565936, 46897.357332391424, -19974.167045851595, 17929.205945635553, -7044.666355212493, 14315.889992223978, -1622.5131300107396, -26222.150173443577, -51542.16158892651, 0.114, 0.982, 0.232, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695761922634441E9, 0.0, 2023-09-26 15:58:42.634
18.0, 68301.14195360446, 52686.257980615854, -26909.8015916111, -35672.668894847506, 2273.2618180825493, -8833.364705248441, -187500.02235174447, 7706.14388062285, 46855.47016328218, -19966.254528314417, 17932.312838114838, -7045.53807324625, 14297.427451303894, -1615.8746619075134, -26217.47865885242, -51536.417190601496, 0.112, 0.988, 0.224, 192.0, 1.5, 64.0, 15.0, 112.0, 3.5, 0.0, 0.0, 0.0, 0.0, 1.695761922634463E9, 0.0, 2023-09-26 15:58:42.634
20.0, 68311.1778868649, 52699.80313775577, -26905.353594464494, -35664.71167382141, 2269.730242458611, -8826.41331272284, -187500.02235174447, 7705.629790500378, 46895.680951557275, -19973.29532781784, 17930.524698558416, -7048.086172114155, 14310.279704365696, -1627.9446039133793, -26221.56902808774, -51544.55322558323, 0.112, 0.988, 0.224, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695761922634474E9, 0.0, 2023-09-26 15:58:42.634
22.0, 68304.56177050612, 52694.77399525333, -26911.813248612078, -35660.57660109718, 2258.7331841866, -8834.45994072675, -187500.02235174447, 7701.360607309414, 46857.437116794245, -19965.85219691422, 17937.274925383917, -7037.2902795422415, 14286.586855243071, -1616.4558072633515, -26209.119106426133, -51531.96919345489, 0.112, 0.988, 0.224, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695761922634483E9, 0.0, 2023-09-26 15:58:42.634
24.0, 68312.31782583211, 52705.30166689178, -26910.494495689214, -35652.35115913763, 2252.340585272382, -8833.677629670814, -187500.02235174447, 7705.629790500378, 46892.2164311667, -19963.61702246869, 17924.31091359984, -7039.547805732228, 14321.723797526813, -1621.9319846549017, -26223.647740322085, -51545.40259187253, 0.112, 0.988, 0.224, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695761922634492E9, 0.0, 2023-09-26 15:58:42.634
26.0, 68318.24103811277, 52713.1918326845, -26903.319585719062, -35651.34533063714, 2267.0703848684293, -8824.60282142196, -187500.02235174447, 7701.897049176342, 46869.328244844466, -19945.221536781974, 17939.666562040635, -7014.804424620203, 14307.016349675221, -1605.3246385246086, -26205.073440679724, -51534.49494057834, 0.112, 0.988, 0.224, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695761922634534E9, 0.0, 2023-09-26 15:58:42.634
28.0, 68333.21670689783, 52729.419199159056, -26892.769562336158, -35635.43088858496, 2270.1772773477173, -8814.857460839447, -187500.02235174447, 7708.9154969353085, 46891.09884394394, -19958.073789843773, 17936.827890494813, -7018.581869433149, 14307.21751537532, -1617.148711341466, -26210.32610062672, -51543.949728482934, 0.11800000000000001, 0.986, 0.232, 192.0, 1.5, 88.0, 15.0, 104.0, 3.5, 32.0, 0.0, 0.0, 0.0, 1.695761922634543E9, 0.0, 2023-09-26 15:58:42.634
