%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
224.0, 29893.334793249942, 5908.147204893495, 27451.00438010745, 70963.21236648707, -38736.80248699218, 78971.55183214568, -187500.02235174447, -187500.02235174447, 47695.448719912616, 26680.00330686609, -187500.02235174447, 28662.938316218653, 56175.521752300476, 45982.50043183571, -187500.02235174447, -187500.02235174447, 0.178, 0.998, 0.156, 192.0, 2.5, 72.0, 15.5, 24.0, 2.0, 112.0, 0.0, 0.0, 0.0, 1.695933019437314E9, 0.0, 2023-09-28 15:30:19.437
226.0, 29938.12768913838, 5948.89443503552, 27402.299928939337, 70843.56347841781, -38864.63211353208, 78860.6648279029, -187500.02235174447, -187500.02235174447, 47665.92206548716, 26660.780806634524, -187500.02235174447, 28637.457327539603, 56264.10171557686, 45960.72983273624, -187500.02235174447, -187500.02235174447, 0.178, 0.998, 0.156, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695933019437336E9, 0.0, 2023-09-28 15:30:19.437
228.0, 29882.82947335595, 5895.630227998523, 27450.087958584783, 70955.92569779465, -38741.65281553898, 78966.09800649858, -187500.02235174447, -187500.02235174447, 47688.519679131474, 26666.011114837067, -187500.02235174447, 28661.06076968441, 56135.62388844775, 45952.77261171015, -187500.02235174447, -187500.02235174447, 0.178, 0.998, 0.156, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695933019437353E9, 0.0, 2023-09-28 15:30:19.437
230.0, 29919.15105809582, 5930.096617948606, 27390.721725311487, 70888.31167081735, -38803.79066512474, 78904.13897086847, -187500.02235174447, -187500.02235174447, 47639.68111749663, 26639.971332546633, -187500.02235174447, 28624.538019244435, 56263.20764579865, 45964.46257406027, -187500.02235174447, -187500.02235174447, 0.178, 0.998, 0.156, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959330194373686E9, 0.0, 2023-09-28 15:30:19.437
232.0, 29905.740011422637, 5912.259925873271, 27451.00438010745, 70909.8811042167, -38785.86456607158, 78923.54028505567, -187500.02235174447, -187500.02235174447, 47683.82581279586, 26657.629210666324, -187500.02235174447, 28660.345513861837, 56105.35962645527, 45943.876617416936, -187500.02235174447, -187500.02235174447, 0.178, 0.998, 0.156, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959330194373844E9, 0.0, 2023-09-28 15:30:19.437
234.0, 29923.599055242426, 5931.102446449095, 27408.446658664547, 70918.77709850992, -38767.80435655169, 78935.29730263917, -187500.02235174447, -187500.02235174447, 47633.26616683795, 26659.41735022275, -187500.02235174447, 28646.62154276628, 56286.65462573226, 45974.274989876154, -187500.02235174447, -187500.02235174447, 0.176, 1.0, 0.158, 192.0, 2.5, 64.0, 15.5, 32.0, 2.0, 120.0, 0.0, 0.0, 0.0, 1.695933019437401E9, 0.0, 2023-09-28 15:30:19.437
236.0, 29913.786639426547, 5919.703056776889, 27456.704074943555, 70909.3893658387, -38782.57885963665, 78933.35270087156, -187500.02235174447, -187500.02235174447, 47669.72186204456, 26663.865347369356, -187500.02235174447, 28670.58261282237, 56104.35379795478, 45928.632727698416, -187500.02235174447, -187500.02235174447, 0.176, 1.0, 0.158, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959330194374163E9, 0.0, 2023-09-28 15:30:19.437
238.0, 29950.06352067751, 5947.821551301665, 27432.675949654098, 70937.1949359411, -38741.42929809443, 78961.80647156316, -187500.02235174447, -187500.02235174447, 47670.79474577842, 26684.8983389018, -187500.02235174447, 28669.554432577424, 56287.97337865512, 45993.31867615208, -187500.02235174447, -187500.02235174447, 0.176, 1.0, 0.158, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695933019437431E9, 0.0, 2023-09-28 15:30:19.437
240.0, 29918.055822617513, 5914.964486952364, 27461.934383146094, 70859.85790012573, -38843.37560455508, 78883.30714503613, -187500.02235174447, -187500.02235174447, 47689.14552797622, 26672.247251540095, -187500.02235174447, 28677.399894881237, 56086.025367501425, 45928.81154165406, -187500.02235174447, -187500.02235174447, 0.176, 1.0, 0.158, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959330194374466E9, 0.0, 2023-09-28 15:30:19.437
242.0, 29916.848828416925, 5914.450396829891, 27425.3222257283, 70964.82169208786, -38708.28166106721, 78986.88512884201, -187500.02235174447, -187500.02235174447, 47675.42155688066, 26670.235594539117, -187500.02235174447, 28650.82367072388, 56293.36014906885, 45981.204030657296, -187500.02235174447, -187500.02235174447, 0.176, 1.0, 0.158, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959330194374616E9, 0.0, 2023-09-28 15:30:19.437
244.0, 29920.00042438512, 5917.892565476009, 27462.046141868374, 70838.44492893755, -38861.81579373071, 78860.82129011408, -187500.02235174447, -187500.02235174447, 47653.96388220357, 26655.684608898715, -187500.02235174447, 28660.501976073025, 56086.941789024095, 45899.9330878178, -187500.02235174447, -187500.02235174447, 0.17, 1.0, 0.166, 192.0, 2.5, 40.0, 15.5, 32.0, 2.5, 24.0, 0.0, 0.0, 0.0, 1.6959330194374769E9, 0.0, 2023-09-28 15:30:19.437
246.0, 29907.43874400124, 5904.302704847182, 27428.60793216323, 70996.98585235904, -38666.19332625787, 79016.25532105629, -187500.02235174447, -187500.02235174447, 47636.21659710605, 26670.9955538506, -187500.02235174447, 28656.657476026714, 56279.747936695574, 45973.492678820214, -187500.02235174447, -187500.02235174447, 0.17, 1.0, 0.166, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959330194374945E9, 0.0, 2023-09-28 15:30:19.437
