%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
238.0, -14014.744939177626, -22261.73398038554, 5275.548133319394, 13547.30290738379, -42984.058616645176, -36088.72426613859, 150714.54950744504, -34141.28382698105, 7024.2592125247975, 3192.656122762695, -20060.82475910482, -12819.217183496618, -19967.461522515005, -12570.77754387588, -12833.29878250346, -11148.714858140333, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338671947826E9, 0.0, 2023-09-21 18:24:31.947
240.0, -14015.482546744652, -22262.65040190821, 5269.222589638543, 13544.285421882323, -42981.71168347737, -36089.864205105805, 150700.44555669374, -34142.11084152589, 7021.7334654013475, 3186.8223174598597, -20061.83058760531, -12824.358084721338, -19973.272976073382, -12570.665785153602, -12835.131625548796, -11153.58753843159, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338671947836E9, 0.0, 2023-09-21 18:24:31.947
242.0, -14013.984979866145, -22259.78937861793, 5276.0398716974105, 13546.565299816764, -42980.25882008777, -36086.53379518197, 150704.0665392955, -34140.90384732531, 7020.191195033932, 3187.649332004706, -20062.6352504057, -12825.833299855389, -19973.09416211774, -12573.660918910613, -12836.763302894033, -11159.019012334229, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69533867194784E9, 0.0, 2023-09-21 18:24:31.947
244.0, -14019.550564235517, -22265.13144554275, 5271.346005361796, 13542.58668930372, -42978.76125320927, -36085.95264982613, 150698.43389969278, -34145.73182412766, 7021.7334654013475, 3190.9573901840918, -20060.288317237893, -12823.44166319867, -19966.165121336595, -12566.77658161838, -12833.142320292274, -11156.180340788405, 0.13, 0.9480000000000001, 0.33, 192.0, 2.0, 8.0, 14.5, 80.0, 5.0, 40.0, 0.0, 0.0, 0.0, 1.695338671947844E9, 0.0, 2023-09-21 18:24:31.947
246.0, -14018.477680501663, -22260.54933792941, 5279.504392087983, 13544.128959671136, -42974.60382874058, -36079.89532707874, 150695.59522814694, -34141.641454892335, 7014.3350379866415, 3188.945733183114, -20065.697439396077, -12824.11221553233, -19978.43622904256, -12570.017584564399, -12836.49508196057, -11160.337765257093, 0.13, 0.9480000000000001, 0.33, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338671947848E9, 0.0, 2023-09-21 18:24:31.947
248.0, -14019.863488657891, -22263.432712964146, 5276.71042403107, 13542.273764881345, -42981.17524161044, -36079.62710614528, 150651.60699505892, -34144.56953341598, 7017.643096166026, 3192.0526256624016, -20060.489482937992, -12819.619514896813, -19963.773484679878, -12569.838770608756, -12832.851747614355, -11155.420381476926, 0.13, 0.9480000000000001, 0.33, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338671947851E9, 0.0, 2023-09-21 18:24:31.947
250.0, -14022.165718336788, -22268.46185546659, 5274.832877496824, 13539.323334613246, -42984.10332013408, -36083.40455095823, 150621.0968638774, -34146.46943169468, 7012.837471108136, 3188.2751808494545, -20060.556538171357, -12816.356160206338, -19980.961976166007, -12570.174046775586, -12834.237555770584, -11155.845064621577, 0.13, 0.9480000000000001, 0.33, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338671947855E9, 0.0, 2023-09-21 18:24:31.947
252.0, -14020.355227035909, -22269.89236711173, 5272.195371651098, 13541.290288125312, -42985.53383177923, -36078.554222411425, 150600.01916885606, -34136.6570158788, 7008.322418728164, 3184.095404636312, -20065.250404506973, -12821.96644806462, -19969.406124282614, -12570.598729920237, -12835.82452962691, -11157.521445455724, 0.13, 0.9480000000000001, 0.33, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338671947858E9, 0.0, 2023-09-21 18:24:31.947
254.0, -14021.048131114023, -22271.993431090526, 5275.168153663654, 13542.296116625801, -42988.55131728069, -36074.352094453825, 150592.37487225235, -34135.494725167126, 7011.853994352102, 3188.8339744608375, -20063.395209717182, -12817.607857895835, -19969.38377253816, -12564.139075772653, -12835.980991838098, -11150.592404674579, 0.126, 0.9480000000000001, 0.338, 192.0, 1.5, 120.0, 14.5, 80.0, 5.0, 72.0, 0.0, 0.0, 0.0, 1.695338671947862E9, 0.0, 2023-09-21 18:24:31.947
0.0, -6985.121307983555, -11109.062863476618, 2670.519372286722, 6784.223828819255, -21365.47373121664, -17892.48202949548, 75607.81545732207, -16914.52615434243, 3504.641771869871, 1592.5170889517176, -10033.340458076056, -6410.525013270976, -9982.467887695777, -6282.851848942262, -6421.142091887247, -5577.542552655048, 0.124, 0.9500000000000001, 0.324, 192.0, 1.5, 112.0, 14.5, 88.0, 5.0, 16.0, 0.0, 0.0, 0.0, 1.695338672041592E9, 0.0, 2023-09-21 18:24:32.041
2.0, -13973.841246824413, -22223.02075898895, 5346.1796457981645, 13564.536102358832, -42736.96008169175, -35793.23420443943, 151245.6046039587, -33837.30010238887, 7136.286155734797, 3421.515634240584, -19852.752369970367, -12604.573381492304, -19649.217384960342, -12353.742105214847, -12652.540225093393, -10914.625038459902, 0.124, 0.9500000000000001, 0.324, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338672100595E9, 0.0, 2023-09-21 18:24:32.100
