%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
238.0, 20012.030900958885, 31459.387416766574, -49839.58451027686, -48810.152567643236, -34397.635984138964, -19507.350862902505, -187500.02235174447, -18894.086050282247, -8883.611426783971, 18723.966923232903, -46253.694147311944, -42409.64113588824, -14278.361413283517, -33848.74419554999, -47170.89798103547, -42389.65867634519, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69542014748305E9, 0.0, 2023-09-22 17:02:27.483
240.0, 19990.260301859416, 31437.97444557839, -49834.108332885306, -48787.4655470211, -34408.16365577742, -19487.413106848373, -187500.02235174447, -18887.760506601397, -8886.47245007425, 18708.007777691815, -46250.989586232856, -42408.143569009735, -14281.892988907455, -33851.113480462256, -47172.797879314174, -42394.06197000289, -0.01, 1.002, 0.166, 192.0, 127.5, 88.0, 15.5, 40.0, 2.5, 24.0, 0.0, 0.0, 0.0, 1.695420147483059E9, 0.0, 2023-09-22 17:02:27.483
242.0, 20018.28938940637, 31458.023960354803, -49835.20356836362, -48799.64724774924, -34388.85174856803, -19500.24300816572, -187500.02235174447, -18887.089954267736, -8874.380156323929, 18726.55972558972, -46236.61741454809, -42394.978391525554, -14269.331308523573, -33841.90456174667, -47154.5812075831, -42382.37200765276, -0.01, 1.002, 0.166, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420147483062E9, 0.0, 2023-09-22 17:02:27.483
244.0, 19996.697604262543, 31436.968617077902, -49843.87604521228, -48787.55495399892, -34412.119914546005, -19490.452944094293, -187500.02235174447, -18889.01220429089, -8882.583246539027, 18713.46160333891, -46238.20438840442, -42400.521624150475, -14279.411945272917, -33847.60425658277, -47162.91840826493, -42387.28939143293, -0.01, 1.002, 0.166, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420147483066E9, 0.0, 2023-09-22 17:02:27.483
246.0, 20014.40018587115, 31454.47003298641, -49843.272548111985, -48796.249782592036, -34392.405675936425, -19497.67255755336, -187500.02235174447, -18884.094820510723, -8883.387909339417, 18714.08745218366, -46237.690298281945, -42401.16982473968, -14283.88229416398, -33852.02990198492, -47165.041823988184, -42389.613972856285, -0.01, 1.002, 0.166, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420147483069E9, 0.0, 2023-09-22 17:02:27.483
248.0, 20003.134906665673, 31444.277637514788, -49835.024754407976, -48771.640511946745, -34399.69234462886, -19472.549196785592, -187500.02235174447, -18871.287270937835, -8874.983653424222, 18719.40716736402, -46224.94980394242, -42396.118330492776, -14276.863846405013, -33843.335073391805, -47158.1798384404, -42379.3545221513, -0.01, 1.002, 0.166, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420147483072E9, 0.0, 2023-09-22 17:02:27.483
250.0, 20007.96288346802, 31445.41757648201, -49843.31725160089, -48794.975733158084, -34386.08013225557, -19494.833886007535, -187500.02235174447, -18876.584634373743, -8867.764039965157, 18726.246801167348, -46217.73019048336, -42391.75974032399, -14266.20206429983, -33836.94247447759, -47149.64147205847, -42373.07368195936, -0.008, 1.002, 0.164, 192.0, 127.5, 96.0, 15.5, 40.0, 2.5, 16.0, 0.0, 0.0, 0.0, 1.695420147483076E9, 0.0, 2023-09-22 17:02:27.483
252.0, 19992.96486293851, 31433.548800176242, -49848.90518771472, -48785.610352231306, -34407.53780693267, -19485.066173680567, -187500.02235174447, -18879.244491963924, -8888.931141964335, 18710.89115272655, -46239.724307027376, -42413.26211849, -14294.20880010233, -33853.66157933016, -47168.72986182331, -42392.542051379925, -0.008, 1.002, 0.164, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420147483079E9, 0.0, 2023-09-22 17:02:27.483
254.0, 19992.38371758267, 31431.64890189754, -49845.999460935534, -48795.62393374729, -34391.53395790267, -19495.660900552382, -187500.02235174447, -18877.478704151956, -8886.740671007714, 18705.32556835718, -46238.316147126694, -42409.395266699226, -14283.077631363587, -33849.37004439474, -47161.063213475136, -42388.33992342233, -0.008, 1.002, 0.164, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420147483083E9, 0.0, 2023-09-22 17:02:27.483
0.0, 10008.775890919673, 15703.173363587066, -24886.052296883143, -24352.180880568136, -17134.95905816067, -9726.428654960235, -93750.01117587223, -9341.889243351132, -4446.141951816315, 9361.648185449623, -23123.460784370993, -21206.977511284054, -7143.572824427227, -16928.518346371453, -23584.08553410596, -21198.19327571312, -0.008, 0.998, 0.156, 192.0, 127.5, 96.0, 15.5, 24.0, 2.0, 112.0, 0.0, 0.0, 0.0, 1.695420147648173E9, 0.0, 2023-09-22 17:02:27.648
