%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
224.0, -130878.20331790487, 54413.08670199951, -7166.4833624939165, 12285.323415437153, 69221.36327282945, 42564.941056363714, -187500.02235174447, 64313.81426022223, 66477.6419374516, 72233.3502451599, 4085.831831196765, 12568.765886874902, 69308.98211109426, 41274.23957279201, 17149.890023456817, 21032.477442321473, 0.11800000000000001, 1.008, 0.106, 192.0, 1.5, 88.0, 15.5, 64.0, 1.5, 40.0, 0.0, 0.0, 0.0, 1.695422449361386E9, 0.0, 2023-09-22 17:40:49.361
226.0, -130818.0771253201, 54462.48405724574, -7177.592179488204, 12359.240634350854, 69330.59624798254, 42582.062492616475, -187500.02235174447, 64379.52838892084, 66483.16281833206, 72247.52125114456, 4107.423616340592, 12584.680328927081, 69331.02093112719, 41286.242459564506, 17170.051296955502, 21046.69315179505, 0.11800000000000001, 1.008, 0.106, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422449361415E9, 0.0, 2023-09-22 17:40:49.361
228.0, -130887.85927150957, 54419.52400440264, -7158.190865300998, 12296.923970809457, 69211.23793259119, 42564.27050403005, -187500.02235174447, 64303.86773393962, 66499.54664701779, 72251.9021930578, 4101.299238359838, 12589.01656735141, 69329.34455029304, 41289.19288983261, 17170.67714580025, 21056.393808888653, 0.11800000000000001, 1.008, 0.106, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422449361419E9, 0.0, 2023-09-22 17:40:49.361
230.0, -130804.84489260256, 54460.65121420041, -7196.9487901864995, 12356.44666629394, 69330.37273053799, 42567.600913953895, -187500.02235174447, 64378.813133098265, 66475.49616998389, 72227.2035154347, 4095.7113022460107, 12571.045764809343, 69313.25129428522, 41265.7906133879, 17156.86376772687, 21054.292744909853, 0.11800000000000001, 1.008, 0.106, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422449361423E9, 0.0, 2023-09-22 17:40:49.361
232.0, -130828.76125916974, 54433.71736213176, -7172.272464307841, 12298.399185943508, 69220.44685130678, 42562.75058540709, -187500.02235174447, 64324.25252488286, 66504.30756858678, 72229.77396604705, 4093.4314243115696, 12579.58413119127, 69318.07927108757, 41282.956753129576, 17161.06589568447, 21055.946773999545, 0.11800000000000001, 1.008, 0.106, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422449361426E9, 0.0, 2023-09-22 17:40:49.361
234.0, -130798.7205146218, 54447.68720241633, -7200.390958832617, 12350.63521273556, 69320.69442518883, 42564.6951871747, -187500.02235174447, 64374.633356885126, 66458.37473373112, 72220.87797175384, 4087.9552469200194, 12581.081698069776, 69313.76538440768, 41279.82750890583, 17158.629555538842, 21046.290820394854, 0.116, 1.008, 0.108, 192.0, 1.5, 80.0, 15.5, 64.0, 1.5, 48.0, 0.0, 0.0, 0.0, 1.695422449361429E9, 0.0, 2023-09-22 17:40:49.361
236.0, -130771.7196073198, 54457.34315602102, -7177.480420765927, 12303.696549379416, 69248.40888362037, 42565.499849975095, -187500.02235174447, 64339.809339023755, 66514.99170243641, 72219.53686708651, 4093.8114039673096, 12587.250779539441, 69307.73041340476, 41285.97423863104, 17153.712171758674, 21064.909823526123, 0.116, 1.008, 0.108, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422449361433E9, 0.0, 2023-09-22 17:40:49.361
238.0, -130842.19465758737, 54431.571594664056, -7187.248133092897, 12345.427256277473, 69300.42139296787, 42586.93517290773, -187500.02235174447, 64354.91911827554, 66447.95882081495, 72243.34147493143, 4100.025188925885, 12621.78422472289, 69330.618599727, 41317.98193669104, 17182.16594245028, 21055.745608299447, 0.116, 1.008, 0.108, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422449361436E9, 0.0, 2023-09-22 17:40:49.361
240.0, -130760.29786590314, 54478.398499297924, -7190.422080805551, 12310.826755860659, 69258.91420351436, 42571.28895178902, -187500.02235174447, 64382.165894766564, 66532.89544974512, 72228.43286137973, 4104.987276194964, 12619.25847759944, 69312.3125210181, 41302.313363827874, 17164.664526541776, 21101.723146644013, 0.116, 1.008, 0.108, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69542244936144E9, 0.0, 2023-09-22 17:40:49.361
0.0, -63482.37406997372, 27277.018401267338, -3583.364615841462, 6189.198039674526, 34702.06674362025, 21348.12877751932, -93750.01117587223, 32113.242997317673, 33204.030478481116, 36120.26257756502, 2043.7764577599119, 6318.167605181648, 34659.86665008863, 20659.695048295864, 8591.384719775286, 10525.838795404292, 0.118, 1.0070000000000001, 0.122, 192.0, 1.5, 96.0, 15.5, 56.0, 2.0, 32.0, 0.0, 0.0, 0.0, 1.695422449539406E9, 0.0, 2023-09-22 17:40:49.539
2.0, -127124.54076105844, 54450.503522217696, -7152.714687909447, 12349.227052834876, 69322.6613787009, 42707.567537733026, -187500.02235174447, 64160.45894151437, 65976.44877153025, 71945.70564576455, 4021.6599728655788, 12598.091375600265, 68750.50142413395, 41433.942786925174, 17370.278223786143, 24149.003523469393, 0.118, 1.0070000000000001, 0.122, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422449539422E9, 0.0, 2023-09-22 17:40:49.539
4.0, -126948.99016010645, 54544.112627996525, -7171.043118362799, 12421.043207769777, 69456.19070007691, 42717.73758146019, -187500.02235174447, 64272.552939957735, 66049.87425206593, 71925.16439261012, 4035.652164894601, 12588.524828973394, 68744.84643278676, 41414.183844826686, 17363.930328360835, 24189.996622800427, 0.118, 1.0070000000000001, 0.122, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422449539428E9, 0.0, 2023-09-22 17:40:49.539
6.0, -127093.4494845211, 54447.91071986088, -7137.493149935383, 12352.959794158913, 69317.94516062083, 42713.848377924965, -187500.02235174447, 64181.46958130236, 65992.96671068273, 71938.64249451668, 4018.84365306421, 12598.359596533728, 68750.83670030079, 41432.892254935774, 17374.927386632848, 24167.01902950037, 0.118, 1.0070000000000001, 0.122, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422449539434E9, 0.0, 2023-09-22 17:40:49.539
8.0, -126979.83556745478, 54522.40908413042, -7153.072315820732, 12423.099568259666, 69438.59987719059, 42731.48390430021, -187500.02235174447, 64293.317710556716, 66035.54678387009, 71942.41993932961, 4044.6599179100895, 12604.014587880922, 68765.25357547446, 41433.76397296953, 17390.618311240472, 24205.08405030776, 0.12, 1.0, 0.14200000000000002, 192.0, 1.5, 96.0, 15.5, 32.0, 2.0, 56.0, 0.0, 0.0, 0.0, 1.69542244953944E9, 0.0, 2023-09-22 17:40:49.539
10.0, -127081.26778379295, 54452.22460654075, -7136.084990034698, 12351.35046855813, 69311.01611983968, 42715.681220970306, -187500.02235174447, 64215.578343341156, 66010.08814693548, 71944.14102365269, 4022.934022299531, 12599.097204100754, 68755.35175268076, 41433.115772380326, 17381.901130902905, 24188.923739066573, 0.12, 1.0, 0.14200000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422449539448E9, 0.0, 2023-09-22 17:40:49.539
12.0, -126994.18538739507, 54513.2672206482, -7153.27348152083, 12423.79247233778, 69446.53474647221, 42735.70838400226, -187500.02235174447, 64299.173867604004, 66015.92195223832, 71946.57736379831, 4041.8212463642653, 12610.787166450878, 68766.52762490841, 41436.3791270708, 17386.706755960793, 24209.710861410007, 0.12, 1.0, 0.14200000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422449539454E9, 0.0, 2023-09-22 17:40:49.539
14.0, -127060.52536493842, 54461.21000781179, -7140.220062758931, 12350.948137157935, 69325.67886420237, 42710.920299401325, -187500.02235174447, 64216.964151497385, 66035.1891559588, 71937.74842473846, 4028.097275268707, 12598.270189555908, 68754.54708988036, 41432.44522004667, 17374.927386632848, 24200.189018272045, 0.12, 1.0, 0.14200000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69542244953946E9, 0.0, 2023-09-22 17:40:49.539
16.0, -126987.5245675474, 54508.953333968326, -7163.979967114922, 12413.108338488144, 69446.80296740567, 42721.49267452868, -187500.02235174447, 64277.71619292691, 66007.92002772332, 71926.10316587724, 4028.477254924447, 12590.78235516338, 68755.46351140302, 41425.18090309869, 17372.96043312078, 24214.74000391245, 0.12, 1.0, 0.14200000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422449599704E9, 0.0, 2023-09-22 17:40:49.599
18.0, -127028.62942560071, 54475.06808937408, -7145.048039561277, 12348.511797012306, 69342.06269288811, 42712.95430814676, -187500.02235174447, 64219.221677687376, 66040.2406502057, 71931.24406710197, 4022.621097877157, 12592.905770886633, 68755.7317323365, 41429.45008628966, 17374.279186043645, 24208.07918406477, 0.12, 1.0, 0.148, 192.0, 1.5, 96.0, 15.5, 32.0, 2.0, 80.0, 0.0, 0.0, 0.0, 1.695422449599731E9, 0.0, 2023-09-22 17:40:49.599
20.0, -127010.6809748031, 54486.91451393539, -7166.975100871933, 12408.54858261926, 69455.40838902097, 42724.130180374406, -187500.02235174447, 64268.283756766774, 65977.16402735282, 71931.15466012414, 4025.3703624451596, 12593.755137175935, 68759.41977017162, 41427.75135371106, 17380.33650879103, 24207.408631731112, 0.12, 1.0, 0.148, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422449599737E9, 0.0, 2023-09-22 17:40:49.599
22.0, -126986.474035558, 54488.0097494137, -7156.6262431891255, 12356.089038382655, 69359.00531518523, 42699.029171351096, -187500.02235174447, 64222.775605055765, 66049.67308636583, 71917.2742268174, 4012.1828332165283, 12575.426706722583, 68739.72788330649, 41412.32865003689, 17358.2976887581, 24203.966463084995, 0.12, 1.0, 0.148, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422449599743E9, 0.0, 2023-09-22 17:40:49.599
24.0, -127009.94336723608, 54477.415022541885, -7159.979004857422, 12408.861507041634, 69428.76510963024, 42716.083552370495, -187500.02235174447, 64245.95436405592, 65966.1669690808, 71927.69013973358, 4019.1789292310395, 12588.189552806563, 68751.82017705681, 41421.73873445258, 17365.67376442835, 24191.583596656754, 0.12, 1.0, 0.148, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422449599748E9, 0.0, 2023-09-22 17:40:49.599
26.0, -126960.41190152311, 54502.42662458737, -7148.445504718484, 12368.538960044261, 69363.5203675652, 42702.672505697316, -187500.02235174447, 64215.7571572968, 66070.50491219819, 71925.36555831022, 4027.6278886351456, 12581.886360870167, 68741.38191239619, 41410.182882569185, 17351.011020065667, 24208.280349764867, 0.12, 1.0, 0.148, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422449599754E9, 0.0, 2023-09-22 17:40:49.599
28.0, -127040.85582981777, 54456.15851356489, -7165.522237482338, 12396.188067935476, 69411.80013558867, 42719.436314038794, -187500.02235174447, 64210.817421772175, 65957.02510559859, 71943.60458178575, 4027.136150257129, 12598.024320366898, 68759.978563783, 41431.23822584608, 17368.691249929816, 24190.331898967255, 0.122, 0.992, 0.152, 192.0, 1.5, 104.0, 15.5, 0.0, 2.0, 96.0, 0.0, 0.0, 0.0, 1.695422449599761E9, 0.0, 2023-09-22 17:40:49.599
30.0, -126943.715148415, 54508.17102291239, -7167.6009497166815, 12360.15705587352, 69377.46785610532, 42698.202156806256, -187500.02235174447, 64214.08077646265, 66071.15311278739, 71915.08375586077, 4019.1118739976737, 12562.775619360878, 68732.53062159188, 41397.6212021853, 17333.733121601716, 24218.942131870048, 0.122, 0.992, 0.152, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69542244965908E9, 0.0, 2023-09-22 17:40:49.659
32.0, -127050.37767295573, 54443.797998881106, -7166.595121216193, 12374.26100662482, 69380.91002475143, 42711.188520334785, -187500.02235174447, 64189.22563662835, 65948.39733223883, 71930.34999732376, 4016.6084786186793, 12575.24789276694, 68749.11561597772, 41418.58713848438, 17352.173310777343, 24195.852779847715, 0.122, 0.992, 0.152, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422449659092E9, 0.0, 2023-09-22 17:40:49.659
34.0, -126929.6111976637, 54509.6685897909, -7159.062583334754, 12364.292128597752, 69383.30166140816, 42697.93393587279, -187500.02235174447, 64225.502517879315, 66081.01023209217, 71911.06044185882, 4025.906804312087, 12557.165331502598, 68734.00583672593, 41396.90594636273, 17333.688418112804, 24230.006245375425, 0.122, 0.992, 0.152, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422449659098E9, 0.0, 2023-09-22 17:40:49.659
36.0, -127059.7877573714, 54428.35294346249, -7159.576673457226, 12370.68472751197, 69367.18605365587, 42705.242956309674, -187500.02235174447, 64190.00794768429, 65936.72972163316, 71929.83590720128, 4018.061342008274, 12576.030203822877, 68753.1836334686, 41422.49869376406, 17359.258813769677, 24192.92470132407, 0.122, 0.992, 0.152, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422449659104E9, 0.0, 2023-09-22 17:40:49.659
38.0, -126894.6530693356, 54523.79489228665, -7158.816714145746, 12382.68761428447, 69406.99451053077, 42710.987354634686, -187500.02235174447, 64252.45872169241, 66066.74981912969, 71901.29272953185, 4022.3975804326037, 12551.9126715556, 68727.30031338934, 41388.769911381, 17331.900278556383, 24246.18890836107, 0.126, 1.0, 0.154, 192.0, 1.5, 120.0, 15.5, 32.0, 2.0, 104.0, 0.0, 0.0, 0.0, 1.69542244965911E9, 0.0, 2023-09-22 17:40:49.659
40.0, -127053.28339973491, 54427.928260317836, -7153.519350709838, 12365.052087909233, 69356.41251282842, 42718.58694774949, -187500.02235174447, 64182.07307840265, 65935.03098905456, 71928.00306415594, 4014.1497867285952, 12574.10795379972, 68749.56265086684, 41421.850493174854, 17358.856482369483, 24246.926515928095, 0.126, 1.0, 0.154, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422449659115E9, 0.0, 2023-09-22 17:40:49.659
42.0, -126881.1526156846, 54530.545119112154, -7173.881789908623, 12394.623445823605, 69426.37347297353, 42716.709401215245, -187500.02235174447, 64252.704590881425, 66061.69832488279, 71908.78056392439, 4026.13032175664, 12554.080790767764, 68735.57045883781, 41402.11390282082, 17337.264697225655, 24297.821438052826, 0.126, 1.0, 0.154, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422449659121E9, 0.0, 2023-09-22 17:40:49.659
44.0, -127064.54867894038, 54416.08183575652, -7151.619452431137, 12358.234805850365, 69328.7634049372, 42730.65688975536, -187500.02235174447, 64156.145054834495, 65934.42749195427, 71929.63474150118, 4005.8349377912214, 12569.145866530642, 68744.4217496421, 41428.91364442273, 17355.928403845835, 24261.432798079586, 0.126, 1.0, 0.154, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422449659127E9, 0.0, 2023-09-22 17:40:49.659
