%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
102.0, 6020.978810903885, 21531.6813029863, 25506.559074706922, -8588.590751718373, 30178.654811221935, 29629.874781355236, -187500.02235174447, 46462.43708878006, 11300.863182647608, -21769.414457012947, -10193.289541398233, 6617.859794838405, 11317.24701133335, -187500.02235174447, 14787.467096742046, -26104.40118365302, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959354072814689E9, 0.0, 2023-09-28 16:10:07.281
104.0, 5999.588191460156, 21515.744509189666, 25429.333797613835, -8542.367344184799, 30195.239805607776, 29669.124444618756, -187500.02235174447, 46348.59965426918, 11358.418924620024, -21749.946087592376, -10165.238102106823, 6625.079408297469, 11354.619128062623, -187500.02235174447, 14502.907038081532, -26391.576396414806, 0.074, 0.498, 0.07200000000000001, 192.0, 2.0, 80.0, 15.5, 16.0, 2.0, 64.0, 0.0, 0.0, 0.0, 1.6959354072814884E9, 0.0, 2023-09-28 16:10:07.281
106.0, 6019.391837047558, 21510.31303528703, 25559.040970687984, -8585.260341794532, 30170.83170066258, 29648.404377508687, -187500.02235174447, 46509.711028303034, 11283.250008016827, -21787.7428874663, -10209.762777061795, 6614.97641980367, 11331.574479529201, -187500.02235174447, 14773.363145990748, -26118.818058826695, 0.074, 0.498, 0.07200000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959354072815008E9, 0.0, 2023-09-28 16:10:07.281
108.0, 6039.128427401594, 21530.228439596707, 25390.866445406253, -8530.766788812494, 30199.508988798738, 29654.618162467264, -187500.02235174447, 46309.7299706614, 11351.400476861058, -21732.15409900595, -10151.089447866612, 6634.288327013055, 11361.034078721295, -187500.02235174447, 14517.838003377678, -26369.64933510415, 0.074, 0.498, 0.07200000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695935407281513E9, 0.0, 2023-09-28 16:10:07.281
110.0, 6025.315049328215, 21515.856267911946, 25608.147753256293, -8577.41487949072, 30168.283601794676, 29679.58506102384, -187500.02235174447, 46550.27944448942, 11286.915694107496, -21758.97619235232, -10200.598561835119, 6631.628469422873, 11326.85826144913, -187500.02235174447, 14748.463302667536, -26156.88307963408, 0.074, 0.498, 0.07200000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695935407281525E9, 0.0, 2023-09-28 16:10:07.281
112.0, 6044.045811181762, 21551.97668695172, 25344.665389617134, -8528.822187044882, 30199.710154498836, 29634.993330835503, -187500.02235174447, 46272.33550218767, 11365.660889823544, -21742.01121831074, -10162.779410216739, 6626.956954831714, 11352.316898383726, -187500.02235174447, 14554.40545730656, -26326.711634005504, 0.074, 0.498, 0.07200000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695935407281548E9, 0.0, 2023-09-28 16:10:07.281
114.0, 5997.174203058983, 21503.182828805784, 25640.043692594016, -8579.381833002786, 30146.848278862035, 29695.879482731758, -187500.02235174447, 46583.672950705644, 11297.845697146142, -21752.941221349385, -10196.217619921877, 6631.36024848941, 11326.47828179339, -187500.02235174447, 14721.082415709785, -26184.84511194767, 0.11299999999999999, 0.743, 0.109, 192.0, 2.0, 96.0, 15.0, 112.0, 2.0, 72.0, 0.0, 0.0, 0.0, 1.6959354072816136E9, 0.0, 2023-09-28 16:10:07.281
116.0, 6032.66877325401, 21557.7881405101, 25304.38754610867, -8528.933945767158, 30202.280605111195, 29604.70671709856, -187500.02235174447, 46254.141182201056, 11345.611375047134, -21754.863471372544, -10186.11463142808, 6608.270896467077, 11330.635706262077, -187500.02235174447, 14614.41989116906, -26242.266743453354, 0.11299999999999999, 0.743, 0.109, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959354072816384E9, 0.0, 2023-09-28 16:10:07.281
118.0, 6022.0963981266505, 21507.273198041108, 25661.903698671307, -8561.768658372004, 30167.63540120547, 29729.898837792738, -187500.02235174447, 46597.799253201396, 11301.176107069983, -21737.473814186313, -10183.030090693246, 6648.727553931183, 11332.848528963154, -187500.02235174447, 14678.681156478067, -26215.154077429066, 0.11299999999999999, 0.743, 0.109, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959354072816575E9, 0.0, 2023-09-28 16:10:07.281
120.0, 6043.375258848102, 21536.64339025538, 25289.389525579158, -8552.559739656417, 30194.569253274116, 29587.04883897887, -187500.02235174447, 46243.993490218345, 11333.072046407706, -21754.77406439472, -10180.370233103065, 6610.036684279047, 11333.273212107804, -187500.02235174447, 14646.785217140345, -26195.395135330575, 0.11299999999999999, 0.743, 0.109, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959354072816756E9, 0.0, 2023-09-28 16:10:07.281
122.0, 5992.659150679011, 21489.883540854877, 25657.254535824602, -8577.973673102102, 30161.220450546796, 29722.29924467793, -187500.02235174447, 46587.22687807404, 11308.105147851127, -21751.01897132623, -10194.54123908773, 6635.629431680373, 11335.95542144244, -187500.02235174447, 14648.439246230037, -26231.51555437035, 0.11299999999999999, 0.743, 0.109, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695935407281697E9, 0.0, 2023-09-28 16:10:07.281
124.0, 6019.123616114094, 21537.157480377853, 25280.694696986044, -8569.725879398095, 30192.512892784227, 29559.064454920826, -187500.02235174447, 46236.304490125716, 11324.108996881128, -21765.704067433366, -10192.641340809028, 6597.586762617441, 11331.127444640095, -187500.02235174447, 14669.002851128918, -26158.13477732358, 0.1305, 0.8625, 0.1255, 192.0, 2.0, 80.0, 15.0, 88.0, 2.0, 56.0, 0.0, 0.0, 0.0, 1.6959354072817235E9, 0.0, 2023-09-28 16:10:07.281
126.0, 5989.999293088829, 21492.521046700604, 25670.151492375317, -8578.286597524477, 30163.34386627005, 29725.98728251306, -187500.02235174447, 46589.909087408676, 11290.581380198168, -21761.07725633112, -10200.39739613502, 6618.105664027413, 11333.04969466325, -187500.02235174447, 14617.37032143716, -26245.843022566205, 0.1305, 0.8625, 0.1255, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695935407281746E9, 0.0, 2023-09-28 16:10:07.281
