%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 12121.999218702224, -2514.3700855219467, -18967.265661628924, -47880.208239580184, -37429.87363694592, 187500.0, -131261.20045914655, -42777.28262868913, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328476437556E9, 0.0, 2023-09-21 15:34:36.437
254.0, 12095.422994544864, -2536.0289258991393, -19001.575589367818, -47905.108082903396, -37457.47804134823, 187500.0, -131182.5223186639, -42813.93948959583, 9765.901835668306, -39470.81142316001, -52646.069544085214, -80178.05429435424, -13428.749254792841, 19366.780742023082, -46859.471125539676, -187500.02235174447, 0.07200000000000001, 1.012, 0.058, 192.0, 1.0, 32.0, 15.5, 80.0, 0.5, 104.0, 0.0, 0.0, 0.0, 1.695328476437564E9, 0.0, 2023-09-21 15:34:36.437
0.0, 12102.866125448481, -2529.233995584726, -18990.399717140164, -47888.72425421766, -37442.32355860753, 187500.0, -131256.01485443293, -42790.29134396212, 9775.177809617258, -39459.14381255434, -52638.69346841496, -80212.96771919343, -13439.813368298217, 19280.078325280945, -46854.24081733714, -187500.02235174447, 0.07200000000000001, 1.012, 0.058, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328476437568E9, 0.0, 2023-09-21 15:34:36.437
2.0, 12064.152904051889, -2564.08036519055, -19013.980807540513, -47928.28684190355, -37477.39344565791, 187500.0, -131157.1083852182, -42818.163969297886, 9752.066105850472, -39481.47320526519, -52659.65940471404, -80163.7268261584, -13445.781284067785, 19377.956614250736, -46870.445832067235, -187500.02235174447, 0.07200000000000001, 1.012, 0.058, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328476437572E9, 0.0, 2023-09-21 15:34:36.437
4.0, 12069.383212254432, -2559.6994232773095, -19010.963322039046, -47923.36945812339, -37474.33125666753, 187500.0, -131224.02950811738, -42820.7567716547, 9746.567576714466, -39487.28465882357, -52668.84597168517, -80174.23214605238, -13465.540226166277, 19314.790584420036, -46884.12509967388, -187500.02235174447, 0.07200000000000001, 1.012, 0.058, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328476437575E9, 0.0, 2023-09-21 15:34:36.437
6.0, 12056.307441748077, -2567.2096094142926, -19028.174165269633, -47929.58324308196, -37483.11549223847, 187500.0, -131118.52927428833, -42819.01333558719, 9735.995201587106, -39500.02515316309, -52677.76431772284, -80130.10980249761, -13470.010575057338, 19371.049925214043, -46894.58571607897, -187500.02235174447, 0.07200000000000001, 1.012, 0.058, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328476437578E9, 0.0, 2023-09-21 15:34:36.437
8.0, 12076.781639669138, -2543.494408547212, -19029.559973425865, -47913.1100074184, -37468.966837998254, 187500.0, -131206.75160965344, -42814.587690185035, 9743.59479470191, -39487.731693712674, -52672.511657775845, -80143.74436661534, -13472.335156480689, 19328.06752062649, -46891.03178871057, -187500.02235174447, 0.07200000000000001, 1.012, 0.068, 192.0, 1.0, 32.0, 15.5, 80.0, 1.0, 16.0, 0.0, 0.0, 0.0, 1.695328476437582E9, 0.0, 2023-09-21 15:34:36.437
10.0, 12084.560046739585, -2529.010478140173, -19011.544467394884, -47902.023542168565, -37461.590762328, 187500.0, -131133.99668145142, -42794.91815506436, 9764.560731000987, -39457.24391427564, -52652.41743951052, -80138.37994794607, -13444.373124167101, 19340.070407398987, -46872.90452395732, -187500.02235174447, 0.07200000000000001, 1.012, 0.068, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328476437585E9, 0.0, 2023-09-21 15:34:36.437
12.0, 12105.39187257193, -2511.0843790870167, -18992.18785669659, -47877.88365815683, -37437.27206436063, 187500.0, -131251.29863635288, -42788.36909393896, 9779.178771874758, -39448.28086474906, -52629.55160493274, -80168.08541632717, -13430.13506294907, 19313.181258819255, -46847.42353527827, -187500.02235174447, 0.07200000000000001, 1.012, 0.068, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328476437589E9, 0.0, 2023-09-21 15:34:36.437
0.0, 6060.116715445128, -1464.5086484561741, -6242.015211822416, -22573.786684726085, -17103.733671156606, 93749.98882412778, -67216.3670916995, -21173.494598090005, 4884.638474540529, -19736.210374380396, -26321.10134614722, -40073.95089554202, -6715.0898832189905, 9685.234389929103, -23427.288046751983, -93750.01117587223, 0.07100000000000001, 1.009, 0.062, 192.0, 1.0, 24.0, 15.5, 56.0, 0.5, 96.0, 0.0, 0.0, 0.0, 1.695328476585559E9, 0.0, 2023-09-21 15:34:36.585
