%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
238.0, -2592.422377159879, -11529.298010980847, 18989.90797876215, 19024.396720456687, -34036.11886931883, -11525.721731867998, 75069.473692116, -17099.15156354327, 11254.997403025318, -19021.20042099958, -26377.561852641327, 31722.46744900554, -12199.358606262042, -10507.17508878411, -6110.229326513926, 53279.42857497079, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695414195442827E9, 0.0, 2023-09-22 15:23:15.442
240.0, -2594.4340341608568, -11534.349505227747, 19041.406397987175, 19087.473343309564, -34037.191753052684, -11524.671199878598, 75140.41812901714, -17101.81142113345, 11260.138304250038, -19026.006046057468, -26378.88060556419, 31751.390606330708, -12198.285722528188, -10508.739710895981, -6094.270180972837, 53304.70839794975, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695414195442835E9, 0.0, 2023-09-22 15:23:15.442
242.0, -2587.6391038464435, -11528.180423758082, 18987.002251982958, 19032.28688624941, -34032.07320357242, -11518.032731775373, 75069.16076769361, -17098.34690074288, 11257.41139142649, -19027.593019913795, -26377.427742174597, 31728.882399664213, -12198.241019039277, -10509.343207996275, -6101.981532809918, 53283.988330839675, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695414195442839E9, 0.0, 2023-09-22 15:23:15.442
244.0, -2593.6293713604655, -11531.264964492913, 19029.62702865923, 19080.72311648406, -34037.52702921951, -11518.368007942201, 75129.28696027839, -17102.4372699782, 11256.874949559564, -19026.564839668852, -26378.0759427638, 31742.80753645987, -12199.448013239862, -10509.589077185283, -6086.268256457836, 53304.41782527183, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695414195442842E9, 0.0, 2023-09-22 15:23:15.442
246.0, -2601.899516808929, -11541.323249497802, 18981.32490889131, 19027.95064782508, -34042.66793044424, -11522.056045777326, 75069.58545083826, -17106.929970613717, 11252.628118113056, -19029.38115947022, -26380.31111720933, 31711.202169800064, -12201.37026326302, -10510.639609174683, -6093.867849572641, 53283.69775816176, -0.004, 0.994, 0.218, 192.0, 127.5, 112.0, 15.5, 8.0, 3.0, 104.0, 0.0, 0.0, 0.0, 1.695414195442845E9, 0.0, 2023-09-22 15:23:15.442
248.0, -2601.519537153189, -11539.892737852662, 19043.798034643893, 19112.417890121687, -34045.97598862362, -11521.184327743571, 75165.69795199609, -17111.892057882793, 11244.581490109145, -19034.05267406138, -26392.716335382025, 31727.60835023026, -12210.579181978606, -10513.567687698327, -6083.943675034485, 53309.04463637408, -0.004, 0.994, 0.218, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695414195442849E9, 0.0, 2023-09-22 15:23:15.442
250.0, -2584.1075282225047, -11524.13475801167, 18963.66703077162, 19037.696008407594, -34027.96048259264, -11503.615856601698, 75070.85950027221, -17091.70843263965, 11249.297708189215, -19025.648418146186, -26383.9768033, 31727.85421941927, -12202.577257463607, -10502.637684659683, -6088.525782647823, 53306.94357239528, -0.004, 0.994, 0.218, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695414195442852E9, 0.0, 2023-09-22 15:23:15.442
252.0, -2600.0666737635943, -11541.256194264435, 19027.10128153578, 19107.098174941322, -34042.75733742206, -11512.467147406, 75148.4424052766, -17102.347863000377, 11250.571757623167, -19021.870973333236, -26382.345125954766, 31696.60648067075, -12201.951408618857, -10500.22369625851, -6067.626901582111, 53307.345903795474, -0.004, 0.994, 0.218, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695414195442855E9, 0.0, 2023-09-22 15:23:15.442
254.0, -2596.8927260509404, -11534.103636038737, 18940.331809560277, 19028.33062748082, -34034.97893035161, -11504.845202546741, 75053.20162215253, -17096.581112930908, 11240.89345227402, -19023.547354167385, -26388.290689979876, 31715.583111713306, -12208.031083110702, -10502.436518959585, -6077.886352287096, 53312.06212187554, -0.004, 0.994, 0.218, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695414195442858E9, 0.0, 2023-09-22 15:23:15.442
0.0, -1551.5463413651398, -5820.573070117602, 9639.390962051268, 9024.114492430032, -17040.3217721369, -4980.818030931715, 38124.27528193895, -8574.062117822423, 5620.524957242604, -9511.851908189286, -13194.637083367954, 15817.726053920514, -6103.389692710602, -5250.201255107076, -3034.718696441495, 26634.204582477163, -0.004, 0.991, 0.22, 192.0, 127.5, 112.0, 15.0, 112.0, 3.0, 120.0, 0.0, 0.0, 0.0, 1.695414195606758E9, 0.0, 2023-09-22 15:23:15.606
