%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
224.0, -29316.682138047476, -12837.567965694425, -76741.80886051762, -72695.76313445129, -29782.805416918447, -47825.692334853695, -187500.02235174447, -65176.85981713055, -15451.380962298032, -187500.02235174447, -75301.26128211753, -69176.81624613002, -52297.67290326034, -59306.66587432216, -73920.03523350183, -74114.67422421864, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416048071094E9, 0.0, 2023-09-22 15:54:08.071
226.0, -29323.074736961695, -12838.909070361742, -76752.94002925635, -72715.25385561632, -29800.865626438335, -47842.36673621735, -187500.02235174447, -65207.05702388967, -15460.366363569066, -187500.02235174447, -75306.24572113105, -69178.33616475298, -52305.898345219895, -59309.01280748997, -73937.1566697546, -74126.23007610203, -0.044, 0.966, 0.296, 192.0, 127.0, 80.0, 15.0, 24.0, 4.5, 32.0, 0.0, 0.0, 0.0, 1.695416048071102E9, 0.0, 2023-09-22 15:54:08.071
228.0, -29334.65294058954, -12856.25402405906, -76764.89821253995, -72720.88649521906, -29799.770390960028, -47853.006166578074, -187500.02235174447, -65209.76158496876, -15469.329413095644, -187500.02235174447, -75315.16406716872, -69189.46733349173, -52315.01785695766, -59329.889336811226, -73946.70086463701, -74141.11633790926, -0.044, 0.966, 0.296, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416048071106E9, 0.0, 2023-09-22 15:54:08.071
230.0, -29336.351673168145, -12856.410486270248, -76765.81463406261, -72727.83788774465, -29812.846161466383, -47850.68158515473, -187500.02235174447, -65213.15905012596, -15473.419782330964, -187500.02235174447, -75327.07754696341, -69202.94543539827, -52326.104322207495, -59335.23140373605, -73960.53659445484, -74150.97345721406, -0.044, 0.966, 0.296, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416048071111E9, 0.0, 2023-09-22 15:54:08.071
232.0, -29337.446908646456, -12850.330811778405, -76758.86324153701, -72713.13043989307, -29803.32431832842, -47840.37743096083, -187500.02235174447, -65209.962750668856, -15468.323584595155, -187500.02235174447, -75315.4322881022, -69188.50620848015, -52315.42018835786, -59323.4520344081, -73952.24409726192, -74143.30680886589, -0.044, 0.966, 0.296, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416048071114E9, 0.0, 2023-09-22 15:54:08.071
234.0, -29327.99212074186, -12833.20937552564, -76745.42984311937, -72707.3636898236, -29812.980271933113, -47840.22096874964, -187500.02235174447, -65213.22610535933, -15465.44020956042, -187500.02235174447, -75307.0727356759, -69177.33033625249, -52313.028551701136, -59314.17606045915, -73945.3597599697, -74136.62363727375, -0.044, 0.966, 0.296, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416048071117E9, 0.0, 2023-09-22 15:54:08.071
236.0, -29344.063025005227, -12852.342468779383, -76762.93125902787, -72722.83109698667, -29824.312606371954, -47864.22674229464, -187500.02235174447, -65237.12012018206, -15472.928043952948, -187500.02235174447, -75303.63056702979, -69177.62090893042, -52316.33660988053, -59306.196487688605, -73951.66295190608, -74144.6479135332, -0.05, 0.974, 0.294, 192.0, 127.0, 56.0, 15.0, 56.0, 4.5, 24.0, 0.0, 0.0, 0.0, 1.695416048071121E9, 0.0, 2023-09-22 15:54:08.071
238.0, -29334.764699311818, -12846.910994876742, -76749.90019201043, -72717.84665797313, -29816.60125453487, -47858.70586141418, -187500.02235174447, -65217.942323439405, -15478.851256233605, -187500.02235174447, -75319.45560210415, -69196.97751962871, -52330.015877487174, -59331.252793223, -73963.33056251175, -74152.96276247058, -0.05, 0.974, 0.294, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416048071124E9, 0.0, 2023-09-22 15:54:08.071
240.0, -29343.213658715926, -12859.807951427454, -76748.87201176549, -72719.07600391818, -29807.437039308195, -47854.19080903421, -187500.02235174447, -65195.90350340647, -15468.211825872879, -187500.02235174447, -75304.9716716971, -69186.98628985719, -52316.26955464716, -59323.13910998573, -73939.34714071121, -74125.02308190144, -0.05, 0.974, 0.294, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416048071128E9, 0.0, 2023-09-22 15:54:08.071
0.0, -14600.248885184394, -6401.472556766576, -38282.078597793414, -36297.355448884424, -15163.915176858329, -23862.856490952552, -93750.01117587223, -32554.82406077672, -7739.157407183338, -93750.01117587223, -37662.53294498121, -34603.808474994716, -26161.152262825046, -29666.53164226194, -36973.85334656875, -37069.295295392905, -0.058, 0.974, 0.28400000000000003, 192.0, 127.0, 24.0, 15.0, 56.0, 4.0, 112.0, 0.0, 0.0, 0.0, 1.695416048180176E9, 0.0, 2023-09-22 15:54:08.180
2.0, -29183.73396202731, -12786.76245054751, -76537.49156445164, -72578.70704873884, -30296.0014696123, -47702.48951941604, -187500.02235174447, -65085.68705149735, -15770.049782997345, -187500.02235174447, -75160.22177460454, -68990.08977295039, -52109.873546346855, -59201.90324806014, -73786.17063595899, -73932.3957481856, -0.058, 0.974, 0.28400000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69541604823866E9, 0.0, 2023-09-22 15:54:08.238
4.0, -29201.92828201393, -12802.252209455039, -76558.01046586162, -72606.13263918551, -30322.264769347286, -47731.70324941912, -187500.02235174447, -65110.7210052873, -15771.033259753378, -187500.02235174447, -75164.58036477333, -68997.17527594272, -52113.4498254597, -59205.85950682873, -73787.66820283749, -73938.38601569964, -0.058, 0.974, 0.28400000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416048238672E9, 0.0, 2023-09-22 15:54:08.238
