%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 26548.23977330205, 13485.030947331305, -37020.07675410232, -63446.61127884523, -187500.02235174447, 7164.829333404224, -115930.45186167382, -187500.02235174447, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695418239161867E9, 0.0, 2023-09-22 16:30:39.161
224.0, 26554.02887511598, 13490.507124722853, -37026.938739650104, -63437.8717467632, -187500.02235174447, 7151.686507664503, -115973.97070812831, -187500.02235174447, -40655.47623103574, 6442.398600864244, -5057.328052202231, -69686.07839179975, -5244.479208526517, -22685.4560000248, -4409.0604077649605, 8803.435719422785, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695418239161877E9, 0.0, 2023-09-22 16:30:39.161
226.0, 26544.507031978017, 13480.515894951332, -37026.0893733608, -63444.957249755535, -187500.02235174447, 7166.393955516095, -115886.68714603034, -187500.02235174447, -40661.310036338575, 6439.470522340599, -5093.001436352902, -69688.447676712, -5244.434505037607, -22704.142058389432, -4397.2586866925585, 8774.31139639752, -0.016, 0.489, 0.129, 192.0, 127.5, 0.0, 15.0, 72.0, 4.0, 8.0, 0.0, 0.0, 0.0, 1.695418239161881E9, 0.0, 2023-09-22 16:30:39.161
228.0, 26546.764558168004, 13484.896836864573, -37031.81141994136, -63439.25755491943, -187500.02235174447, 7156.022746088833, -115912.74928006523, -187500.02235174447, -40663.098175895, 6439.694039785152, -5052.902406800081, -69688.0006418229, -5247.966080661546, -22684.271357568665, -4401.4831663946115, 8813.516356172127, -0.016, 0.489, 0.129, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695418239161885E9, 0.0, 2023-09-22 16:30:39.161
230.0, 26546.25046804553, 13482.996938585871, -37021.99900412548, -63440.50925260893, -187500.02235174447, 7156.827408889224, -115847.9962763782, -187500.02235174447, -40665.98155092973, 6434.284917626967, -5093.537878219829, -69690.39227847962, -5244.546263759883, -22709.215904380788, -4404.098320495882, 8778.334710399475, -0.016, 0.489, 0.129, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695418239161888E9, 0.0, 2023-09-22 16:30:39.161
232.0, 26570.07742763489, 13508.3885202871, -37011.44898074257, -63418.76100525392, -187500.02235174447, 7136.822597601724, -115886.5530355636, -187500.02235174447, -40650.84941993349, 6444.6114235653195, -5056.054002768279, -69677.31650797326, -5234.264461310442, -22690.462790782785, -4402.556050128466, 8815.170385261821, -0.016, 0.489, 0.129, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695418239161891E9, 0.0, 2023-09-22 16:30:39.161
234.0, 26555.25822106102, 13493.971645113426, -37018.690945946095, -63437.71528455202, -187500.02235174447, 7130.519405665327, -115857.92045091635, -187500.02235174447, -40643.80862043007, 6463.632758096785, -5108.91587840508, -69667.8393683242, -5225.7931501618805, -22708.2100758803, -4396.431672147712, 8751.847893219936, -0.016, 0.489, 0.129, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695418239161895E9, 0.0, 2023-09-22 16:30:39.161
236.0, 26559.34859029634, 13494.306921280257, -37029.97857689602, -63435.658924062125, -187500.02235174447, 7146.143275039587, -115847.30337230008, -187500.02235174447, -40660.415966560366, 6451.965147491115, -5051.315432943754, -69688.47002845646, -5245.708554471559, -22685.38894479143, -4411.317933954947, 8807.615495635926, -0.026000000000000002, 0.7335, 0.1925, 192.0, 127.0, 112.0, 15.0, 72.0, 4.0, 0.0, 0.0, 0.0, 0.0, 1.695418239161898E9, 0.0, 2023-09-22 16:30:39.161
238.0, 26560.890860663756, 13493.457554990955, -37013.66180344365, -63434.51898509491, -187500.02235174447, 7114.940239779979, -115846.00697112168, -187500.02235174447, -40641.41698377335, 6452.23336842458, -5097.58354396624, -69668.8899003136, -5230.7775891754145, -22711.607541037505, -4406.579364130422, 8750.573843785984, -0.026000000000000002, 0.7335, 0.1925, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695418239161902E9, 0.0, 2023-09-22 16:30:39.161
0.0, 12214.535440747195, 7686.9660838801965, -17747.642725425092, -31825.799563622426, -93750.01117587223, 1398.638057546384, -65652.37082867275, -93750.01117587223, -20332.577268192443, 3218.718256797583, -2513.006629110173, -34846.70488199054, -2625.257089764725, -11340.76104650033, -2210.3640091853154, 4410.088588009905, -0.05, 0.968, 0.294, 192.0, 127.0, 56.0, 15.0, 32.0, 4.5, 24.0, 0.0, 0.0, 0.0, 1.695418239311939E9, 0.0, 2023-09-22 16:30:39.311
