%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -187500.02235174447, 16890.274511608426, -55280.42379384325, -47375.46114629044, -26579.599270772847, -5966.597016644123, -187500.02235174447, -11429.36336152117, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679896250393E9, 0.0, 2023-09-25 17:11:36.250
226.0, -187500.02235174447, 16885.3347760838, -55289.699767792205, -47395.37655060012, -26585.03074467549, -5975.6047696596115, -187500.02235174447, -11433.185509823026, 5536.080066690453, 9227.269497784317, -22458.451683336698, -30766.148062485227, 35594.840120654124, -11356.608433319145, -58661.54982585309, -33656.34037927871, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679896250401E9, 0.0, 2023-09-25 17:11:36.250
228.0, -187500.02235174447, 16875.05297363436, -55274.455878073684, -47413.3920566311, -26601.21340766113, -5988.412319232502, -187500.02235174447, -11446.082466373738, 5516.969325181166, 9220.96630584792, -22351.587993095876, -30680.45147424358, 35719.58520645919, -11343.979697701896, -58607.90563916036, -33639.42010872604, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679896250405E9, 0.0, 2023-09-25 17:11:36.250
230.0, -187500.02235174447, 16864.905281651652, -55285.430584601236, -47430.91582428406, -26613.573922344916, -5994.46964197989, -187500.02235174447, -11443.31085006128, 5505.525232020049, 9203.531945172781, -22437.888078437816, -30754.972190257573, 35606.9547661489, -11373.282834682803, -58649.03284895812, -33657.52502173484, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679896250408E9, 0.0, 2023-09-25 17:11:36.250
232.0, -187500.02235174447, 16878.182217858102, -55272.26540711706, -47424.65733583657, -26611.048175221465, -5989.731072155366, -187500.02235174447, -11447.490626274423, 5505.972266909154, 9207.130576030086, -22339.249830156547, -30683.468959745045, 35729.487029252894, -11356.474322852413, -58590.33716801849, -33644.98569309541, 0.021, 0.496, -0.083, 192.0, 0.5, 40.0, 15.5, 0.0, 125.0, 104.0, 0.0, 0.0, 0.0, 1.695679896250411E9, 0.0, 2023-09-25 17:11:36.250
234.0, -187500.02235174447, 16879.85859869225, -55298.88633476333, -47424.277356180835, -26611.249340921564, -5987.071214565184, -187500.02235174447, -11442.483835516434, 5512.2978105900065, 9208.15875627503, -22435.47409003664, -30760.180146715662, 35616.40955405349, -11377.373203918125, -58646.730619279224, -33669.28203931833, 0.021, 0.496, -0.083, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679896250414E9, 0.0, 2023-09-25 17:11:36.250
236.0, -187500.02235174447, 16890.699194753077, -55253.71345921916, -47417.3930188886, -26606.443715863672, -5978.979883072363, -187500.02235174447, -11451.491588531922, 5520.366790338372, 9221.882727370588, -22352.28089717399, -30691.672049960143, 35715.8301133907, -11355.91552924103, -58596.41684251033, -33644.04691982829, 0.021, 0.496, -0.083, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679896250418E9, 0.0, 2023-09-25 17:11:36.250
238.0, -187500.02235174447, 16904.601979804276, -55315.560736126994, -47388.22399237442, -26582.9743841856, -5963.423068931469, -187500.02235174447, -11434.839538912718, 5524.635973529336, 9213.389064477571, -22434.11063362487, -30756.80503330291, 35620.47757154436, -11377.820238807231, -58651.424485614836, -33666.71158870597, 0.021, 0.496, -0.083, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679896250421E9, 0.0, 2023-09-25 17:11:36.250
240.0, -187500.02235174447, 16898.991691945994, -55237.91077588926, -47409.74872228489, -26603.11330593983, -5977.348205727125, -187500.02235174447, -11453.547949021811, 5537.443523102227, 9239.630012468102, -22387.551949924466, -30698.39992504119, 35675.26169720432, -11329.182842872482, -58633.811310984056, -33640.604751182174, 0.021, 0.496, -0.083, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679896250424E9, 0.0, 2023-09-25 17:11:36.250
0.0, -93750.01117587223, 8457.073087343346, -27785.922919025772, -23696.648919182888, -13302.81952653164, -2985.5448586398197, -93750.01117587223, -5732.976583597253, 2768.2411990453243, 4616.238727121202, -11247.978955266351, -15388.95254003436, 17776.096496116697, -5683.333359162016, -29348.823946574208, -16830.90827833513, 0.0325, 0.743, -0.1175, 192.0, 0.5, 48.0, 15.0, 120.0, 125.5, 32.0, 0.0, 0.0, 0.0, 1.695679896396855E9, 0.0, 2023-09-25 17:11:36.396
2.0, -187500.02235174447, 16906.90420948317, -55494.48645049173, -47422.98095500242, -26630.002454519567, -5993.597923946134, -187500.02235174447, -11481.84525750223, 5309.6121918692825, 9232.991544364875, -22104.645920353643, -30772.80888233291, 35125.1405626703, -11220.083978186129, -57386.58397037792, -33577.37166611811, 0.0325, 0.743, -0.1175, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679896396869E9, 0.0, 2023-09-25 17:11:36.396
4.0, -187500.02235174447, 16883.367822571734, -55508.45629077629, -47429.082981238724, -26634.964541788646, -5998.783528659765, -187500.02235174447, -11485.17566742607, 5268.842609982802, 9218.06057906873, -21972.301241433768, -30679.26683178745, 35274.383160398385, -11206.605876279578, -57309.29163805147, -33547.554439014726, 0.0325, 0.743, -0.1175, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679896396873E9, 0.0, 2023-09-25 17:11:36.396
6.0, -187500.02235174447, 16869.66620322063, -55489.83728764502, -47437.77780983184, -26640.597181391382, -6001.3763310165805, -187500.02235174447, -11486.449716860023, 5258.761973233459, 9196.066462524708, -22063.09402741123, -30762.080044994364, 35158.86934505336, -11223.615553810067, -57355.06801069594, -33563.558288044725, 0.0325, 0.743, -0.1175, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679896396877E9, 0.0, 2023-09-25 17:11:36.396
8.0, -187500.02235174447, 16873.264834077934, -55522.58259327205, -47409.14522518459, -26621.128811970808, -5976.565894671189, -187500.02235174447, -11470.959957952495, 5250.380069062719, 9206.907058585532, -21957.21381392644, -30695.673012217645, 35288.06242800503, -11200.50385004328, -57304.53071648249, -33552.225953605885, 0.04, 0.998, -0.146, 192.0, 0.5, 32.0, 15.5, 24.0, 125.5, 56.0, 0.0, 0.0, 0.0, 1.695679896396881E9, 0.0, 2023-09-25 17:11:36.396
10.0, -187500.02235174447, 16847.426217487602, -55516.12293912446, -47421.125760212635, -26631.388262675795, -5982.265589507293, -187500.02235174447, -11472.636338786644, 5247.764914961447, 9203.084910283675, -22072.995850204927, -30783.872995838286, 35148.22991469263, -11204.460108811869, -57382.6947668427, -33561.613686277116, 0.04, 0.998, -0.146, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679896396884E9, 0.0, 2023-09-25 17:11:36.396
12.0, -187500.02235174447, 16829.05308354534, -55510.71381696628, -47421.52809161283, -26640.284256969007, -5983.092604052139, -187500.02235174447, -11485.265074403891, 5221.523966970917, 9198.525154414792, -21961.818273284232, -30708.27939609044, 35280.44048314577, -11188.188038848406, -57325.317838825926, -33532.69052895195, 0.04, 0.998, -0.146, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679896396888E9, 0.0, 2023-09-25 17:11:36.396
14.0, -187500.02235174447, 16823.979237553984, -55525.913003195885, -47421.21516719046, -26636.41740517824, -5985.28307500876, -187500.02235174447, -11479.028937700861, 5209.789301131881, 9173.491200624849, -22053.59453601772, -30791.94197558665, 35168.592353891414, -11211.50090831529, -57380.5937028639, -33549.02965414878, 0.04, 0.998, -0.146, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679896396891E9, 0.0, 2023-09-25 17:11:36.396
16.0, -187500.02235174447, 16837.412635971625, -55508.27747682065, -47400.785672758306, -26622.69343408268, -5977.3705574715805, -187500.02235174447, -11473.977443453961, 5216.070141323822, 9191.77492758929, -21966.82506404222, -30722.740974753022, 35277.13242496639, -11174.911102641952, -57337.544243042976, -33534.165744086, 0.04, 0.998, -0.146, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679896457039E9, 0.0, 2023-09-25 17:11:36.457
18.0, -187500.02235174447, 16828.80721435633, -55533.64670677742, -47414.57669908723, -26629.0860329969, -5984.187839530449, -187500.02235174447, -11470.870550974674, 5219.668772181127, 9191.48435491137, -22071.90061472662, -30802.022612335997, 35155.00249326259, -11185.505829513768, -57414.61305792488, -33556.24926760784, 0.042, 1.002, -0.134, 192.0, 0.5, 40.0, 15.5, 40.0, 125.5, 104.0, 0.0, 0.0, 0.0, 1.695679896457054E9, 0.0, 2023-09-25 17:11:36.457
20.0, -187500.02235174447, 16839.37958948369, -55499.73911043872, -47409.54755658479, -26628.79546031898, -5981.192705773438, -187500.02235174447, -11476.994928955428, 5201.496803938961, 9192.087852011664, -21983.05243051677, -30731.189934157126, 35265.24129691617, -11176.92275964293, -57360.87946425432, -33526.74496492684, 0.042, 1.002, -0.134, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69567989645706E9, 0.0, 2023-09-25 17:11:36.457
22.0, -187500.02235174447, 16841.882984862685, -55547.303622639614, -47413.86144326466, -26626.090899239887, -5971.223827746371, -187500.02235174447, -11460.454638058502, 5217.7465221579705, 9195.798241591245, -22079.299042141323, -30807.364679260812, 35155.047196751504, -11197.419309308447, -57440.02699137056, -33561.27841011029, 0.042, 1.002, -0.134, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679896457066E9, 0.0, 2023-09-25 17:11:36.457
24.0, -187500.02235174447, 16831.08709229077, -55472.13470603642, -47447.701984369996, -26656.891603099302, -6000.392854260547, -187500.02235174447, -11489.489554105945, 5196.490013180973, 9201.453232938436, -21997.961044068463, -30731.972245213063, 35250.15386940883, -11173.815867163643, -57378.8949702853, -33516.75373515532, 0.042, 1.002, -0.134, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679896457072E9, 0.0, 2023-09-25 17:11:36.457
26.0, -187500.02235174447, 16845.14633955316, -55554.52323609868, -47424.50087362539, -26627.23083820711, -5976.856467349108, -187500.02235174447, -11468.210693384492, 5190.566800900317, 9170.026680234276, -22027.532401982833, -30771.24426022104, 35214.6592992138, -11219.480481085835, -57392.3954239363, -33540.424232533485, 0.042, 1.002, -0.134, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695679896457079E9, 0.0, 2023-09-25 17:11:36.457
