%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -187500.02235174447, 24769.443246059807, -31891.379581854297, -36063.9138297932, 16404.72756680579, 4767.269464405712, -187500.02235174447, -187500.02235174447, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69568148246769E9, 0.0, 2023-09-25 17:38:02.467
14.0, -187500.02235174447, 24758.401484298884, -31895.11232317833, -36061.27632394747, 16411.5224971202, 4771.628054574497, -187500.02235174447, -187500.02235174447, -1174.6735781042073, -16847.403865743145, -22900.345671218118, -43378.119871392235, 18737.579135606185, -21209.413851429683, -28455.11179627321, -15374.08862997158, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681482467698E9, 0.0, 2023-09-25 17:38:02.467
16.0, -187500.02235174447, 24770.80670247158, -31901.996660470566, -36068.272419961984, 16406.739223806766, 4760.161609668924, -187500.02235174447, -187500.02235174447, -1155.495781361554, -16846.28627852038, -22879.67030759696, -43383.90897320616, 18732.03590298127, -21229.999808073022, -28432.648293095626, -15391.277121457711, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681482467703E9, 0.0, 2023-09-25 17:38:02.467
18.0, -187500.02235174447, 24755.205184841776, -31902.041363959477, -36066.35016993883, 16399.29609290315, 4754.976004955292, -187500.02235174447, -187500.02235174447, -1190.7444823675733, -16862.223072317014, -22907.87820909956, -43395.755397767476, 18711.494649826844, -21238.20289828812, -28429.20612444951, -15404.822278597627, 0.094, 1.014, -0.024, 192.0, 1.0, 120.0, 15.5, 88.0, 127.5, 32.0, 0.0, 0.0, 0.0, 1.695681482467723E9, 0.0, 2023-09-25 17:38:02.467
20.0, -187500.02235174447, 24779.99326944271, -31882.908270705735, -36046.8594487738, 16421.67018910291, 4768.632920817486, -187500.02235174447, -187500.02235174447, -1156.3898511397663, -16842.709999407532, -22885.928796044445, -43377.069339402835, 18748.24091771137, -21223.495450436527, -28425.652197081115, -15397.602665138564, 0.094, 1.014, -0.024, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681482467727E9, 0.0, 2023-09-25 17:38:02.467
22.0, -187500.02235174447, 24762.357743067474, -31883.958802695135, -36049.76517555299, 16376.072630414086, 4778.199467444357, -187500.02235174447, -187500.02235174447, -1165.1740867107019, -16845.258098275437, -22894.221293237366, -43368.86624918774, 18752.95713579144, -21212.632502631248, -28433.67647334057, -15385.018633010226, 0.094, 1.014, -0.024, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69568148246773E9, 0.0, 2023-09-25 17:38:02.467
24.0, -187500.02235174447, 24792.554949826594, -31874.30284909044, -36035.99650096852, 16389.32721487608, 4775.2266854318, -187500.02235174447, -187500.02235174447, -1153.8641040163166, -16845.794540142364, -22881.011412264277, -43375.30355159087, 18745.55870837673, -21210.799659585915, -28419.170191189074, -15395.814525582138, 0.094, 1.014, -0.024, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681482467734E9, 0.0, 2023-09-25 17:38:02.467
26.0, -187500.02235174447, 24783.81541774457, -31864.31161931892, -36025.58058805235, 16383.649871784435, 4786.7825373151945, -187500.02235174447, -187500.02235174447, -1150.8019150259395, -16818.078377017784, -22873.836502294125, -43354.359967036246, 18758.23214748289, -21189.47609537555, -28424.53460985835, -15384.057507998647, 0.094, 1.014, -0.024, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681482467739E9, 0.0, 2023-09-25 17:38:02.467
28.0, -187500.02235174447, 24782.831940988537, -31882.93062245019, -36045.764213295486, 16402.53709584917, 4772.298606908155, -187500.02235174447, -187500.02235174447, -1145.1245719342915, -16830.729464379485, -22869.254394680785, -43361.356063050756, 18770.279737744302, -21202.86479030428, -28432.648293095626, -15391.679452857907, 0.098, 1.014, -0.03, 192.0, 1.5, 8.0, 15.5, 88.0, 127.5, 8.0, 0.0, 0.0, 0.0, 1.695681482467742E9, 0.0, 2023-09-25 17:38:02.467
0.0, -93750.01117587223, 12424.485376415894, -15929.976514575066, -18023.48560374804, 7987.686453781897, 2141.833560685344, -93750.01117587223, -93750.01117587223, -590.488385020302, -8430.809787608361, -11444.629602984143, -21694.200836920838, 9366.453810507513, -10613.457633669095, -14204.71241530328, -7708.33435157947, 0.106, 1.016, -0.03, 192.0, 1.5, 40.0, 15.5, 96.0, 127.5, 8.0, 0.0, 0.0, 0.0, 1.695681482636208E9, 0.0, 2023-09-25 17:38:02.636
