%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 30305.14333309452, 29815.684833012205, -16033.107463491853, -32970.99119079008, -9632.841900925863, -3570.1770866128313, -187500.02235174447, -86454.53589612673, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683612394633E9, 0.0, 2023-09-25 18:13:32.394
224.0, 30309.81484768568, 29819.46227782515, -16029.374722167817, -32967.303152954955, -9633.199528837149, -3572.5240197806384, -187500.02235174447, -86439.73904129733, -738.3451745921582, -47114.45982628582, -18529.864374383018, -25701.734507290665, 2779.7970509287184, -10458.045954471345, -35302.92633806781, -42063.680835208994, 0.007, 0.484, 0.157, 192.0, 0.0, 56.0, 15.0, 32.0, 4.5, 104.0, 0.0, 0.0, 0.0, 1.695683612394641E9, 0.0, 2023-09-25 18:13:32.394
226.0, 30306.305623806194, 29814.23196962261, -16026.089015732887, -32968.353684944355, -9631.05376136944, -3573.6192552589487, -187500.02235174447, -86432.4970760938, -736.1323518910827, -47117.924346676395, -18530.71374067232, -25700.460457856712, 2778.187725327936, -10451.809817768315, -35306.01087880265, -42069.24641957837, 0.007, 0.484, 0.157, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683612394645E9, 0.0, 2023-09-25 18:13:32.394
228.0, 30312.76527795378, 29822.3903563488, -16028.637114600793, -32963.63746686429, -9643.168406864215, -3569.0371476456107, -187500.02235174447, -86416.38146834153, -736.2441106133593, -47117.9690501653, -18534.602944207545, -25703.679109058277, 2776.2431235603244, -10452.189797424055, -35310.257710249156, -42074.20850684745, 0.007, 0.484, 0.157, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683612394648E9, 0.0, 2023-09-25 18:13:32.394
230.0, 30303.534007493738, 29820.55751330346, -16030.179384968209, -32964.62094362032, -9647.281127843991, -3574.4239180593395, -187500.02235174447, -86387.54771799418, -735.5959100241554, -47114.169253607906, -18528.612676693523, -25692.19031240825, 2781.004045129305, -10456.749553292937, -35309.1848265153, -42069.08995736718, 0.007, 0.484, 0.157, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683612394651E9, 0.0, 2023-09-25 18:13:32.394
232.0, 30294.548606222703, 29809.985138176104, -16046.093827020388, -32981.362400217346, -9664.000232696562, -3593.2887903796186, -187500.02235174447, -86355.11533678953, -749.0516601862503, -47126.038029913674, -18539.073293098605, -25703.768516036096, 2770.6998909354083, -10463.298614418341, -35319.667794664834, -42081.20460286196, 0.007, 0.484, 0.157, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683612394654E9, 0.0, 2023-09-25 18:13:32.394
234.0, 30304.80805692769, 29811.14742888778, -16031.69930359117, -32974.52276641402, -9644.241290598071, -3575.0274151596327, -187500.02235174447, -86310.83653102357, -757.9923579683731, -47138.93498646438, -18548.773950192208, -25716.509010375623, 2766.6542251889978, -10479.146001237155, -35324.339309256, -42085.004399419355, 0.0125, 0.724, 0.2345, 192.0, 0.0, 72.0, 15.0, 16.0, 4.5, 96.0, 0.0, 0.0, 0.0, 1.695683612394658E9, 0.0, 2023-09-25 18:13:32.394
236.0, 30313.81580994318, 29821.317472614945, -16036.527280393515, -32971.86290882384, -9647.415238310723, -3573.887476192412, -187500.02235174447, -86336.69749935836, -734.254805356837, -47117.18673910937, -18529.372636005002, -25696.70536478822, 2776.220771815869, -10468.327756920786, -35303.64159389038, -42062.87617240861, 0.0125, 0.724, 0.2345, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683612394661E9, 0.0, 2023-09-25 18:13:32.394
238.0, 30307.065583117677, 29822.256245882065, -16048.418408443738, -32981.00477230606, -9657.138247148783, -3584.2363338752193, -187500.02235174447, -86288.50713831272, -750.996261953862, -47121.053590900134, -18541.554336733145, -25700.013422967604, 2767.6600536894866, -10467.612501098216, -35324.38401274491, -42083.685646496495, 0.0125, 0.724, 0.2345, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683612394665E9, 0.0, 2023-09-25 18:13:32.394
0.0, 15057.967908140172, 14817.954876179085, -8178.279778752301, -16467.49126523629, -4879.385814593532, -1784.2280011448863, -93750.01117587223, -37011.47133248703, -376.42572837182627, -23559.6103739274, -9266.563864536747, -12846.843939643377, 1386.411653329331, -5229.347077530275, -17654.011267901813, -21033.393863844143, 0.026000000000000002, 0.9580000000000001, 0.31, 192.0, 0.0, 104.0, 14.5, 120.0, 4.5, 88.0, 0.0, 0.0, 0.0, 1.695683612526171E9, 0.0, 2023-09-25 18:13:32.526
2.0, 30107.86683653198, 29624.935045830614, -16362.415714551893, -32942.02332997601, -9769.902797925806, -3584.5269065531384, -187500.02235174447, -74042.74631056146, -852.4508300365007, -47144.99230921177, -18453.197890901316, -25655.756968946098, 2715.736951319808, -10661.938567392655, -35174.135586516335, -41918.349792760586, 0.026000000000000002, 0.9580000000000001, 0.31, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69568361252619E9, 0.0, 2023-09-25 18:13:32.526
