%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -153828.54984146953, -134471.46975654003, -25516.751470178544, -26840.667646010836, -23970.994230627326, -19974.971708651985, -187500.02235174447, -28492.1262850912, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758244262787E9, 0.0, 2023-09-26 14:57:24.262
224.0, -153747.34595386338, -134383.87327001969, -25510.91766487571, -26839.438300065794, -23949.268335016768, -19972.37890629517, -187500.02235174447, -28489.77935192339, -14711.6723312941, -9048.723763075324, -930.1901972520587, -38659.599561643554, -29805.201864862665, -33419.00955665226, -781.3275791797137, 9259.724230733424, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758244262812E9, 0.0, 2023-09-26 14:57:24.262
226.0, -153826.78405365755, -134469.21223035007, -25508.928359619185, -26839.147727387874, -23965.16042532449, -19970.99309813894, -187500.02235174447, -28488.795875167358, -14714.622761562201, -9078.675100645436, -925.8986623166397, -38665.79099485767, -29802.765524717037, -33416.30499557316, -782.1098902356495, 9246.268480571327, 0.058, 0.98, -0.252, 192.0, 0.5, 104.0, 15.0, 80.0, 124.0, 16.0, 0.0, 0.0, 0.0, 1.69575824426284E9, 0.0, 2023-09-26 14:57:24.262
228.0, -153729.41985481023, -134359.59927554123, -25515.343310277858, -26850.725931015724, -23971.12834109406, -19990.617929770702, -187500.02235174447, -28501.245796828964, -14714.555706328834, -9057.932681790911, -928.0220780398939, -38657.006759286734, -29806.341803829888, -33426.7879637227, -777.05839598875, 9262.40644006806, 0.058, 0.98, -0.252, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758244262851E9, 0.0, 2023-09-26 14:57:24.262
230.0, -153806.1086900364, -134447.84396265078, -25515.723289933598, -26843.8862972124, -23974.54815799572, -19975.53050226337, -187500.02235174447, -28492.886244402678, -14726.491537867969, -9088.375757739039, -899.3671416481902, -38632.93393050837, -29810.27571085402, -33431.213609124854, -756.2265701564038, 9252.25874808535, 0.058, 0.98, -0.252, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69575824426286E9, 0.0, 2023-09-26 14:57:24.262
232.0, -153731.92325018923, -134365.18721165505, -25508.61543519681, -26840.287666355096, -23961.673553189463, -19982.28072908887, -187500.02235174447, -28492.863892658224, -14717.930819741587, -9070.762583108257, -932.8500548422403, -38664.98633205728, -29813.3378998444, -33420.28360608621, -781.05935824625, 9257.556111521259, 0.058, 0.98, -0.252, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758244262869E9, 0.0, 2023-09-26 14:57:24.262
234.0, -153782.1923234692, -134428.04031706337, -25516.95263587864, -26848.155480403362, -23971.396562027523, -19986.684022746565, -187500.02235174447, -28496.417820026618, -14722.870555266209, -9083.7936501257, -892.7286735449641, -38626.45192461633, -29808.085239897402, -33417.69080372939, -752.8738084881078, 9260.461838300447, 0.058, 0.98, -0.252, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758244262908E9, 0.0, 2023-09-26 14:57:24.262
236.0, -153727.20703210915, -134363.15320290963, -25507.5201997185, -26843.79689023458, -23963.037009601238, -19986.840484957753, -187500.02235174447, -28496.46252351553, -14721.797671532355, -9089.001606583788, -925.8763105721845, -38657.76671859821, -29817.1376964018, -33433.314673103654, -773.1915441979819, 9252.281099829806, 0.059, 0.979, -0.254, 192.0, 0.5, 112.0, 15.0, 72.0, 124.0, 0.0, 0.0, 0.0, 0.0, 1.695758244262916E9, 0.0, 2023-09-26 14:57:24.262
238.0, -153776.42557339976, -134423.45820945004, -25510.49298173106, -26846.32263735803, -23968.200262570415, -19981.207845355017, -187500.02235174447, -28497.69186946057, -14722.378816888193, -9094.410728741972, -881.4857460839446, -38609.10697091901, -29808.59933001987, -33433.314673103654, -744.8942357175632, 9259.031326655308, 0.059, 0.979, -0.254, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758244262926E9, 0.0, 2023-09-26 14:57:24.262
0.0, -76705.17435135537, -66947.2520884576, -12781.174514433684, -13400.608408523609, -11977.85281870995, -9992.950855845316, -93750.01117587223, -14178.918502201857, -7357.411963631149, -4538.141731994358, -466.7714794601774, -19329.900363671823, -14896.27538875048, -16708.241904764403, -391.6025628569797, 4632.10846568447, 0.06, 0.976, -0.262, 192.0, 0.5, 112.0, 15.0, 64.0, 123.5, 104.0, 0.0, 0.0, 0.0, 1.695758244342086E9, 0.0, 2023-09-26 14:57:24.342
2.0, -153499.10747994276, -133984.80522451465, -25543.841784458375, -26764.87288056289, -23923.63088412653, -19955.39158050914, -187500.02235174447, -28332.914809336045, -14917.308380282926, -10515.981676099502, -906.407941151612, -38562.25771454069, -29812.622644021827, -33414.38274555001, -809.2672597488476, 9233.483282742893, 0.06, 0.976, -0.262, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758244401851E9, 0.0, 2023-09-26 14:57:24.401
4.0, -153430.88995586516, -133893.99008679274, -25551.35197059536, -26789.079819807986, -23930.001131296296, -19973.51884526239, -187500.02235174447, -28347.644608932093, -14858.255071432004, -10556.080705652323, -954.0395085858713, -38608.19054939634, -29802.296138083475, -33378.50819569924, -831.8425216487076, 9240.63584096859, 0.06, 0.976, -0.262, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758244401874E9, 0.0, 2023-09-26 14:57:24.401
6.0, -153479.79557273336, -133942.62748272746, -25576.989421485596, -26789.124523296898, -23940.037064556727, -19969.853159171722, -187500.02235174447, -28354.841870646702, -14942.409389306235, -10621.951296562112, -888.0124554648943, -38524.79619083359, -29942.374520584886, -33421.289434586695, -770.6434453300769, 9254.248053341873, 0.06, 0.976, -0.262, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758244401884E9, 0.0, 2023-09-26 14:57:24.401
8.0, -153493.13956417318, -133930.0658023436, -25542.612438513333, -26791.0244215756, -23909.348119419592, -19972.401258039627, -187500.02235174447, -28333.965341325445, -14919.789423917464, -10672.980329153577, -998.4300730741112, -38632.93393050837, -29975.052770978546, -33379.916355599926, -851.4226497915566, 9222.262707026328, 0.052000000000000005, 0.97, -0.262, 192.0, 0.5, 80.0, 15.0, 40.0, 123.5, 104.0, 0.0, 0.0, 0.0, 1.695758244401895E9, 0.0, 2023-09-26 14:57:24.401
10.0, -153521.8839075427, -133954.38450031096, -25607.83482883392, -26804.83779964898, -23951.63761992903, -19972.133037106163, -187500.02235174447, -28348.04694033229, -14934.72038921361, -10698.774242255002, -937.0298310553827, -38553.56288594758, -29934.573761769985, -33378.06116081013, -796.1467857535823, 9236.724285688912, 0.052000000000000005, 0.97, -0.262, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758244401905E9, 0.0, 2023-09-26 14:57:24.401
12.0, -153552.3940387242, -133956.19499161185, -25595.49666589459, -26785.972927328698, -23913.818468310652, -19976.424572041582, -187500.02235174447, -28340.581457684217, -14907.607723189321, -10738.828568318911, -1037.0985909817923, -38651.910561550925, -29922.10148836392, -33406.60433847956, -862.0173766633721, 9216.607715679136, 0.052000000000000005, 0.97, -0.262, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758244401914E9, 0.0, 2023-09-26 14:57:24.401
14.0, -153545.48734968752, -133942.98511063875, -25453.831309536854, -26739.660112817302, -23871.86424396804, -19924.702635372, -187500.02235174447, -28300.37066940912, -14878.304586208415, -10705.010378958033, -962.2649505454243, -38558.77084240566, -30024.316015758042, -33356.64818962195, -795.0739020197275, 9266.049774414274, 0.052000000000000005, 0.97, -0.262, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758244401923E9, 0.0, 2023-09-26 14:57:24.401
16.0, -153596.0022921565, -133965.13568939397, -25562.86311898984, -26782.44135170476, -23941.668741901965, -19975.217577840995, -187500.02235174447, -28341.520230951337, -14960.223729637115, -10790.014063121565, -1055.4270214351443, -38658.79489884316, -30044.43258576782, -33324.886360750956, -858.1728766170594, 9232.96919262042, 0.052000000000000005, 0.97, -0.262, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69575824446216E9, 0.0, 2023-09-26 14:57:24.462
18.0, -153556.77498063745, -133915.09013355855, -25604.884398565817, -26808.54818922856, -23958.946640365917, -19999.916255464108, -187500.02235174447, -28374.80197844529, -15013.577343651932, -10812.388159321328, -989.534078780899, -38565.565772720074, -30041.728024688724, -33436.62273128304, -801.801777100775, 9249.844759684178, 0.052000000000000005, 0.972, -0.264, 192.0, 0.5, 80.0, 15.0, 48.0, 123.5, 96.0, 0.0, 0.0, 0.0, 1.695758244462184E9, 0.0, 2023-09-26 14:57:24.462
20.0, -153635.1178449533, -133970.99184644126, -25621.73761388512, -26825.759032459144, -23925.97781729434, -19977.7656767089, -187500.02235174447, -28348.51632696585, -15038.901870119797, -10900.275218519595, -1071.0285390649485, -38646.389680670465, -29989.603756618948, -33363.197250747355, -851.7579259583862, 9211.511517943325, 0.052000000000000005, 0.972, -0.264, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758244462195E9, 0.0, 2023-09-26 14:57:24.462
22.0, -153588.1121263638, -133915.2018922808, -25566.484101591603, -26802.49086648117, -23942.853384358095, -19962.275917801373, -187500.02235174447, -28345.476489719927, -15098.13399292636, -10888.607607913926, -1037.5232741264433, -38582.3072293171, -30006.881655082903, -33413.734544960804, -815.8386726187077, 9233.527986231802, 0.052000000000000005, 0.972, -0.264, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758244462204E9, 0.0, 2023-09-26 14:57:24.462
24.0, -153669.96421455912, -133980.04430294567, -25511.565865464912, -26769.611450387416, -23891.53377908871, -19950.407141495605, -187500.02235174447, -28316.776849839312, -15033.604506683889, -10901.459860975727, -1093.4473387536216, -38654.03397727418, -30034.441355996296, -33375.155434030945, -854.2389695929253, 9222.642686682068, 0.052000000000000005, 0.972, -0.264, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758244462213E9, 0.0, 2023-09-26 14:57:24.462
26.0, -153618.80107150093, -133915.87244461448, -25630.7006634117, -26831.726948228712, -23960.98064911135, -19977.676269731077, -187500.02235174447, -28360.228641060432, -15129.225269463692, -10912.255753547639, -1061.6184546492643, -38598.914575447394, -30014.12362028642, -33386.44306498087, -823.63943143361, 9236.746637433367, 0.052000000000000005, 0.972, -0.264, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695758244462222E9, 0.0, 2023-09-26 14:57:24.462
