%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 5769.879313692965, 37936.92295991456, -52589.69844456893, -56782.79629740671, -35883.19997587204, -32072.182842753275, -187500.02235174447, -64304.78415546229, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760337618368E9, 0.0, 2023-09-26 15:32:17.618
194.0, 5789.794718002644, 37959.118242158685, -52581.182429931454, -56787.55721897569, -35880.227193859486, -32077.971944567198, -187500.02235174447, -64241.97575354287, -13681.100449693258, -42428.08132506387, -53234.54627210454, -45309.84703419769, -24208.772088142883, -29711.88333176176, -57096.30186513685, -37766.96029507641, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760337618416E9, 0.0, 2023-09-26 15:32:17.618
196.0, 5777.098927152029, 37941.281550083346, -52579.863677008594, -56787.44546025342, -35872.9181734226, -32072.763988109113, -187500.02235174447, -64310.14857413156, -13640.912013162615, -42402.57798464036, -53216.37430386237, -45299.45347302598, -24190.06367803379, -29690.1574361512, -57077.7722689834, -37757.81843159419, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760337618429E9, 0.0, 2023-09-26 15:32:17.618
198.0, 5790.264104636205, 37959.78879449234, -52584.624598577575, -56790.61940796607, -35885.748074739946, -32077.860185844922, -187500.02235174447, -64232.632724360556, -13681.033394459891, -42420.39232497124, -53238.569586106496, -45308.34946731919, -24208.146239298134, -29716.577198097373, -57088.188181899575, -37767.16146077651, 0.016, 1.014, -0.01, 192.0, 0.0, 64.0, 15.5, 88.0, 127.5, 88.0, 0.0, 0.0, 0.0, 1.695760337618438E9, 0.0, 2023-09-26 15:32:17.618
200.0, 5785.994921445242, 37942.10856462819, -52579.32723514167, -56775.62138743656, -35879.22136535899, -32075.893232332855, -187500.02235174447, -64299.956178659944, -13654.904205191639, -42415.92197608018, -53226.745513289636, -45301.48748177141, -24201.060736305804, -29692.92905246366, -57087.96466445502, -37765.57448692018, 0.016, 1.014, -0.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760337618448E9, 0.0, 2023-09-26 15:32:17.618
202.0, 5801.596439075046, 37967.008407951405, -52590.79368004724, -56783.39979450701, -35889.234946874974, -32084.38689522587, -187500.02235174447, -64208.872820004566, -13676.875969991204, -42427.097848307836, -53234.25569942662, -45299.364066048154, -24225.893524395648, -29711.145724194736, -57095.184277914086, -37769.75426313332, 0.016, 1.014, -0.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760337618457E9, 0.0, 2023-09-26 15:32:17.618
204.0, 5787.581895301569, 37946.06482339678, -52593.63235159306, -56775.397869992004, -35886.03864741787, -32076.228508499684, -187500.02235174447, -64282.05243135124, -13679.75934502594, -42412.83743534535, -53230.72412380268, -45297.30770555827, -24204.860532863204, -29695.030116442456, -57096.30186513685, -37764.546306675235, 0.016, 1.014, -0.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760337618466E9, 0.0, 2023-09-26 15:32:17.618
206.0, 5815.0074857482305, 37975.189146422046, -52586.59155208964, -56774.52615195825, -35887.20093812954, -32076.094398032954, -187500.02235174447, -64204.20130541341, -13672.696193778062, -42419.23003425956, -53234.009830237614, -45297.553574747275, -24204.324090996277, -29711.101020705824, -57106.02487397491, -37764.16632701949, 0.016, 1.014, -0.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760337618475E9, 0.0, 2023-09-26 15:32:17.618
208.0, 5785.391424344948, 37943.91905592907, -52590.19018294694, -56783.735070673836, -35886.798606729346, -32078.88836608987, -187500.02235174447, -64268.1719980445, -13656.200606370045, -42418.64888890373, -53222.92336498778, -45306.15899636257, -24199.27259674938, -29700.752163023015, -57096.16775467012, -37763.24990549683, 0.016, 1.018, -0.01, 192.0, 0.0, 64.0, 15.5, 104.0, 127.5, 88.0, 0.0, 0.0, 0.0, 1.695760337618484E9, 0.0, 2023-09-26 15:32:17.618
210.0, 5810.715950812812, 37971.72462603148, -52576.82383976267, -56765.85367510959, -35881.81416771581, -32061.029322270075, -187500.02235174447, -64202.7037385349, -13654.814798213816, -42415.139665024246, -53226.92432724528, -45293.19498457849, -24162.772198053863, -29703.2108549131, -57096.90536223714, -37754.063338525695, 0.016, 1.018, -0.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760337618493E9, 0.0, 2023-09-26 15:32:17.618
