%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 68896.19009449365, 57671.90398834991, -27822.132745043367, -35594.86247239858, -488.8773547264761, -4943.647079902539, -187500.02235174447, 21358.097655546386, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762149627064E9, 0.0, 2023-09-26 16:02:29.627
240.0, 68873.41366689368, 57651.63095612895, -27835.141460316358, -35612.96738540738, -492.2971716281381, -4958.622748687595, -187500.02235174447, 21394.19572284171, 37347.68627258376, -16766.065867670284, 10621.526613417462, -4703.45523398581, 10650.91915737619, -3696.7773672076905, -20832.004646301826, -49483.05183447026, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762149627083E9, 0.0, 2023-09-26 16:02:29.627
242.0, 68858.46034985309, 57638.59988911151, -27840.215306307713, -35619.56115002169, -510.98322999277474, -4968.770440670305, -187500.02235174447, 21346.921783318732, 37332.509438098605, -16785.355423135214, 10603.891087042224, -4715.256955058212, 10621.213688995087, -3715.8434052280672, -20843.60520167413, -49489.667950829025, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762149627094E9, 0.0, 2023-09-26 16:02:29.627
244.0, 68834.90161119719, 57619.06446445757, -27859.348399561455, -35639.8118304982, -518.426360896392, -4983.634350733084, -187500.02235174447, 21362.32213524844, 37312.459923322196, -16795.92779826257, 10590.390633391218, -4733.160702366913, 10611.334217945841, -3728.628603056503, -20858.044428592257, -49507.66110511555, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762149627104E9, 0.0, 2023-09-26 16:02:29.627
246.0, 68845.60809679129, 57633.92837452035, -27844.21626856521, -35622.48922854534, -507.8316340245765, -4972.480830249886, -187500.02235174447, 21328.191021465187, 37310.224748876666, -16800.621664598188, 10587.507258356483, -4732.847777944538, 10588.75895604598, -3722.1242454200087, -20860.436065248974, -49504.71067484745, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762149627113E9, 0.0, 2023-09-26 16:02:29.627
248.0, 68832.3982158182, 57619.24327841321, -27869.250222355156, -35644.03631020025, -534.5196169042131, -4986.383615301087, -187500.02235174447, 21362.411542226262, 37290.55521375599, -16799.884057031162, 10582.43341236513, -4742.995469927248, 10599.331331173342, -3726.885166988989, -20869.376763031098, -49511.01386678385, 0.08, 0.992, 0.2, 192.0, 1.0, 64.0, 15.5, 0.0, 3.0, 32.0, 0.0, 0.0, 0.0, 1.695762149627123E9, 0.0, 2023-09-26 16:02:29.627
250.0, 68851.9559922166, 57631.939069263826, -27854.431015781287, -35627.987757681345, -528.7305150902886, -4970.6256354600955, -187500.02235174447, 21332.102576744866, 37317.86904548038, -16814.926781049584, 10569.089420925311, -4762.217970158812, 10604.136956231232, -3744.230120686307, -20883.525417271307, -49519.21695699894, 0.08, 0.992, 0.2, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762149627133E9, 0.0, 2023-09-26 16:02:29.627
252.0, 68873.72659131607, 57659.56582541059, -27835.499088227643, -35599.69044920093, -484.96579944679735, -4947.513931693307, -187500.02235174447, 21386.23850181562, 37304.65916450729, -16767.429324082055, 10611.021293523467, -4719.928469649371, 10620.811357594892, -3709.2943441026623, -20843.2699255073, -49480.70490130245, 0.08, 0.992, 0.2, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762149627143E9, 0.0, 2023-09-26 16:02:29.627
254.0, 68875.58178610585, 57663.253863245714, -27837.823669650996, -35603.579652736145, -508.8821660139759, -4963.115449323112, -187500.02235174447, 21332.437852911695, 37349.20619120672, -16764.94828044752, 10603.354645175295, -4719.146158593436, 10620.274915727963, -3716.1339779059863, -20842.532317940273, -49487.566886850225, 0.08, 0.992, 0.2, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762149627153E9, 0.0, 2023-09-26 16:02:29.627
0.0, 34475.956496710365, 28928.85702000344, -13907.143641369777, -17791.407441068583, -254.54166585703683, -2465.2409512091817, -93750.01117587223, 10042.236452369269, 18658.476311978855, -8382.015929462425, 5299.688017331126, -2359.56190342449, 5310.752130836503, -1861.9897201048996, -10423.356047076708, -24753.260583074163, 0.083, 0.991, 0.196, 192.0, 1.0, 88.0, 15.0, 120.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.695762149787593E9, 0.0, 2023-09-26 16:02:29.787
