%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -187500.02235174447, 30160.48284297977, 30768.115015997293, -40371.51966947552, 1968.4957824344376, 3488.92849551779, 95332.46997981907, 5775.288435851149, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695763753593048E9, 0.0, 2023-09-26 16:29:13.593
224.0, -187500.02235174447, 30149.731653896768, 30725.37848059875, -40363.51774496052, 1965.5230004218818, 3410.406817246296, 95249.56735963433, 5706.378007695438, 36773.581716249195, 35593.789588664724, -132189.0437232308, 24333.33835999231, 28534.482840834004, 32645.616846754176, -16576.925406089475, -25317.91035150413, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695763753593066E9, 0.0, 2023-09-26 16:29:13.593
226.0, -187500.02235174447, 30133.169011255388, 30764.739902584544, -40392.016219141035, 1954.4365351720496, 3508.5309754050945, 95347.26683464847, 5787.783061001666, 36784.1317396321, 35604.58548123664, -132273.0192271494, 24280.454132611052, 28503.77154395241, 32653.59641952472, -16580.166409035493, -25369.542881195892, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695763753593078E9, 0.0, 2023-09-26 16:29:13.593
228.0, -187500.02235174447, 30160.035808090666, 30718.069460161863, -40385.66832371573, 1934.588186095737, 3469.7506987751367, 95306.76547369546, 5761.877389177966, 36761.13179458759, 35573.13657678802, -132149.52583903383, 24368.87763367625, 28546.50807935096, 32618.97356736345, -16607.368482037604, -25282.415781309104, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695763753593088E9, 0.0, 2023-09-26 16:29:13.593
230.0, -187500.02235174447, 30133.414880444394, 30760.358960671303, -40382.092044602876, 1959.9797677969657, 3507.189870737776, 95345.38928811424, 5787.783061001666, 36765.758605689836, 35584.87124262706, -132260.8151746768, 24286.779676291906, 28481.57626170829, 32621.208741808983, -16573.773810121278, -25367.59827942828, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695763753593099E9, 0.0, 2023-09-26 16:29:13.593
232.0, -187500.02235174447, 30131.224409487775, 30728.775945755955, -40385.40010278227, 1946.4122589125943, 3480.032501224578, 95316.22026160006, 5765.565427013091, 36776.75566396185, 35566.58751566261, -132162.98158919593, 24370.397552299208, 28551.51487010895, 32618.325366774247, -16585.106144560115, -25284.76271447691, 0.042, 1.002, 0.146, 192.0, 0.5, 40.0, 15.5, 40.0, 2.0, 72.0, 0.0, 0.0, 0.0, 1.695763753593114E9, 0.0, 2023-09-26 16:29:13.593
234.0, -187500.02235174447, 30150.089281808054, 30760.247201949027, -40393.08910287489, 1964.5395236658483, 3495.9469432767564, 95337.02973568795, 5779.445860319836, 36761.73529168788, 35565.42522495094, -132269.59941024773, 24289.23836818199, 28483.83378789828, 32610.703421914986, -16575.60665316661, -25373.92382310913, 0.042, 1.002, 0.146, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695763753593128E9, 0.0, 2023-09-26 16:29:13.593
236.0, -187500.02235174447, 30143.58492417156, 30733.00042545801, -40391.36801855183, 1951.9107880486, 3486.35804490543, 95326.07738090484, 5764.693708979334, 36775.123986616614, 35564.66526563946, -132169.53065032134, 24371.24691858851, 28563.920088281644, 32604.109657300673, -16588.637720184055, -25288.227234867485, 0.042, 1.002, 0.146, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695763753593164E9, 0.0, 2023-09-26 16:29:13.593
238.0, -187500.02235174447, 30145.641284661448, 30758.79433855943, -40395.301925575965, 1967.0876225337533, 3465.5262190730837, 95308.88888941871, 5749.941557638831, 36762.428195766, 35566.45340519588, -132295.5274338159, 24276.76609477593, 28484.772561165402, 32611.82100913775, -16566.75536236231, -25390.151189583685, 0.042, 1.002, 0.146, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695763753593173E9, 0.0, 2023-09-26 16:29:13.593
0.0, -93750.01117587223, 13421.529641333776, 15465.171988626957, -18810.088194619202, 966.8917616476729, 2569.422432115368, 47622.51497775495, 3977.381167099615, 18391.328262249026, 17777.079972872732, -66088.02867985114, 12190.015577079723, 14281.468305762804, 16296.411013175371, -8296.654617387607, -12646.996992468476, 0.042, 1.002, 0.158, 192.0, 0.5, 40.0, 15.5, 40.0, 2.0, 120.0, 0.0, 0.0, 0.0, 1.695763753746167E9, 0.0, 2023-09-26 16:29:13.746
